,TSM,005930.KS,BBCA.JK,PEO.WA,2454.TW,2317.TW,CHILE.SN,DNP.WA,COPEC.SN,LPP.WA,FALABELLA.SN,CDR.WA,SQM,000660.KS,035420.KS,VALE3.SA,CENCOSUD.SN,CMPC.SN,2303.TW,CPS.WA,035720.KS,BCI.SN,FSR.JO,2308.TW,2881.TW,SM.PM,2882.TW,AMXL.MX,GMEXICOB.MX,1301.TW,PBBANK.KL,051910.KS,068270.KS,006400.KS,VAPORES.SN,005380.KS,CCC.WA,CPI.JO,MTN.JO,SSW.JO,COLBUN.SN,IMP.JO,ACP.WA,FMX,SBK.JO,MRDIY.KL,KRU.WA,051900.KS,AC.PM,EDG.,ICT.PM,AU,JGS.PM,CPIN.JK,SLM.JO,207940.KS,BDO.PM,FGXXX,B3SA3.SA,TOPGLOV.KL,ELEKTRA.MX,BSBR,AC.MX,BBD,NHM.JO,BPI.PM,BVXB.,MDKA.JK,TOWR.JK,6505.TW,BIMBOA.MX,DIALOG.KL,TEN.WA,KLBF.JK,PMETAL.KL,TEL.PM,DIGI.KL,MGLU3.SA,MBT.PM,NTCO3.SA,BRPT.JK,HLBANK.KL,GGRM.JK,HARTA.KL,WEGE3.SA,PPB.KL,ADRO.JK,KLK.KL,SUZB3.SA,INKP.JK,MRC.WA,MER.PM,GLO.PM,CUERVO.MX,TPIA.JK,GCARSOA1.MX,RDOR3.SA,CHG.BK,United Breweries Co Inc ADR,GFNORTEO.MX,2412.TW,CX,CHG.BK.1,CHG.BK.2,005930 KS,BBCA IJ,2454 TT,PEO PW,CHILE CI,2317 TT,COPEC CI,FALAB CI,DNP PW,LPP PW,CDR PW,000660 KS,035420 KS,VALE3 BZ,CENCOSUD CI,CMPC CI,2303 TT,CPS PW,035720 KS,FSR SJ,BCI CI,2308 TT,2881 TT,2882 TT,AMXL MM,GMEXICOB MM,SM PM,1301 TT,PBK MK,051910 KS,068270 KS,VAPORES CC,006400 KS,005380 KS,CPI SJ,MTN SJ,CCC PW,SSW SJ,ACP PW,COLBUN CI,SBK SJ,IMP SJ,MRDIY MK,KRU PW,051900 KS,ICT PM,AC PM,GFI,SLM SJ,JGS PM,CPIN IJ,B3SA3 BZ,207940 KS,BDO PM,TOPG MK,ELEKTRA* MM,AC* MM,NHM SJ,ITUB,BPI PM,MDKA IJ,BIMBOA MM,TOWR IJ,6505 TT,DLG MK,TEN PW,KLBF IJ,PMAH MK,DIGI MK,MGLU3 BZ,TEL PM,MBT PM,BRPT IJ,NTCO3 BZ,HLBK MK,GGRM IJ,HART MK,WEGE3 BZ,SUZB3 BZ,PEP MK,KLK MK,ADRO IJ,MRC PW,INKP IJ,MER PM,GLO PM,TPIA IJ,CUERVO * MM,GCARSOA1 MM,RDOR3 BZ,GFNORTEO MM,CCU,2412 TT,SUM
07/09/2021,7.26,6.89,3.23,3.17,3.14,2.91,2.9,2.53,2.48,2.46,2.43,2.39,2.37,2.15,1.89,1.82,1.82,1.75,1.51,1.45,1.38,1.33,1.28,1.27,1.27,1.26,1.26,1.25,1.25,1.17,1.14,1.11,1.06,1.06,1.02,0.89,0.82,0.81,0.8,0.77,0.76,0.74,0.73,0.73,0.71,0.61,0.6,0.58,0.56,0.55,0.55,0.53,0.53,0.53,0.53,0.49,0.49,0.49,0.48,0.44,0.43,0.41,0.39,0.38,0.37,0.35,0.35,0.34,0.33,0.33,0.33,0.32,0.31,0.3,0.29,0.29,0.28,0.27,0.26,0.24,0.24,0.24,0.23,0.22,0.21,0.19,0.19,0.19,0.19,0.16,0.16,0.15,0.14,0.13,0.13,0.12,0.08,0.04,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/30/2021,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.41,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,6.95,3.21,3.15,3.1,2.91,2.89,2.51,2.5,2.5,2.42,2.33,2.2,1.91,1.87,1.81,1.73,1.53,1.42,1.41,1.3,1.3,1.29,1.27,1.26,1.26,1.24,1.24,1.16,1.13,1.11,1.07,1.04,1.02,0.88,0.82,0.81,0.77,0.75,0.74,0.74,0.72,0.72,0.61,0.59,0.58,0.56,0.55,0.54,0.53,0.52,0.52,0.49,0.49,0.48,0.45,0.43,0.39,0.36,0.36,0.35,0.34,0.33,0.33,0.33,0.32,0.31,0.3,0.29,0.28,0.28,0.28,0.26,0.24,0.24,0.23,0.23,0.22,0.21,0.19,0.19,0.19,0.19,0.16,0.16,0.15,0.14,0.13,0.13,0.12,0.08,0.02,0.02,0.01,99.89999999999999
