,ABNB,UBER,LYFT,BKNG,TRN.L,MMYT,TCOM,696.HK,EXPE,TRIP,780.HK,AMS.MC,TRVG,SABR,WEB.AX,032350.KS,CVCB3.SA,FD.V,EDR.MC,039130.KS,DESP,OTB.L,3926.T,6191.T,LMN.SW,6030.T,2477.T,ACSO.L,VALT,TOUR,7048.T,1745.HK,TZOO,First American Government Obligs X,HSW.L,039130.KS.1,039130.KS.2,n/a,FGXXX,688101.SS,688001.SS,CVCB1,CLV.,CTD.AX,DIDI,BLDE,HLO.AX,SDR.AX,SUM
07/09/2021,4.94,4.84,4.55,4.49,4.46,4.36,4.2,4.1,4.06,3.97,3.93,3.85,3.73,3.67,3.66,3.62,3.56,3.47,3.25,3.23,3.15,2.39,2.16,1.76,1.7,1.53,1.26,1.2,0.97,0.92,0.73,0.7,0.59,0.48,0.44,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/30/2021,5.59,4.4,4.05,5.22,5.7,4.24,3.87,3.79,3.94,3.95,3.8,3.74,3.41,3.58,4.65,3.75,3.63,1.56,3.18,3.46,3.21,2.98,2.36,2.02,1.82,1.56,1.24,1.59,0.0,0.72,0.74,0.57,0.53,0.0,0.38,0.0,0.0,0.45,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,5.59,4.4,4.05,5.22,5.7,4.24,3.87,3.79,3.94,3.95,3.8,3.74,3.41,3.58,4.65,3.75,3.63,1.56,3.18,3.46,3.21,2.98,2.36,2.02,1.82,1.56,1.24,1.59,0.45,0.72,0.74,0.57,0.53,0.0,0.38,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,5.59,4.37,3.99,5.24,5.72,4.25,3.79,3.88,3.98,3.98,3.74,3.72,3.51,3.69,4.57,3.76,3.58,1.43,3.36,3.41,3.25,3.01,2.37,2.01,1.79,1.53,1.19,1.58,0.0,0.75,0.74,0.55,0.54,0.0,0.37,0.0,0.0,0.45,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/02/2021,5.0,4.85,4.5,4.49,4.33,4.45,4.26,4.15,4.02,3.99,3.98,3.89,3.71,3.68,3.74,3.7,3.77,3.52,3.28,3.32,3.16,2.38,2.15,1.82,1.72,1.6,1.31,1.22,0.98,0.96,0.74,0.71,0.57,0.0,0.43,0.0,0.0,5.45,0.48,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,106.45
09/03/2021,5.0,4.85,4.5,4.49,4.33,4.45,4.26,4.15,4.02,3.99,3.98,3.89,3.71,3.68,3.74,3.7,3.77,3.52,3.28,3.32,3.16,2.38,2.15,1.82,1.72,1.6,1.31,1.22,0.98,0.96,0.74,0.71,0.57,0.0,0.43,0.0,0.0,5.45,0.48,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,106.45
09/06/2021,5.54,4.26,3.9,5.07,6.08,4.28,4.13,4.07,3.87,3.71,3.96,3.77,3.38,3.57,4.66,3.77,3.37,1.25,3.32,3.52,3.08,2.87,2.4,2.16,1.73,1.64,1.26,1.67,0.0,0.77,0.72,0.58,0.52,0.0,0.37,0.0,0.0,0.44,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/07/2021,5.63,4.39,4.02,5.16,6.04,4.31,4.12,3.95,3.85,3.75,4.05,3.81,3.13,3.61,4.74,3.8,3.3,0.89,3.45,3.55,2.96,2.95,2.37,2.13,1.73,1.67,1.25,1.71,0.44,0.76,0.68,0.62,0.53,0.0,0.39,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/08/2021,5.63,4.39,4.02,5.16,6.04,4.31,4.12,3.95,3.85,3.75,4.05,3.81,3.13,3.61,4.74,3.8,3.3,0.89,3.45,3.55,2.96,2.95,2.37,2.13,1.73,1.67,1.25,1.71,0.44,0.76,0.68,0.62,0.53,0.0,0.39,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/14/2021,5.9,4.25,4.09,5.16,5.9,4.09,4.16,4.05,3.9,3.75,4.1,3.79,3.13,3.57,4.78,3.73,3.19,0.46,3.31,3.53,2.89,2.77,2.61,2.42,1.68,1.72,1.31,2.08,0.44,0.77,0.81,0.57,0.47,0.0,0.37,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/15/2021,5.9,4.22,4.07,5.16,5.9,4.0,4.07,4.11,3.89,3.75,4.21,3.7,3.13,3.51,4.92,3.83,3.24,0.34,3.23,3.61,2.93,2.82,2.59,2.42,1.65,1.75,1.33,2.07,0.45,0.76,0.8,0.56,0.47,0.0,0.37,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
09/16/2021,5.9,4.22,4.07,5.16,5.9,4.0,4.07,4.11,3.89,3.75,4.21,3.7,3.13,3.51,4.92,3.83,3.24,0.34,3.23,3.61,2.93,2.82,2.59,2.42,1.65,1.75,1.33,2.07,0.45,0.76,0.8,0.56,0.47,0.0,0.37,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
10/20/2021,4.46,4.84,3.85,4.56,3.31,4.28,0.0,4.15,4.4,4.04,3.82,4.12,2.73,4.06,4.14,3.62,2.39,0.25,2.96,2.95,2.65,2.37,2.0,2.17,1.53,1.43,0.95,1.42,0.35,0.51,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,4.34,3.81,3.45,2.05,0.98,0.0,100.01
10/21/2021,4.46,4.84,3.85,4.56,3.31,4.28,0.0,4.15,4.4,4.04,3.82,4.12,2.73,4.06,4.14,3.62,2.39,0.25,2.96,2.95,2.65,2.37,2.0,2.17,1.53,1.43,0.95,1.42,0.35,0.51,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,4.34,3.81,3.45,2.05,0.98,0.0,100.01
10/28/2021,4.62,4.8,3.8,4.54,3.27,3.92,0.0,4.13,4.36,3.82,3.85,3.99,2.75,3.77,4.32,3.7,2.06,0.24,3.04,2.94,2.43,2.27,2.07,2.25,1.68,1.46,1.01,1.48,0.36,0.5,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,4.25,4.16,4.05,2.03,0.99,0.0,100.01
