,1299.HK,388.HK,669.HK,16.HK,1.HK,823.HK,3.HK,27.HK,1113.HK,2.HK,11.HK,J36.SI,2388.HK,1928.HK,1997.HK,6.HK,992.HK,868.HK,66.HK,288.HK,17.HK,12.HK,1821.HK,H78.SI,83.HK,4.HK,1876.HK,1308.HK,101.HK,2018.HK,522.HK,853.HK,1929.HK,1913.HK,1038.HK,322.HK,151.HK,1999.HK,19.HK,425.HK,1972.HK,1910.HK,345.HK,14.HK,336.HK,1128.HK,23.HK,10.HK,8.HK,880.HK,683.HK,2588.HK,1691.HK,973.HK,636.HK,551.HK,—,303.HK,659.HK,200.HK,3918.HK,D01.SI,220.HK,2314.HK,2778.HK,1316.HK,467.HK,6808.HK,69.HK,2282.HK,1208.HK,87.HK,179.HK,3331.HK,293.HK,1083.HK,142.HK,341.HK,665.HK,242.HK,272.HK,2038.HK,440.HK,1212.HK,308.HK,2356.HK,1788.HK,215.HK,6088.HK,1680.HK,HUN1,HUQ1,HUU1,SUM
07/09/2021,20.33,12.53,3.54,3.43,3.39,3.36,2.79,2.78,2.73,2.69,2.41,2.14,1.99,1.63,1.56,1.39,1.38,1.35,1.32,1.22,1.2,1.02,0.98,0.91,0.91,0.88,0.87,0.83,0.83,0.82,0.71,0.7,0.65,0.63,0.61,0.61,0.6,0.58,0.57,0.53,0.51,0.44,0.43,0.39,0.38,0.38,0.37,0.37,0.35,0.33,0.32,0.3,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.23,0.23,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.1,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.04,0.04,0.03,-0.01,0.0,0.0,99.99
07/12/2021,20.04,13.31,3.46,3.43,3.32,3.33,2.82,2.7,2.78,2.71,2.37,2.22,1.97,1.59,1.53,1.39,1.41,1.36,1.35,1.21,1.16,1.02,0.97,0.91,0.92,0.84,0.86,0.86,0.81,0.78,0.71,0.68,0.63,0.59,0.61,0.6,0.61,0.56,0.57,0.52,0.51,0.42,0.45,0.39,0.36,0.37,0.38,0.38,0.36,0.32,0.32,0.28,0.27,0.29,0.29,0.28,0.27,0.26,0.24,0.23,0.23,0.21,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.1,0.09,0.08,0.08,0.06,0.07,0.06,0.07,0.04,0.04,0.03,-0.01,0.0,0.0,100.06
07/13/2021,20.04,13.31,3.46,3.43,3.32,3.33,2.82,2.7,2.78,2.71,2.37,2.22,1.97,1.59,1.53,1.39,1.41,1.36,1.35,1.21,1.16,1.02,0.97,0.91,0.92,0.84,0.86,0.86,0.81,0.78,0.71,0.68,0.63,0.59,0.61,0.6,0.61,0.56,0.57,0.52,0.51,0.42,0.45,0.39,0.36,0.37,0.38,0.38,0.36,0.32,0.32,0.28,0.27,0.29,0.29,0.28,0.27,0.26,0.24,0.23,0.23,0.21,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.1,0.09,0.08,0.08,0.06,0.07,0.06,0.07,0.04,0.04,0.03,-0.01,0.0,0.0,100.06
07/14/2021,20.14,13.32,3.53,3.44,3.3,3.3,2.85,2.74,2.68,2.71,2.37,2.18,1.95,1.59,1.52,1.38,1.42,1.36,1.36,1.19,1.13,1.02,0.97,0.91,0.93,0.85,0.86,0.81,0.8,0.79,0.72,0.68,0.64,0.59,0.6,0.61,0.6,0.57,0.57,0.51,0.5,0.42,0.44,0.39,0.37,0.37,0.37,0.37,0.36,0.32,0.31,0.29,0.29,0.29,0.29,0.27,0.27,0.27,0.24,0.23,0.23,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.17,0.16,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.09,0.09,0.08,0.08,0.06,0.07,0.06,0.07,0.04,0.04,0.03,-0.01,0.0,0.0,100.02
07/15/2021,19.89,13.58,3.61,3.46,3.3,3.32,2.83,2.71,2.72,2.69,2.36,2.16,1.95,1.57,1.53,1.37,1.4,1.42,1.35,1.17,1.11,1.02,0.99,0.9,0.93,0.84,0.87,0.81,0.81,0.78,0.74,0.68,0.63,0.59,0.6,0.61,0.6,0.56,0.57,0.53,0.51,0.42,0.44,0.38,0.37,0.36,0.37,0.37,0.35,0.32,0.31,0.29,0.28,0.29,0.28,0.27,0.26,0.27,0.24,0.22,0.22,0.2,0.2,0.2,0.19,0.2,0.18,0.18,0.17,0.16,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.09,0.09,0.08,0.08,0.06,0.07,0.06,0.07,0.04,0.04,0.03,-0.01,0.0,0.0,100.02
07/16/2021,20.26,13.49,3.58,3.46,3.29,3.29,2.82,2.68,2.7,2.67,2.36,2.12,1.94,1.57,1.54,1.39,1.36,1.43,1.35,1.17,1.11,1.02,0.99,0.88,0.93,0.83,0.86,0.81,0.82,0.78,0.72,0.66,0.65,0.58,0.6,0.6,0.6,0.57,0.56,0.53,0.5,0.42,0.43,0.39,0.37,0.36,0.37,0.37,0.35,0.32,0.31,0.29,0.29,0.29,0.28,0.27,0.26,0.27,0.24,0.22,0.22,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.09,0.09,0.07,0.08,0.06,0.07,0.06,0.07,0.04,0.04,0.03,-0.01,0.0,0.0,100.0
07/19/2021,20.15,13.52,3.56,3.5,3.31,3.29,2.86,2.67,2.71,2.71,2.35,2.12,1.95,1.57,1.56,1.42,1.32,1.42,1.36,1.16,1.12,1.02,1.01,0.88,0.93,0.82,0.87,0.81,0.82,0.77,0.72,0.75,0.58,0.58,0.62,0.59,0.6,0.54,0.58,0.5,0.5,0.42,0.43,0.39,0.36,0.36,0.36,0.38,0.35,0.31,0.31,0.29,0.29,0.29,0.29,0.27,0.28,0.25,0.24,0.21,0.21,0.2,0.21,0.19,0.19,0.19,0.18,0.18,0.17,0.16,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.09,0.1,0.07,0.08,0.06,0.07,0.06,0.07,0.04,0.04,0.03,0.0,0.0,0.0,100.05
07/22/2021,19.76,14.16,3.57,3.48,3.3,3.31,2.87,2.64,2.7,2.73,2.34,2.09,1.94,1.55,1.55,1.42,1.27,1.43,1.36,1.13,1.12,1.02,1.06,0.9,0.96,0.82,0.88,0.82,0.81,0.74,0.68,0.71,0.61,0.57,0.61,0.6,0.61,0.53,0.57,0.51,0.51,0.4,0.41,0.4,0.35,0.36,0.37,0.37,0.36,0.3,0.31,0.29,0.29,0.29,0.29,0.26,0.29,0.25,0.24,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.15,0.12,0.14,0.13,0.13,0.12,0.12,0.09,0.09,0.07,0.08,0.06,0.07,0.06,0.07,0.04,0.04,0.03,-0.01,0.0,0.0,100.05
07/23/2021,19.76,14.16,3.57,3.48,3.3,3.31,2.87,2.64,2.7,2.73,2.34,2.09,1.94,1.55,1.55,1.42,1.27,1.43,1.36,1.13,1.12,1.02,1.06,0.9,0.96,0.82,0.88,0.82,0.81,0.74,0.68,0.71,0.61,0.57,0.61,0.6,0.61,0.53,0.57,0.51,0.51,0.4,0.41,0.4,0.35,0.36,0.37,0.37,0.36,0.3,0.31,0.29,0.29,0.29,0.29,0.26,0.29,0.25,0.24,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.15,0.12,0.14,0.13,0.13,0.12,0.12,0.09,0.09,0.07,0.08,0.06,0.07,0.06,0.07,0.04,0.04,0.03,-0.01,0.0,0.0,100.05
07/26/2021,20.07,14.41,3.61,3.44,3.24,3.31,2.89,2.64,2.65,2.71,2.31,2.08,1.91,1.53,1.55,1.41,1.26,1.43,1.42,1.12,1.12,1.0,1.09,0.9,0.91,0.81,0.87,0.8,0.81,0.72,0.69,0.68,0.61,0.57,0.6,0.58,0.6,0.49,0.55,0.48,0.52,0.39,0.4,0.4,0.36,0.35,0.35,0.36,0.36,0.3,0.31,0.28,0.29,0.29,0.28,0.25,0.28,0.25,0.25,0.21,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.18,0.16,0.14,0.12,0.13,0.13,0.13,0.12,0.12,0.09,0.09,0.07,0.07,0.06,0.07,0.06,0.07,0.04,0.04,0.03,-0.01,0.0,0.0,100.07
07/29/2021,20.07,13.8,3.59,3.52,3.33,3.39,2.97,2.54,2.74,2.84,2.38,2.15,1.95,1.44,1.58,1.47,1.18,1.38,1.45,1.14,1.14,1.02,1.09,0.92,0.94,0.8,0.88,0.79,0.85,0.71,0.69,0.59,0.61,0.58,0.63,0.58,0.61,0.5,0.55,0.47,0.52,0.39,0.39,0.41,0.34,0.33,0.34,0.37,0.37,0.29,0.31,0.27,0.27,0.29,0.29,0.25,0.33,0.26,0.25,0.21,0.19,0.2,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.16,0.18,0.16,0.14,0.13,0.14,0.13,0.13,0.12,0.12,0.09,0.09,0.07,0.07,0.06,0.06,0.06,0.07,0.04,0.03,0.03,-0.02,0.0,0.0,100.02
07/30/2021,19.84,13.26,3.66,3.57,3.45,3.5,3.09,2.54,2.85,2.96,2.44,2.21,2.02,1.45,1.61,1.53,1.16,1.14,1.5,1.13,1.17,1.04,1.06,0.95,0.93,0.8,0.86,0.75,0.86,0.7,0.7,0.57,0.6,0.6,0.65,0.58,0.62,0.48,0.55,0.46,0.52,0.4,0.39,0.42,0.29,0.33,0.35,0.37,0.38,0.29,0.32,0.27,0.25,0.28,0.29,0.25,0.32,0.26,0.25,0.21,0.19,0.21,0.19,0.18,0.19,0.16,0.18,0.16,0.18,0.15,0.2,0.16,0.14,0.13,0.14,0.12,0.12,0.12,0.12,0.09,0.1,0.07,0.07,0.06,0.06,0.06,0.06,0.04,0.04,0.03,0.0,-0.02,0.0,99.98
08/02/2021,19.98,13.85,3.72,3.48,3.35,3.4,2.99,2.46,2.75,2.86,2.37,2.11,1.96,1.41,1.58,1.48,1.19,1.28,1.45,1.14,1.14,1.0,1.09,0.9,0.93,0.79,0.83,0.84,0.88,0.71,0.69,0.65,0.63,0.6,0.63,0.57,0.61,0.51,0.54,0.5,0.51,0.4,0.38,0.41,0.33,0.33,0.35,0.37,0.37,0.28,0.31,0.27,0.27,0.27,0.29,0.26,0.32,0.26,0.24,0.21,0.19,0.2,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.15,0.2,0.15,0.14,0.13,0.14,0.13,0.13,0.12,0.11,0.09,0.09,0.07,0.07,0.06,0.06,0.06,0.06,0.04,0.04,0.03,0.0,-0.01,0.0,100.0
