,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,Ice 7-10 Year U.S. Treasury Index Swap Citibank Na - Cash Offset,Ice 7-10 Year U.S. Treasury Index Swap Bank Of America Na - Cash Offset,Us 10 Yr Note Future 09/21/2021 (Tyu1) - Cash Offset,10 Year Treasury Note Future Sept 21,Ice 7-10 Year U.S. Treasury Index Swap Bank Of America Na,Ice 7-10 Year U.S. Treasury Index Swap Citibank Na,SUM
07/09/2021,100.0,71.6,28.15,0.17,-0.17,-28.15,-71.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6,28.15,0.17,-0.17,-28.15,-71.6,100.0
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6,28.15,0.17,-0.17,-28.15,-71.6,100.0
07/14/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6,28.15,0.17,-0.17,-28.15,-71.6,100.0
07/15/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6,28.15,0.17,-0.17,-28.15,-71.6,100.0
07/16/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6,28.15,0.17,-0.17,-28.15,-71.6,100.0
07/19/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6,28.15,0.17,-0.17,-28.15,-71.6,100.0
