,ABIBB 5.55 01.23.49,AAPL 3.25 02.23.26,EIX 4.125 03.15.28,WM 0.75 11.15.25,AAPL 1.65 02.08.31,C V3.352 04.24.25,DFS 2.45 09.12.24,BAC 6.11 01.29.37,AMZN 1.65 05.12.28,GM 6.8 10.01.27,GM 1.25 01.08.26,MSFT 2.921 03.17.52,VOD 5.25 05.30.48,ECL 4.8 03.24.30,MSFT 2.525 06.01.50,AMGN 4.663 06.15.51,PARA 4.95 01.15.31,BACR 5.2 05.12.26,SANTAN 5.179 11.19.25,HD 3.9 12.06.28,PAA 4.65 10.15.25,VZ 4.329 09.21.28,CVS 4.3 03.25.28,WMB 4.55 06.24.24,AAPL 3.45 05.06.24,MS 3.875 04.29.24 F,MET 3.6 04.10.24,HSBC V4.583 06.19.29,MSFT 3.3 02.06.27,HSBC 4.3 03.08.26,WMT 3.4 06.26.23,GS 4 03.03.24,GS 3.5 04.01.25,MS 3.875 01.27.26 GMTN,INTNED 4.05 04.09.29,IBM 3 05.15.24,LNC 4 09.01.23,MUFG 3.455 03.02.23,VTR 4 03.01.28,JNJ 3.625 03.03.37,DE 3.45 03.07.29 MTN,AET 2.8 06.15.23,JPM V3.782 02.01.28,BAC V3.093 10.01.25 MtN,HSBC V3.803 03.11.25,BAC V3.458 03.15.25 MTN,SANUSA 3.45 06.02.25,BK 2.2 08.16.23 MTN,AVB 2.95 05.11.26 GMTN,ITW 2.65 11.15.26,MA 2.95 06.01.29,DGELN 2.125 10.24.24,MS 3.125 07.27.26 MTN,MSFT 2.4 08.08.26,BAC V3.419 12.20.28,ANTM 2.375 01.15.25,PEP 3.5 03.19.40,AIG 2.5 06.30.25,LOW 2.5 04.15.26,SANTAN 2.746 05.28.25,RDSALN 0.375 09.15.23,SANLTD 5.4 08.08.28,VMW 0.6 08.15.23,MUFG 2.193 02.25.25,WELL 3.1 01.15.30,NRUC 0.35 02.08.24,SHW 2.95 08.15.29,TGT 2.65 09.15.30,BXP 3.25 01.30.31,INTC 2.45 11.15.29,SANUK V1.089 03.15.25,ARE 2.75 12.15.29,HD 5.875 12.16.36,RY 1.15 06.10.25 MTN,AMZN 1 05.12.26,MS V5.597 03.24.51 GMTN,JPM V1.578 04.22.27,MS V2.699 01.22.31 GMTN,ANTM 3.6 03.15.51,BAC V1.734 07.22.27,MCD 3.625 09.01.49 MTN,VZ 3.4 03.22.41,BAC V2.687 04.22.32,PSD 2.379 06.15.28,DIS 2 09.01.29,MS V0.985 12.10.26,VZ 3.55 03.22.51,ABT 4.9 11.30.46,AWK 2.3 06.01.31,CAT 1.1 09.14.27 MTN,TACHEM 2.05 03.31.30,HSBC V2.804 05.24.32,HSBC 6.5 09.15.37,n/a,MUFG V2.309 07.20.32,AAPL 4.65 02.23.46,FDX 5.25 05.15.50,ORCL 3.6 04.01.40,BACR V3.811 03.10.42,T 3.55 09.15.55,INTC 4.75 03.25.50,CVS 5.05 03.25.48,CI 4.9 12.15.48,RDSALN 4.375 05.11.45,IBM 4.25 05.15.49,CI 4.375 10.15.28,T 4.35 03.01.29,C V4.412 03.31.31,T 4.3 02.15.30 *,JPM V4.493 03.24.31,JPM V4.452 12.05.29,TELEFO 5.213 03.08.47,C 4.45 09.29.27,AAPL 3.85 05.04.43,PRU 4.35 02.25.50 MTN,VZ 4.125 03.16.27,BAC V4.271 07.23.29 MTN,MSFT 3.125 11.03.25,JPM 3.875 09.10.24,IBM 3.5 05.15.29,DB V3.961 11.26.25,TRV 4 05.30.47,C V3.106 04.08.26,C 3.2 10.21.26,C 8.125 07.15.39,DB V2.222 09.18.24,PFE 7.2 03.15.39,JPM V2.739 10.15.30,ORAFP 8.5 03.01.31,AMZN 2.875 05.12.41,C V2.572 06.03.31,WMT 1.8 09.22.31,DB V3.035 05.28.32,DIS 6.65 11.15.37,GSK 6.375 05.15.38,RDSALN 6.375 12.15.38,AZN 6.45 09.15.37,AAPL 2.375 02.08.41,GS 6.75 10.01.37,VZ 2.65 11.20.40,LOW 3 10.15.50,ORCL 4.1 03.25.61,KMI 6.95 01.15.38 MTN,EPD 6.45 09.01.40,WMB 6.3 04.15.40,CAT 5.2 05.27.41,IP 6 11.15.41,JPM 5.6 07.15.41,JPM 5.625 08.16.43,NTRCN 5.875 12.01.36,NEM 5.875 04.01.35 *,CNQCN 6.25 03.15.38,ABIBB 5.45 01.23.39,MDT 4.625 03.15.45,VZ 4.862 08.21.46,GM 5.95 04.01.49,KMI 5.55 06.01.45,GS 5.15 05.22.45,WMT 4.05 06.29.48,AIG 4.75 04.01.48,MET 4.6 05.13.46,CP 4.8 08.01.45,CNRCN 4.45 01.20.49,MPLX 5.5 02.15.49,PFE 4.125 12.15.46,EXC 4.7 04.15.50,ABIBB 4.75 01.23.29,ONCRTX 4.55 12.01.41,MS V4.457 04.22.39,CMS 4.35 04.15.49,ABIBB 4.7 02.01.36 *,CVS 4.78 03.25.38,HAL 4.85 11.15.35,EQR 4.5 07.01.44,CB 4.35 11.03.45,FOXA 4.709 01.25.29,CVECN 5.375 07.15.25,C 4.75 05.18.46,SPLLLC 4.5 05.15.30,VOD 4.375 05.30.28,GSK 3.875 05.15.28,KRC 4.375 10.01.25,CI 4.5 02.25.26 *,LEN 4.5 04.30.24,RDSALN 3.875 11.13.28,AIG 4.25 03.15.29,CSX 4.3 03.01.48,AMZN 3.875 08.22.37,PGR 4.2 03.15.48,KMI 4.3 06.01.25,GIS 3.7 10.17.23,NOVNVX 3.4 05.06.24,VLO 4 04.01.29,ABT 3.4 11.30.23,WMT 3.25 07.08.29,JNJ 3.7 03.01.46,CVS 3.875 07.20.25,QCOM 3.45 05.20.25,FDX 3.25 04.01.26,HST 4.5 02.01.26 F,SRE 2.95 04.15.27,HLNLN 3.375 03.24.27 144A,MUFG V5.133 07.20.33,ABIBB 4.9 02.01.46 *,BPLN 3.796 09.21.25,D 3.75 05.15.27 B,CB 3.35 05.03.26,AXP 3.375 05.03.24,TD 2.35 03.08.24 MTN,ELV 2.375 01.15.25,ENBCN 2.5 02.14.25,SANTAN V4.175 03.24.28,EXC 2.75 03.15.27 144A,BAC V2.676 06.19.41 MTN,MCD 1.45 09.01.25 MTN,AMGN 2.2 02.21.27,HSBC V4.762 03.29.33,PRU 1.5 03.10.26 MTN,VZ 2.55 03.21.31,ELV 3.6 03.15.51,MRK 2.35 06.24.40,GILD 4.6 09.01.35,MSFT 2.675 06.01.60,C V3.98 03.20.30,BABA 2.7 02.09.41,VMW 1.4 08.15.26,DB V2.552 01.07.28,PFE 2.55 05.28.40,GS 6.25 02.01.41,CSCO 5.9 02.15.39,HSBC 6.5 05.02.36,TD 4.456 06.08.32,EXC 4.95 06.15.35 *,D 4.625 05.15.52 C,BK V4.289 06.13.33 MTN,CPB 4.15 03.15.28,JBHT 3.875 03.01.26,NDAQ 3.85 06.30.26,SYF 4.375 03.19.24,EXC 3.6 03.15.24,UNANA 3.5 03.22.28,PFE 3.45 03.15.29,INTC 3.4 03.25.25,DIS 3.35 03.24.25,CSX 3.4 08.01.24,MRK 2.9 03.07.24,MCD 3.5 07.01.27 MTN,INTC 2.875 05.11.24,JNJ 2.625 01.15.25,HES 3.5 07.15.24,SUM
03/30/2022,0.76,0.65,0.63,0.59,0.57,0.54,0.53,0.5,0.5,0.49,0.49,0.48,0.48,0.47,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.30000000000001
08/19/2022,0.68,0.62,0.6,0.0,0.53,0.51,0.0,0.46,0.0,0.45,0.46,0.26,0.41,0.44,0.4,0.4,0.0,0.0,0.0,0.0,0.41,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.41,0.41,0.0,0.0,0.41,0.41,0.4,0.41,0.41,0.0,0.4,0.6,0.0,0.0,0.4,0.4,0.41,0.41,0.4,0.41,0.4,0.41,0.4,0.0,0.4,0.4,0.39,0.0,0.38,0.39,0.4,0.39,0.4,0.0,0.4,0.39,0.37,0.0,0.38,0.38,0.0,0.37,0.39,0.37,0.37,0.38,0.0,0.35,0.37,0.37,0.0,0.37,0.36,0.35,0.36,0.0,0.37,0.37,0.34,0.34,0.36,0.37,0.35,0.34,0.34,1.21,0.34,0.0,0.32,0.47,0.0,0.32,0.31,0.31,0.52,0.31,0.28,0.31,0.31,0.31,0.31,0.31,0.31,0.28,0.31,0.29,0.3,0.31,0.3,0.31,0.31,0.3,0.3,0.29,0.3,0.3,0.28,0.3,0.27,0.55,0.27,0.0,0.27,0.27,0.0,0.26,0.25,0.25,0.0,0.24,0.24,0.24,0.22,0.0,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.0,0.22,0.0,0.22,0.22,0.21,0.0,0.21,0.21,0.21,0.0,0.21,0.21,0.21,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.21,0.41,0.21,0.0,0.0,0.21,0.0,0.39,0.2,0.0,0.0,0.2,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.0,0.21,0.2,0.0,0.21,0.21,0.0,0.0,0.5,0.5,0.43,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.36,0.35,0.32,0.32,0.31,0.3,0.29,0.28,0.27,0.25,0.24,0.24,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,66.47
