,TSLA,7267.T,GOOGL,7203.T,DAI.DE,NVDA,ABBN.SW,6594.T,INTC,BIDU,CON.DE,6902.T,SIE.DE,SWKS,AIR.PA,AMD,6752.T,BY6.,IFX.DE,6506.T,005380.KS,APTV,RNO.PA,012330.KS,NXPI,006400.KS,JPMorgan US Government MMkt Instl,MRVL,FM.TO,STM.PA,MG.TO,000270.KS,YNDX,UMI.BR,NIO,SQM,MXL,2238.HK,6762.T,8015.T,175.HK,FR.PA,3402.T,ON,LAZR,VNE,AMBA,2899.HK,2333.HK,5713.T,009150.KS,FMC,LNR.TO,ALB,6723.T,3808.HK,4005.T,ALV,6963.T,EO.PA,1208.HK,1958.HK,Euro,Swedish Krone,Swiss Franc,Norwegian Krone,Japanese Yen,Hong Kong Dollar,Canadian Dollar,Cash,IJGXX,n/a,SUM
07/09/2021,4.43,3.86,3.73,3.71,3.57,3.46,3.4,3.36,3.27,3.21,2.81,2.6,2.56,2.43,2.37,2.26,1.87,1.86,1.78,1.78,1.75,1.66,1.59,1.58,1.52,1.5,1.48,1.46,1.45,1.43,1.42,1.24,1.13,1.11,1.03,1.01,1.01,0.97,0.96,0.95,0.95,0.93,0.92,0.9,0.9,0.89,0.87,0.84,0.83,0.83,0.83,0.83,0.76,0.71,0.69,0.67,0.62,0.59,0.57,0.56,0.55,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35,0.0,0.0,99.98
11/01/2021,4.7,3.6,4.31,3.65,3.26,3.75,3.63,3.3,3.09,2.45,2.48,2.63,2.61,2.31,2.43,2.62,1.9,2.06,1.89,1.75,1.47,1.56,1.36,1.46,1.58,1.57,0.0,1.52,1.28,1.71,1.18,1.11,1.2,1.15,0.78,1.09,1.25,1.07,0.82,0.89,1.07,0.85,0.92,1.03,0.72,1.36,0.83,0.87,1.16,0.8,0.83,0.7,0.67,0.96,0.69,0.6,0.58,0.52,0.59,0.54,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,99.92
11/02/2021,4.7,3.6,4.31,3.65,3.26,3.75,3.63,3.3,3.09,2.45,2.48,2.63,2.61,2.31,2.43,2.62,1.9,2.06,1.89,1.75,1.47,1.56,1.36,1.46,1.58,1.57,0.0,1.52,1.28,1.71,1.18,1.11,1.2,1.15,0.78,1.09,1.25,1.07,0.82,0.89,1.07,0.85,0.92,1.03,0.72,1.36,0.83,0.87,1.16,0.8,0.83,0.7,0.67,0.96,0.69,0.6,0.58,0.52,0.59,0.54,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,99.92
11/03/2021,4.7,3.6,4.31,3.65,3.26,3.75,3.63,3.3,3.09,2.45,2.48,2.63,2.61,2.31,2.43,2.62,1.9,2.06,1.89,1.75,1.47,1.56,1.36,1.46,1.58,1.57,0.0,1.52,1.28,1.71,1.18,1.11,1.2,1.15,0.78,1.09,1.25,1.07,0.82,0.89,1.07,0.85,0.92,1.03,0.72,1.36,0.83,0.87,1.16,0.8,0.83,0.7,0.67,0.96,0.69,0.6,0.58,0.52,0.59,0.54,0.59,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,99.92
01/31/2022,6.65,3.27,3.95,3.79,4.28,4.6,3.17,3.09,2.99,2.71,2.42,2.54,2.42,1.89,2.01,3.01,1.49,2.16,1.81,1.4,1.57,1.72,1.49,1.27,1.57,1.28,0.0,1.62,1.47,1.51,1.31,1.11,0.98,0.79,0.97,1.04,1.22,0.92,1.0,0.92,0.83,1.06,0.79,1.13,0.94,0.87,0.97,0.7,0.79,0.76,0.71,0.88,0.8,0.73,0.68,0.49,0.51,0.65,0.55,0.55,0.38,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,99.83999999999999
