,6501.T,DAI.DE,INVE B.ST,RIO.L,BHP.L,STLA.MI,6702.T,RIO.AX,PHIA.AS,SGO.PA,9432.T,AD.AS,FERG.L,CSU.TO,FMG.AX,WKL.AS,4901.T,MG.TO,ORA.PA,AV.L,MFC.TO,LOGN.SW,8591.T,1.HK,GIB.A.TO,IFC.TO,16.HK,STM.PA,KNIN.SW,MAERSK B.CO,1113.HK,HFG.DE,PAH3.DE,ASM.AS,BNR.DE,PNDORA.CO,OTEX.TO,WSP.TO,NN.AS,PSN.L,UCB.BR,4578.T,BXB.AX,6701.T,CA.PA,6988.T,5802.T,KGF.L,L.TO,KPN.AS,ADEN.SW,GBLB.BR,KINV B.ST,SGE.L,BOL.ST,SKF B.ST,4151.T,ML.PA,UHR.SW,AGS.BR,RAND.AS,MAERSKA.CO,CTC.A.TO,NHY.OL,DXSDB.AX,MRW.L,DPW.DE,PSON.L,288.HK,EN.PA,SLA.L,5201.T,6963.T,K.TO,9101.T,REE.MC,H.TO,BSL.AX,9502.T,G24.DE,1878.T,ZAL.DE,7752.T,7272.T,AGN.AS,868.HK,5332.T,9531.T,8795.T,TIH.TO,S68.SI,SOF.BR,4204.T,12.HK,6.HK,MPL.AX,SBRY.L,ELUX B.ST,REA.AX,SCMN.SW,1801.T,ATO.PA,HIK.L,LUN.TO,WFG.TO,INDUC.ST,IAG.TO,1812.T,LXS.DE,FDJ.PA,HUSQ B.ST,3626.T,EVN.AX,DLG.L,AZJ.AX,EMP.A.TO,1802.T,6845.T,MFG.AX,7912.T,9697.T,83.HK,6724.T,6806.T,COLO B.CO,SCR.PA,4042.T,6370.T,DIA.MI,6448.T,TIT.MI,101.HK,ORNBV.HE,BIM.PA,1929.HK,ICA.ST,BTO.TO,ROCK B.CO,1803.T,YRI.TO,EVR.L,INDU A.ST,6268.T,7911.T,CAR.UN.TO,7186.T,2371.T,V03.SI,ENG.MC,IPN.PA,6923.T,9533.T,G1A.DE,3291.T,7459.T,2875.T,SWGNF,1972.HK,8355.T,5947.T,9506.T,FPE3.DE,8331.T,2282.T,9831.T,VPK.AS,SECU B.ST,COLR.BR,PROX.BR,9719.T,TIAJF,3349.T,CNP.PA,IGM.TO,REI.UN.TO,SOL.AX,ACO.X.TO,7205.T,4530.T,EUR,23.HK,8593.T,4581.T,JPY,CHF,GBP,XTSLA,HKD,SEK,DKK,CAD,SGAFT,SGAFT.1,SGAFT.2,AUD,SGAFT.3,SGD,NZD,NOK,ILS,NESN.SW,NOVO B.CO,RY.TO,7203.T,ROG.SW,NOVN.SW,BHP.AX,SHEL.L,AZN.L,MC.PA,ASML.AS,TD.TO,TTE.PA,TRI.TO,BMO.TO,1299.HK,SAN.PA,ULVR.L,GSK.L,OR.PA,VOD.L,ALV.DE,6758.T,LIN,SWMA.ST,BNP.PA,BP.L,DGE.L,HSBA.L,8604.T,UBSG.SW,8306.T,FERG,ADYEN.AS,388.HK,ACA.PA,NA.TO,8035.T,REP.MC,7974.T,SAP.DE,SU.PA,MQG.AX,MBG.DE,4307.T,7181.T,7741.T,RBREW.CO,NTR.TO,ANA.MC,KER.PA,JBH.AX,8001.T,WOW.AX,NDA SE.ST,ORK.OL,8058.T,8725.T,CCH.L,ENI.MI,AAL.L,CNQ.TO,3231.T,CARL B.CO,NXT.L,PSPN.SW,4503.T,VALMT.HE,9086.T,3774.T,LIGHT.AS,EMG.L,AGL.AX,8766.T,SRG.MI,CDI.PA,CBA.AX,U11.SI,8473.T,WIE.VI,ALC.SW,ENEL.MI,6098.T,7267.T,BUCN.SW,CSL.AX,MUV2.DE,KOG.OL,MTS.AX,OMV.VI,ASX.AX,CP.TO,IMB.L,4568.T,2811.T,RMG.L,ADS.DE,2638.HK,JD.L,IBE.MC,8804.T,PUB.PA,TEF.MC,1414.T,7733.T,8964.T,ERIC B.ST,BA.L,ICP.L,9147.T,DTE.DE,9434.T,4021.T,BMW.DE,ASRNL.AS,8316.T,DIE.BR,SGP.AX,CFR.SW,8750.T,SIE.DE,POW.TO,A2A.MI,3466.T,KIND SDB.ST,BRBY.L,2.HK,MIN.AX,SU.TO,EQNR.OL,SLHN.SW,9433.T,WPP.L,CJLU.SI,FGR.PA,SAFE.L,DNB.OL,6728.T,INGA.AS,2264.T,9984.T,3226.T,INCH.L,KESKOB.HE,6861.T,BATS.L,ELE.MC,2331.T,BESI.AS,4182.T,IG.MI,RKT.L,SGM.AX,6925.T,LPP.WA,6532.T,INVP.L,TEL.OL,ENGI.PA,n/a,6857.T,GLE.PA,SUM
07/09/2021,2.67,2.27,2.24,2.18,2.16,2.11,1.96,1.84,1.77,1.77,1.75,1.63,1.63,1.61,1.56,1.43,1.38,1.36,1.18,1.18,1.14,1.13,1.1,1.1,1.07,1.01,1.01,0.98,0.98,0.94,0.9,0.89,0.85,0.83,0.76,0.72,0.71,0.7,0.7,0.69,0.68,0.68,0.66,0.66,0.65,0.58,0.58,0.57,0.56,0.56,0.54,0.54,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.48,0.47,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.11,0.1,0.09,0.09,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/07/2022,0.29,0.0,0.0,0.39,0.0,0.0,0.35,0.75,0.0,0.0,0.79,0.79,0.0,0.33,0.39,0.0,0.0,0.4,0.25,0.0,0.24,0.24,0.3,0.25,0.29,0.0,0.0,0.18,0.29,0.0,0.19,0.28,0.0,0.25,0.0,0.23,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.22,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.18,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.27,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.67,1.54,1.44,1.42,1.37,1.11,1.01,1.01,0.98,0.91,0.9,0.88,0.81,0.78,0.76,0.76,0.74,0.74,0.7,0.68,0.68,0.65,0.65,0.61,0.6,0.57,0.56,0.55,0.54,0.51,0.5,0.5,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.45,0.43,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,77.85
