,ORCL,VZ,BR,VRSN,DLB,SSNC,CHTR,MSFT,T,JKHY,CSCO,AKAM,IT,CTSH,IBM,ARW,NLOK,SIRI,EPAM,CDW,NWSA,CDK,IPG,VMW,WU,HPQ,CTXS,OMC,TTWO,DBX,KMI,NXST,HPE,FOXA,AZPN,ORLY,AZO,DPZ,ALL,FSLR,TGT,SNX,VIAC,YUM,PGR,DXC,LUMN,SCI,MRK,LH,TSCO,JNJ,BDX,LOW,DGX,BMY,ORI,CERN,GILD,GS,ABBV,XEC,TMX,SLM,ABT,JEF,AIZ,UNH,HUM,TMO,PFE,WAT,JPM,TRV,AFL,MS,TRGP,CVS,FAF,NOC,DVA,Y,SC,REGN,EXPD,BBY,SEE,MAT,WHR,AN,SON,PSA,OVV,OTIS,PKI,EXR,NWL,LMT,BERY,CMS,LSI,MMM,CUBE,HRC,DKS,UHAL,CACI,LSTR,PII,LKQ,UTHR,KNX,CACC,JBHT,LLY,CAH,GD,APA,CINF,SF,KMB,TPX,GIS,HOLX,PEG,EVRG,HCA,LII,PG,K,ANTM,UHS,BC,UGI,HIG,CAG,SJM,SWK,ALXN,CL,WMT,WSM,DTE,BOKF,HSY,AMG,CI,WSO,UPS,OMF,CNC,COF,CLX,VRTX,MO,IP,KR,AFG,TXRH,DE,HII,PHM,CPB,GM,MDU,TPR,KHC,ADM,ALLY,F,SNA,CROX,IRM,LB,NEM,FHN,TSN,PWR,FDX,CASY,WY,NUE,PBCT,AGCO,KRC,KEY,FL,RHI,FE,MAN,BYD,LPX,OC,JLL,BIIB,SNV,MTZ,THC,AYI,MOS,Boyd Gaming Corp,DTM WI,n/a,VSCO WI,BBWI WI,VSCO,ADP,JCOM,GOOGL,BKI,FISV,ADBE,FTNT,MCD,BSY,AAP,DISCA,GPC,CBOE,C,ZM,RSG,COR,BAX,PAG,TTC,PM,CHE,DFS,LHX,COO,DUK,CMI,DHR,EHC,RF,MCK,IQV,ABC,STLD,FANG,UAA,BRKR,HSIC,CBRE,EFX,SYNH,OLN,XRAY,KSS,X,ACI,M,BRX,BJ,MRNA,CCSI,ZD,PAYX,CIEN,JNPR,FWONK,ATVI,NUAN,LITE,SNPS,GDDY,NFLX,CNXC,ATUS,AMD,SYNA,FDS,DG,VOYA,RJF,FNF,SBUX,HLI,NVR,RS,WH,EXC,GLPI,OHI,ULTA,WST,CTRA,MAS,BAH,EOG,DVN,CLR,BIO,LEN,INCY,TNET,RRX,CLF,BLDR,SGMS,NBIX,PENN,XPO,CAR,CEGVV,CEG,SUM
07/09/2021,1.39,1.33,1.3,1.28,1.26,1.25,1.25,1.22,1.22,1.14,1.14,1.13,1.08,1.08,1.06,1.03,1.0,1.0,0.98,0.98,0.97,0.97,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.87,0.83,0.79,0.77,0.73,0.73,0.65,0.65,0.63,0.62,0.62,0.6,0.59,0.58,0.57,0.57,0.56,0.55,0.54,0.52,0.52,0.52,0.51,0.51,0.5,0.5,0.5,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.22,0.21,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.91
07/12/2021,1.46,1.33,1.33,1.29,1.25,1.25,1.27,1.23,1.21,1.15,1.13,1.13,1.1,1.07,1.06,1.02,1.02,0.99,1.0,0.99,0.96,0.97,0.95,0.97,0.95,0.93,0.92,0.91,0.89,0.88,0.82,0.76,0.76,0.71,0.75,0.66,0.65,0.64,0.62,0.62,0.6,0.58,0.57,0.58,0.57,0.54,0.54,0.55,0.52,0.53,0.52,0.51,0.52,0.51,0.51,0.5,0.49,0.49,0.48,0.48,0.49,0.46,0.49,0.45,0.48,0.46,0.47,0.47,0.47,0.47,0.46,0.47,0.45,0.46,0.44,0.43,0.43,0.43,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.4,0.41,0.4,0.42,0.41,0.42,0.42,0.38,0.41,0.41,0.42,0.39,0.4,0.41,0.4,0.41,0.4,0.4,0.4,0.38,0.38,0.39,0.39,0.38,0.38,0.38,0.41,0.36,0.37,0.37,0.36,0.37,0.34,0.36,0.36,0.37,0.35,0.36,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.33,0.34,0.38,0.33,0.34,0.34,0.33,0.33,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.32,0.32,0.3,0.31,0.3,0.31,0.31,0.31,0.29,0.31,0.29,0.3,0.29,0.3,0.28,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.26,0.0,0.25,0.26,0.24,0.25,0.23,0.21,0.21,0.2,0.2,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
07/13/2021,1.46,1.33,1.33,1.29,1.25,1.25,1.27,1.23,1.21,1.15,1.13,1.13,1.1,1.07,1.06,1.02,1.02,0.99,1.0,0.99,0.96,0.97,0.95,0.97,0.95,0.93,0.92,0.91,0.89,0.88,0.82,0.76,0.76,0.71,0.75,0.66,0.65,0.64,0.62,0.62,0.6,0.58,0.57,0.58,0.57,0.54,0.54,0.55,0.52,0.53,0.52,0.51,0.52,0.51,0.51,0.5,0.49,0.49,0.48,0.48,0.49,0.46,0.49,0.45,0.48,0.46,0.47,0.47,0.47,0.47,0.46,0.47,0.45,0.46,0.44,0.43,0.43,0.43,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.4,0.41,0.4,0.42,0.41,0.42,0.42,0.38,0.41,0.41,0.42,0.39,0.4,0.41,0.4,0.41,0.4,0.4,0.4,0.38,0.38,0.39,0.39,0.38,0.38,0.38,0.41,0.36,0.37,0.37,0.36,0.37,0.34,0.36,0.36,0.37,0.35,0.36,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.33,0.34,0.38,0.33,0.34,0.34,0.33,0.33,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.32,0.32,0.3,0.31,0.3,0.31,0.31,0.31,0.29,0.31,0.29,0.3,0.29,0.3,0.28,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.26,0.0,0.25,0.26,0.24,0.25,0.23,0.21,0.21,0.2,0.2,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
07/14/2021,1.48,1.32,1.33,1.29,1.25,1.25,1.25,1.22,1.19,1.15,1.14,1.13,1.09,1.07,1.07,1.01,1.01,0.98,1.0,0.98,0.96,0.97,0.97,0.97,0.95,0.92,0.91,0.91,0.87,0.88,0.83,0.77,0.76,0.71,0.74,0.66,0.65,0.64,0.62,0.63,0.6,0.59,0.56,0.58,0.57,0.55,0.54,0.55,0.52,0.52,0.51,0.51,0.51,0.5,0.51,0.5,0.49,0.49,0.48,0.48,0.49,0.49,0.48,0.45,0.48,0.45,0.47,0.47,0.47,0.47,0.46,0.47,0.45,0.46,0.44,0.43,0.44,0.43,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.41,0.41,0.42,0.43,0.42,0.42,0.39,0.41,0.4,0.42,0.4,0.4,0.4,0.4,0.41,0.4,0.41,0.39,0.39,0.38,0.39,0.38,0.39,0.39,0.38,0.41,0.37,0.37,0.37,0.36,0.37,0.35,0.37,0.37,0.36,0.34,0.36,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.35,0.34,0.34,0.38,0.33,0.34,0.34,0.33,0.33,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.31,0.3,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.29,0.29,0.28,0.27,0.27,0.28,0.26,0.27,0.27,0.27,0.26,0.0,0.26,0.25,0.25,0.25,0.24,0.21,0.21,0.2,0.2,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/15/2021,1.48,1.32,1.33,1.29,1.25,1.25,1.25,1.22,1.19,1.15,1.14,1.13,1.09,1.07,1.07,1.01,1.01,0.98,1.0,0.98,0.96,0.97,0.97,0.97,0.95,0.92,0.91,0.91,0.87,0.88,0.83,0.77,0.76,0.71,0.74,0.66,0.65,0.64,0.62,0.63,0.6,0.59,0.56,0.58,0.57,0.55,0.54,0.55,0.52,0.52,0.51,0.51,0.51,0.5,0.51,0.5,0.49,0.49,0.48,0.48,0.49,0.49,0.48,0.45,0.48,0.45,0.47,0.47,0.47,0.47,0.46,0.47,0.45,0.46,0.44,0.43,0.44,0.43,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.41,0.41,0.42,0.43,0.42,0.42,0.39,0.41,0.4,0.42,0.4,0.4,0.4,0.4,0.41,0.4,0.41,0.39,0.39,0.38,0.39,0.38,0.39,0.39,0.38,0.41,0.37,0.37,0.37,0.36,0.37,0.35,0.37,0.37,0.36,0.34,0.36,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.35,0.35,0.34,0.34,0.38,0.33,0.34,0.34,0.33,0.33,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.31,0.3,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.29,0.29,0.28,0.27,0.27,0.28,0.26,0.27,0.27,0.27,0.26,0.0,0.26,0.25,0.25,0.25,0.24,0.21,0.21,0.2,0.2,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,1.47,1.32,1.32,1.27,1.23,1.25,1.22,1.22,1.2,1.14,1.13,1.1,1.09,1.07,1.06,1.01,1.0,0.98,1.01,0.97,0.97,0.96,0.96,0.94,0.95,0.89,0.89,0.9,0.88,0.87,0.82,0.77,0.76,0.72,0.73,0.66,0.66,0.64,0.63,0.64,0.61,0.58,0.57,0.58,0.57,0.57,0.54,0.56,0.51,0.52,0.51,0.51,0.51,0.5,0.51,0.5,0.49,0.49,0.48,0.49,0.49,0.49,0.49,0.46,0.48,0.45,0.47,0.47,0.48,0.46,0.46,0.47,0.46,0.46,0.45,0.46,0.44,0.43,0.45,0.43,0.44,0.43,0.43,0.42,0.42,0.4,0.41,0.41,0.42,0.44,0.42,0.42,0.38,0.41,0.4,0.42,0.4,0.4,0.4,0.4,0.43,0.39,0.41,0.39,0.39,0.37,0.39,0.38,0.38,0.39,0.38,0.4,0.37,0.37,0.37,0.36,0.37,0.35,0.37,0.37,0.36,0.35,0.35,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.36,0.35,0.35,0.34,0.35,0.34,0.34,0.34,0.34,0.36,0.34,0.35,0.35,0.33,0.34,0.39,0.33,0.34,0.34,0.34,0.34,0.35,0.33,0.33,0.33,0.34,0.32,0.33,0.33,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.31,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.28,0.28,0.29,0.28,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.0,0.25,0.25,0.25,0.24,0.24,0.22,0.21,0.2,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/19/2021,1.5,1.33,1.35,1.29,1.25,1.27,1.2,1.25,1.2,1.16,1.15,1.12,1.09,1.08,1.06,1.02,0.99,0.98,1.03,0.98,0.95,0.96,0.96,0.93,0.97,0.88,0.91,0.9,0.88,0.87,0.81,0.76,0.74,0.71,0.73,0.67,0.66,0.65,0.62,0.61,0.62,0.57,0.56,0.58,0.56,0.56,0.53,0.56,0.52,0.52,0.52,0.52,0.5,0.5,0.51,0.51,0.48,0.49,0.48,0.49,0.5,0.46,0.48,0.46,0.47,0.48,0.47,0.47,0.49,0.46,0.47,0.48,0.45,0.46,0.45,0.46,0.43,0.44,0.44,0.43,0.43,0.42,0.43,0.43,0.42,0.4,0.41,0.4,0.42,0.44,0.42,0.42,0.36,0.42,0.4,0.42,0.4,0.4,0.4,0.41,0.43,0.4,0.41,0.39,0.4,0.38,0.4,0.39,0.37,0.39,0.38,0.41,0.36,0.38,0.38,0.37,0.37,0.33,0.37,0.37,0.37,0.34,0.36,0.36,0.36,0.36,0.36,0.32,0.36,0.35,0.36,0.35,0.34,0.34,0.35,0.33,0.34,0.34,0.34,0.36,0.35,0.34,0.35,0.33,0.35,0.37,0.33,0.33,0.34,0.33,0.33,0.34,0.34,0.33,0.33,0.34,0.33,0.33,0.33,0.32,0.31,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.31,0.29,0.31,0.31,0.31,0.31,0.3,0.28,0.28,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.28,0.26,0.26,0.27,0.27,0.27,0.0,0.25,0.25,0.25,0.25,0.24,0.21,0.2,0.19,0.2,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94
07/20/2021,1.5,1.35,1.36,1.29,1.23,1.28,1.23,1.25,1.21,1.2,1.16,1.14,1.1,1.07,1.07,1.0,0.97,0.97,1.02,0.98,0.93,0.95,0.94,0.93,0.98,0.85,0.92,0.89,0.88,0.86,0.8,0.76,0.74,0.7,0.74,0.68,0.68,0.65,0.62,0.58,0.62,0.55,0.54,0.58,0.56,0.55,0.52,0.57,0.52,0.52,0.53,0.52,0.51,0.51,0.51,0.51,0.48,0.48,0.49,0.48,0.5,0.44,0.49,0.46,0.48,0.48,0.48,0.48,0.5,0.48,0.48,0.48,0.45,0.47,0.45,0.46,0.41,0.44,0.45,0.43,0.43,0.43,0.43,0.43,0.42,0.41,0.4,0.4,0.42,0.43,0.42,0.43,0.34,0.42,0.41,0.42,0.41,0.4,0.4,0.42,0.43,0.4,0.41,0.39,0.37,0.37,0.4,0.38,0.37,0.38,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.31,0.37,0.36,0.38,0.33,0.36,0.37,0.37,0.38,0.37,0.33,0.37,0.36,0.36,0.35,0.34,0.34,0.35,0.34,0.36,0.34,0.33,0.37,0.35,0.33,0.36,0.32,0.35,0.36,0.33,0.33,0.34,0.33,0.33,0.34,0.35,0.34,0.33,0.33,0.34,0.34,0.32,0.32,0.31,0.3,0.32,0.3,0.32,0.29,0.31,0.3,0.31,0.28,0.3,0.3,0.31,0.3,0.3,0.27,0.29,0.29,0.28,0.29,0.28,0.27,0.26,0.26,0.28,0.26,0.25,0.26,0.27,0.26,0.0,0.23,0.25,0.25,0.23,0.24,0.21,0.21,0.19,0.19,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.87
07/21/2021,1.5,1.35,1.36,1.29,1.23,1.28,1.23,1.25,1.21,1.2,1.16,1.14,1.1,1.07,1.07,1.0,0.97,0.97,1.02,0.98,0.93,0.95,0.94,0.93,0.98,0.85,0.92,0.89,0.88,0.86,0.8,0.76,0.74,0.7,0.74,0.68,0.68,0.65,0.62,0.58,0.62,0.55,0.54,0.58,0.56,0.55,0.52,0.57,0.52,0.52,0.53,0.52,0.51,0.51,0.51,0.51,0.48,0.48,0.49,0.48,0.5,0.44,0.49,0.46,0.48,0.48,0.48,0.48,0.5,0.48,0.48,0.48,0.45,0.47,0.45,0.46,0.41,0.44,0.45,0.43,0.43,0.43,0.43,0.43,0.42,0.41,0.4,0.4,0.42,0.43,0.42,0.43,0.34,0.42,0.41,0.42,0.41,0.4,0.4,0.42,0.43,0.4,0.41,0.39,0.37,0.37,0.4,0.38,0.37,0.38,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.31,0.37,0.36,0.38,0.33,0.36,0.37,0.37,0.38,0.37,0.33,0.37,0.36,0.36,0.35,0.34,0.34,0.35,0.34,0.36,0.34,0.33,0.37,0.35,0.33,0.36,0.32,0.35,0.36,0.33,0.33,0.34,0.33,0.33,0.34,0.35,0.34,0.33,0.33,0.34,0.34,0.32,0.32,0.31,0.3,0.32,0.3,0.32,0.29,0.31,0.3,0.31,0.28,0.3,0.3,0.31,0.3,0.3,0.27,0.29,0.29,0.28,0.29,0.28,0.27,0.26,0.26,0.28,0.26,0.25,0.26,0.27,0.26,0.0,0.23,0.25,0.25,0.23,0.24,0.21,0.21,0.19,0.19,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.87
07/22/2021,1.5,1.35,1.36,1.29,1.23,1.28,1.23,1.25,1.21,1.2,1.16,1.14,1.1,1.07,1.07,1.0,0.97,0.97,1.02,0.98,0.93,0.95,0.94,0.93,0.98,0.85,0.92,0.89,0.88,0.86,0.8,0.76,0.74,0.7,0.74,0.68,0.68,0.65,0.62,0.58,0.62,0.55,0.54,0.58,0.56,0.55,0.52,0.57,0.52,0.52,0.53,0.52,0.51,0.51,0.51,0.51,0.48,0.48,0.49,0.48,0.5,0.44,0.49,0.46,0.48,0.48,0.48,0.48,0.5,0.48,0.48,0.48,0.45,0.47,0.45,0.46,0.41,0.44,0.45,0.43,0.43,0.43,0.43,0.43,0.42,0.41,0.4,0.4,0.42,0.43,0.42,0.43,0.34,0.42,0.41,0.42,0.41,0.4,0.4,0.42,0.43,0.4,0.41,0.39,0.37,0.37,0.4,0.38,0.37,0.38,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.31,0.37,0.36,0.38,0.33,0.36,0.37,0.37,0.38,0.37,0.33,0.37,0.36,0.36,0.35,0.34,0.34,0.35,0.34,0.36,0.34,0.33,0.37,0.35,0.33,0.36,0.32,0.35,0.36,0.33,0.33,0.34,0.33,0.33,0.34,0.35,0.34,0.33,0.33,0.34,0.34,0.32,0.32,0.31,0.3,0.32,0.3,0.32,0.29,0.31,0.3,0.31,0.28,0.3,0.3,0.31,0.3,0.3,0.27,0.29,0.29,0.28,0.29,0.28,0.27,0.26,0.26,0.28,0.26,0.25,0.26,0.27,0.26,0.0,0.23,0.25,0.25,0.23,0.24,0.21,0.21,0.19,0.19,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.87
