,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,NVDA,TSLA,JPM,JNJ,V,UNH,PYPL,HD,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,NFLX,VZ,CRM,INTC,CSCO,PFE,ABT,KO,T,TMO,ABBV,NKE,PEP,CVX,MRK,ACN,AVGO,WMT,LLY,WFC,COST,TXN,DHR,MCD,MDT,QCOM,PM,UPS,HON,ORCL,LIN,NEE,UNP,BMY,C,AMGN,LOW,INTU,SBUX,MS,RTX,BA,AMT,AMAT,GS,BLK,IBM,TGT,CAT,AMD,MMM,GE,DE,NOW,AXP,ISRG,CVS,SCHW,CHTR,XTSLA,SPGI,SQ,ANTM,LMT,ZTS,FIS,LRCX,MU,BKNG,PLD,MDLZ,SYK,MO,CCI,TMUS,GILD,ADP,ZM,PNC,TJX,CI,COP,DUK,USB,TFC,FDX,CB,MMC,BDX,CSX,GM,ATVI,EQIX,EL,CME,UBER,MELI,MRNA,COF,CL,ILMN,ADSK,APD,TWLO,FISV,SNAP,ITW,SO,EW,ICE,NSC,BX,SHW,ETN,MCO,REGN,D,BSX,ADI,IDXX,WM,NXPI,TWTR,DOCU,EMR,HCA,F,GPN,PGR,HUM,BIIB,NEM,DG,VRTX,AON,ECL,CRWD,NOC,FCX,IQV,KLAC,MRVL,EOG,JCI,ROP,ROKU,VEEV,ALGN,MTCH,PINS,MET,EXC,LULU,CMG,TT,SLB,EBAY,KMB,DOW,TROW,PSA,TEL,MSCI,A,ROST,WDAY,LHX,ALXN,PH,CARR,ALL,PRU,MCHP,BK,AIG,PPG,ORLY,BAX,DLR,DXCM,GD,INFO,DD,EA,CNC,AEP,TRV,SRE,SNPS,SPG,APH,CDNS,PANW,APTV,RMD,GE.,YUM,FTNT,SYY,DFS,CTSH,MSI,SBAC,USD,SNOW,ABNB,PLTR,MPC,PXD,MAR,NET,KKR,XLNX,DDOG,TTD,HPQ,AZO,PAYX,SUM
07/09/2021,5.44,5.11,3.85,2.07,1.86,1.81,1.28,1.26,1.24,1.14,1.08,0.99,0.95,0.84,0.83,0.81,0.8,0.77,0.74,0.7,0.65,0.64,0.59,0.57,0.57,0.55,0.55,0.54,0.52,0.51,0.51,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.47,0.46,0.44,0.43,0.43,0.43,0.42,0.42,0.39,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.15
07/12/2021,5.53,5.14,3.93,2.04,1.85,1.81,1.28,1.22,1.24,1.12,1.1,0.98,0.95,0.85,0.83,0.82,0.8,0.77,0.72,0.71,0.66,0.63,0.58,0.57,0.56,0.55,0.55,0.54,0.52,0.52,0.49,0.5,0.51,0.5,0.51,0.49,0.49,0.48,0.47,0.47,0.46,0.43,0.44,0.43,0.43,0.43,0.42,0.38,0.38,0.38,0.37,0.38,0.37,0.36,0.36,0.37,0.34,0.35,0.34,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.31,0.31,0.3,0.29,0.27,0.28,0.28,0.26,0.27,0.27,0.28,0.26,0.25,0.25,0.26,0.25,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.14,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.11,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.11,0.11,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.22
07/13/2021,5.53,5.14,3.93,2.04,1.85,1.81,1.28,1.22,1.24,1.12,1.1,0.98,0.95,0.85,0.83,0.82,0.8,0.77,0.72,0.71,0.66,0.63,0.58,0.57,0.56,0.55,0.55,0.54,0.52,0.52,0.49,0.5,0.51,0.5,0.51,0.49,0.49,0.48,0.47,0.47,0.46,0.43,0.44,0.43,0.43,0.43,0.42,0.38,0.38,0.38,0.37,0.38,0.37,0.36,0.36,0.37,0.34,0.35,0.34,0.34,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.31,0.31,0.3,0.29,0.27,0.28,0.28,0.26,0.27,0.27,0.28,0.26,0.25,0.25,0.26,0.25,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.14,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.11,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.11,0.11,0.11,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.22
07/14/2021,5.53,5.09,3.88,2.04,1.84,1.79,1.29,1.21,1.23,1.15,1.09,0.98,0.95,0.86,0.83,0.82,0.79,0.78,0.73,0.7,0.65,0.63,0.58,0.56,0.55,0.55,0.55,0.54,0.52,0.51,0.49,0.49,0.5,0.5,0.5,0.49,0.48,0.48,0.48,0.47,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.39,0.38,0.38,0.38,0.39,0.37,0.36,0.36,0.36,0.34,0.34,0.34,0.33,0.34,0.33,0.32,0.32,0.31,0.3,0.31,0.31,0.31,0.3,0.29,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.11,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.11000000000001
07/15/2021,5.53,5.09,3.88,2.04,1.84,1.79,1.29,1.21,1.23,1.15,1.09,0.98,0.95,0.86,0.83,0.82,0.79,0.78,0.73,0.7,0.65,0.63,0.58,0.56,0.55,0.55,0.55,0.54,0.52,0.51,0.49,0.49,0.5,0.5,0.5,0.49,0.48,0.48,0.48,0.47,0.45,0.44,0.44,0.43,0.43,0.43,0.42,0.39,0.38,0.38,0.38,0.39,0.37,0.36,0.36,0.36,0.34,0.34,0.34,0.33,0.34,0.33,0.32,0.32,0.31,0.3,0.31,0.31,0.31,0.3,0.29,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.11,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.11000000000001
07/16/2021,5.56,5.15,3.84,2.05,1.86,1.82,1.29,1.23,1.25,1.15,1.09,1.0,0.96,0.86,0.82,0.82,0.82,0.81,0.73,0.7,0.65,0.63,0.58,0.57,0.55,0.56,0.55,0.54,0.51,0.52,0.49,0.49,0.51,0.5,0.51,0.49,0.48,0.48,0.48,0.47,0.46,0.44,0.44,0.43,0.43,0.43,0.42,0.39,0.37,0.37,0.38,0.39,0.37,0.36,0.35,0.37,0.34,0.34,0.33,0.34,0.34,0.34,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.3,0.29,0.27,0.28,0.28,0.27,0.27,0.27,0.28,0.26,0.26,0.24,0.27,0.24,0.23,0.24,0.23,0.23,0.22,0.22,0.21,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.39
07/19/2021,5.69,5.17,3.8,2.02,1.87,1.83,1.3,1.15,1.22,1.15,1.08,1.03,0.97,0.85,0.84,0.83,0.83,0.82,0.72,0.71,0.65,0.61,0.59,0.57,0.54,0.55,0.55,0.55,0.51,0.54,0.5,0.49,0.51,0.5,0.52,0.48,0.48,0.49,0.48,0.48,0.45,0.45,0.44,0.42,0.44,0.43,0.41,0.39,0.38,0.38,0.4,0.38,0.37,0.37,0.36,0.37,0.35,0.35,0.34,0.34,0.34,0.34,0.31,0.3,0.31,0.3,0.31,0.3,0.31,0.31,0.28,0.26,0.29,0.27,0.26,0.27,0.27,0.28,0.26,0.26,0.24,0.28,0.24,0.23,0.24,0.23,0.23,0.23,0.21,0.21,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.19,0.2,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.19,0.18,0.17,0.17,0.19,0.18,0.17,0.16,0.16,0.16,0.15,0.16,0.14,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.12,0.13,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.47000000000001
07/20/2021,5.69,5.17,3.8,2.02,1.87,1.83,1.3,1.15,1.22,1.15,1.08,1.03,0.97,0.85,0.84,0.83,0.83,0.82,0.72,0.71,0.65,0.61,0.59,0.57,0.54,0.55,0.55,0.55,0.51,0.54,0.5,0.49,0.51,0.5,0.52,0.48,0.48,0.49,0.48,0.48,0.45,0.45,0.44,0.42,0.44,0.43,0.41,0.39,0.38,0.38,0.4,0.38,0.37,0.37,0.36,0.37,0.35,0.35,0.34,0.34,0.34,0.34,0.31,0.3,0.31,0.3,0.31,0.3,0.31,0.31,0.28,0.26,0.29,0.27,0.26,0.27,0.27,0.28,0.26,0.26,0.24,0.28,0.24,0.23,0.24,0.23,0.23,0.23,0.21,0.21,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.19,0.2,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.19,0.18,0.17,0.17,0.19,0.18,0.17,0.16,0.16,0.16,0.15,0.16,0.14,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.12,0.13,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.47000000000001
07/21/2021,5.65,5.2,3.77,2.01,1.88,1.85,1.3,1.11,1.22,1.13,1.09,1.03,0.97,0.85,0.84,0.85,0.83,0.8,0.7,0.71,0.65,0.6,0.58,0.58,0.54,0.55,0.56,0.56,0.51,0.54,0.5,0.5,0.51,0.5,0.53,0.47,0.49,0.49,0.47,0.48,0.46,0.45,0.45,0.42,0.44,0.43,0.42,0.39,0.38,0.37,0.39,0.39,0.37,0.38,0.36,0.37,0.34,0.35,0.34,0.34,0.34,0.33,0.31,0.29,0.32,0.29,0.31,0.31,0.31,0.31,0.28,0.26,0.28,0.27,0.26,0.27,0.27,0.28,0.26,0.25,0.24,0.29,0.25,0.23,0.24,0.23,0.23,0.23,0.21,0.21,0.22,0.23,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.19,0.19,0.2,0.2,0.18,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.19,0.18,0.17,0.17,0.22,0.17,0.18,0.17,0.16,0.16,0.15,0.16,0.14,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.15,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.11,0.11,0.11,0.12,0.13,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.11,0.11,0.11,0.11,0.0,0.1,0.1,0.11,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.50000000000001
07/22/2021,5.58,5.21,3.8,2.02,1.87,1.84,1.29,1.17,1.24,1.11,1.1,1.02,0.96,0.87,0.85,0.86,0.8,0.78,0.7,0.72,0.65,0.59,0.59,0.58,0.55,0.55,0.56,0.56,0.53,0.54,0.5,0.51,0.51,0.5,0.54,0.46,0.49,0.49,0.47,0.48,0.47,0.44,0.46,0.43,0.45,0.43,0.41,0.39,0.38,0.38,0.38,0.39,0.37,0.38,0.36,0.37,0.34,0.35,0.34,0.34,0.34,0.33,0.31,0.28,0.32,0.29,0.3,0.3,0.31,0.31,0.28,0.26,0.29,0.26,0.26,0.27,0.26,0.28,0.27,0.25,0.24,0.29,0.25,0.23,0.24,0.23,0.23,0.22,0.21,0.21,0.21,0.23,0.22,0.2,0.22,0.22,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.18,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.19,0.18,0.18,0.17,0.17,0.24,0.17,0.18,0.17,0.16,0.16,0.15,0.16,0.14,0.16,0.17,0.16,0.16,0.16,0.17,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.15,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.11,0.11,0.0,0.12,0.13,0.12,0.11,0.11,0.0,0.1,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.11,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.47000000000001
