,Vanguard S&P 500 ETF,FGXXX,9933.TW,9933.TW.1,9933.TW.2,9933.TW.3,9933.TW.4,9933.TW.5,9933.TW.6,9933.TW.7,9933.TW.8,9933.TW.9,9933.TW.10,VOO,SPY 9 P415,SPX 12 P4100,SPX 1 P4100,SPX 6 P4050,SPX 6 P4150,SPY 3 P415,SUM
07/09/2021,94.94,1.58,0.76,0.73,0.66,0.47,0.37,0.28,0.22,0.0,0.0,-0.01,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
01/24/2022,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.75,1.03,0.96,0.86,0.84,0.63,0.44,105.71
