,Yen/Us Dollar Forward - Ubs - Cash Offset,Cash,Yen/Us Dollar Forward - Goldman Sachs - Cash Offset,Yen/Us Dollar Forward - Goldman Sachs,Yen/Us Dollar Forward - Ubs,SUM
07/09/2021,164.41,100.0,35.51,-35.51,-164.41,99.99999999999996
07/12/2021,164.41,100.0,35.51,-35.51,-164.41,99.99999999999996
07/13/2021,164.41,100.0,35.51,-35.51,-164.41,99.99999999999996
07/14/2021,164.41,100.0,35.51,-35.51,-164.41,99.99999999999996
07/15/2021,164.41,100.0,35.51,-35.51,-164.41,99.99999999999996
07/16/2021,164.41,100.0,35.51,-35.51,-164.41,99.99999999999996
07/19/2021,164.41,100.0,35.51,-35.51,-164.41,99.99999999999996
07/20/2021,164.41,100.0,35.51,-35.51,-164.41,99.99999999999996
07/21/2021,164.41,100.0,35.51,-35.51,-164.41,99.99999999999996
07/22/2021,164.41,100.0,35.51,-35.51,-164.41,99.99999999999996
07/23/2021,164.41,100.0,35.51,-35.51,-164.41,99.99999999999997
