,CWB,AGG,PHB,SRLN,MBB,DGL,LQD,IEF,SHY,SPDR® Portfolio Short Term Corp Bd ETF,Us Dollars,SPSB,n/a,SUM
07/09/2021,12.9,12.52,12.52,12.44,12.39,11.83,10.16,7.54,4.95,2.48,0.26,0.0,0.0,99.99000000000002
07/12/2021,12.24,12.54,12.42,12.4,12.49,12.61,10.05,7.57,4.98,2.49,0.21,0.0,0.0,100.0
07/13/2021,12.24,12.54,12.42,12.4,12.49,12.61,10.05,7.57,4.98,2.49,0.21,0.0,0.0,100.0
07/14/2021,12.36,12.5,12.45,12.42,12.46,12.66,10.01,7.53,4.98,2.49,0.16,0.0,0.0,100.02
07/15/2021,12.35,12.49,12.45,12.43,12.47,12.64,10.01,7.53,4.98,2.49,0.16,0.0,0.0,100.0
07/16/2021,12.33,12.49,12.44,12.45,12.48,12.69,9.99,7.52,4.99,2.49,0.13,0.0,0.0,100.0
07/19/2021,12.12,12.54,12.44,12.4,12.49,12.81,10.04,7.57,4.98,2.49,0.13,0.0,0.0,100.01
07/20/2021,12.09,12.56,12.46,12.41,12.52,12.71,10.05,7.59,4.99,2.5,0.13,0.0,0.0,100.01
07/21/2021,12.09,12.56,12.46,12.41,12.52,12.71,10.05,7.59,4.99,2.5,0.13,0.0,0.0,100.01
07/22/2021,12.09,12.56,12.46,12.41,12.52,12.71,10.05,7.59,4.99,2.5,0.13,0.0,0.0,100.01
07/23/2021,12.01,12.62,12.36,12.38,12.53,12.71,10.12,7.65,4.99,2.49,0.13,0.0,0.0,99.98999999999998
07/26/2021,12.27,12.56,12.39,12.37,12.49,12.64,10.08,7.59,4.98,2.49,0.13,0.0,0.0,99.99
07/27/2021,12.35,12.55,12.4,12.37,12.5,12.59,10.08,7.58,4.98,2.49,0.13,0.0,0.0,100.01999999999998
07/28/2021,12.35,12.55,12.4,12.37,12.5,12.59,10.08,7.58,4.98,2.49,0.13,0.0,0.0,100.01999999999998
07/29/2021,12.33,12.55,12.39,12.38,12.51,12.59,10.07,7.58,4.98,2.49,0.13,0.0,0.0,100.0
07/30/2021,12.21,12.58,12.39,12.36,12.51,12.6,10.11,7.62,4.99,2.49,0.13,0.0,0.0,99.98999999999998
08/02/2021,12.3,12.53,12.39,12.31,12.48,12.77,10.07,7.58,4.97,2.48,0.12,0.0,0.0,100.0
08/03/2021,12.3,12.53,12.39,12.31,12.48,12.77,10.07,7.58,4.97,2.48,0.12,0.0,0.0,100.0
08/04/2021,12.3,12.53,12.39,12.31,12.48,12.77,10.07,7.58,4.97,2.48,0.12,0.0,0.0,100.0
08/05/2021,12.3,12.53,12.39,12.31,12.48,12.77,10.07,7.58,4.97,2.48,0.12,0.0,0.0,100.0
08/06/2021,12.29,12.58,12.38,12.27,12.5,12.64,10.1,7.63,4.98,2.49,0.14,0.0,0.0,100.0
09/07/2021,12.69,12.35,12.49,12.48,12.39,12.58,9.86,7.39,4.96,0.0,0.0,2.48,0.32,99.98999999999998
09/08/2021,12.69,12.35,12.49,12.48,12.39,12.58,9.86,7.39,4.96,0.0,0.0,2.48,0.32,99.98999999999998
09/09/2021,12.69,12.35,12.49,12.48,12.39,12.58,9.86,7.39,4.96,0.0,0.0,2.48,0.32,99.98999999999998
09/10/2021,12.69,12.38,12.52,12.52,12.44,12.39,9.86,7.4,4.98,0.0,0.0,2.49,0.32,99.99
09/13/2021,12.4,12.47,12.49,12.46,12.48,12.37,9.99,7.47,4.99,0.0,0.0,2.5,0.39,100.01
09/14/2021,12.35,12.48,12.51,12.49,12.5,12.34,9.98,7.47,5.0,0.0,0.0,2.5,0.37,99.99
09/15/2021,12.35,12.48,12.51,12.49,12.5,12.34,9.98,7.47,5.0,0.0,0.0,2.5,0.37,99.99
09/16/2021,12.34,12.48,12.5,12.49,12.49,12.36,10.0,7.47,4.99,0.0,0.0,2.5,0.37,99.99
09/17/2021,12.27,12.49,12.5,12.47,12.48,12.43,10.01,7.49,4.99,0.0,0.0,2.5,0.37,100.0
09/20/2021,12.41,12.5,12.54,12.54,12.51,12.12,10.02,7.48,5.0,0.0,0.0,2.5,0.37,99.99
09/21/2021,12.43,12.5,12.55,12.55,12.51,12.11,10.01,7.46,5.01,0.0,0.0,2.51,0.38,100.02
09/22/2021,12.43,12.5,12.55,12.55,12.51,12.11,10.01,7.46,5.01,0.0,0.0,2.51,0.38,100.02
09/23/2021,12.43,12.5,12.55,12.55,12.51,12.11,10.01,7.46,5.01,0.0,0.0,2.51,0.38,100.02
09/24/2021,12.26,12.53,12.49,12.55,12.53,12.2,10.04,7.5,5.01,0.0,0.0,2.51,0.38,100.0
09/27/2021,12.37,12.51,12.49,12.53,12.49,12.2,10.05,7.49,5.0,0.0,0.0,2.5,0.37,100.0
