,RHHBY,R6C2.,AMGN,GSK,GILD,BMY,PM,COST,ABBV,BMTA.,NVSN.MX,PFE,SNY,9434.T,IBM,T,BP,FMG.AX,AVGO,CSCO,BHP,KO,UL,MMM,MO,TTE,BAS.DE,9432.T,RIO,TAK,LMT,VOD,Orange SA ADR,2914.T,9433.T,KMI,BCE.TO,TEF,DOW,ELE.MC,KHC,8058.T,IMB.L,KMB,BN.PA,WBA,Z74.SI,TLS.AX,WES.AX,TEL.OL,HOLN.SW,SCMN.SW,8031.T,1.HK,GIS,8001.T,AD.AS,NTGY.MC,2.HK,TELIA.ST,1038.HK,6.HK,REP.MC,8053.T,7751.T,EN.PA,322.HK,5020.T,SGSN.SW,SKM,COL.AX,J36.SI,033780.KS,2503.T,8002.T,992.HK,CHG.BK,CA.PA,3407.T,7270.T,AZJ.AX,SPK.NZ,151.HK,288.HK,1605.T,S63.SI,4188.T,AGL.AX,8.HK,19.HK,220.HK,ORG.AX,9531.T,1801.T,3918.HK,D01.SI,4704.T,6808.HK,EVN.AX,C07.SI,522.HK,CHG.BK.1,CHG.BK.2,CHG.BK.3,CHG.BK.4,CHG.BK.5,CHG.BK.6,CHG.BK.7,CHG.BK.8,n/a,ORAN,USBFS03,SUM
07/09/2021,2.17,2.14,2.13,2.09,2.08,2.08,2.07,2.07,2.06,2.06,2.05,2.05,2.02,2.02,2.02,2.02,2.01,2.01,2.0,2.0,1.99,1.96,1.96,1.96,1.95,1.94,1.93,1.93,1.9,1.61,1.61,1.54,1.47,1.46,1.41,1.4,1.36,1.19,1.13,1.1,1.08,1.08,0.98,0.9,0.86,0.86,0.83,0.8,0.79,0.79,0.77,0.73,0.72,0.7,0.69,0.68,0.66,0.61,0.6,0.54,0.47,0.46,0.46,0.46,0.45,0.41,0.39,0.38,0.38,0.36,0.33,0.31,0.3,0.29,0.26,0.26,0.25,0.25,0.24,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.11,0.1,0.1,0.09,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/04/2021,2.2,2.13,2.08,2.08,2.07,2.13,2.09,2.24,2.11,1.95,2.09,2.21,2.01,2.02,1.93,1.96,1.82,2.08,2.1,2.09,2.15,2.06,1.94,1.94,1.97,1.84,1.9,1.9,1.97,1.57,1.57,1.47,0.0,1.49,1.38,1.32,1.37,1.21,1.11,1.08,1.03,1.11,0.97,0.91,0.88,0.83,0.82,0.79,0.81,0.8,0.76,0.76,0.73,0.65,0.67,0.7,0.68,0.61,0.62,0.53,0.47,0.49,0.39,0.46,0.46,0.42,0.35,0.38,0.4,0.33,0.33,0.29,0.29,0.27,0.25,0.21,0.0,0.23,0.24,0.23,0.22,0.21,0.2,0.18,0.19,0.21,0.19,0.16,0.19,0.16,0.14,0.13,0.15,0.14,0.1,0.11,0.13,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,1.42,0.17,120.34
