,VALE,BBL,RIO,PBR,FMG.AX,IP,TSN,NTR.TO,ADM,VIE.PA,SK3.IR,MNDI.L,IMP.JO,CF,Boliden AB,UU.L,YAR.OL,SVT.L,MIN.AX,COG,China Shenhua Energy Company Limited (Class H),EVN.AX,COALINDIA.NS,135.HK,EXX.JO,KIO.JO,APAM.AS,US Dollar,2689.HK,NMDC Limited,PPB.KL,African Rainbow Minerals Ltd.,Yanzhou Coal Mining Company Limited (Class H),SJW,1907.TW,NK.PA,BPT.AX,1722.TW,FXPO.L,ADRO.JK,China Coal Energy Company Limited,2314.HK,SBM.AX,ANDE,SLCE3.SA,BAYERCROP.NS,2296.T,NVG.LS,855.HK,CSMG3.SA,TTW Pcl (Foreign),SUM
07/09/2021,10.16,10.04,9.73,8.01,4.66,4.44,4.4,4.23,4.07,3.92,3.19,2.93,2.92,2.41,2.27,2.14,1.96,1.91,1.57,1.51,1.51,1.24,0.96,0.8,0.66,0.58,0.57,0.57,0.5,0.47,0.43,0.42,0.42,0.4,0.37,0.36,0.35,0.34,0.28,0.28,0.27,0.24,0.22,0.21,0.2,0.19,0.18,0.17,0.13,0.12,0.11,100.02
07/12/2021,10.17,10.46,9.95,7.75,4.67,4.49,4.34,4.3,4.05,3.83,3.15,2.96,2.77,2.4,2.32,2.14,1.99,1.93,1.55,1.53,1.45,1.21,0.93,0.77,0.7,0.59,0.58,0.56,0.48,0.46,0.42,0.44,0.4,0.39,0.36,0.35,0.34,0.32,0.29,0.27,0.25,0.22,0.22,0.2,0.18,0.18,0.18,0.17,0.14,0.11,0.1,100.01
07/13/2021,10.17,10.46,9.95,7.75,4.67,4.49,4.34,4.3,4.05,3.83,3.15,2.96,2.77,2.4,2.32,2.14,1.99,1.93,1.55,1.53,1.45,1.21,0.93,0.77,0.7,0.59,0.58,0.56,0.48,0.46,0.42,0.44,0.4,0.39,0.36,0.35,0.34,0.32,0.29,0.27,0.25,0.22,0.22,0.2,0.18,0.18,0.18,0.17,0.14,0.11,0.1,100.01
07/22/2021,10.12,10.24,9.7,7.57,5.09,4.36,4.37,4.22,4.03,3.9,3.14,2.94,2.75,2.28,2.33,2.21,1.96,2.02,1.65,1.42,1.54,1.16,0.96,0.81,0.68,0.6,0.6,0.59,0.51,0.5,0.43,0.44,0.5,0.42,0.35,0.34,0.34,0.35,0.28,0.28,0.29,0.23,0.22,0.19,0.17,0.2,0.19,0.16,0.14,0.12,0.11,100.0
