,2SPY  210930C00000850,2SPY  210930C00428060,Cash&Other,2SPY  210930C00440900,2SPY  211231C00000850,2SPY  211231C00429140,2SPY  211231C00443820,SUM
07/09/2021,99.53,3.39,0.31,-3.23,0.0,0.0,0.0,100.0
07/12/2021,100.11,3.8,-0.16,-3.75,0.0,0.0,0.0,100.0
07/13/2021,100.11,3.8,-0.16,-3.75,0.0,0.0,0.0,100.0
07/14/2021,100.11,3.8,-0.16,-3.75,0.0,0.0,0.0,100.0
07/15/2021,100.21,4.04,-0.16,-4.09,0.0,0.0,0.0,100.0
07/16/2021,99.75,3.75,0.21,-3.71,0.0,0.0,0.0,100.0
07/19/2021,99.66,3.64,0.2,-3.5,0.0,0.0,0.0,100.0
07/20/2021,99.52,3.24,0.2,-2.96,0.0,0.0,0.0,100.0
07/21/2021,99.52,3.24,0.2,-2.96,0.0,0.0,0.0,100.0
07/22/2021,99.34,2.64,0.2,-2.18,0.0,0.0,0.0,100.0
07/23/2021,99.51,3.3,0.19,-3.01,0.0,0.0,0.0,99.99
07/26/2021,99.66,3.78,0.18,-3.62,0.0,0.0,0.0,100.0
07/27/2021,99.97,4.35,0.18,-4.5,0.0,0.0,0.0,100.0
07/28/2021,99.97,4.35,0.18,-4.5,0.0,0.0,0.0,100.0
07/29/2021,100.1,4.57,0.18,-4.84,0.0,0.0,0.0,100.01
07/30/2021,99.9,4.17,0.17,-4.25,0.0,0.0,0.0,99.99
08/02/2021,99.91,4.31,0.17,-4.4,0.0,0.0,0.0,99.99
08/03/2021,99.8,4.15,0.16,-4.12,0.0,0.0,0.0,99.99
08/04/2021,99.8,4.15,0.16,-4.12,0.0,0.0,0.0,99.99
08/05/2021,99.72,4.0,0.16,-3.89,0.0,0.0,0.0,99.99
08/06/2021,99.85,4.3,0.16,-4.31,0.0,0.0,0.0,100.0
08/10/2021,99.91,4.46,0.07,-4.44,0.0,0.0,0.0,100.0
08/11/2021,99.91,4.46,0.07,-4.44,0.0,0.0,0.0,100.0
08/12/2021,99.83,4.36,0.06,-4.26,0.0,0.0,0.0,99.99
08/13/2021,99.83,4.36,0.06,-4.26,0.0,0.0,0.0,99.99
08/16/2021,99.97,4.7,0.05,-4.73,0.0,0.0,0.0,99.99
08/17/2021,100.01,4.8,0.05,-4.86,0.0,0.0,0.0,100.0
08/18/2021,100.01,4.8,0.05,-4.86,0.0,0.0,0.0,100.0
08/19/2021,100.18,5.04,0.05,-5.27,0.0,0.0,0.0,100.0
08/20/2021,99.88,4.48,0.05,-4.41,0.0,0.0,0.0,100.0
08/23/2021,99.75,4.11,0.04,-3.9,0.0,0.0,0.0,100.0
08/24/2021,99.78,4.38,0.04,-4.19,0.0,0.0,0.0,100.01
08/25/2021,99.78,4.38,0.04,-4.19,0.0,0.0,0.0,100.01
08/26/2021,100.06,5.02,0.03,-5.12,0.0,0.0,0.0,99.99
08/27/2021,100.1,5.05,0.03,-5.19,0.0,0.0,0.0,99.99
08/30/2021,99.98,4.84,0.02,-4.85,0.0,0.0,0.0,99.99
08/31/2021,100.24,5.36,0.02,-5.62,0.0,0.0,0.0,100.0
09/01/2021,100.24,5.36,0.02,-5.62,0.0,0.0,0.0,100.0
09/02/2021,100.52,5.76,0.02,-6.3,0.0,0.0,0.0,100.0
09/03/2021,100.52,5.74,0.02,-6.28,0.0,0.0,0.0,100.0
09/06/2021,100.58,5.72,-0.07,-6.24,0.0,0.0,0.0,99.99
09/07/2021,100.57,5.8,-0.07,-6.31,0.0,0.0,0.0,99.99
09/08/2021,100.57,5.8,-0.07,-6.31,0.0,0.0,0.0,99.99
09/09/2021,100.57,5.8,-0.07,-6.31,0.0,0.0,0.0,99.99
09/10/2021,100.3,5.46,-0.07,-5.7,0.0,0.0,0.0,99.99
09/13/2021,99.91,4.95,-0.08,-4.79,0.0,0.0,0.0,99.99
09/14/2021,99.64,4.34,-0.08,-3.9,0.0,0.0,0.0,100.0
09/15/2021,99.64,4.34,-0.08,-3.9,0.0,0.0,0.0,100.0
09/16/2021,99.41,4.53,-0.09,-3.86,0.0,0.0,0.0,99.99
09/17/2021,99.1,3.98,-0.09,-3.0,0.0,0.0,0.0,99.99
09/20/2021,99.01,4.41,-0.1,-3.33,0.0,0.0,0.0,99.99
09/21/2021,98.99,3.39,-0.1,-2.28,0.0,0.0,0.0,100.0
09/22/2021,98.99,3.39,-0.1,-2.28,0.0,0.0,0.0,100.0
09/23/2021,98.9,2.33,-0.1,-1.13,0.0,0.0,0.0,100.0
09/24/2021,98.82,2.08,-0.1,-0.79,0.0,0.0,0.0,100.01
09/27/2021,98.69,3.56,-0.14,-2.11,0.0,0.0,0.0,100.0
