,ECOPETROL.BC,PFBCOLO.BC,ISA.BC,BCOLOMBIA.BC,TGLS,NUTRESA.BC,CNE.TO,GEB.BC,PFDAVVNDA.BC,PXT.TO,GRUPOSURA.BC,TIGO.ST,ENELAM.SN,COPEC.SN,PFAVAL.BC,GRUPOARGOS.BC,MINEROS.BC,BVC.BC,CEMARGOS.BC,CORFICOLCF.BC,TERPEL.BC,PFGRUPSU.BC,CELSIA.BC,PFGRUPOA.BC,CONCONCRET.BC,ELCONDOR.BC,CLH.BC,PFCEMARG.BC,PROMIGAS.BC,PFCORCOL.BC,BOGOTA.BC,GRUPOAVAL,CAD,XTSLA,USD,COP,SEK,HBCFT,MESU1,GRUPOAVAL.BC,PFGRUPOARG,PFCEMARGOS,PFCORFICOL,CLP,MESZ1,SUM
07/09/2021,14.82,13.11,10.73,7.2,4.88,4.42,4.35,4.26,4.06,3.79,3.45,3.31,3.26,2.81,2.78,1.88,1.61,1.6,1.16,1.15,1.08,0.8,0.73,0.49,0.48,0.45,0.4,0.15,0.14,0.13,0.13,0.12,0.09,0.07,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,14.49,13.42,10.79,7.29,4.76,4.34,4.42,4.23,4.18,3.91,3.5,3.37,3.23,2.74,2.76,1.85,1.57,1.58,1.17,1.14,1.03,0.8,0.72,0.48,0.49,0.41,0.4,0.15,0.14,0.13,0.14,0.12,0.09,0.15,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,14.49,13.42,10.79,7.29,4.76,4.34,4.42,4.23,4.18,3.91,3.5,3.37,3.23,2.74,2.76,1.85,1.57,1.58,1.17,1.14,1.03,0.8,0.72,0.48,0.49,0.41,0.4,0.15,0.14,0.13,0.14,0.12,0.09,0.15,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,14.49,13.42,10.79,7.29,4.76,4.34,4.42,4.23,4.18,3.91,3.5,3.37,3.23,2.74,2.76,1.85,1.57,1.58,1.17,1.14,1.03,0.8,0.72,0.48,0.49,0.41,0.4,0.15,0.14,0.13,0.14,0.12,0.09,0.15,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/15/2021,14.41,13.54,10.69,7.36,4.84,4.31,4.36,4.2,4.17,3.97,3.53,3.36,3.22,2.71,2.76,1.82,1.56,1.57,1.18,1.13,1.04,0.81,0.72,0.47,0.49,0.42,0.4,0.15,0.14,0.13,0.13,0.12,0.09,0.15,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,14.24,13.53,10.93,7.37,4.75,4.27,4.3,4.22,4.23,3.95,3.57,3.35,3.21,2.66,2.81,1.83,1.56,1.6,1.18,1.15,1.04,0.81,0.72,0.47,0.48,0.42,0.4,0.15,0.14,0.13,0.14,0.12,0.09,0.1,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,13.68,13.8,10.74,7.48,4.67,4.36,4.26,4.27,4.28,3.9,3.59,3.41,3.23,2.52,2.77,1.87,1.6,1.61,1.19,1.16,1.05,0.81,0.73,0.47,0.48,0.44,0.4,0.15,0.14,0.13,0.14,0.12,0.09,0.12,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,13.68,13.8,10.74,7.48,4.67,4.36,4.26,4.27,4.28,3.9,3.59,3.41,3.23,2.52,2.77,1.87,1.6,1.61,1.19,1.16,1.05,0.81,0.73,0.47,0.48,0.44,0.4,0.15,0.14,0.13,0.14,0.12,0.09,0.12,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,13.44,13.85,10.74,7.49,4.53,4.44,4.25,4.3,4.31,3.6,3.54,3.49,3.3,2.73,2.8,1.89,1.6,1.65,1.22,1.15,1.07,0.82,0.73,0.5,0.48,0.42,0.42,0.16,0.15,0.13,0.14,0.12,0.09,0.1,0.0,0.33,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
07/23/2021,13.43,13.83,10.73,7.49,4.61,4.44,4.25,4.3,4.3,3.56,3.53,3.49,3.29,2.76,2.8,1.89,1.6,1.65,1.22,1.15,1.07,0.82,0.73,0.5,0.48,0.42,0.42,0.16,0.15,0.13,0.14,0.12,0.09,0.1,0.0,0.33,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/27/2021,13.77,13.75,10.79,7.61,4.7,4.21,4.21,4.28,4.31,3.63,3.45,3.55,3.29,2.74,2.68,1.88,1.56,1.62,1.21,1.16,1.06,0.8,0.73,0.47,0.47,0.41,0.42,0.15,0.14,0.13,0.14,0.12,0.09,0.1,0.0,0.33,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,13.98,13.72,10.58,7.64,4.75,4.21,4.29,4.29,4.2,3.74,3.43,3.69,3.18,2.55,2.75,1.88,1.55,1.62,1.23,1.15,1.05,0.81,0.73,0.46,0.49,0.41,0.42,0.15,0.14,0.13,0.14,0.12,0.09,0.1,0.0,0.31,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
08/02/2021,14.38,13.67,10.63,7.55,4.96,4.16,4.31,4.37,4.23,3.82,3.36,3.47,3.23,2.68,2.73,1.81,1.49,1.58,1.22,1.17,1.04,0.8,0.73,0.46,0.47,0.41,0.42,0.15,0.15,0.13,0.14,0.12,0.06,0.08,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/03/2021,14.4,13.69,10.47,7.43,4.96,4.21,4.35,4.42,4.24,3.85,3.28,3.49,3.26,2.74,2.69,1.84,1.5,1.55,1.24,1.17,1.04,0.79,0.73,0.47,0.47,0.41,0.43,0.16,0.15,0.13,0.14,0.12,0.06,0.08,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
