,n/a,AAPL,MSFT,AMZN,TSLA,GOOG,GOOGL,BRK.B,NVDA,UNH,FB,JNJ,JPM,PG,XOM,V,CVX,HD,PFE,ABBV,MA,BAC,COST,LLY,KO,DIS,PEP,TMO,ACN,WMT,VZ,MRK,CMCSA,ABT,CSCO,DHR,ADBE,AVGO,WFC,MCD,INTC,CRM,NEE,NKE,T,LIN,AMD,UNP,BMY,QCOM,MDT,TXN,NFLX,RTX,PM,SPGI,UPS,CVS,LOW,ANTM,COP,AMGN,PYPL,HON,ORCL,INTU,DE,AMT,PLD,MS,LMT,CAT,SCHW,IBM,GS,AXP,C,BA,AMAT,NOW,ADP,TGT,ZTS,SYK,BLK,SBUX,ISRG,MO,CB,TMUS,DUK,MDLZ,MMM,GE,MMC,CCI,ADI,BX,SO,CME,PNC,MU,AON,CI,EQIX,EW,CHTR,REGN,TJX,D,TFC,ICE,BDX,USB,AZO,BKNG,PGR,CL,NSC,CSX,GILD,PSA,WM,SQ,LRCX,VRTX,UBER,FCX,EOG,NEM,BSX,SNOW,EL,NOC,SHW,ATVI,FIS,F,PANW,HCA,FISV,EMR,OXY,SLB,PXD,MRNA,ETN,MCO,GD,ITW,COF,GM,MET,AEP,CMG,DXCM,IQV,APD,DG,MAR,ORLY,ECL,MRVL,ILMN,ROP,ADM,CTSH,DOW,ADSK,CNC,FDX,EXC,MPC,AIG,MTD,HUM,WDAY,CTVA,KLAC,SRE,JCI,FTNT,CRWD,MCK,ABNB,TRV,LHX,CTAS,PRU,SNAP,SYY,SNPS,ALL,CDNS,KMI,PSX,KMB,WELL,PAYX,TEL,META,ELV,NXPI,VLO,O,GIS,WMB,STZ,APH,MNST,MCHP,XEL,AJG,DVN,LNG,PH,SUM
04/13/2022,7.55,6.41,5.42,3.39,2.17,1.89,1.88,1.49,1.32,1.24,1.19,1.17,0.96,0.93,0.89,0.87,0.81,0.78,0.76,0.75,0.75,0.68,0.66,0.61,0.61,0.59,0.58,0.57,0.56,0.56,0.55,0.54,0.53,0.53,0.52,0.49,0.49,0.46,0.45,0.45,0.45,0.45,0.41,0.4,0.4,0.4,0.4,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.34,0.34,0.34,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.87
07/27/2022,7.18,6.71,5.47,3.14,1.96,1.69,1.68,1.43,1.14,1.37,0.0,1.27,0.95,0.96,1.03,0.99,0.79,0.88,0.81,0.73,0.83,0.66,0.65,0.72,0.68,0.52,0.65,0.62,0.53,0.54,0.52,0.64,0.54,0.54,0.49,0.51,0.51,0.45,0.46,0.53,0.43,0.47,0.44,0.39,0.35,0.41,0.4,0.37,0.41,0.48,0.34,0.4,0.26,0.39,0.39,0.35,0.38,0.34,0.36,0.0,0.32,0.36,0.26,0.35,0.32,0.31,0.24,0.33,0.25,0.32,0.28,0.27,0.25,0.32,0.3,0.26,0.29,0.28,0.24,0.23,0.26,0.19,0.24,0.19,0.23,0.27,0.2,0.21,0.21,0.24,0.22,0.24,0.21,0.18,0.21,0.2,0.24,0.19,0.21,0.19,0.19,0.18,0.16,0.23,0.15,0.17,0.14,0.15,0.21,0.18,0.18,0.15,0.17,0.18,0.14,0.18,0.19,0.18,0.17,0.16,0.18,0.12,0.17,0.1,0.17,0.18,0.13,0.1,0.13,0.11,0.14,0.12,0.17,0.18,0.18,0.16,0.16,0.14,0.13,0.12,0.16,0.14,0.16,0.13,0.14,0.16,0.15,0.13,0.15,0.14,0.12,0.12,0.12,0.13,0.0,0.0,0.12,0.13,0.14,0.13,0.11,0.12,0.11,0.0,0.11,0.1,0.11,0.1,0.12,0.13,0.14,0.11,0.12,0.1,0.0,0.14,0.0,0.11,0.14,0.12,0.0,0.1,0.11,0.13,0.0,0.11,0.11,0.1,0.0,0.0,0.12,0.13,0.1,0.13,0.0,0.11,0.12,0.0,0.11,0.1,1.04,0.31,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,84.13000000000002
08/03/2022,10.14,6.52,5.47,3.21,1.98,1.68,1.7,1.34,1.11,1.32,0.0,1.19,0.9,0.87,1.08,0.92,0.84,0.81,0.73,0.66,0.8,0.62,0.63,0.67,0.66,0.51,0.63,0.62,0.53,0.5,0.51,0.58,0.45,0.5,0.46,0.51,0.47,0.44,0.44,0.51,0.36,0.44,0.43,0.38,0.32,0.4,0.4,0.37,0.39,0.42,0.32,0.4,0.25,0.36,0.38,0.34,0.37,0.31,0.33,0.0,0.33,0.34,0.26,0.35,0.31,0.31,0.25,0.32,0.24,0.31,0.28,0.28,0.26,0.31,0.29,0.24,0.27,0.25,0.23,0.22,0.26,0.18,0.22,0.19,0.22,0.26,0.2,0.2,0.2,0.25,0.22,0.23,0.21,0.18,0.2,0.2,0.24,0.19,0.21,0.17,0.18,0.17,0.16,0.22,0.15,0.15,0.12,0.14,0.19,0.17,0.18,0.15,0.16,0.16,0.13,0.18,0.19,0.17,0.17,0.16,0.16,0.12,0.17,0.1,0.17,0.17,0.12,0.11,0.14,0.0,0.14,0.11,0.17,0.17,0.15,0.16,0.15,0.15,0.12,0.12,0.16,0.14,0.16,0.13,0.14,0.15,0.15,0.13,0.14,0.15,0.11,0.12,0.12,0.12,0.1,0.0,0.12,0.13,0.13,0.13,0.11,0.11,0.1,0.0,0.11,0.1,0.0,0.1,0.13,0.12,0.13,0.11,0.13,0.1,0.0,0.13,0.0,0.11,0.14,0.12,0.1,0.0,0.1,0.12,0.0,0.1,0.11,0.1,0.0,0.0,0.11,0.13,0.1,0.13,0.0,0.11,0.11,0.0,0.0,0.1,0.9,0.3,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,84.70000000000002
