,IVV,BANK OF NEW YORK CASH RESERVE,S&P 500 INDEX SWAP,ESU1,n/a,SUM
07/09/2021,94.14,3.27,0.96,0.0,0.0,98.37
07/12/2021,94.18,3.25,0.96,0.0,0.0,98.39
07/13/2021,94.18,3.25,0.96,0.0,0.0,98.39
07/14/2021,94.18,3.25,0.96,0.0,0.0,98.39
07/15/2021,94.19,3.24,0.96,0.0,0.0,98.39
07/16/2021,94.18,3.25,0.84,0.0,0.0,98.27
07/19/2021,94.17,3.26,0.84,0.0,0.0,98.27
07/20/2021,94.14,3.29,0.84,0.0,0.0,98.27
07/21/2021,94.14,3.29,0.84,0.0,0.0,98.27
07/22/2021,94.07,3.33,0.9,0.0,0.0,98.3
07/23/2021,92.49,3.29,0.9,-53.98,0.0,42.70000000000001
07/26/2021,94.39,2.83,0.91,-24.14,0.0,73.99
07/27/2021,94.66,4.0,0.73,-24.21,0.0,75.18
07/28/2021,94.66,4.0,0.73,-24.21,0.0,75.18
07/29/2021,92.58,4.99,1.29,-22.71,0.0,76.15
07/30/2021,95.49,3.35,1.14,-3.78,0.0,96.2
08/02/2021,95.52,4.19,1.14,-3.78,0.0,97.07
08/03/2021,95.49,1.18,1.14,-3.78,0.0,94.03
08/04/2021,95.49,1.18,1.14,-3.78,0.0,94.03
08/05/2021,95.48,1.18,1.14,-3.78,0.0,94.02
08/06/2021,95.54,1.17,1.14,-3.78,0.0,94.07
08/10/2021,95.56,0.0,0.0,0.0,1.11,96.67
08/11/2021,95.56,0.0,0.0,0.0,1.11,96.67
08/13/2021,95.0,0.0,0.0,0.0,1.11,96.11
08/16/2021,95.03,0.0,0.0,0.0,1.67,96.7
08/17/2021,95.04,0.0,0.0,0.0,1.7,96.74
08/18/2021,95.04,0.0,0.0,0.0,1.7,96.74
08/19/2021,95.06,0.0,0.0,0.0,1.69,96.75
08/20/2021,95.05,0.0,0.0,0.0,2.27,97.32
08/23/2021,95.0,0.0,0.0,0.0,2.29,97.29
01/17/2022,93.65,0.0,0.0,0.0,1.29,94.94
01/18/2022,93.65,0.0,0.0,0.0,1.29,94.94
01/19/2022,93.65,0.0,0.0,0.0,1.29,94.94
01/20/2022,93.65,0.0,0.0,0.0,1.29,94.94
01/24/2022,0.0,0.0,0.0,0.0,100.0,100.0
01/25/2022,0.0,0.0,0.0,0.0,100.0,100.0
01/26/2022,0.0,0.0,0.0,0.0,100.0,100.0
01/27/2022,0.0,0.0,0.0,0.0,100.0,100.0
01/28/2022,0.0,0.0,0.0,0.0,100.0,100.0
01/31/2022,0.0,0.0,0.0,0.0,100.0,100.0
02/01/2022,0.0,0.0,0.0,0.0,100.0,100.0
02/02/2022,0.0,0.0,0.0,0.0,100.0,100.0
02/03/2022,0.0,0.0,0.0,0.0,100.0,100.0
