,TWTR,NFLX,FB,CHTR,DISH,CMCSA,VIAC,TMUS,T,VZ,DIS,EA,LYV,ATVI,IPG,OMC,TTWO,LUMN,NWSA,FOXA,DISCK,GOOGL,GOOG,DISCA,FOX,NWS,Cash/Receivables/Payables,AGPXX,Securities Lending - Bnym,Interest/Overdraft,n/a,CENCOSHOPP.SN,MTCH,SUM
07/09/2021,5.28,5.04,4.85,4.83,4.74,4.61,4.6,4.59,4.5,4.48,4.46,4.45,4.42,4.37,4.31,4.28,4.25,4.05,3.34,3.06,2.81,2.37,2.34,1.68,1.33,0.98,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,5.21,5.01,4.84,4.9,4.74,4.67,4.61,4.59,4.43,4.47,4.57,4.4,4.37,4.3,4.42,4.36,4.18,4.1,3.35,3.05,2.75,2.37,2.35,1.63,1.33,0.99,-0.01,0.03,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,5.21,5.01,4.84,4.9,4.74,4.67,4.61,4.59,4.43,4.47,4.57,4.4,4.37,4.3,4.42,4.36,4.18,4.1,3.35,3.05,2.75,2.37,2.35,1.63,1.33,0.99,-0.01,0.03,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,5.21,5.01,4.84,4.9,4.74,4.66,4.61,4.59,4.43,4.47,4.56,4.4,4.37,4.3,4.42,4.36,4.17,4.1,3.35,3.05,2.75,2.37,2.35,1.62,1.33,0.99,0.0,0.03,0.0,-0.01,0.0,0.0,0.0,99.96999999999998
07/15/2021,5.25,4.99,4.85,4.77,4.69,4.66,4.66,4.59,4.41,4.45,4.73,4.39,4.39,4.3,4.39,4.32,4.19,4.06,3.37,3.06,2.77,2.39,2.35,1.64,1.34,0.99,-0.01,0.03,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,5.28,5.07,4.87,4.75,4.61,4.66,4.61,4.66,4.42,4.49,4.75,4.49,4.29,4.35,4.34,4.26,4.27,4.05,3.32,3.02,2.71,2.43,2.4,1.62,1.31,0.98,-0.01,0.03,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,5.21,5.13,4.81,4.75,4.61,4.71,4.51,4.72,4.48,4.57,4.81,4.51,4.23,4.27,4.34,4.33,4.17,4.06,3.31,3.04,2.67,2.44,2.42,1.6,1.32,0.98,-0.01,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,5.13,5.07,4.82,4.83,4.61,4.73,4.45,4.8,4.52,4.61,4.73,4.57,4.2,4.37,4.3,4.32,4.27,3.95,3.25,3.02,2.68,2.47,2.46,1.6,1.31,0.96,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,100.0
07/21/2021,5.13,5.07,4.82,4.83,4.61,4.73,4.45,4.8,4.52,4.61,4.73,4.57,4.2,4.37,4.3,4.32,4.27,3.95,3.25,3.02,2.68,2.47,2.46,1.6,1.31,0.96,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,100.0
07/22/2021,5.13,5.07,4.82,4.83,4.61,4.73,4.45,4.8,4.52,4.61,4.73,4.57,4.2,4.37,4.3,4.32,4.27,3.95,3.25,3.02,2.68,2.47,2.46,1.6,1.31,0.96,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,100.0
07/23/2021,5.28,5.1,4.85,4.92,4.8,4.72,4.48,4.67,4.47,4.56,4.69,4.53,4.14,4.38,4.3,4.1,4.28,4.01,3.28,3.01,2.69,2.46,2.46,1.6,1.3,0.97,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/26/2021,5.35,4.86,4.93,4.88,4.87,4.73,4.49,4.63,4.44,4.54,4.6,4.52,4.19,4.28,4.64,3.99,4.27,3.9,3.26,3.07,2.71,2.48,2.48,1.61,1.32,0.96,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,99.96999999999998
07/27/2021,5.45,4.85,5.14,4.87,4.79,4.72,4.45,4.56,4.42,4.49,4.57,4.56,4.09,4.29,4.75,3.97,4.28,3.86,3.27,3.05,2.67,2.54,2.53,1.59,1.32,0.97,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,100.01999999999998
07/28/2021,5.45,4.85,5.14,4.87,4.79,4.72,4.45,4.56,4.42,4.49,4.57,4.56,4.09,4.29,4.75,3.97,4.28,3.86,3.27,3.05,2.67,2.54,2.53,1.59,1.32,0.97,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,100.01999999999998
