,AAPL,XOM,JPM,MSFT,BRK.B,T,WFC,BAC,VZ,CVX,C,JNJ,UNH,PFE,AMZN,CMCSA,WMT,PG,FB,INTC,F,IBM,GOOGL,GOOG,CSCO,CVS,HD,GM,GE,PEP,MRK,DIS,KO,PM,GS,COST,BA,COF,ABBV,ANTM,MDT,MO,UPS,MS,GILD,TGT,BMY,COP,AMGN,DUK,USB,MMM,MCD,MPC,WBA,KR,LIN,ORCL,UNP,PNC,HON,SLB,MET,AXP,CI,VLO,BLK,LOW,NEE,CAT,ACN,QCOM,LMT,DD,RTX,MU,KMI,D,EXC,FDX,SO,CHTR,CB,MDLZ,PSX,ABT,OXY,TXN,AIG,ALL,AVGO,TFC,V,BK,LLY,CNC,TRV,MCK,PRU,AEP,HUM,SYF,AFL,TMO,SBUX,DE,GD,ETN,FIS,HPQ,LUMN,JCI,KHC,BIIB,NKE,TMUS,HCA,WMB,NOC,CARR,EOG,DHR,EMR,TJX,PGR,NUE,DFS,LYB,DOW,ED,WELL,WM,IP,CME,ADM,SYY,MA,CL,GIS,SRE,SPG,CSX,NSC,CCI,CRM,AMT,STT,KMB,HIG,TSN,ABC,PEG,XEL,HPE,ADP,MMC,ITW,PPL,M,PLD,PYPL,AMAT,CAH,FITB,FE,BDX,PCAR,BKR,ALLY,OKE,NVDA,FISV,EIX,ETR,APD,NEM,SYK,CMI,WDC,VTR,BBY,SCHW,BKNG,CFG,LHX,WRK,PPG,ADBE,DG,TROW,TEL,ES,LB,EQIX,GLW,LNC,DELL,WEC,HAL,ICE,DTE,AGPXX,EQR,GE.,DXC,CBRE,AMP,SUM
07/23/2021,2.42,1.66,1.77,1.82,1.77,1.55,1.57,1.31,1.23,1.09,1.12,1.11,1.07,1.02,0.9,0.92,0.91,0.87,0.81,0.81,0.78,0.79,0.78,0.78,0.74,0.71,0.71,0.64,0.61,0.65,0.59,0.6,0.58,0.53,0.53,0.53,0.45,0.5,0.48,0.47,0.45,0.45,0.44,0.44,0.43,0.43,0.4,0.36,0.4,0.4,0.38,0.38,0.37,0.33,0.35,0.39,0.36,0.38,0.33,0.33,0.35,0.3,0.32,0.33,0.32,0.27,0.31,0.31,0.33,0.3,0.32,0.3,0.3,0.29,0.3,0.27,0.28,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.23,0.27,0.22,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.19,0.19,0.2,0.19,0.18,0.19,0.19,0.21,0.17,0.18,0.19,0.15,0.18,0.18,0.17,0.17,0.17,0.18,0.16,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,72.04
07/26/2021,2.41,1.68,1.77,1.85,1.77,1.55,1.56,1.31,1.23,1.11,1.12,1.11,1.07,1.03,0.92,0.92,0.9,0.86,0.83,0.81,0.77,0.79,0.78,0.79,0.75,0.71,0.71,0.63,0.61,0.64,0.58,0.59,0.59,0.54,0.54,0.53,0.46,0.51,0.48,0.46,0.45,0.45,0.44,0.46,0.43,0.43,0.41,0.37,0.39,0.39,0.37,0.37,0.38,0.33,0.35,0.38,0.36,0.38,0.33,0.33,0.35,0.3,0.32,0.34,0.32,0.27,0.31,0.32,0.32,0.3,0.32,0.3,0.3,0.29,0.3,0.27,0.27,0.29,0.3,0.28,0.29,0.28,0.29,0.28,0.23,0.27,0.23,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.2,0.21,0.21,0.22,0.2,0.2,0.21,0.2,0.18,0.18,0.2,0.19,0.18,0.2,0.18,0.21,0.17,0.18,0.19,0.15,0.18,0.18,0.17,0.17,0.18,0.18,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.11,0.14,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,72.01
07/27/2021,2.43,1.67,1.76,1.86,1.76,1.55,1.54,1.29,1.22,1.11,1.11,1.12,1.07,1.03,0.91,0.92,0.9,0.86,0.87,0.77,0.76,0.79,0.81,0.81,0.75,0.71,0.72,0.62,0.6,0.65,0.59,0.59,0.59,0.54,0.54,0.53,0.46,0.5,0.48,0.45,0.45,0.45,0.43,0.45,0.43,0.44,0.41,0.36,0.39,0.39,0.37,0.37,0.38,0.33,0.35,0.38,0.36,0.37,0.33,0.33,0.35,0.3,0.32,0.34,0.31,0.27,0.3,0.32,0.32,0.3,0.32,0.31,0.3,0.29,0.3,0.27,0.27,0.29,0.3,0.28,0.29,0.28,0.29,0.29,0.23,0.27,0.23,0.25,0.26,0.25,0.26,0.25,0.25,0.25,0.24,0.23,0.22,0.24,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.18,0.18,0.2,0.19,0.18,0.2,0.18,0.21,0.17,0.18,0.19,0.15,0.18,0.18,0.17,0.17,0.17,0.18,0.16,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.17,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.1,0.0,0.11,0.0,0.0,0.0,0.0,72.06
07/28/2021,2.43,1.67,1.76,1.86,1.76,1.55,1.54,1.29,1.22,1.11,1.11,1.12,1.07,1.03,0.91,0.92,0.9,0.86,0.87,0.77,0.76,0.79,0.81,0.81,0.75,0.71,0.72,0.62,0.6,0.65,0.59,0.59,0.59,0.54,0.54,0.53,0.46,0.5,0.48,0.45,0.45,0.45,0.43,0.45,0.43,0.44,0.41,0.36,0.39,0.39,0.37,0.37,0.38,0.33,0.35,0.38,0.36,0.37,0.33,0.33,0.35,0.3,0.32,0.34,0.31,0.27,0.3,0.32,0.32,0.3,0.32,0.31,0.3,0.29,0.3,0.27,0.27,0.29,0.3,0.28,0.29,0.28,0.29,0.29,0.23,0.27,0.23,0.25,0.26,0.25,0.26,0.25,0.25,0.25,0.24,0.23,0.22,0.24,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.18,0.18,0.2,0.19,0.18,0.2,0.18,0.21,0.17,0.18,0.19,0.15,0.18,0.18,0.17,0.17,0.17,0.18,0.16,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.17,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.1,0.0,0.11,0.0,0.0,0.0,0.0,72.06
07/29/2021,2.42,1.7,1.76,1.85,1.75,1.54,1.55,1.3,1.21,1.12,1.12,1.11,1.06,1.02,0.92,0.92,0.9,0.86,0.87,0.78,0.77,0.79,0.81,0.81,0.75,0.71,0.71,0.63,0.61,0.64,0.58,0.6,0.58,0.54,0.54,0.53,0.46,0.5,0.48,0.45,0.45,0.45,0.42,0.45,0.42,0.43,0.4,0.36,0.38,0.39,0.37,0.37,0.38,0.34,0.35,0.37,0.36,0.37,0.33,0.33,0.34,0.31,0.32,0.34,0.31,0.28,0.3,0.31,0.32,0.3,0.32,0.3,0.29,0.29,0.3,0.27,0.28,0.29,0.3,0.28,0.29,0.28,0.29,0.29,0.24,0.27,0.23,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.18,0.19,0.2,0.19,0.18,0.19,0.18,0.2,0.17,0.17,0.19,0.15,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.0,71.92000000000002
07/30/2021,2.39,1.69,1.76,1.83,1.77,1.55,1.55,1.3,1.23,1.12,1.13,1.12,1.06,1.03,0.9,0.92,0.9,0.87,0.86,0.77,0.76,0.8,0.8,0.8,0.75,0.71,0.7,0.62,0.62,0.65,0.59,0.6,0.59,0.55,0.54,0.53,0.46,0.51,0.48,0.45,0.46,0.45,0.4,0.46,0.43,0.43,0.4,0.36,0.39,0.4,0.37,0.37,0.39,0.33,0.35,0.38,0.36,0.37,0.33,0.33,0.35,0.31,0.32,0.34,0.31,0.28,0.3,0.31,0.33,0.3,0.32,0.3,0.29,0.29,0.31,0.26,0.28,0.29,0.3,0.27,0.3,0.28,0.29,0.29,0.24,0.27,0.22,0.25,0.26,0.26,0.25,0.25,0.26,0.25,0.24,0.22,0.22,0.24,0.22,0.23,0.22,0.21,0.21,0.21,0.22,0.2,0.21,0.21,0.2,0.18,0.18,0.2,0.19,0.18,0.19,0.18,0.21,0.17,0.18,0.19,0.15,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,72.11
08/02/2021,2.36,1.71,1.77,1.82,1.75,1.54,1.59,1.31,1.21,1.14,1.14,1.11,1.05,1.04,0.89,0.91,0.89,0.85,0.83,0.77,0.79,0.79,0.82,0.79,0.74,0.7,0.7,0.64,0.63,0.64,0.58,0.59,0.58,0.55,0.54,0.53,0.47,0.51,0.48,0.45,0.45,0.45,0.39,0.45,0.43,0.43,0.4,0.36,0.38,0.39,0.37,0.37,0.38,0.34,0.35,0.38,0.36,0.37,0.33,0.33,0.35,0.31,0.32,0.33,0.31,0.28,0.3,0.31,0.33,0.3,0.32,0.32,0.29,0.29,0.3,0.27,0.28,0.29,0.3,0.26,0.29,0.27,0.28,0.28,0.24,0.27,0.23,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.21,0.22,0.24,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.18,0.2,0.19,0.18,0.2,0.18,0.2,0.17,0.18,0.2,0.15,0.18,0.18,0.17,0.17,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.12,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.11,0.11,0.1,0.11,0.0,0.1,0.11,0.0,0.11,0.0,0.0,0.0,0.0,71.91000000000001
08/03/2021,2.37,1.68,1.76,1.82,1.75,1.54,1.58,1.31,1.22,1.13,1.12,1.12,1.05,1.05,0.83,0.93,0.9,0.88,0.83,0.77,0.77,0.79,0.81,0.79,0.75,0.7,0.71,0.64,0.61,0.64,0.58,0.59,0.59,0.55,0.54,0.54,0.46,0.5,0.47,0.45,0.46,0.45,0.39,0.45,0.42,0.43,0.4,0.36,0.38,0.4,0.37,0.37,0.38,0.34,0.36,0.38,0.37,0.37,0.33,0.33,0.35,0.31,0.32,0.33,0.31,0.28,0.3,0.31,0.33,0.3,0.32,0.32,0.29,0.29,0.3,0.28,0.27,0.29,0.3,0.26,0.29,0.28,0.29,0.28,0.23,0.27,0.22,0.26,0.26,0.25,0.26,0.25,0.25,0.25,0.24,0.21,0.22,0.24,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.18,0.2,0.19,0.18,0.2,0.18,0.21,0.17,0.18,0.2,0.15,0.18,0.18,0.17,0.17,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,71.92
08/04/2021,2.37,1.68,1.76,1.82,1.75,1.54,1.58,1.31,1.22,1.13,1.12,1.12,1.05,1.05,0.83,0.93,0.9,0.88,0.83,0.77,0.77,0.79,0.81,0.79,0.75,0.7,0.71,0.64,0.61,0.64,0.58,0.59,0.59,0.55,0.54,0.54,0.46,0.5,0.47,0.45,0.46,0.45,0.39,0.45,0.42,0.43,0.4,0.36,0.38,0.4,0.37,0.37,0.38,0.34,0.36,0.38,0.37,0.37,0.33,0.33,0.35,0.31,0.32,0.33,0.31,0.28,0.3,0.31,0.33,0.3,0.32,0.32,0.29,0.29,0.3,0.28,0.27,0.29,0.3,0.26,0.29,0.28,0.29,0.28,0.23,0.27,0.22,0.26,0.26,0.25,0.26,0.25,0.25,0.25,0.24,0.21,0.22,0.24,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.18,0.2,0.19,0.18,0.2,0.18,0.21,0.17,0.18,0.2,0.15,0.18,0.18,0.17,0.17,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,71.92
08/05/2021,2.37,1.68,1.76,1.83,1.75,1.54,1.58,1.3,1.22,1.13,1.13,1.12,1.07,1.08,0.83,0.92,0.9,0.87,0.82,0.77,0.77,0.79,0.82,0.8,0.76,0.7,0.71,0.65,0.0,0.64,0.58,0.59,0.58,0.55,0.54,0.54,0.46,0.5,0.47,0.46,0.46,0.45,0.39,0.45,0.42,0.43,0.4,0.36,0.38,0.4,0.37,0.37,0.38,0.34,0.35,0.39,0.37,0.37,0.33,0.33,0.35,0.31,0.32,0.33,0.31,0.28,0.31,0.31,0.33,0.29,0.32,0.31,0.29,0.29,0.3,0.28,0.27,0.29,0.3,0.26,0.29,0.29,0.29,0.28,0.24,0.27,0.22,0.26,0.26,0.25,0.26,0.25,0.25,0.25,0.24,0.22,0.22,0.24,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.19,0.18,0.2,0.19,0.18,0.2,0.18,0.21,0.17,0.18,0.2,0.15,0.18,0.18,0.17,0.17,0.19,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.12,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.0,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.11,0.12,0.11,0.6,0.11,0.0,0.0,71.96000000000001
08/09/2021,2.39,1.66,1.77,1.85,1.76,1.52,1.61,1.33,1.2,1.12,1.15,1.12,1.05,1.1,0.84,0.92,0.92,0.87,0.84,0.77,0.75,0.79,0.82,0.8,0.76,0.68,0.71,0.61,0.0,0.63,0.57,0.59,0.58,0.54,0.55,0.55,0.47,0.51,0.47,0.44,0.45,0.44,0.39,0.46,0.43,0.43,0.4,0.36,0.37,0.4,0.37,0.37,0.37,0.35,0.35,0.39,0.37,0.37,0.33,0.33,0.35,0.3,0.32,0.33,0.28,0.28,0.31,0.31,0.34,0.3,0.32,0.31,0.29,0.29,0.3,0.29,0.27,0.29,0.3,0.26,0.3,0.29,0.29,0.27,0.24,0.28,0.23,0.27,0.27,0.25,0.26,0.26,0.25,0.26,0.26,0.21,0.22,0.23,0.23,0.23,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.17,0.19,0.17,0.2,0.18,0.18,0.21,0.18,0.21,0.17,0.17,0.21,0.15,0.19,0.18,0.17,0.17,0.19,0.18,0.16,0.16,0.17,0.17,0.17,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.16,0.14,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.12,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.61,0.0,0.11,0.0,72.02000000000001
08/10/2021,2.36,1.67,1.81,1.83,1.78,1.52,1.66,1.36,1.19,1.12,1.17,1.11,1.06,1.09,0.83,0.92,0.91,0.86,0.84,0.77,0.75,0.79,0.81,0.79,0.75,0.69,0.7,0.62,0.61,0.63,0.57,0.59,0.58,0.54,0.56,0.54,0.47,0.51,0.46,0.44,0.45,0.44,0.39,0.47,0.42,0.43,0.4,0.36,0.36,0.4,0.37,0.36,0.37,0.35,0.35,0.39,0.37,0.37,0.33,0.34,0.34,0.3,0.33,0.33,0.28,0.28,0.31,0.3,0.33,0.3,0.32,0.31,0.29,0.29,0.3,0.29,0.27,0.29,0.3,0.26,0.29,0.29,0.3,0.27,0.24,0.28,0.23,0.26,0.28,0.26,0.25,0.26,0.25,0.26,0.26,0.2,0.22,0.23,0.23,0.23,0.2,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.18,0.19,0.17,0.2,0.18,0.19,0.2,0.18,0.21,0.17,0.17,0.2,0.15,0.19,0.18,0.17,0.17,0.19,0.19,0.17,0.16,0.17,0.16,0.17,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.12,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.11,0.12,0.11,0.11,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.1,0.0,71.99000000000001
08/11/2021,2.36,1.67,1.81,1.83,1.78,1.52,1.66,1.36,1.19,1.12,1.17,1.11,1.06,1.09,0.83,0.92,0.91,0.86,0.84,0.77,0.75,0.79,0.81,0.79,0.75,0.69,0.7,0.62,0.61,0.63,0.57,0.59,0.58,0.54,0.56,0.54,0.47,0.51,0.46,0.44,0.45,0.44,0.39,0.47,0.42,0.43,0.4,0.36,0.36,0.4,0.37,0.36,0.37,0.35,0.35,0.39,0.37,0.37,0.33,0.34,0.34,0.3,0.33,0.33,0.28,0.28,0.31,0.3,0.33,0.3,0.32,0.31,0.29,0.29,0.3,0.29,0.27,0.29,0.3,0.26,0.29,0.29,0.3,0.27,0.24,0.28,0.23,0.26,0.28,0.26,0.25,0.26,0.25,0.26,0.26,0.2,0.22,0.23,0.23,0.23,0.2,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.18,0.19,0.17,0.2,0.18,0.19,0.2,0.18,0.21,0.17,0.17,0.2,0.15,0.19,0.18,0.17,0.17,0.19,0.19,0.17,0.16,0.17,0.16,0.17,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.12,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.11,0.12,0.11,0.11,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.1,0.0,71.99000000000001
08/12/2021,2.37,1.65,1.81,1.83,1.79,1.51,1.66,1.38,1.19,1.11,1.18,1.12,1.05,1.12,0.83,0.91,0.91,0.87,0.84,0.77,0.75,0.78,0.82,0.8,0.75,0.69,0.7,0.6,0.0,0.63,0.57,0.59,0.58,0.54,0.57,0.55,0.47,0.51,0.46,0.44,0.44,0.44,0.38,0.47,0.42,0.43,0.4,0.35,0.36,0.4,0.37,0.36,0.36,0.35,0.35,0.39,0.37,0.37,0.33,0.34,0.34,0.3,0.33,0.33,0.28,0.28,0.32,0.3,0.34,0.3,0.32,0.31,0.29,0.29,0.3,0.29,0.27,0.29,0.3,0.26,0.29,0.29,0.3,0.27,0.24,0.28,0.22,0.26,0.29,0.26,0.25,0.26,0.25,0.26,0.26,0.2,0.23,0.23,0.23,0.23,0.19,0.22,0.22,0.21,0.2,0.21,0.21,0.21,0.18,0.19,0.17,0.2,0.18,0.19,0.2,0.18,0.21,0.17,0.17,0.2,0.14,0.19,0.18,0.17,0.17,0.2,0.19,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.12,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.0,0.11,0.11,0.12,0.11,0.11,0.0,0.0,0.11,0.0,0.1,0.61,0.0,0.0,0.1,72.05
08/13/2021,2.34,1.67,1.82,1.81,1.79,1.51,1.68,1.39,1.19,1.12,1.19,1.11,1.04,1.16,0.82,0.91,0.92,0.86,0.83,0.76,0.75,0.78,0.81,0.8,0.75,0.7,0.7,0.6,0.0,0.62,0.56,0.58,0.57,0.54,0.58,0.55,0.48,0.52,0.46,0.44,0.43,0.45,0.38,0.47,0.42,0.43,0.39,0.36,0.35,0.4,0.38,0.37,0.36,0.35,0.36,0.4,0.36,0.37,0.33,0.34,0.34,0.3,0.34,0.33,0.28,0.28,0.32,0.3,0.33,0.31,0.32,0.31,0.28,0.29,0.3,0.27,0.27,0.29,0.3,0.26,0.29,0.29,0.3,0.27,0.24,0.28,0.23,0.26,0.29,0.26,0.25,0.26,0.24,0.26,0.26,0.2,0.23,0.22,0.23,0.22,0.19,0.22,0.22,0.21,0.2,0.21,0.21,0.22,0.18,0.19,0.17,0.2,0.18,0.18,0.2,0.18,0.2,0.17,0.17,0.2,0.14,0.19,0.18,0.18,0.17,0.22,0.19,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.15,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.14,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.0,0.1,0.11,0.12,0.11,0.11,0.0,0.1,0.11,0.0,0.0,0.62,0.0,0.0,0.1,72.02000000000001
