,ISHARES 7-10 YEAR TREASURY BOND ET,ISHARES MBS ETF,ISHARES IBOXX $ HIGH YIELD CORP BO,ISHARES JPMORGAN USD EMERGING MARK,ISHARES 1-5 YR INV GRD CORP BD ETF,ISHARES 5-10 YR INV GRD CRP BD ETF,BLK CSH FND TREASURY SL AGENCY,USD CASH,MBB,IEF,HYG,EMB,IGSB,IGLB,n/a,XTSLA,SUM
07/09/2021,30.29,29.73,20.02,10.0,7.58,2.33,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,30.41,29.72,19.95,9.98,7.57,2.33,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09
07/13/2021,30.41,29.72,19.95,9.98,7.57,2.33,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09
07/14/2021,30.31,29.71,20.02,9.99,7.59,2.33,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
07/16/2021,30.28,29.76,20.01,9.99,7.59,2.33,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/19/2021,30.4,29.71,19.93,10.02,7.57,2.33,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,30.4,29.71,19.93,10.02,7.57,2.33,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/21/2021,30.41,29.72,19.92,10.01,7.57,2.33,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,30.61,29.71,19.74,9.99,7.56,2.34,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/23/2021,30.55,29.67,19.83,10.01,7.57,2.34,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,30.47,29.68,19.9,10.0,7.57,2.33,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,30.42,29.72,19.93,9.99,7.57,2.33,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,30.52,29.71,19.88,9.95,7.57,2.34,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,30.44,29.7,19.93,9.98,7.57,2.34,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,30.53,29.7,19.85,9.98,7.57,2.33,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
08/04/2021,30.53,29.7,19.85,9.98,7.57,2.33,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
08/05/2021,30.53,29.7,19.85,9.98,7.57,2.33,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
08/06/2021,30.61,29.69,19.79,9.98,7.56,2.34,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
10/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.28,29.73,20.09,9.82,8.72,1.33,0.03,0.01,100.01
10/18/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.28,29.73,20.09,9.82,8.72,1.33,0.03,0.01,100.01
