,V,UNH,NVDA,ADBE,ABT,MA,CB,SBUX,9020.T,ASML.AS,DHR,AXP,TSM,RO.SW,SSU.,ADP,CRM,CME,NOVN.SW,INTU,IEX,PAYX,GGG,MXIM,9432.T,DPW.DE,ISRG,APTV,7182.T,KEYS,SAP.DE,6178.T,TRMB,LNC,G.MI,390.HK,ITX.MC,MCO,ROP,D05.SI,ALLE,RE,INFO,BIIB,3690.HK,WN.TO,AON,VRTX,OTIS,HUM,6902.T,ACGL,HEK.SW,EWBC,SIVB,1299.HK,9433.T,XLNX,SKA B.ST,788.HK,MUV2.DE,FBHS,SYF,9984.T,WLTW,VRSK,AJG,Z74.SI,FFIV,SIRI,QRVO,ATD.B.TO,EXO.MI,SNPS,CGNX,BBD,SCMN.SW,ALLY,DNB.OL,DOX,POOL,CDW,VRSN,O39.SI,MG.TO,ADSK,ALXN,WAL,OTP.BD,7270.T,LH,SCB-R.BK,SBNY,3382.T,MRU.TO,ADVANC.BK,TER,U11.SI,1988.HK,IHG.L,TEL.OL,9434.T,BBCA.JK,GNRC,SCHN.SW,AENA.MC,NOVO B.CO,6752.T,HAS,TELIA.ST,GBLB.BR,RMD,FLTR.L,ANSS,CABO,BRO,4452.T,INVEA.ST,SREN.SW,CHKP,ENTG,RNO.PA,CSGP,STE,AGS.BR,BMRN,5802.T,RPRX,KBANK/F.BK,INCY,4661.T,175.HK,DOCU,11.HK,KNEBV.HE,PUB.PA,4901.T,BR,7269.T,1810.HK,OLED,8TRA.DE,MSCI,First American Government Obligs X,BBRI.JK,INF.L,SPOT,IT,STM.PA,FTNT,SAP.TO,TYL,ACKB.BR,UU.L,INW.MI,QSR,SPLK,TEAM,9983.T,SVT.L,IAC,XRAY,CDNS,PRAH,CREE,2238.HK,MTN.JO,BMRI.JK,ARW,ALFA.ST,SM.PM,HEXA B.ST,BY6.,2338.HK,2388.HK,PENN,DAR,CNP.PA,IDXX,SYKE,DXCM,MRNA,SGEN,FND,2611.HK,KN,BAP,4188.T,TTMI,EL.PA,6837.HK,4612.T,2601.HK,TLKM.JK,FDS,SY1.DE,6030.HK,WAT,NWBI,ORK.OL,RH,G,ALGN,4755.T,2427.T,FGXXX,ALNY,AZN,ARE.TO,RHI,n/a,600104.SS,600519.SS,000651.SZ,002475.SZ,HOPE,ADI,600741.SS,TTEK,HRC,9042.T,6098.T,KBANK.F.BK,CREEEUR,WOLF,CHH,PFS,MMI,MBT,SUM
07/09/2021,1.71,1.37,1.36,1.22,1.16,1.15,0.98,0.96,0.95,0.92,0.92,0.9,0.87,0.85,0.84,0.82,0.79,0.79,0.73,0.72,0.71,0.65,0.65,0.65,0.64,0.62,0.62,0.61,0.58,0.54,0.53,0.53,0.53,0.52,0.52,0.51,0.5,0.49,0.49,0.49,0.49,0.49,0.47,0.47,0.47,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.08
07/12/2021,1.75,1.39,1.37,1.27,1.19,1.16,0.98,0.99,0.97,0.94,0.94,0.93,0.87,0.87,0.84,0.83,0.8,0.76,0.74,0.74,0.72,0.66,0.67,0.63,0.63,0.63,0.63,0.59,0.57,0.55,0.56,0.53,0.53,0.5,0.51,0.51,0.49,0.51,0.51,0.49,0.49,0.48,0.48,0.48,0.42,0.45,0.45,0.43,0.44,0.44,0.43,0.41,0.42,0.4,0.4,0.41,0.41,0.39,0.41,0.4,0.39,0.39,0.38,0.37,0.38,0.39,0.38,0.36,0.36,0.37,0.36,0.35,0.35,0.35,0.35,0.32,0.35,0.34,0.33,0.33,0.34,0.34,0.33,0.33,0.31,0.32,0.31,0.31,0.29,0.31,0.31,0.29,0.3,0.3,0.3,0.3,0.28,0.3,0.29,0.29,0.28,0.28,0.28,0.29,0.28,0.27,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.23,0.22,0.21,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.2,0.18,0.19,0.19,0.2,0.29,0.18,0.18,0.17,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.16,0.18,0.16,0.17,0.17,0.0,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.12,0.11,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.32
07/13/2021,1.75,1.39,1.37,1.27,1.19,1.16,0.98,0.99,0.97,0.94,0.94,0.93,0.87,0.87,0.84,0.83,0.8,0.76,0.74,0.74,0.72,0.66,0.67,0.63,0.63,0.63,0.63,0.59,0.57,0.55,0.56,0.53,0.53,0.5,0.51,0.51,0.49,0.51,0.51,0.49,0.49,0.48,0.48,0.48,0.42,0.45,0.45,0.43,0.44,0.44,0.43,0.41,0.42,0.4,0.4,0.41,0.41,0.39,0.41,0.4,0.39,0.39,0.38,0.37,0.38,0.39,0.38,0.36,0.36,0.37,0.36,0.35,0.35,0.35,0.35,0.32,0.35,0.34,0.33,0.33,0.34,0.34,0.33,0.33,0.31,0.32,0.31,0.31,0.29,0.31,0.31,0.29,0.3,0.3,0.3,0.3,0.28,0.3,0.29,0.29,0.28,0.28,0.28,0.29,0.28,0.27,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.23,0.22,0.21,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.2,0.18,0.19,0.19,0.2,0.29,0.18,0.18,0.17,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.16,0.18,0.16,0.17,0.17,0.0,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.12,0.11,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.32
07/14/2021,1.74,1.4,1.35,1.28,1.19,1.16,0.97,0.99,0.99,0.92,0.94,0.92,0.88,0.88,0.83,0.83,0.8,0.77,0.74,0.75,0.72,0.67,0.67,0.62,0.65,0.63,0.64,0.59,0.58,0.55,0.56,0.54,0.53,0.49,0.51,0.5,0.49,0.51,0.5,0.49,0.48,0.46,0.48,0.5,0.39,0.45,0.45,0.43,0.44,0.44,0.43,0.4,0.42,0.4,0.4,0.41,0.42,0.39,0.41,0.4,0.39,0.38,0.37,0.38,0.38,0.39,0.38,0.37,0.37,0.36,0.36,0.36,0.34,0.36,0.35,0.32,0.35,0.34,0.33,0.33,0.34,0.34,0.34,0.32,0.31,0.32,0.31,0.3,0.3,0.31,0.31,0.29,0.3,0.31,0.31,0.3,0.28,0.29,0.29,0.28,0.29,0.29,0.28,0.29,0.28,0.27,0.28,0.28,0.27,0.27,0.26,0.27,0.25,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.22,0.21,0.23,0.22,0.21,0.22,0.21,0.21,0.19,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.2,0.18,0.19,0.19,0.2,0.31,0.18,0.18,0.17,0.19,0.18,0.19,0.18,0.19,0.17,0.18,0.18,0.17,0.17,0.18,0.17,0.18,0.15,0.16,0.17,0.0,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.15,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.38
07/15/2021,1.72,1.4,1.37,1.25,1.17,1.16,0.99,1.0,0.98,0.95,0.93,0.94,0.9,0.87,0.82,0.83,0.78,0.77,0.74,0.73,0.72,0.67,0.66,0.63,0.64,0.63,0.63,0.6,0.58,0.55,0.57,0.54,0.54,0.52,0.51,0.5,0.49,0.5,0.5,0.49,0.48,0.47,0.47,0.47,0.41,0.45,0.43,0.43,0.44,0.44,0.43,0.4,0.41,0.41,0.43,0.4,0.42,0.38,0.42,0.4,0.39,0.39,0.39,0.38,0.37,0.39,0.38,0.37,0.36,0.36,0.36,0.36,0.34,0.35,0.36,0.33,0.35,0.35,0.34,0.33,0.34,0.33,0.33,0.33,0.31,0.31,0.31,0.32,0.3,0.31,0.31,0.28,0.31,0.3,0.31,0.29,0.29,0.29,0.28,0.28,0.29,0.29,0.28,0.3,0.28,0.27,0.28,0.28,0.27,0.27,0.27,0.26,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.22,0.21,0.23,0.22,0.21,0.21,0.21,0.21,0.19,0.2,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.31,0.18,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.16,0.18,0.15,0.16,0.16,0.0,0.16,0.17,0.16,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.36999999999999
07/16/2021,1.72,1.4,1.37,1.25,1.17,1.16,0.99,1.0,0.98,0.95,0.93,0.94,0.9,0.87,0.82,0.83,0.78,0.77,0.74,0.73,0.72,0.67,0.66,0.63,0.64,0.63,0.63,0.6,0.58,0.55,0.57,0.54,0.54,0.52,0.51,0.5,0.49,0.5,0.5,0.49,0.48,0.47,0.47,0.47,0.41,0.45,0.43,0.43,0.44,0.44,0.43,0.4,0.41,0.41,0.43,0.4,0.42,0.38,0.42,0.4,0.39,0.39,0.39,0.38,0.37,0.39,0.38,0.37,0.36,0.36,0.36,0.36,0.34,0.35,0.36,0.33,0.35,0.35,0.34,0.33,0.34,0.33,0.33,0.33,0.31,0.31,0.31,0.32,0.3,0.31,0.31,0.28,0.31,0.3,0.31,0.29,0.29,0.29,0.28,0.28,0.29,0.29,0.28,0.3,0.28,0.27,0.28,0.28,0.27,0.27,0.27,0.26,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.22,0.21,0.23,0.22,0.21,0.21,0.21,0.21,0.19,0.2,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.31,0.18,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.16,0.18,0.15,0.16,0.16,0.0,0.16,0.17,0.16,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.36999999999999
07/19/2021,1.79,1.39,1.33,1.28,1.15,1.21,1.0,1.01,0.97,0.98,0.93,0.93,0.91,0.88,0.82,0.84,0.79,0.77,0.74,0.74,0.72,0.67,0.65,0.63,0.65,0.63,0.64,0.6,0.59,0.56,0.57,0.55,0.53,0.5,0.51,0.5,0.48,0.51,0.51,0.49,0.47,0.46,0.47,0.47,0.42,0.45,0.43,0.43,0.45,0.44,0.43,0.4,0.41,0.4,0.42,0.4,0.42,0.38,0.42,0.4,0.39,0.38,0.38,0.39,0.37,0.39,0.38,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.35,0.35,0.33,0.33,0.34,0.33,0.33,0.33,0.31,0.32,0.31,0.31,0.29,0.31,0.31,0.28,0.3,0.3,0.31,0.29,0.29,0.3,0.29,0.27,0.28,0.29,0.28,0.29,0.28,0.26,0.28,0.28,0.27,0.27,0.27,0.26,0.24,0.25,0.24,0.23,0.24,0.24,0.23,0.24,0.22,0.2,0.23,0.23,0.21,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.2,0.33,0.17,0.18,0.17,0.18,0.19,0.19,0.17,0.18,0.17,0.19,0.18,0.17,0.16,0.17,0.16,0.18,0.15,0.16,0.17,0.0,0.15,0.16,0.16,0.15,0.15,0.16,0.15,0.16,0.14,0.14,0.14,0.13,0.14,0.15,0.15,0.14,0.15,0.15,0.12,0.14,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.0,0.11,0.12,0.12,0.12,0.0,0.12,0.11,0.12,0.0,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.35
07/20/2021,1.83,1.42,1.28,1.29,1.16,1.22,1.02,1.01,0.96,0.97,0.96,0.94,0.87,0.88,0.84,0.86,0.78,0.78,0.74,0.74,0.73,0.68,0.66,0.62,0.65,0.63,0.64,0.59,0.59,0.56,0.57,0.55,0.52,0.51,0.51,0.5,0.46,0.51,0.51,0.49,0.48,0.47,0.48,0.44,0.42,0.46,0.44,0.44,0.45,0.45,0.43,0.4,0.41,0.41,0.43,0.41,0.43,0.37,0.41,0.4,0.39,0.38,0.38,0.39,0.37,0.4,0.38,0.37,0.36,0.36,0.36,0.38,0.34,0.35,0.35,0.34,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.33,0.31,0.32,0.31,0.32,0.3,0.31,0.31,0.29,0.31,0.3,0.31,0.3,0.28,0.3,0.29,0.28,0.29,0.29,0.28,0.29,0.28,0.26,0.28,0.28,0.27,0.27,0.27,0.26,0.23,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.22,0.2,0.23,0.23,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.21,0.19,0.19,0.19,0.19,0.2,0.0,0.18,0.18,0.17,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.17,0.16,0.17,0.16,0.18,0.15,0.16,0.17,0.0,0.15,0.16,0.16,0.16,0.15,0.16,0.14,0.16,0.14,0.14,0.15,0.13,0.15,0.15,0.15,0.14,0.15,0.16,0.13,0.14,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.12,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.47
07/21/2021,1.83,1.43,1.24,1.29,1.17,1.22,1.03,1.02,0.95,0.96,0.97,0.93,0.86,0.9,0.83,0.86,0.78,0.77,0.74,0.74,0.74,0.68,0.66,0.61,0.65,0.63,0.64,0.58,0.59,0.55,0.57,0.55,0.51,0.49,0.51,0.5,0.47,0.52,0.51,0.49,0.49,0.47,0.48,0.44,0.43,0.47,0.44,0.44,0.45,0.46,0.43,0.4,0.42,0.4,0.41,0.41,0.42,0.37,0.42,0.4,0.39,0.38,0.37,0.38,0.37,0.41,0.38,0.37,0.36,0.36,0.36,0.38,0.34,0.35,0.35,0.33,0.36,0.34,0.32,0.33,0.33,0.33,0.33,0.33,0.3,0.32,0.31,0.31,0.3,0.31,0.31,0.29,0.29,0.3,0.32,0.3,0.28,0.3,0.29,0.28,0.29,0.29,0.28,0.29,0.28,0.26,0.29,0.29,0.27,0.28,0.27,0.27,0.23,0.25,0.24,0.24,0.24,0.25,0.23,0.24,0.21,0.19,0.23,0.23,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.21,0.2,0.2,0.18,0.19,0.2,0.0,0.18,0.18,0.17,0.19,0.19,0.19,0.17,0.19,0.18,0.19,0.18,0.17,0.17,0.17,0.16,0.18,0.15,0.16,0.17,0.0,0.14,0.16,0.16,0.16,0.15,0.16,0.14,0.16,0.14,0.14,0.14,0.13,0.14,0.15,0.15,0.15,0.15,0.17,0.13,0.14,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.12,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.44
07/22/2021,1.83,1.43,1.24,1.29,1.17,1.22,1.03,1.02,0.95,0.96,0.97,0.93,0.86,0.9,0.83,0.86,0.78,0.77,0.74,0.74,0.74,0.68,0.66,0.61,0.65,0.63,0.64,0.58,0.59,0.55,0.57,0.55,0.51,0.49,0.51,0.5,0.47,0.52,0.51,0.49,0.49,0.47,0.48,0.44,0.43,0.47,0.44,0.44,0.45,0.46,0.43,0.4,0.42,0.4,0.41,0.41,0.42,0.37,0.42,0.4,0.39,0.38,0.37,0.38,0.37,0.41,0.38,0.37,0.36,0.36,0.36,0.38,0.34,0.35,0.35,0.33,0.36,0.34,0.32,0.33,0.33,0.33,0.33,0.33,0.3,0.32,0.31,0.31,0.3,0.31,0.31,0.29,0.29,0.3,0.32,0.3,0.28,0.3,0.29,0.28,0.29,0.29,0.28,0.29,0.28,0.26,0.29,0.29,0.27,0.28,0.27,0.27,0.23,0.25,0.24,0.24,0.24,0.25,0.23,0.24,0.21,0.19,0.23,0.23,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.2,0.2,0.19,0.2,0.21,0.2,0.2,0.18,0.19,0.2,0.0,0.18,0.18,0.17,0.19,0.19,0.19,0.17,0.19,0.18,0.19,0.18,0.17,0.17,0.17,0.16,0.18,0.15,0.16,0.17,0.0,0.14,0.16,0.16,0.16,0.15,0.16,0.14,0.16,0.14,0.14,0.14,0.13,0.14,0.15,0.15,0.15,0.15,0.17,0.13,0.14,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.12,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.44
