,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,Ishares Msci Eafe (Efa) Swap Goldman Sachs International - Cash Offset,Ishares Msci Eafe (Efa) Swap Citibank Na - Cash Offset,Ishares Msci Eafe (Efa) Swap Societe Generale - Cash Offset,Ishares Msci Eafe (Efa) Swap Ubs Ag - Cash Offset,Ishares Msci Eafe (Efa) Swap Ubs Ag,Ishares Msci Eafe (Efa) Swap Societe Generale,Ishares Msci Eafe (Efa) Swap Citibank Na,Ishares Msci Eafe (Efa) Swap Goldman Sachs International,SUM
07/09/2021,100.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/14/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/15/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/16/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/19/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/20/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/21/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/22/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/23/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/26/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/27/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/28/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/29/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
07/30/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
08/02/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
08/03/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
08/04/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
08/05/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47,23.76,21.99,12.06,-12.06,-21.99,-23.76,-42.47,100.0
08/06/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.45,19.81,17.41,13.85,-13.85,-17.41,-19.81,-48.45,99.99999999999999
