,INDA,005380.KS,2330.TW,INFY,VALE3.SA,000270.KS,GAZP.ME,LKOH.ME,096770.KS,2454.TW,RIGDS.,700.HK,3481.TW,3690.HK,012330.KS,JD,005490.KS,GMKN.ME,066570.KS,NPN.JO,000660.KS,2409.TW,WIT,GFI.JO,015760.KS,2303.TW,DELTA/F.BK,291.HK,035420.KS,NTES,SNPMF,BIDU,M4B.,RDY,PTT/F.BK,055550.KS,SCC/F.BK,VEDL,TTM,034220.KS,HDB,PETR4.SA,2357.TW,2020.HK,2313.HK,IMP.JO,3034.TW,017670.KS,MTSS.ME,AMXL.MX,MTN.JO,KT,051910.KS,2308.TW,WALMEX.MX,HSBC Bank plc 0%,GGBR4.SA,2317.TW,WEGE3.SA,HSBC Bank plc 0%.1,ROSN.ME,CHMF.ME,SBID.L,2333.HK,033780.KS,004020.KS,2881.TW,GMEXICOB.MX,SNGS.ME,JBSS3.SA,4938.TW,006400.KS,NVTK.ME,SOL.JO,034730.KS,4338.SR,TME,2382.TW,B3SA3.SA,ANG.JO,035720.KS,1101.TW,000810.KS,2688.HK,2891.TW,688.HK,ABEV3.SA,GOAU4.SA,NLMK.ME,992.HK,175.HK,032830.KS,3323.HK,034020.KS,2377.TW,4338.SR.1,BBAS3.SA,ALRS.ME,TCOM,2002.TW,139480.KS,BY6.,003550.KS,4338.SR.2,028260.KS,2319.HK,2412.TW,1301.TW,009150.KS,4338.SR.3,SBER.ME,AFKS.ME,CSNA3.SA,2886.TW,358.HK,036570.KS,PTTGC/F.BK,1088.HK,MGNT.ME,2353.TW,KGH.WA,VIPS,TLKM.JK,1216.TW,CPF/F.BK,1326.TW,SUZB3.SA,161390.KS,CEMEXCPO.MX,CMIG4.SA,PKN.WA,2301.TW,YUMC,1102.TW,2882.TW,PBBANK.KL,1044.HK,IRAO.ME,CENCOSUD.SN,CPALL/F.BK,PLZL.ME,086280.KS,6239.TW,267250.KS,000880.KS,KLBN11.SA,SHP.JO,UGPA3.SA,078930.KS,2603.TW,006260.KS,1303.TW,097950.KS,2382.HK,KIO.JO,001230.KS,4338.SR.4,023530.KS,138930.KS,916.HK,168.HK,2899.HK,3231.TW,ADVANC/F.BK,FALABELLA.SN,493.HK,BPAC11.SA,051900.KS,CPLE6.SA,032640.KS,024110.KS,1171.HK,ITUB4.SA,2324.TW,TCELL.IS,ASII.JK,SBK.JO,KBANK/F.BK,3045.TW,TU/F.BK,2892.TW,1193.HK,MAGN.ME,001040.KS,021240.KS,2890.TW,2347.TW,KIMBERA.MX,BS6.SI,SQM/B.SN,4338.SR.5,035250.KS,JSW.WA,902.HK,001450.KS,AQE.,036460.KS,RADL3.SA,HSBC Bank plc 0%.2,4338.SR.6,IBN,n/a,030200.KS,1120.SR,2010.SR,AXB.L,VTBR.ME,LTOD.L,1605.TW,857.HK,EXX.JO,836.HK,2474.TW,YX75.L,77NS.L,BRDT3.SA,BBL/F.BK,2222.SR,135.HK,2883.TW,BIMAS.E.IS,1402.TW,2615.TW,TCELL.E.IS,2395.TW,2884.TW,1658.HK,5871.TW,003490.KS,TATN.ME,2356.TW,7010.SR,088350.KS,3711.TW,DELTA.F.BK,PTT.F.BK,SCC.F.BK,PTTGC.F.BK,CPF.F.BK,CPALL.F.BK,BBL.F.BK,ADVANC.F.BK,SQM.B.SN,TU.F.BK,KBANK.F.BK,CLV.,EUROB.AT,939.HK,VBBR3.SA,84CG.L,TUPRS.E.IS,267.HK,316.HK,IRPC.F.BK,3008.TW,PZU.WA,HTO.AT,8112.TW,2915.TW,2388.HK,2207.TW,2912.TW,1099.HK,000060.KS,010130.KS,TRNFP.ME,489.HK,2020.SR,SPRC.F.BK,CAP.SN,2290.SR,TOP.F.BK,322.HK,SAHOL.E.IS,138040.KS,SUM
07/09/2021,4.3,3.48,2.93,2.84,2.8,2.48,1.47,1.42,1.38,1.33,1.33,1.28,1.25,1.11,1.04,1.0,0.98,0.97,0.93,0.81,0.8,0.77,0.77,0.76,0.76,0.73,0.71,0.67,0.67,0.65,0.63,0.63,0.62,0.61,0.61,0.58,0.57,0.51,0.51,0.5,0.5,0.49,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06
09/17/2021,4.7,2.04,2.47,3.53,2.16,2.38,2.19,1.5,1.48,1.08,0.0,0.7,1.04,0.79,1.03,0.0,1.28,0.83,0.93,0.0,0.64,0.6,0.86,0.71,0.62,1.0,0.69,0.64,0.37,0.0,0.76,0.27,0.37,0.45,0.58,0.63,0.55,0.49,0.54,0.49,0.63,0.34,0.41,0.34,0.3,0.46,0.37,0.51,0.42,0.61,0.49,0.0,0.18,0.32,0.42,0.0,0.41,0.46,0.38,0.0,0.39,0.37,0.36,0.48,0.33,0.35,0.67,0.36,0.31,0.35,0.35,0.18,0.43,0.29,0.25,0.0,0.0,0.26,0.0,0.2,0.2,0.37,0.29,0.3,0.26,0.32,0.27,0.23,0.26,0.24,0.14,0.28,0.34,0.33,0.21,0.0,0.29,0.23,0.12,0.52,0.28,0.27,0.25,0.0,0.0,0.14,0.3,0.39,0.0,0.0,0.57,0.17,0.15,0.2,0.21,0.15,0.2,0.31,0.2,0.21,0.16,0.0,0.19,0.18,0.18,0.18,0.17,0.15,0.0,0.26,0.22,0.15,0.16,0.17,0.39,0.17,0.15,0.15,0.12,0.17,0.12,0.19,0.17,0.14,0.17,0.15,0.18,0.15,0.15,0.14,0.13,0.37,0.14,0.13,0.14,0.16,0.0,0.12,0.16,0.0,0.12,0.0,0.17,0.15,0.12,0.0,0.14,0.12,0.0,0.17,0.17,0.17,0.14,0.24,0.0,0.13,0.13,0.13,0.13,0.13,0.12,0.17,0.14,0.0,0.0,0.12,0.0,0.11,0.15,0.13,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.0,0.0,0.0,0.65,0.58,0.47,0.46,0.37,0.37,0.35,0.24,0.22,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.81
09/20/2021,4.7,2.04,2.47,3.53,2.16,2.38,2.19,1.5,1.48,1.08,0.0,0.7,1.04,0.79,1.03,0.0,1.28,0.83,0.93,0.0,0.64,0.6,0.86,0.71,0.62,1.0,0.69,0.64,0.37,0.0,0.76,0.27,0.37,0.45,0.58,0.63,0.55,0.49,0.54,0.49,0.63,0.34,0.41,0.34,0.3,0.46,0.37,0.51,0.42,0.61,0.49,0.0,0.18,0.32,0.42,0.0,0.41,0.46,0.38,0.0,0.39,0.37,0.36,0.48,0.33,0.35,0.67,0.36,0.31,0.35,0.35,0.18,0.43,0.29,0.25,0.0,0.0,0.26,0.0,0.2,0.2,0.37,0.29,0.3,0.26,0.32,0.27,0.23,0.26,0.24,0.14,0.28,0.34,0.33,0.21,0.0,0.29,0.23,0.12,0.52,0.28,0.27,0.25,0.0,0.0,0.14,0.3,0.39,0.0,0.0,0.57,0.17,0.15,0.2,0.21,0.15,0.2,0.31,0.2,0.21,0.16,0.0,0.19,0.18,0.18,0.18,0.17,0.15,0.0,0.26,0.22,0.15,0.16,0.17,0.39,0.17,0.15,0.15,0.12,0.17,0.12,0.19,0.17,0.14,0.17,0.15,0.18,0.15,0.15,0.14,0.13,0.37,0.14,0.13,0.14,0.16,0.0,0.12,0.16,0.0,0.12,0.0,0.17,0.15,0.12,0.0,0.14,0.12,0.0,0.17,0.17,0.17,0.14,0.24,0.0,0.13,0.13,0.13,0.13,0.13,0.12,0.17,0.14,0.0,0.0,0.12,0.0,0.11,0.15,0.13,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.0,0.0,0.0,0.65,0.58,0.47,0.46,0.37,0.37,0.35,0.24,0.22,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.81
09/22/2021,4.7,2.04,2.47,3.53,2.16,2.38,2.19,1.5,1.48,1.08,0.0,0.7,1.04,0.79,1.03,0.0,1.28,0.83,0.93,0.0,0.64,0.6,0.86,0.71,0.62,1.0,0.69,0.64,0.37,0.0,0.76,0.27,0.37,0.45,0.58,0.63,0.55,0.49,0.54,0.49,0.63,0.34,0.41,0.34,0.3,0.46,0.37,0.51,0.42,0.61,0.49,0.0,0.18,0.32,0.42,0.0,0.41,0.46,0.38,0.0,0.39,0.37,0.36,0.48,0.33,0.35,0.67,0.36,0.31,0.35,0.35,0.18,0.43,0.29,0.25,0.0,0.0,0.26,0.0,0.2,0.2,0.37,0.29,0.3,0.26,0.32,0.27,0.23,0.26,0.24,0.14,0.28,0.34,0.33,0.21,0.0,0.29,0.23,0.12,0.52,0.28,0.27,0.25,0.0,0.0,0.14,0.3,0.39,0.0,0.0,0.57,0.17,0.15,0.2,0.21,0.15,0.2,0.31,0.2,0.21,0.16,0.0,0.19,0.18,0.18,0.18,0.17,0.15,0.0,0.26,0.22,0.15,0.16,0.17,0.39,0.17,0.15,0.15,0.12,0.17,0.12,0.19,0.17,0.14,0.17,0.15,0.18,0.15,0.15,0.14,0.13,0.37,0.14,0.13,0.14,0.16,0.0,0.12,0.16,0.0,0.12,0.0,0.17,0.15,0.12,0.0,0.14,0.12,0.0,0.17,0.17,0.17,0.14,0.24,0.0,0.13,0.13,0.13,0.13,0.13,0.12,0.17,0.14,0.0,0.0,0.12,0.0,0.11,0.15,0.13,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.0,0.0,0.0,0.65,0.58,0.47,0.46,0.37,0.37,0.35,0.24,0.22,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.81
09/23/2021,4.7,2.04,2.47,3.53,2.16,2.38,2.19,1.5,1.48,1.08,0.0,0.7,1.04,0.79,1.03,0.0,1.28,0.83,0.93,0.0,0.64,0.6,0.86,0.71,0.62,1.0,0.69,0.64,0.37,0.0,0.76,0.27,0.37,0.45,0.58,0.63,0.55,0.49,0.54,0.49,0.63,0.34,0.41,0.34,0.3,0.46,0.37,0.51,0.42,0.61,0.49,0.0,0.18,0.32,0.42,0.0,0.41,0.46,0.38,0.0,0.39,0.37,0.36,0.48,0.33,0.35,0.67,0.36,0.31,0.35,0.35,0.18,0.43,0.29,0.25,0.0,0.0,0.26,0.0,0.2,0.2,0.37,0.29,0.3,0.26,0.32,0.27,0.23,0.26,0.24,0.14,0.28,0.34,0.33,0.21,0.0,0.29,0.23,0.12,0.52,0.28,0.27,0.25,0.0,0.0,0.14,0.3,0.39,0.0,0.0,0.57,0.17,0.15,0.2,0.21,0.15,0.2,0.31,0.2,0.21,0.16,0.0,0.19,0.18,0.18,0.18,0.17,0.15,0.0,0.26,0.22,0.15,0.16,0.17,0.39,0.17,0.15,0.15,0.12,0.17,0.12,0.19,0.17,0.14,0.17,0.15,0.18,0.15,0.15,0.14,0.13,0.37,0.14,0.13,0.14,0.16,0.0,0.12,0.16,0.0,0.12,0.0,0.17,0.15,0.12,0.0,0.14,0.12,0.0,0.17,0.17,0.17,0.14,0.24,0.0,0.13,0.13,0.13,0.13,0.13,0.12,0.17,0.14,0.0,0.0,0.12,0.0,0.11,0.15,0.13,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.0,0.0,0.0,0.65,0.58,0.47,0.46,0.37,0.37,0.35,0.24,0.22,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.81
09/24/2021,4.7,2.04,2.47,3.53,2.16,2.38,2.19,1.5,1.48,1.08,0.0,0.7,1.04,0.79,1.03,0.0,1.28,0.83,0.93,0.0,0.64,0.6,0.86,0.71,0.62,1.0,0.69,0.64,0.37,0.0,0.76,0.27,0.37,0.45,0.58,0.63,0.55,0.49,0.54,0.49,0.63,0.34,0.41,0.34,0.3,0.46,0.37,0.51,0.42,0.61,0.49,0.0,0.18,0.32,0.42,0.0,0.41,0.46,0.38,0.0,0.39,0.37,0.36,0.48,0.33,0.35,0.67,0.36,0.31,0.35,0.35,0.18,0.43,0.29,0.25,0.0,0.0,0.26,0.0,0.2,0.2,0.37,0.29,0.3,0.26,0.32,0.27,0.23,0.26,0.24,0.14,0.28,0.34,0.33,0.21,0.0,0.29,0.23,0.12,0.52,0.28,0.27,0.25,0.0,0.0,0.14,0.3,0.39,0.0,0.0,0.57,0.17,0.15,0.2,0.21,0.15,0.2,0.31,0.2,0.21,0.16,0.0,0.19,0.18,0.18,0.18,0.17,0.15,0.0,0.26,0.22,0.15,0.16,0.17,0.39,0.17,0.15,0.15,0.12,0.17,0.12,0.19,0.17,0.14,0.17,0.15,0.18,0.15,0.15,0.14,0.13,0.37,0.14,0.13,0.14,0.16,0.0,0.12,0.16,0.0,0.12,0.0,0.17,0.15,0.12,0.0,0.14,0.12,0.0,0.17,0.17,0.17,0.14,0.24,0.0,0.13,0.13,0.13,0.13,0.13,0.12,0.17,0.14,0.0,0.0,0.12,0.0,0.11,0.15,0.13,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.0,0.0,0.0,0.65,0.58,0.47,0.46,0.37,0.37,0.35,0.24,0.22,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.81
09/27/2021,4.7,2.04,2.47,3.53,2.16,2.38,2.19,1.5,1.48,1.08,0.0,0.7,1.04,0.79,1.03,0.0,1.28,0.83,0.93,0.0,0.64,0.6,0.86,0.71,0.62,1.0,0.69,0.64,0.37,0.0,0.76,0.27,0.37,0.45,0.58,0.63,0.55,0.49,0.54,0.49,0.63,0.34,0.41,0.34,0.3,0.46,0.37,0.51,0.42,0.61,0.49,0.0,0.18,0.32,0.42,0.0,0.41,0.46,0.38,0.0,0.39,0.37,0.36,0.48,0.33,0.35,0.67,0.36,0.31,0.35,0.35,0.18,0.43,0.29,0.25,0.0,0.0,0.26,0.0,0.2,0.2,0.37,0.29,0.3,0.26,0.32,0.27,0.23,0.26,0.24,0.14,0.28,0.34,0.33,0.21,0.0,0.29,0.23,0.12,0.52,0.28,0.27,0.25,0.0,0.0,0.14,0.3,0.39,0.0,0.0,0.57,0.17,0.15,0.2,0.21,0.15,0.2,0.31,0.2,0.21,0.16,0.0,0.19,0.18,0.18,0.18,0.17,0.15,0.0,0.26,0.22,0.15,0.16,0.17,0.39,0.17,0.15,0.15,0.12,0.17,0.12,0.19,0.17,0.14,0.17,0.15,0.18,0.15,0.15,0.14,0.13,0.37,0.14,0.13,0.14,0.16,0.0,0.12,0.16,0.0,0.12,0.0,0.17,0.15,0.12,0.0,0.14,0.12,0.0,0.17,0.17,0.17,0.14,0.24,0.0,0.13,0.13,0.13,0.13,0.13,0.12,0.17,0.14,0.0,0.0,0.12,0.0,0.11,0.15,0.13,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.0,0.0,0.0,0.65,0.58,0.47,0.46,0.37,0.37,0.35,0.24,0.22,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.81
09/29/2021,4.7,2.04,2.47,3.53,2.16,2.38,2.19,1.5,1.48,1.08,0.0,0.7,1.04,0.79,1.03,0.0,1.28,0.83,0.93,0.0,0.64,0.6,0.86,0.71,0.62,1.0,0.69,0.64,0.37,0.0,0.76,0.27,0.37,0.45,0.58,0.63,0.55,0.49,0.54,0.49,0.63,0.34,0.41,0.34,0.3,0.46,0.37,0.51,0.42,0.61,0.49,0.0,0.18,0.32,0.42,0.0,0.41,0.46,0.38,0.0,0.39,0.37,0.36,0.48,0.33,0.35,0.67,0.36,0.31,0.35,0.35,0.18,0.43,0.29,0.25,0.0,0.0,0.26,0.0,0.2,0.2,0.37,0.29,0.3,0.26,0.32,0.27,0.23,0.26,0.24,0.14,0.28,0.34,0.33,0.21,0.0,0.29,0.23,0.12,0.52,0.28,0.27,0.25,0.0,0.0,0.14,0.3,0.39,0.0,0.0,0.57,0.17,0.15,0.2,0.21,0.15,0.2,0.31,0.2,0.21,0.16,0.0,0.19,0.18,0.18,0.18,0.17,0.15,0.0,0.26,0.22,0.15,0.16,0.17,0.39,0.17,0.15,0.15,0.12,0.17,0.12,0.19,0.17,0.14,0.17,0.15,0.18,0.15,0.15,0.14,0.13,0.37,0.14,0.13,0.14,0.16,0.0,0.12,0.16,0.0,0.12,0.0,0.17,0.15,0.12,0.0,0.14,0.12,0.0,0.17,0.17,0.17,0.14,0.24,0.0,0.13,0.13,0.13,0.13,0.13,0.12,0.17,0.14,0.0,0.0,0.12,0.0,0.11,0.15,0.13,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.0,0.0,0.0,0.65,0.58,0.47,0.46,0.37,0.37,0.35,0.24,0.22,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.81
10/01/2021,4.7,2.04,2.47,3.53,2.16,2.38,2.19,1.5,1.48,1.08,0.0,0.7,1.04,0.79,1.03,0.0,1.28,0.83,0.93,0.0,0.64,0.6,0.86,0.71,0.62,1.0,0.69,0.64,0.37,0.0,0.76,0.27,0.37,0.45,0.58,0.63,0.55,0.49,0.54,0.49,0.63,0.34,0.41,0.34,0.3,0.46,0.37,0.51,0.42,0.61,0.49,0.0,0.18,0.32,0.42,0.0,0.41,0.46,0.38,0.0,0.39,0.37,0.36,0.48,0.33,0.35,0.67,0.36,0.31,0.35,0.35,0.18,0.43,0.29,0.25,0.0,0.0,0.26,0.0,0.2,0.2,0.37,0.29,0.3,0.26,0.32,0.27,0.23,0.26,0.24,0.14,0.28,0.34,0.33,0.21,0.0,0.29,0.23,0.12,0.52,0.28,0.27,0.25,0.0,0.0,0.14,0.3,0.39,0.0,0.0,0.57,0.17,0.15,0.2,0.21,0.15,0.2,0.31,0.2,0.21,0.16,0.0,0.19,0.18,0.18,0.18,0.17,0.15,0.0,0.26,0.22,0.15,0.16,0.17,0.39,0.17,0.15,0.15,0.12,0.17,0.12,0.19,0.17,0.14,0.17,0.15,0.18,0.15,0.15,0.14,0.13,0.37,0.14,0.13,0.14,0.16,0.0,0.12,0.16,0.0,0.12,0.0,0.17,0.15,0.12,0.0,0.14,0.12,0.0,0.17,0.17,0.17,0.14,0.24,0.0,0.13,0.13,0.13,0.13,0.13,0.12,0.17,0.14,0.0,0.0,0.12,0.0,0.11,0.15,0.13,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.0,0.0,0.0,0.65,0.58,0.47,0.46,0.37,0.37,0.35,0.24,0.22,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.81
10/04/2021,4.7,2.04,2.47,3.53,2.16,2.38,2.19,1.5,1.48,1.08,0.0,0.7,1.04,0.79,1.03,0.0,1.28,0.83,0.93,0.0,0.64,0.6,0.86,0.71,0.62,1.0,0.69,0.64,0.37,0.0,0.76,0.27,0.37,0.45,0.58,0.63,0.55,0.49,0.54,0.49,0.63,0.34,0.41,0.34,0.3,0.46,0.37,0.51,0.42,0.61,0.49,0.0,0.18,0.32,0.42,0.0,0.41,0.46,0.38,0.0,0.39,0.37,0.36,0.48,0.33,0.35,0.67,0.36,0.31,0.35,0.35,0.18,0.43,0.29,0.25,0.0,0.0,0.26,0.0,0.2,0.2,0.37,0.29,0.3,0.26,0.32,0.27,0.23,0.26,0.24,0.14,0.28,0.34,0.33,0.21,0.0,0.29,0.23,0.12,0.52,0.28,0.27,0.25,0.0,0.0,0.14,0.3,0.39,0.0,0.0,0.57,0.17,0.15,0.2,0.21,0.15,0.2,0.31,0.2,0.21,0.16,0.0,0.19,0.18,0.18,0.18,0.17,0.15,0.0,0.26,0.22,0.15,0.16,0.17,0.39,0.17,0.15,0.15,0.12,0.17,0.12,0.19,0.17,0.14,0.17,0.15,0.18,0.15,0.15,0.14,0.13,0.37,0.14,0.13,0.14,0.16,0.0,0.12,0.16,0.0,0.12,0.0,0.17,0.15,0.12,0.0,0.14,0.12,0.0,0.17,0.17,0.17,0.14,0.24,0.0,0.13,0.13,0.13,0.13,0.13,0.12,0.17,0.14,0.0,0.0,0.12,0.0,0.11,0.15,0.13,0.0,0.0,0.0,0.16,0.0,0.0,0.12,0.0,0.0,0.0,0.65,0.58,0.47,0.46,0.37,0.37,0.35,0.24,0.22,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.81
