,NIBE B.ST,916.HK,RNW.TO,SU.PA,AMRC,006400.KS,HUBB,APTV,956.HK,IBE.MC,HLE.DE,NEE,ST,968.HK,JMAT.L,ON,THRM,051910.KS,VWS.CO,FSLR,ITRI,IFX.DE,SGRE.MC,CSIQ,ABIO.PA,ORA,ENPH,TPIC,SEDG,Us Dollars,4165.T,Iberdrola Sa Rights Expire 12/31/49 /Eur/,Hong Kong Dollar,Canadian Dollar,IBERDROLA SA RIGHTS EXPIRE 12/31/49 /EUR/,Euro,n/a,1164.HK,7342.T,SUM
07/09/2021,4.98,4.17,4.16,4.12,4.07,3.95,3.91,3.9,3.89,3.89,3.85,3.78,3.69,3.67,3.67,3.61,3.55,3.48,3.45,3.42,3.31,3.21,3.18,2.74,2.44,2.11,1.78,1.68,1.53,0.81,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/12/2021,5.0,4.33,4.29,4.15,4.04,4.0,3.95,3.75,3.75,3.85,3.84,3.89,3.63,3.78,3.7,3.51,3.43,3.52,3.51,3.44,3.26,3.19,3.21,2.67,2.46,2.1,1.75,1.64,1.47,0.79,0.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/13/2021,5.0,4.33,4.29,4.15,4.04,4.0,3.95,3.75,3.75,3.85,3.84,3.89,3.63,3.78,3.7,3.51,3.43,3.52,3.51,3.44,3.26,3.19,3.21,2.67,2.46,2.1,1.75,1.64,1.47,0.79,0.0,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/14/2021,4.98,4.23,4.26,4.24,4.07,3.99,3.99,3.81,3.69,3.84,3.91,3.84,3.67,3.73,3.77,3.57,3.47,3.38,3.41,3.5,3.28,3.22,3.1,2.61,2.42,2.12,1.77,1.63,1.49,0.87,0.0,0.0,0.04,0.0,0.1,0.0,0.0,0.0,0.0,100.0
07/15/2021,4.97,4.15,4.16,4.2,4.12,3.89,3.97,3.82,4.13,3.82,3.87,3.78,3.64,3.75,3.69,3.57,3.41,3.39,3.45,3.51,3.25,3.14,3.13,2.71,2.42,2.07,1.76,1.62,1.47,0.89,0.0,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.0,100.0
07/16/2021,5.02,4.19,4.17,4.19,4.09,3.98,3.93,3.81,4.35,3.8,3.88,3.78,3.58,3.86,3.71,3.54,3.38,3.35,3.42,3.46,3.22,3.14,3.03,2.65,2.43,2.09,1.74,1.64,1.46,0.9,0.0,0.0,0.15,0.0,0.09,0.0,0.0,0.0,0.0,100.03
07/19/2021,5.24,4.28,4.19,4.25,4.0,4.14,4.12,3.82,4.36,3.86,3.91,3.99,3.62,3.8,3.77,3.49,3.43,3.38,3.27,3.29,3.26,3.21,2.62,2.51,2.4,2.12,1.61,1.49,1.37,1.12,0.0,0.0,0.0,0.0,0.1,-0.02,0.0,0.0,0.0,100.0
08/20/2021,4.1,4.1,3.91,4.41,3.62,4.11,4.09,3.81,3.93,3.72,3.94,4.22,3.7,3.47,3.42,3.9,4.07,3.7,3.25,3.48,2.57,3.49,2.73,2.41,2.37,2.01,1.54,1.32,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,100.01
08/23/2021,4.53,4.07,3.79,4.38,3.67,4.03,4.0,3.69,3.83,3.85,3.92,4.26,3.6,3.61,3.43,3.81,4.04,3.71,3.39,3.46,2.53,3.45,2.82,2.23,2.49,2.02,1.54,1.28,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,100.01000000000002
08/24/2021,4.61,4.07,3.78,4.3,3.7,3.96,4.03,3.68,3.89,3.85,3.89,4.29,3.58,3.56,3.39,3.82,4.08,3.68,3.41,3.48,2.53,3.5,2.79,2.22,2.5,1.99,1.55,1.32,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,100.01999999999995
08/25/2021,4.61,4.07,3.78,4.3,3.7,3.96,4.03,3.68,3.89,3.85,3.89,4.29,3.58,3.56,3.39,3.82,4.08,3.68,3.41,3.48,2.53,3.5,2.79,2.22,2.5,1.99,1.55,1.32,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,100.01999999999995
08/26/2021,4.67,4.46,3.74,4.25,3.79,4.05,3.98,3.64,4.16,3.77,3.84,4.13,3.56,3.63,3.38,3.84,4.01,3.24,3.41,3.48,2.54,3.46,2.77,2.31,2.46,1.96,1.58,1.34,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,100.00999999999999
