,2330.TW,3690.HK,NPN.JO,939.HK,INFY.NS,NIO,000660.KS,2318.HK,2269.HK,2454.TW,035420.KS,TCS.NS,035720.KS,NTES,006400.KS,M4B.,2010.SR,HINDUNILVR.NS,ITUB4.SA,YUMC,BBDC4.SA,LI,BAJFINANCE.NS,AXISBANK.NS,2308.TW,2303.TW,2603.TW,QNBK.QA,2382.HK,2313.HK,BY6.,B3SA3.SA,BBCA.JK,FSR.JO,FAB.,GFNORTEO.MX,2881.TW,2002.TW,066570.KS,051900.KS,2882.TW,ASIANPAINT.NS,055550.KS,BHARTIARTL.NS,IMP.JO,PBBANK.KL,HCLTECH.NS,2412.TW,175.HK,2327.TW,2891.TW,6098.HK,3711.TW,TLKM.JK,2886.TW,036570.KS,OTP.BD,086790.KS,MTN.JO,1093.HK,KFH.,NTCO3.SA,SBK.JO,017670.KS,2884.TW,300750.SZ,600036.SS,XPEV,002594.SZ,5871.TW,TCS.L,SBIN.NS,BBRI.JK,ETISALAT.,1288.HK,SCVUF,AOT-R.BK,PKO.WA,3105,2357.TW,992.HK,009150.KS,2885.TW,EMIRATESNBD.DB,ITSA4.SA,M&M.NS,TITAN.NS,2382.TW,GNDI3.SA,WIPRO.NS,6186.HK,MAYBANK.KL,GFI.JO,2892.TW,TECHM.NS,GLOB,CPI.JO,2395.TW,968.HK,2345.TW,BAP,LREN3.SA,SLM.JO,BMRI.JK,NESTLEIND.NS,003550.KS,POLY.L,3888.HK,RENT3.SA,KOTAKBANK.NS,BID.JO,5880.TW,BDMS-R.BK,090430.KS,2359.HK,032830.KS,HDFCLIFE.NS,SMPH.PM,2238.HK,NVAA.,CIMB.KL,ABG.JO,1658.HK,3037.TW,2912.TW,2409.TW,PLZL.ME,3481.TW,SQM/B.SN,2883.TW,WEGE3.SA,1066.HK,853.HK,1548.HK,BBDC3.SA,1585.HK,5876.TW,NAUKRI.NS,ADANIGREEN.NS,2880.TW,ADCB.,PZU.WA,VOD.JO,VIPS,SHP.JO,2887.TW,316140.KS,OMU.JO,EICHERMOT.NS,PEO.WA,NVAM.,034220.KS,DELTA-R.BK,TOTS3.SA,CPALL-R.BK,2018.HK,KLBF.JK,603259.SS,3045.TW,MRP.JO,2890.TW,3328.HK,2196.HK,LPP.WA,HTO.AT,CLS.JO,000810.KS,BDO.PM,NED.JO,3759.HK,ICICIGI.NS,2280.SR,2474.TW,754.HK,268.HK,601166.SS,1140.SR,2301.TW,D7C.,DABUR.NS,NLMK.ME,CPN-R.BK,BTOW3.SA,1402.TW,BSANTANDER.SN,REM.JO,3908.HK,WHL.JO,BVT.JO,VVAR3.SA,SANB11.SA,BBNI.JK,SRTRANSFIN.NS,BBAS3.SA,ASURB.MX,MCG.JO,6886.HK,KLBN11.SA,2377.TW,VIVT3.SA,HKD,XTSLA,BAJAJ-AUTO.NS,KIO.JO,300014.SZ,097950.KS,127.HK,AMER3.SA,RAIL3.SA,021240.KS,TWD,MARICO.NS,COLPAL.NS,MOEX.ME,IHH.KL,KOMB.PR,3692.HK,241.HK,PEL.NS,RICHTER.BD,5347,257.HK,PFBCOLO.BC,HAVELLS.NS,ZAR,AMS.JO,601318.SS,2356.TW,MINT-R.BK,COMI.CA,SPL.WA,MYR,AXIATA.KL,KRW,BGNE,2049.TW,586.HK,2609.TW,6185.HK,018260.KS,5M71.,RDOR3.SA,HEROMOTOCO.NS,APN.JO,2202.HK,DSY.JO,GRT.JO,601012.SS,USD,2324.TW,SCB-R.BK,SQM.B.SN,XPBR31.SA,n/a,UNVR.JK,2609,352820.KS,300274.SZ,SUM
07/09/2021,5.15,4.28,2.66,2.49,2.36,1.91,1.91,1.87,1.79,1.46,1.41,1.36,1.34,1.29,1.21,1.09,0.96,0.9,0.89,0.89,0.78,0.75,0.74,0.73,0.72,0.72,0.71,0.68,0.66,0.64,0.64,0.63,0.6,0.59,0.58,0.58,0.58,0.53,0.53,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.43,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.38,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.13
07/12/2021,5.17,4.01,2.65,2.31,2.39,1.76,1.86,1.83,1.85,1.47,1.46,1.38,1.39,1.26,1.19,1.06,0.96,0.9,0.89,0.88,0.78,0.72,0.74,0.73,0.72,0.72,0.66,0.69,0.66,0.61,0.63,0.64,0.6,0.62,0.58,0.57,0.6,0.53,0.5,0.52,0.52,0.52,0.49,0.5,0.48,0.49,0.49,0.49,0.49,0.47,0.48,0.44,0.45,0.43,0.42,0.41,0.41,0.39,0.41,0.41,0.4,0.38,0.39,0.36,0.36,0.39,0.33,0.4,0.35,0.34,0.33,0.33,0.38,0.33,0.32,0.32,0.3,0.31,0.3,0.3,0.31,0.3,0.3,0.32,0.31,0.29,0.28,0.29,0.28,0.28,0.27,0.28,0.26,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.26,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.25,0.22,0.22,0.23,0.22,0.23,0.21,0.21,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.2,0.18,0.2,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.17,0.17,0.16,0.15,0.15,0.16,0.16,0.15,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.0,0.14,0.13,0.13,0.14,0.14,0.12,0.12,0.0,0.12,0.12,0.0,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.26,0.15,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.27000000000001
07/13/2021,5.17,4.01,2.65,2.31,2.39,1.76,1.86,1.83,1.85,1.47,1.46,1.38,1.39,1.26,1.19,1.06,0.96,0.9,0.89,0.88,0.78,0.72,0.74,0.73,0.72,0.72,0.66,0.69,0.66,0.61,0.63,0.64,0.6,0.62,0.58,0.57,0.6,0.53,0.5,0.52,0.52,0.52,0.49,0.5,0.48,0.49,0.49,0.49,0.49,0.47,0.48,0.44,0.45,0.43,0.42,0.41,0.41,0.39,0.41,0.41,0.4,0.38,0.39,0.36,0.36,0.39,0.33,0.4,0.35,0.34,0.33,0.33,0.38,0.33,0.32,0.32,0.3,0.31,0.3,0.3,0.31,0.3,0.3,0.32,0.31,0.29,0.28,0.29,0.28,0.28,0.27,0.28,0.26,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.26,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.25,0.22,0.22,0.23,0.22,0.23,0.21,0.21,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.2,0.18,0.2,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.17,0.17,0.16,0.15,0.15,0.16,0.16,0.15,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.0,0.14,0.13,0.13,0.14,0.14,0.12,0.12,0.0,0.12,0.12,0.0,0.12,0.13,0.12,0.12,0.13,0.13,0.12,0.26,0.15,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.27000000000001
07/14/2021,5.12,4.18,2.65,2.29,2.4,1.75,1.82,1.81,1.94,1.47,1.43,1.36,1.36,1.29,1.19,1.06,0.96,0.9,0.9,0.88,0.78,0.72,0.75,0.73,0.71,0.71,0.6,0.69,0.66,0.63,0.62,0.64,0.6,0.63,0.58,0.59,0.59,0.52,0.49,0.5,0.51,0.52,0.48,0.51,0.48,0.49,0.49,0.49,0.48,0.47,0.47,0.44,0.44,0.46,0.42,0.39,0.42,0.37,0.42,0.41,0.4,0.38,0.41,0.37,0.36,0.38,0.33,0.4,0.34,0.33,0.33,0.33,0.38,0.33,0.32,0.32,0.3,0.31,0.3,0.3,0.31,0.29,0.29,0.32,0.31,0.28,0.28,0.29,0.29,0.28,0.27,0.28,0.26,0.27,0.27,0.28,0.28,0.28,0.27,0.26,0.27,0.27,0.25,0.25,0.26,0.24,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.22,0.24,0.22,0.24,0.23,0.27,0.22,0.22,0.24,0.22,0.23,0.21,0.21,0.21,0.21,0.23,0.21,0.2,0.19,0.18,0.2,0.18,0.2,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.0,0.14,0.13,0.14,0.14,0.14,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.0,0.13,0.0,0.12,0.26,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.21000000000001
07/15/2021,5.12,4.18,2.65,2.29,2.4,1.75,1.82,1.81,1.94,1.47,1.43,1.36,1.36,1.29,1.19,1.06,0.96,0.9,0.9,0.88,0.78,0.72,0.75,0.73,0.71,0.71,0.6,0.69,0.66,0.63,0.62,0.64,0.6,0.63,0.58,0.59,0.59,0.52,0.49,0.5,0.51,0.52,0.48,0.51,0.48,0.49,0.49,0.49,0.48,0.47,0.47,0.44,0.44,0.46,0.42,0.39,0.42,0.37,0.42,0.41,0.4,0.38,0.41,0.37,0.36,0.38,0.33,0.4,0.34,0.33,0.33,0.33,0.38,0.33,0.32,0.32,0.3,0.31,0.3,0.3,0.31,0.29,0.29,0.32,0.31,0.28,0.28,0.29,0.29,0.28,0.27,0.28,0.26,0.27,0.27,0.28,0.28,0.28,0.27,0.26,0.27,0.27,0.25,0.25,0.26,0.24,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.22,0.24,0.22,0.24,0.23,0.27,0.22,0.22,0.24,0.22,0.23,0.21,0.21,0.21,0.21,0.23,0.21,0.2,0.19,0.18,0.2,0.18,0.2,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.17,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.0,0.14,0.13,0.14,0.14,0.14,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.0,0.13,0.0,0.12,0.26,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.21000000000001
07/16/2021,5.28,4.37,2.64,2.26,2.35,1.71,1.86,1.81,1.87,1.47,1.51,1.34,1.35,1.33,1.2,1.07,0.94,0.89,0.92,0.87,0.81,0.73,0.74,0.74,0.73,0.72,0.52,0.68,0.64,0.61,0.67,0.68,0.6,0.58,0.57,0.57,0.6,0.49,0.5,0.5,0.53,0.51,0.49,0.5,0.49,0.48,0.48,0.48,0.51,0.46,0.47,0.43,0.46,0.44,0.42,0.38,0.4,0.38,0.4,0.42,0.39,0.39,0.37,0.37,0.35,0.39,0.32,0.38,0.36,0.34,0.32,0.33,0.37,0.33,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.28,0.3,0.32,0.28,0.28,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.28,0.26,0.29,0.28,0.28,0.26,0.27,0.23,0.25,0.26,0.25,0.25,0.26,0.26,0.24,0.24,0.24,0.23,0.22,0.24,0.22,0.24,0.22,0.26,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.24,0.21,0.2,0.19,0.18,0.21,0.19,0.2,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.17,0.16,0.15,0.17,0.16,0.16,0.16,0.14,0.15,0.14,0.15,0.15,0.17,0.15,0.15,0.14,0.15,0.15,0.13,0.14,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.13,0.13,0.14,0.0,0.0,0.12,0.12,0.12,0.0,0.13,0.12,0.12,0.12,0.13,0.12,0.13,0.27,0.0,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.25999999999999
07/19/2021,5.32,4.27,2.74,2.26,2.38,1.65,1.86,1.83,1.95,1.5,1.53,1.33,1.34,1.34,1.2,1.1,0.95,0.87,0.92,0.87,0.8,0.69,0.73,0.74,0.76,0.74,0.51,0.68,0.64,0.59,0.6,0.68,0.6,0.58,0.57,0.57,0.63,0.5,0.49,0.49,0.55,0.5,0.48,0.49,0.5,0.47,0.51,0.48,0.48,0.46,0.47,0.44,0.47,0.44,0.41,0.39,0.4,0.38,0.4,0.44,0.39,0.38,0.37,0.36,0.35,0.39,0.33,0.37,0.32,0.35,0.31,0.33,0.37,0.33,0.32,0.31,0.3,0.3,0.31,0.3,0.29,0.3,0.28,0.31,0.32,0.28,0.27,0.28,0.29,0.3,0.29,0.27,0.27,0.27,0.28,0.27,0.25,0.28,0.27,0.27,0.26,0.27,0.23,0.25,0.25,0.25,0.25,0.25,0.27,0.24,0.24,0.24,0.22,0.22,0.25,0.22,0.24,0.22,0.24,0.22,0.22,0.22,0.21,0.23,0.2,0.2,0.21,0.21,0.23,0.21,0.2,0.19,0.2,0.23,0.19,0.19,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.18,0.17,0.15,0.15,0.16,0.18,0.16,0.16,0.17,0.16,0.17,0.15,0.14,0.15,0.14,0.14,0.14,0.17,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.13,0.13,0.14,0.0,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.0,0.24,0.0,0.12,0.12,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.22000000000001
07/20/2021,5.32,4.27,2.74,2.26,2.38,1.65,1.86,1.83,1.95,1.5,1.53,1.33,1.34,1.34,1.2,1.1,0.95,0.87,0.92,0.87,0.8,0.69,0.73,0.74,0.76,0.74,0.51,0.68,0.64,0.59,0.6,0.68,0.6,0.58,0.57,0.57,0.63,0.5,0.49,0.49,0.55,0.5,0.48,0.49,0.5,0.47,0.51,0.48,0.48,0.46,0.47,0.44,0.47,0.44,0.41,0.39,0.4,0.38,0.4,0.44,0.39,0.38,0.37,0.36,0.35,0.39,0.33,0.37,0.32,0.35,0.31,0.33,0.37,0.33,0.32,0.31,0.3,0.3,0.31,0.3,0.29,0.3,0.28,0.31,0.32,0.28,0.27,0.28,0.29,0.3,0.29,0.27,0.27,0.27,0.28,0.27,0.25,0.28,0.27,0.27,0.26,0.27,0.23,0.25,0.25,0.25,0.25,0.25,0.27,0.24,0.24,0.24,0.22,0.22,0.25,0.22,0.24,0.22,0.24,0.22,0.22,0.22,0.21,0.23,0.2,0.2,0.21,0.21,0.23,0.21,0.2,0.19,0.2,0.23,0.19,0.19,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.18,0.17,0.15,0.15,0.16,0.18,0.16,0.16,0.17,0.16,0.17,0.15,0.14,0.15,0.14,0.14,0.14,0.17,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.13,0.13,0.14,0.0,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.0,0.12,0.12,0.0,0.24,0.0,0.12,0.12,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.22000000000001
07/21/2021,5.11,4.3,2.79,2.27,2.35,1.63,1.84,1.84,1.99,1.51,1.53,1.34,1.32,1.32,1.2,1.11,0.96,0.88,0.91,0.86,0.79,0.68,0.73,0.74,0.76,0.72,0.56,0.68,0.64,0.57,0.6,0.67,0.6,0.59,0.57,0.58,0.65,0.49,0.49,0.5,0.57,0.51,0.48,0.51,0.48,0.48,0.49,0.48,0.48,0.46,0.47,0.44,0.46,0.45,0.42,0.41,0.41,0.38,0.41,0.43,0.4,0.39,0.36,0.36,0.36,0.36,0.33,0.38,0.3,0.35,0.32,0.33,0.38,0.33,0.32,0.31,0.3,0.3,0.31,0.3,0.28,0.3,0.29,0.31,0.31,0.28,0.27,0.29,0.3,0.3,0.29,0.27,0.27,0.27,0.28,0.27,0.26,0.29,0.26,0.28,0.26,0.27,0.24,0.25,0.26,0.25,0.24,0.24,0.26,0.24,0.24,0.24,0.23,0.22,0.26,0.22,0.24,0.22,0.24,0.22,0.22,0.22,0.21,0.23,0.21,0.2,0.21,0.2,0.23,0.22,0.2,0.19,0.2,0.23,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.18,0.16,0.16,0.17,0.16,0.18,0.16,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.12,0.15,0.13,0.13,0.13,0.15,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.0,0.15,0.0,0.0,0.12,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.23999999999998
07/22/2021,5.12,4.15,2.78,2.28,2.36,1.67,1.82,1.85,2.02,1.47,1.53,1.35,1.31,1.34,1.21,1.11,0.97,0.89,0.9,0.86,0.77,0.69,0.73,0.73,0.74,0.72,0.6,0.69,0.64,0.58,0.6,0.66,0.6,0.58,0.58,0.57,0.66,0.5,0.49,0.5,0.57,0.51,0.48,0.51,0.46,0.48,0.5,0.49,0.48,0.47,0.48,0.45,0.47,0.47,0.42,0.4,0.41,0.38,0.41,0.44,0.4,0.38,0.36,0.37,0.36,0.36,0.33,0.39,0.31,0.35,0.32,0.33,0.38,0.33,0.32,0.32,0.3,0.3,0.31,0.3,0.28,0.3,0.29,0.31,0.31,0.29,0.27,0.29,0.29,0.31,0.29,0.27,0.27,0.28,0.28,0.28,0.26,0.29,0.27,0.27,0.26,0.27,0.23,0.25,0.26,0.24,0.25,0.24,0.26,0.24,0.23,0.24,0.23,0.22,0.26,0.22,0.24,0.21,0.24,0.22,0.22,0.22,0.22,0.23,0.21,0.2,0.21,0.2,0.22,0.22,0.2,0.19,0.19,0.24,0.19,0.19,0.18,0.17,0.17,0.18,0.18,0.18,0.18,0.17,0.18,0.19,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.16,0.14,0.16,0.19,0.16,0.16,0.17,0.16,0.19,0.15,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.0,0.13,0.13,0.13,0.14,0.12,0.0,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.13,0.12,0.0,0.0,0.24,0.15,0.12,0.0,0.0,0.12,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.19
