,IVV,IEFA,SHY,IEF,iShares 7-10 Year Treasury Bond ETF,SUM
07/09/2021,70.17,29.71,0.09,0.03,0.0,100.0
07/12/2021,70.23,29.65,0.09,0.0,0.03,100.0
07/13/2021,70.23,29.65,0.09,0.0,0.03,100.0
07/14/2021,74.73,25.16,0.07,0.0,0.03,99.99
07/15/2021,74.72,25.18,0.07,0.0,0.03,100.0
07/16/2021,74.72,25.18,0.07,0.0,0.03,100.0
07/19/2021,84.21,15.64,0.1,0.0,0.05,100.0
07/20/2021,84.21,15.64,0.1,0.0,0.05,100.0
07/21/2021,84.21,15.64,0.1,0.0,0.05,100.0
07/22/2021,84.21,15.64,0.1,0.0,0.05,100.0
07/23/2021,84.25,15.59,0.1,0.0,0.05,99.99
07/26/2021,98.9,0.96,0.09,0.0,0.05,100.0
07/27/2021,98.91,0.96,0.09,0.0,0.05,100.01
07/28/2021,98.91,0.96,0.09,0.0,0.05,100.01
07/29/2021,98.91,0.96,0.09,0.0,0.05,100.01
07/30/2021,98.91,0.96,0.09,0.0,0.05,100.01
08/02/2021,99.26,0.1,0.33,0.0,0.32,100.01
08/03/2021,99.26,0.1,0.33,0.0,0.32,100.00999999999999
