,BIIB,ORCL,CHTR,EBAY,FTNT,ALL,HPQ,INTC,MCK,AMP,SYF,KSU,MOH,MAS,L,CTXS,DVA,EQH,SC,CSL,ATUS,SCI,ARW,JEF,CACC,VOYA,SLM,AMG,TOL,POST,FCNCA,HALO,JCOM,HLF,BPOP,AYI,LPX,SLG,CAR,GPK,TNL,MSTR,THG,DISCA,AM,FCN,XRX,ALSN,HRB,AR,PFSI,BHF,MUSA,AGO,SPB,NAVI,TRTN,DDS,COS.,EAF,TRN,NUS,GHC,TPH,SANM,MOG.A,FL2P.,AVYA,BALY,ARI,LGND,RILY,BSIG,AMCX,MTOR,CASH,LC,SBTA.,PRIM,EIG,WRLD,COWN,CAL,TBI,RFP,HMST,CTRN,HVT,ETH,MSGN,MBI,MSBI,LPG,CIO,DHIL,ACBI,WSBF,SGU,UVE,AGPXX,CATO,FRGI,PCSB,CVLG,FLXS,IMMR,ELVT,CARV,Cash/Receivables/Payables,CNO,FBC,SBGI,Carver Bancorp Inc,Interest/Overdraft,Securities Lending - Bnym,n/a,ETD,MOG/A,ZD,CCSI,CO2A.,A4S.,ALS.,TRL.,SUM
07/09/2021,5.73,5.5,5.49,5.24,4.93,4.76,4.42,4.07,3.62,3.47,3.35,3.1,1.8,1.77,1.73,1.72,1.59,1.52,1.48,1.2,1.19,1.11,1.0,0.99,0.91,0.9,0.89,0.86,0.85,0.84,0.84,0.8,0.76,0.75,0.75,0.73,0.72,0.66,0.65,0.61,0.6,0.59,0.59,0.59,0.59,0.57,0.56,0.53,0.52,0.51,0.5,0.46,0.43,0.43,0.43,0.41,0.41,0.39,0.38,0.36,0.35,0.34,0.32,0.31,0.3,0.29,0.27,0.27,0.27,0.26,0.26,0.25,0.23,0.22,0.2,0.19,0.19,0.19,0.19,0.15,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09
07/12/2021,5.88,5.75,5.49,5.21,4.98,4.77,4.35,4.02,3.58,3.45,3.37,2.96,1.79,1.77,1.74,1.7,1.59,1.51,1.49,1.22,1.2,1.11,1.0,0.94,0.9,0.9,0.87,0.9,0.82,0.84,0.84,0.78,0.76,0.74,0.75,0.74,0.76,0.65,0.62,0.61,0.6,0.58,0.6,0.57,0.6,0.56,0.56,0.54,0.52,0.55,0.5,0.45,0.45,0.43,0.42,0.43,0.4,0.39,0.37,0.37,0.35,0.34,0.32,0.3,0.3,0.29,0.27,0.26,0.26,0.26,0.26,0.23,0.23,0.22,0.2,0.19,0.19,0.18,0.19,0.14,0.13,0.13,0.12,0.11,0.12,0.1,0.1,0.09,0.08,0.0,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.09,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
07/13/2021,5.88,5.75,5.49,5.21,4.98,4.77,4.35,4.02,3.58,3.45,3.37,2.96,1.79,1.77,1.74,1.7,1.59,1.51,1.49,1.22,1.2,1.11,1.0,0.94,0.9,0.9,0.87,0.9,0.82,0.84,0.84,0.78,0.76,0.74,0.75,0.74,0.76,0.65,0.62,0.61,0.6,0.58,0.6,0.57,0.6,0.56,0.56,0.54,0.52,0.55,0.5,0.45,0.45,0.43,0.42,0.43,0.4,0.39,0.37,0.37,0.35,0.34,0.32,0.3,0.3,0.29,0.27,0.26,0.26,0.26,0.26,0.23,0.23,0.22,0.2,0.19,0.19,0.18,0.19,0.14,0.13,0.13,0.12,0.11,0.12,0.1,0.1,0.09,0.08,0.0,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.09,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
07/14/2021,5.88,5.75,5.48,5.21,4.98,4.77,4.35,4.02,3.58,3.45,3.37,2.96,1.79,1.77,1.74,1.7,1.59,1.51,1.49,1.21,1.2,1.11,1.0,0.94,0.9,0.9,0.86,0.9,0.82,0.84,0.84,0.77,0.76,0.74,0.75,0.74,0.76,0.65,0.62,0.61,0.6,0.58,0.6,0.57,0.6,0.55,0.56,0.53,0.52,0.54,0.5,0.45,0.45,0.43,0.42,0.43,0.4,0.39,0.0,0.37,0.35,0.34,0.32,0.29,0.3,0.29,0.0,0.26,0.26,0.26,0.26,0.23,0.23,0.22,0.2,0.19,0.19,0.0,0.19,0.14,0.13,0.13,0.12,0.11,0.12,0.1,0.1,0.09,0.08,0.0,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.09,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.0,0.0,0.37,0.27,0.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,5.75,5.72,5.37,5.19,4.97,4.82,4.24,4.08,3.6,3.5,3.43,2.93,1.79,1.78,1.75,1.67,1.61,1.52,1.5,1.22,1.21,1.13,1.0,0.95,0.9,0.91,0.88,0.91,0.82,0.84,0.84,0.78,0.77,0.74,0.75,0.74,0.76,0.66,0.62,0.61,0.6,0.55,0.61,0.57,0.59,0.55,0.56,0.54,0.52,0.52,0.5,0.46,0.45,0.44,0.42,0.44,0.41,0.4,0.38,0.37,0.36,0.34,0.32,0.3,0.3,0.29,0.28,0.26,0.27,0.26,0.25,0.24,0.23,0.22,0.2,0.2,0.19,0.18,0.19,0.15,0.14,0.13,0.12,0.11,0.12,0.1,0.1,0.09,0.08,0.0,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.02,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/16/2021,5.86,5.78,5.37,5.23,5.06,4.79,4.14,4.14,3.63,3.51,3.41,2.94,1.81,1.79,1.75,1.68,1.6,1.51,1.5,1.23,1.19,1.13,1.0,0.95,0.91,0.91,0.88,0.9,0.81,0.83,0.84,0.78,0.75,0.73,0.75,0.73,0.74,0.65,0.61,0.61,0.59,0.54,0.6,0.57,0.58,0.56,0.55,0.53,0.52,0.53,0.49,0.46,0.45,0.43,0.41,0.44,0.41,0.4,0.38,0.36,0.36,0.34,0.32,0.29,0.3,0.29,0.27,0.26,0.26,0.26,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.17,0.19,0.15,0.13,0.13,0.12,0.11,0.12,0.1,0.1,0.09,0.08,0.0,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.02,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/19/2021,5.51,5.78,5.37,5.23,5.09,4.77,4.16,4.1,3.67,3.53,3.38,2.98,1.85,1.81,1.77,1.72,1.6,1.54,1.51,1.25,1.19,1.15,1.01,1.02,0.93,0.92,0.9,0.87,0.81,0.83,0.85,0.75,0.76,0.73,0.75,0.73,0.72,0.65,0.63,0.61,0.59,0.51,0.61,0.56,0.58,0.56,0.55,0.54,0.53,0.52,0.5,0.46,0.46,0.44,0.43,0.45,0.41,0.39,0.38,0.37,0.36,0.33,0.32,0.29,0.3,0.28,0.28,0.26,0.25,0.26,0.23,0.23,0.23,0.2,0.21,0.2,0.18,0.17,0.19,0.15,0.14,0.13,0.11,0.11,0.12,0.1,0.1,0.09,0.08,0.0,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1
07/20/2021,5.5,5.91,5.45,5.27,5.17,4.8,4.11,4.07,3.69,3.53,3.33,2.97,1.84,1.84,1.77,1.75,1.6,1.51,1.52,1.25,1.2,1.16,1.0,1.01,0.94,0.92,0.89,0.87,0.8,0.83,0.83,0.74,0.77,0.74,0.74,0.72,0.69,0.64,0.61,0.6,0.58,0.5,0.61,0.56,0.57,0.56,0.54,0.55,0.52,0.49,0.5,0.45,0.47,0.43,0.44,0.44,0.4,0.38,0.0,0.35,0.35,0.33,0.32,0.28,0.29,0.28,0.0,0.26,0.25,0.26,0.23,0.22,0.23,0.2,0.21,0.19,0.18,0.0,0.19,0.15,0.14,0.13,0.11,0.11,0.11,0.1,0.09,0.08,0.08,0.0,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.0,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.0,0.0,0.37,0.28,0.16,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/21/2021,5.5,5.91,5.45,5.27,5.17,4.8,4.11,4.07,3.69,3.53,3.33,2.97,1.84,1.84,1.77,1.75,1.6,1.51,1.52,1.25,1.2,1.16,1.0,1.01,0.94,0.92,0.89,0.87,0.8,0.83,0.83,0.74,0.77,0.74,0.74,0.72,0.69,0.64,0.61,0.6,0.58,0.5,0.61,0.56,0.57,0.56,0.54,0.55,0.52,0.49,0.5,0.45,0.47,0.43,0.44,0.44,0.4,0.38,0.0,0.35,0.35,0.33,0.32,0.28,0.29,0.28,0.0,0.26,0.25,0.26,0.23,0.22,0.23,0.2,0.21,0.19,0.18,0.0,0.19,0.15,0.14,0.13,0.11,0.11,0.11,0.1,0.09,0.08,0.08,0.0,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.0,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.0,0.0,0.37,0.28,0.16,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/22/2021,5.5,5.91,5.45,5.27,5.17,4.8,4.11,4.07,3.69,3.53,3.33,2.97,1.84,1.84,1.77,1.75,1.6,1.51,1.52,1.25,1.2,1.16,1.0,1.01,0.94,0.92,0.89,0.87,0.8,0.83,0.83,0.74,0.77,0.74,0.74,0.72,0.69,0.64,0.61,0.6,0.58,0.5,0.61,0.56,0.57,0.56,0.54,0.55,0.52,0.49,0.5,0.45,0.47,0.43,0.44,0.44,0.4,0.38,0.0,0.35,0.35,0.33,0.32,0.28,0.29,0.28,0.0,0.26,0.25,0.26,0.23,0.22,0.23,0.2,0.21,0.19,0.18,0.0,0.19,0.15,0.14,0.13,0.11,0.11,0.11,0.1,0.09,0.08,0.08,0.0,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.0,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.0,0.0,0.37,0.28,0.16,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
