,TRMB,PRNT,KTOS,IRDM,LHX,2618,LMT,HO,6301,AMZN,GOOG,DSY,BA,NFLX,S9Q.,3690,NVDA,U,JD,PATH,RTP,TER,BABA,DE,AIR,ESLT,BLDE,SPFR,SNPS,HON,AVAV,GRMN U,ANSS,HEI,TCEHY,TDY,ACIC,RAVN,DREYFUS GOVT CASH MAN INS,DSY FP,SPR,MKFG,n/a,JOBY,PLTR,ESLT.TA,ACHR,VLD,DDD,MYNA,SUM
11/15/2021,9.03,7.74,6.25,5.11,4.86,4.58,2.31,2.32,4.76,2.84,1.74,0.0,0.46,2.9,0.0,0.0,0.0,5.3,0.0,3.63,0.0,2.01,0.0,2.03,0.99,0.0,3.21,0.0,1.03,1.11,3.37,1.75,1.11,1.08,0.0,0.87,0.0,0.0,0.0,3.27,1.75,2.29,0.16,1.78,1.13,1.54,2.27,2.23,0.93,0.0,99.74
11/16/2021,9.03,7.74,6.25,5.11,4.86,4.58,2.31,2.32,4.76,2.84,1.74,0.0,0.46,2.9,0.0,0.0,0.0,5.3,0.0,3.63,0.0,2.01,0.0,2.03,0.99,0.0,3.21,0.0,1.03,1.11,3.37,1.75,1.11,1.08,0.0,0.87,0.0,0.0,0.0,3.27,1.75,2.29,0.16,1.78,1.13,1.54,2.27,2.23,0.93,0.0,99.74
11/17/2021,9.14,7.77,6.24,5.03,4.88,4.38,1.83,2.29,4.78,2.87,1.77,0.0,0.46,3.0,0.0,0.0,0.0,5.19,0.0,3.38,0.0,2.04,0.0,2.04,0.97,0.0,3.22,0.0,1.05,1.11,3.34,1.76,1.12,1.07,0.0,0.87,0.0,0.0,0.0,3.3,1.75,2.29,0.17,1.74,1.12,1.55,2.13,2.21,0.95,1.18,99.99
11/18/2021,9.17,7.66,6.25,5.01,4.88,4.1,1.84,2.28,4.74,2.88,1.76,0.0,0.48,2.98,0.0,0.0,0.0,4.75,0.0,3.36,0.0,2.06,0.0,2.05,0.97,0.0,3.49,0.0,1.04,1.11,3.35,1.98,1.13,1.08,0.0,0.87,0.0,0.0,0.0,3.27,1.84,2.29,0.17,1.79,1.15,1.55,2.14,2.17,1.16,1.19,99.99000000000002
11/19/2021,9.34,7.53,6.12,4.93,4.84,4.15,1.83,1.99,4.64,2.86,1.75,0.0,0.47,3.0,0.0,0.0,0.0,4.7,0.0,3.5,0.0,2.1,0.0,2.04,0.97,0.0,3.46,0.0,1.06,1.1,3.29,2.03,1.14,1.06,0.0,0.88,0.0,0.0,0.0,3.23,1.74,2.36,0.14,1.78,1.13,1.55,2.21,2.21,1.15,1.21,99.49
11/22/2021,9.35,7.55,6.11,4.96,4.9,4.26,1.85,1.98,4.64,2.9,1.76,0.0,0.47,3.05,0.0,0.0,0.0,4.64,0.0,3.48,0.0,2.12,0.0,2.01,0.98,0.0,3.34,0.0,1.07,1.1,3.35,2.03,1.15,1.08,0.0,0.89,0.0,0.0,0.0,3.26,1.78,2.46,0.15,1.68,1.11,1.57,2.26,2.4,1.15,1.15,99.99
11/23/2021,9.35,7.55,6.11,4.96,4.9,4.26,1.85,1.98,4.64,2.9,1.76,0.0,0.47,3.05,0.0,0.0,0.0,4.64,0.0,3.48,0.0,2.12,0.0,2.01,0.98,0.0,3.34,0.0,1.07,1.1,3.35,2.03,1.15,1.08,0.0,0.89,0.0,0.0,0.0,3.26,1.78,2.46,0.15,1.68,1.11,1.57,2.26,2.4,1.15,1.15,99.99
11/24/2021,9.5,7.56,5.9,4.86,4.95,4.38,1.88,1.97,4.64,3.05,1.8,0.0,0.45,3.04,0.0,0.0,0.0,4.66,0.0,3.36,0.0,2.15,0.0,2.0,0.95,0.0,3.15,0.0,1.1,1.11,3.29,2.04,1.17,1.09,0.0,0.89,0.0,0.0,0.0,3.36,1.67,2.56,0.18,1.65,1.07,1.58,2.23,2.32,1.11,1.11,99.78
11/25/2021,9.55,7.63,6.06,4.82,5.13,4.26,1.95,2.0,4.74,3.04,1.81,0.0,0.46,3.03,0.0,0.0,0.0,4.46,0.0,3.21,0.0,2.18,0.0,2.07,0.96,0.0,2.96,0.0,1.09,1.13,3.36,2.08,1.03,1.11,0.0,0.9,0.0,0.0,0.0,3.38,1.69,2.64,0.09,1.62,1.21,1.61,2.34,2.11,1.08,1.12,99.91
11/29/2021,9.53,7.57,6.24,4.93,5.08,3.96,1.95,1.82,4.66,3.06,1.82,0.0,0.46,3.04,0.0,0.0,0.0,4.6,0.0,3.24,0.0,2.21,0.0,2.19,0.99,0.0,2.92,0.0,1.1,1.11,3.3,2.1,1.02,1.13,0.0,0.9,0.0,0.0,0.0,3.19,1.78,2.57,0.09,1.65,1.46,1.63,2.31,2.22,1.1,1.08,100.01
11/30/2021,9.53,7.57,6.24,4.93,5.08,3.96,1.95,1.82,4.66,3.06,1.82,0.0,0.46,3.04,0.0,0.0,0.0,4.6,0.0,3.24,0.0,2.21,0.0,2.19,0.99,0.0,2.92,0.0,1.1,1.11,3.3,2.1,1.02,1.13,0.0,0.9,0.0,0.0,0.0,3.19,1.78,2.57,0.09,1.65,1.46,1.63,2.31,2.22,1.1,1.08,100.01
12/01/2021,9.53,7.57,6.24,4.93,5.08,3.96,1.95,1.82,4.66,3.06,1.82,0.0,0.46,3.04,0.0,0.0,0.0,4.6,0.0,3.24,0.0,2.21,0.0,2.19,0.99,0.0,2.92,0.0,1.1,1.11,3.3,2.1,1.02,1.13,0.0,0.9,0.0,0.0,0.0,3.19,1.78,2.57,0.09,1.65,1.46,1.63,2.31,2.22,1.1,1.08,100.01
12/02/2021,9.78,7.58,6.15,5.46,5.1,3.66,1.98,1.76,4.44,3.12,1.85,0.0,0.44,3.13,0.0,0.0,0.0,3.93,0.0,3.34,0.0,2.32,0.0,2.12,0.91,0.0,2.97,0.0,1.15,1.11,3.23,2.09,1.07,1.11,0.0,0.91,0.0,0.0,0.0,3.37,1.62,2.59,0.08,1.66,1.49,1.63,2.41,2.24,1.09,1.14,100.03
12/06/2021,9.96,7.6,6.51,5.66,5.12,3.94,1.71,1.76,4.51,3.07,1.86,0.0,0.46,2.97,0.0,0.0,0.0,3.59,0.0,2.98,0.0,2.31,0.0,2.18,0.94,0.0,2.95,0.0,1.15,1.11,3.17,2.06,1.08,1.12,0.0,0.9,0.0,0.0,0.0,3.37,1.63,2.49,0.15,1.59,1.42,1.67,2.69,2.22,1.08,1.01,99.99
12/07/2021,9.96,7.6,6.51,5.66,5.12,3.94,1.71,1.76,4.51,3.07,1.86,0.0,0.46,2.97,0.0,0.0,0.0,3.59,0.0,2.98,0.0,2.31,0.0,2.18,0.94,0.0,2.95,0.0,1.15,1.11,3.17,2.06,1.08,1.12,0.0,0.9,0.0,0.0,0.0,3.37,1.63,2.49,0.15,1.59,1.42,1.67,2.69,2.22,1.08,1.01,99.99
12/08/2021,9.96,7.6,6.51,5.66,5.12,3.94,1.71,1.76,4.51,3.07,1.86,0.0,0.46,2.97,0.0,0.0,0.0,3.59,0.0,2.98,0.0,2.31,0.0,2.18,0.94,0.0,2.95,0.0,1.15,1.11,3.17,2.06,1.08,1.12,0.0,0.9,0.0,0.0,0.0,3.37,1.63,2.49,0.15,1.59,1.42,1.67,2.69,2.22,1.08,1.01,99.99
12/09/2021,9.96,7.6,6.51,5.66,5.12,3.94,1.71,1.76,4.51,3.07,1.86,0.0,0.46,2.97,0.0,0.0,0.0,3.59,0.0,2.98,0.0,2.31,0.0,2.18,0.94,0.0,2.95,0.0,1.15,1.11,3.17,2.06,1.08,1.12,0.0,0.9,0.0,0.0,0.0,3.37,1.63,2.49,0.15,1.59,1.42,1.67,2.69,2.22,1.08,1.01,99.99
12/10/2021,9.96,7.6,6.51,5.66,5.12,3.94,1.71,1.76,4.51,3.07,1.86,0.0,0.46,2.97,0.0,0.0,0.0,3.59,0.0,2.98,0.0,2.31,0.0,2.18,0.94,0.0,2.95,0.0,1.15,1.11,3.17,2.06,1.08,1.12,0.0,0.9,0.0,0.0,0.0,3.37,1.63,2.49,0.15,1.59,1.42,1.67,2.69,2.22,1.08,1.01,99.99000000000001
