,LLY,MRK,GILD,ABBV,AMGN,ABT,PFE,JNJ,BIIB,REGN,EBS,LGND,INVA,PBH,ALXN,HTD.,TARO,JAZZ,PRGO,SUPN,HZNP,UTHR,BHC.TO,PCRX,ENDP,AGPXX,CORT,Endo International PLC,Securities Lending - Bnym,Cash/Receivables/Payables,Interest/Overdraft,AZN,Bausch Health Companies Inc,n/a,688008.SS,BHC,ENTA,TVTX,SUM
07/09/2021,6.34,5.68,5.54,5.42,5.4,5.38,5.36,5.3,3.99,3.7,3.45,3.41,3.35,3.34,3.3,3.3,3.28,3.26,3.26,3.19,3.17,3.17,3.01,2.75,2.6,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/12/2021,6.35,5.69,5.55,5.48,5.45,5.44,5.42,5.37,4.16,3.7,3.37,3.44,3.31,3.34,3.31,3.31,3.26,3.29,3.26,3.02,3.17,3.22,2.98,2.73,2.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,6.35,5.69,5.55,5.48,5.45,5.44,5.42,5.37,4.16,3.7,3.37,3.44,3.31,3.34,3.31,3.31,3.26,3.29,3.26,3.02,3.17,3.22,2.98,2.73,2.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,6.35,5.69,5.54,5.48,5.45,5.44,5.42,5.37,4.16,3.7,3.37,3.44,3.31,3.34,3.31,0.0,3.26,3.29,3.26,3.02,3.17,3.22,2.98,2.73,0.0,0.12,3.31,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/15/2021,6.4,5.68,5.55,5.55,5.46,5.42,5.46,5.38,4.07,3.67,3.36,3.37,3.26,3.37,3.35,3.29,3.3,3.32,3.26,3.02,3.2,3.2,3.02,2.73,2.2,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,6.42,5.71,5.58,5.59,5.5,5.44,5.48,5.41,4.13,3.71,3.28,3.27,3.28,3.39,3.37,3.27,3.28,3.3,3.24,2.99,3.2,3.18,3.02,2.69,2.17,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,6.39,5.81,5.67,5.63,5.61,5.42,5.61,5.45,3.9,3.84,3.47,3.15,3.29,3.41,3.32,3.13,3.1,3.27,3.3,2.87,3.2,3.23,2.96,2.75,2.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,6.43,5.83,5.71,5.65,5.65,5.47,5.65,5.45,3.86,3.81,3.59,3.08,3.29,3.41,3.31,0.0,3.11,3.22,3.27,2.88,3.18,3.25,2.88,2.71,0.0,0.06,3.11,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,6.43,5.83,5.71,5.65,5.65,5.47,5.65,5.45,3.86,3.81,3.59,3.08,3.29,3.41,3.31,0.0,3.11,3.22,3.27,2.88,3.18,3.25,2.88,2.71,0.0,0.06,3.11,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,6.43,5.83,5.71,5.65,5.65,5.47,5.65,5.45,3.86,3.81,3.59,3.08,3.29,3.41,3.31,0.0,3.11,3.22,3.27,2.88,3.18,3.25,2.88,2.71,0.0,0.06,3.11,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,6.42,5.61,5.68,5.51,5.54,5.45,5.67,5.38,3.79,3.78,3.69,3.28,3.31,3.44,3.31,3.11,3.16,3.17,3.23,2.9,3.16,3.2,2.92,2.74,2.51,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,6.59,5.71,5.71,5.65,5.57,5.5,5.81,5.5,3.88,3.83,3.65,3.32,3.37,3.47,0.0,0.0,3.25,3.18,3.26,2.97,3.4,3.26,2.97,2.84,0.0,0.95,3.12,2.96,0.0,0.0,0.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/27/2021,6.78,5.81,5.77,5.71,5.66,5.64,5.86,5.59,3.89,3.84,3.71,3.33,3.37,3.49,0.0,0.0,3.27,3.2,3.32,2.98,3.45,3.25,0.0,2.89,3.04,0.0,3.13,0.0,0.0,0.0,0.03,0.0,2.99,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,6.78,5.81,5.77,5.71,5.66,5.64,5.86,5.59,3.89,3.84,3.71,3.33,3.37,3.49,0.0,0.0,3.27,3.2,3.32,2.98,3.45,3.25,0.0,2.89,3.04,0.0,3.13,0.0,0.0,0.0,0.03,0.0,2.99,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,6.78,5.81,5.76,5.71,5.62,5.61,5.9,5.61,3.98,3.8,3.61,3.33,3.34,3.53,0.0,0.0,3.29,3.19,3.32,3.0,3.41,3.24,0.0,2.91,3.09,0.0,3.12,0.0,0.0,0.0,0.03,0.0,3.0,0.0,0.0,0.0,0.0,0.0,99.99
07/30/2021,6.78,5.85,5.77,5.71,5.61,5.61,5.93,5.63,4.0,3.82,3.62,3.3,3.35,3.5,0.0,0.0,3.29,3.2,3.38,2.98,3.43,3.29,0.0,2.92,2.97,0.03,3.1,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,100.01
08/02/2021,6.77,5.73,5.8,5.71,5.51,5.62,5.98,5.57,3.91,3.8,3.74,3.23,3.54,3.46,0.0,0.0,3.25,3.12,3.41,2.97,3.48,3.23,3.07,2.94,0.0,0.03,3.11,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,6.77,5.77,5.71,5.62,5.53,5.66,6.03,5.61,3.91,3.77,3.81,3.1,3.58,3.49,0.0,3.21,3.31,3.12,3.44,2.88,3.41,3.21,3.06,2.9,3.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,6.77,5.77,5.71,5.62,5.53,5.66,6.03,5.61,3.91,3.77,3.81,3.1,3.58,3.49,0.0,3.21,3.31,3.12,3.44,2.88,3.41,3.21,3.06,2.9,3.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,6.84,5.7,5.7,5.57,5.47,5.64,6.17,5.6,3.95,3.78,3.67,3.03,3.68,3.49,0.0,3.24,3.35,3.13,3.45,2.91,3.4,3.17,3.09,2.91,3.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/09/2021,7.25,5.6,5.72,5.49,5.29,5.64,6.26,5.58,3.97,3.9,3.51,2.94,3.85,3.7,0.0,3.3,3.37,2.7,3.41,2.87,3.58,3.58,2.68,2.98,2.82,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/12/2021,7.33,5.58,5.65,5.44,5.15,5.69,6.39,5.58,4.01,3.98,3.49,2.97,3.78,3.83,0.0,3.3,3.25,2.74,3.44,2.78,3.54,3.62,2.84,2.94,2.66,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/13/2021,7.41,5.58,5.73,5.49,5.16,5.68,6.71,5.6,3.99,3.99,3.45,2.98,3.79,3.92,0.0,3.22,3.27,2.63,3.48,2.66,3.54,3.57,2.8,2.73,2.62,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/16/2021,7.27,5.66,5.88,5.55,5.18,5.7,6.6,5.66,4.04,3.96,3.59,2.96,3.97,3.92,0.0,3.15,3.23,2.66,2.94,2.7,3.62,3.56,2.82,2.85,2.5,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,7.4,5.76,5.91,5.64,5.21,5.75,6.79,5.71,4.05,4.07,3.41,2.89,4.07,3.92,0.0,3.1,3.22,2.54,2.9,2.66,3.57,3.47,2.84,2.79,2.27,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/20/2021,7.39,5.77,5.96,5.64,5.16,5.73,6.92,5.7,4.08,4.14,3.53,2.86,4.07,3.85,0.0,3.08,3.18,2.47,2.91,2.63,3.51,3.51,2.81,2.77,2.24,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/23/2021,7.48,5.86,5.96,5.67,5.11,5.85,6.84,5.79,4.03,4.28,3.51,2.78,4.03,3.83,0.0,3.13,3.18,2.41,2.83,2.56,3.51,3.53,2.9,2.68,2.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,7.5,5.88,6.03,5.72,5.09,5.88,6.83,5.82,4.07,4.33,3.63,2.83,4.01,3.85,0.0,0.0,3.18,2.44,2.92,2.62,3.57,3.59,2.91,2.76,0.0,0.09,3.17,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,100.01
08/26/2021,7.3,5.77,5.95,5.66,5.07,5.78,6.9,5.67,4.06,4.3,3.61,3.12,3.88,3.77,0.0,0.0,3.29,2.51,2.9,2.69,3.62,3.58,2.9,2.83,1.6,0.09,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/27/2021,7.22,5.77,5.97,5.72,5.08,5.81,6.74,5.65,4.13,4.35,3.58,3.12,3.9,3.76,0.0,0.0,3.18,2.48,2.9,2.71,3.66,3.59,2.96,2.85,1.59,0.06,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
