,TSLA,ROKU,TDOC,ZM,SHOP,SQ,TWLO,SPOT,COIN,U,Z,CRSP,EXK.,NTLA,DOCU,PLTR,BEAM,TXG,TWTR,DKNG,NVTA,PATH,SE,IRDM,FATE,TSP,SKLZ,NTDOY,TWST,IOVA,TER,TWOU,PD,EDIT,PACB,TCEHY,PRLB,BLI,PSTG,TRMB,VCYT,NSTG,BEKE,MCRB,SSYS,MTLS,NVSN.MX,CERS,CGEN,DREYFUS GOVT CASH MAN INS,ICE,NVS,HOOD,n/a,SRNG,SGFY,EXAS,DNA,MISXX,SUM
07/09/2021,9.55,6.32,5.83,4.65,4.63,4.55,3.77,3.62,3.49,3.41,3.16,3.03,2.89,2.74,2.53,2.29,2.15,2.14,1.91,1.86,1.75,1.62,1.57,1.36,1.22,1.2,1.2,1.18,1.14,1.1,1.01,1.0,0.97,0.91,0.87,0.84,0.81,0.69,0.59,0.58,0.55,0.49,0.46,0.46,0.44,0.4,0.37,0.29,0.22,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,10.05,5.83,5.8,4.61,4.54,4.48,3.79,3.63,3.98,3.47,3.09,3.05,2.85,2.89,2.61,2.21,1.92,2.16,1.87,1.8,1.68,1.9,1.57,1.36,1.46,1.06,1.14,1.15,1.17,1.08,1.01,1.02,1.02,0.9,0.85,0.63,0.82,0.69,0.54,0.59,0.54,0.5,0.36,0.48,0.43,0.39,0.34,0.29,0.22,0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/13/2021,10.05,5.83,5.8,4.61,4.54,4.48,3.79,3.63,3.98,3.47,3.09,3.05,2.85,2.89,2.61,2.21,1.92,2.16,1.87,1.8,1.68,1.9,1.57,1.36,1.46,1.06,1.14,1.15,1.17,1.08,1.01,1.02,1.02,0.9,0.85,0.63,0.82,0.69,0.54,0.59,0.54,0.5,0.36,0.48,0.43,0.39,0.34,0.29,0.22,0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/14/2021,9.93,5.88,5.72,4.52,4.55,4.51,3.8,3.66,4.07,3.45,3.08,2.98,2.87,2.84,2.56,2.19,1.94,2.15,1.9,1.8,1.7,1.94,1.59,1.38,1.49,1.06,1.14,1.15,1.16,1.11,1.01,1.02,1.03,0.93,0.85,0.64,0.83,0.71,0.54,0.59,0.53,0.5,0.37,0.49,0.43,0.39,0.3,0.29,0.22,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,10.45,5.95,5.67,4.49,4.59,4.58,3.84,3.67,4.0,3.47,3.07,2.94,2.81,2.76,2.58,2.18,1.91,2.11,1.94,1.82,1.68,1.97,1.61,1.4,1.43,1.05,1.15,1.15,1.14,1.06,1.03,1.01,1.0,0.89,0.86,0.52,0.81,0.69,0.49,0.61,0.55,0.49,0.35,0.49,0.41,0.38,0.26,0.28,0.22,0.17,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,10.4,5.99,5.72,4.57,4.75,4.64,3.88,3.78,4.01,3.45,3.03,2.89,2.82,2.73,2.59,2.17,1.8,2.11,1.97,1.8,1.63,1.98,1.67,1.39,1.38,1.03,1.11,1.16,1.12,1.06,1.05,1.04,0.99,0.86,0.81,0.44,0.82,0.68,0.49,0.61,0.55,0.48,0.37,0.49,0.42,0.36,0.23,0.28,0.22,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/19/2021,10.57,5.95,5.67,4.5,4.72,4.72,3.81,3.71,4.1,3.57,3.01,2.83,2.98,2.74,2.65,2.17,1.77,2.06,2.01,1.77,1.6,2.01,1.67,1.39,1.36,0.99,1.06,1.21,1.09,1.01,1.07,1.05,0.96,0.86,0.79,0.27,0.81,0.68,0.4,0.62,0.55,0.48,0.38,0.5,0.41,0.37,0.0,0.28,0.21,0.44,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,10.57,5.95,5.67,4.5,4.72,4.72,3.81,3.71,4.1,3.57,3.01,2.83,2.98,2.74,2.65,2.17,1.77,2.06,2.01,1.77,1.6,2.01,1.67,1.39,1.36,0.99,1.06,1.21,1.09,1.01,1.07,1.05,0.96,0.86,0.79,0.27,0.81,0.68,0.4,0.62,0.55,0.48,0.38,0.5,0.41,0.37,0.0,0.28,0.21,0.44,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,10.49,5.87,5.7,4.58,4.73,4.97,3.91,3.65,4.18,3.57,3.0,2.81,3.1,2.68,2.7,2.17,1.83,2.08,1.97,1.73,1.62,2.01,1.66,1.4,1.41,0.97,1.01,1.2,1.08,1.0,1.04,1.04,0.97,0.87,0.77,0.19,0.82,0.71,0.3,0.61,0.57,0.49,0.38,0.51,0.4,0.39,0.0,0.29,0.21,0.3,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,10.51,5.97,5.87,4.47,4.82,4.88,3.95,3.62,4.09,3.62,3.01,2.8,3.1,2.72,2.77,2.18,1.87,2.09,1.95,1.76,1.61,2.03,1.7,1.43,1.48,0.94,1.03,1.18,1.1,1.01,1.04,1.06,0.98,0.88,0.79,0.08,0.78,0.71,0.15,0.6,0.55,0.5,0.37,0.48,0.39,0.35,0.0,0.28,0.2,0.22,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
