,HLT,RY4C.IR,MAR,RCL,DAL,LUV,VICI,HTHT,NCLH,CCL,UAL,AAL,IAG.L,C6L.SI,9202.T,IHG.L,HST,9201.T,AC.PA,WTB.L,ALK,WH,QAN.AX,CHH,LHA.DE,MGP,WIZZ.L,VAC,293.HK,EZJ.L,JBLU,TUI1.DE,TNL,PK,RHP,HGV,JET2.L,APLE,AF.PA,69.HK,H,ALGT,753.HK,PEB,SAVE,41.HK,CPA,SHO,1055.HK,RLJ,SKYW,8985.T,670.HK,DRH,AC.TO,XHR,SVC,4681.T,002960.SZ,FGXXX,1992.HK,n/a,301012.SZ,SUM
08/27/2021,5.28,5.05,5.0,4.58,4.55,4.44,4.32,4.15,4.1,4.01,3.8,3.69,3.65,2.25,2.21,2.17,2.16,1.82,1.78,1.75,1.37,1.35,1.33,1.26,1.25,1.2,1.18,1.16,1.07,1.05,0.95,0.92,0.91,0.87,0.86,0.72,0.72,0.69,0.66,0.65,0.64,0.62,0.61,0.56,0.53,0.51,0.5,0.48,0.48,0.47,0.46,0.42,0.41,0.41,0.4,0.4,0.39,0.36,0.35,0.07,0.0,0.0,0.0,100.0
08/30/2021,5.25,5.03,4.9,4.49,4.59,4.42,4.42,4.07,4.05,3.97,3.81,3.72,3.6,2.29,2.27,2.16,2.16,1.88,1.76,1.74,1.38,1.37,1.45,1.27,1.23,1.23,1.16,1.16,1.08,1.01,0.95,0.91,0.91,0.88,0.85,0.72,0.7,0.68,0.65,0.66,0.63,0.62,0.62,0.56,0.53,0.51,0.5,0.49,0.5,0.46,0.5,0.44,0.42,0.41,0.39,0.39,0.39,0.37,0.38,0.07,0.0,0.0,0.0,100.01
08/31/2021,5.25,5.03,4.9,4.49,4.59,4.42,4.42,4.07,4.05,3.97,3.81,3.72,3.6,2.29,2.27,2.16,2.16,1.88,1.76,1.74,1.38,1.37,1.45,1.27,1.23,1.23,1.16,1.16,1.08,1.01,0.95,0.91,0.91,0.88,0.85,0.72,0.7,0.68,0.65,0.66,0.63,0.62,0.62,0.56,0.53,0.51,0.5,0.49,0.5,0.46,0.5,0.44,0.42,0.41,0.39,0.39,0.39,0.37,0.0,0.0,0.38,0.07,0.0,100.01
09/01/2021,5.24,4.98,4.91,4.55,4.6,4.4,4.42,4.07,4.11,4.05,3.8,3.71,3.59,2.23,2.22,2.15,2.2,1.84,1.74,1.74,1.38,1.38,1.47,1.29,1.22,1.22,1.14,1.18,1.06,0.99,0.95,0.89,0.93,0.89,0.88,0.74,0.69,0.7,0.63,0.63,0.63,0.63,0.6,0.57,0.53,0.5,0.5,0.49,0.48,0.48,0.5,0.44,0.41,0.42,0.39,0.4,0.4,0.37,0.37,0.07,0.0,0.0,0.0,99.99000000000002
09/02/2021,5.24,4.98,4.91,4.55,4.6,4.4,4.42,4.07,4.11,4.05,3.8,3.71,3.59,2.23,2.22,2.15,2.2,1.84,1.74,1.74,1.38,1.38,1.47,1.29,1.22,1.22,1.14,1.18,1.06,0.99,0.95,0.89,0.93,0.89,0.88,0.74,0.69,0.7,0.63,0.63,0.63,0.63,0.6,0.57,0.53,0.5,0.5,0.49,0.48,0.48,0.5,0.44,0.41,0.42,0.39,0.4,0.4,0.37,0.0,0.07,0.0,0.0,0.37,99.99000000000002
09/03/2021,5.23,5.02,4.93,4.52,4.47,4.3,4.51,4.18,4.03,3.98,3.7,3.63,3.63,2.29,2.27,2.18,2.21,1.88,1.75,1.76,1.36,1.38,1.45,1.29,1.22,1.25,1.15,1.16,1.09,1.01,0.93,0.89,0.92,0.89,0.88,0.75,0.69,0.69,0.63,0.65,0.63,0.63,0.62,0.57,0.52,0.51,0.49,0.49,0.49,0.47,0.49,0.46,0.42,0.42,0.39,0.4,0.39,0.38,0.0,0.0,0.39,0.07,0.0,99.98
09/06/2021,5.17,4.93,4.88,4.51,4.49,4.29,4.56,4.45,3.97,3.93,3.69,3.62,3.53,2.24,2.25,2.19,2.2,1.87,1.79,1.76,1.36,1.37,1.52,1.27,1.2,1.27,1.13,1.15,1.11,0.99,0.93,0.89,0.92,0.88,0.9,0.76,0.71,0.71,0.63,0.67,0.62,0.64,0.63,0.58,0.52,0.5,0.5,0.49,0.5,0.48,0.48,0.43,0.0,0.42,0.38,0.4,0.39,0.38,0.0,0.07,0.44,0.0,0.43,99.96999999999998
09/07/2021,5.12,4.95,4.89,4.53,4.53,4.29,4.59,4.41,4.01,4.0,3.73,3.63,3.53,2.23,2.18,2.2,2.21,1.84,1.78,1.78,1.37,1.35,1.51,1.28,1.18,1.29,1.16,1.15,1.09,0.99,0.94,0.89,0.92,0.88,0.89,0.77,0.71,0.71,0.63,0.67,0.62,0.64,0.63,0.58,0.52,0.5,0.5,0.49,0.5,0.47,0.48,0.43,0.43,0.42,0.38,0.4,0.39,0.38,0.0,0.01,0.44,0.0,0.0,100.02
09/08/2021,5.12,4.95,4.89,4.53,4.53,4.29,4.59,4.41,4.01,4.0,3.73,3.63,3.53,2.23,2.18,2.2,2.21,1.84,1.78,1.78,1.37,1.35,1.51,1.28,1.18,1.29,1.16,1.15,1.09,0.99,0.94,0.89,0.92,0.88,0.89,0.77,0.71,0.71,0.63,0.67,0.62,0.64,0.63,0.58,0.52,0.5,0.5,0.49,0.5,0.47,0.48,0.43,0.43,0.42,0.38,0.4,0.39,0.38,0.0,0.01,0.44,0.0,0.0,100.02
09/09/2021,5.13,4.98,4.86,4.4,4.52,4.28,4.7,4.45,3.92,3.87,3.73,3.61,3.5,2.26,2.24,2.2,2.19,1.89,1.75,1.78,1.37,1.35,1.58,1.28,1.18,1.32,1.16,1.15,1.11,0.99,0.93,0.88,0.91,0.87,0.9,0.76,0.7,0.71,0.63,0.65,0.61,0.64,0.65,0.58,0.53,0.51,0.5,0.51,0.51,0.47,0.48,0.44,0.44,0.41,0.39,0.4,0.4,0.39,0.0,0.01,0.43,0.0,0.0,99.99000000000002
09/10/2021,5.11,4.93,4.88,4.49,4.51,4.23,4.61,4.62,3.97,3.95,3.74,3.62,3.44,2.24,2.3,2.16,2.2,1.94,1.72,1.79,1.37,1.34,1.58,1.28,1.16,1.29,1.14,1.17,1.11,0.97,0.93,0.87,0.92,0.87,0.88,0.76,0.69,0.7,0.62,0.64,0.61,0.65,0.65,0.57,0.54,0.5,0.51,0.52,0.51,0.47,0.48,0.45,0.44,0.41,0.38,0.4,0.39,0.39,0.0,0.01,0.41,0.0,0.0,100.03
09/13/2021,5.14,4.92,4.92,4.47,4.48,4.24,4.69,4.61,3.91,3.86,3.7,3.58,3.42,2.22,2.3,2.17,2.2,1.96,1.75,1.8,1.36,1.35,1.57,1.28,1.17,1.31,1.16,1.16,1.15,0.99,0.92,0.87,0.9,0.87,0.87,0.76,0.68,0.71,0.63,0.65,0.61,0.65,0.66,0.57,0.53,0.51,0.5,0.53,0.52,0.47,0.47,0.46,0.46,0.41,0.37,0.4,0.38,0.41,0.0,0.01,0.41,0.0,0.0,100.03000000000002
09/14/2021,5.23,4.88,4.97,4.51,4.61,4.31,4.38,4.6,3.97,3.92,3.76,3.76,3.39,2.19,2.25,2.19,2.18,1.92,1.75,1.82,1.4,1.35,1.53,1.28,1.15,1.23,1.15,1.16,1.14,0.89,0.95,0.87,0.9,0.88,0.85,0.77,0.66,0.69,0.62,0.64,0.62,0.65,0.67,0.57,0.54,0.5,0.51,0.51,0.52,0.46,0.48,0.45,0.45,0.4,0.38,0.39,0.38,0.4,0.0,0.01,0.39,0.0,0.0,99.98
09/15/2021,5.39,4.86,5.03,4.58,4.49,4.26,4.43,4.56,3.98,3.89,3.63,3.58,3.31,2.27,2.28,2.2,2.2,1.94,1.75,1.83,1.37,1.38,1.58,1.3,1.16,1.25,1.12,1.17,1.16,0.87,0.93,0.85,0.95,0.87,0.84,0.78,0.65,0.69,0.62,0.65,0.63,0.64,0.67,0.57,0.53,0.52,0.51,0.52,0.54,0.46,0.46,0.45,0.47,0.41,0.38,0.39,0.38,0.41,0.0,0.01,0.4,0.0,0.0,100.0
