,ROKU,DIS,VIAC,CMCSA,FOXA,CHTR,LBRDK,ATVI,NFLX,TWTR,EA,DISCK,NXST,TTWO,HAS,FOX,DISH,NWSA,GOOG,ATUS,GOOGL,CABO,TGNA,SIRI,LBTYK,DISCA,MTCH,LYV,NYT,IAC,NLSN,QRTEA,ZNGA,WWE,DLB,LGF/B,AMCX,GTN,LBRDA,LAMR,XTSLA,VMEO,SBGI,NWS,SGMS,MAT,SSP,CHDN,CZR,LGF.A,MSGS,LBTYA,SIX,GHC,MDP,LVS,CNK,WMG,RHP,SEAS,T,AMC,IHRT,SHEN,PENN,IMAX,LSXMK,MSGN,LSXMA,LILAK,JW.A,AUD,XPER,SCHL,VIACA,CCL,CCO,GCI,MSGE,NCMI,HMTV,EVC,HLIT,VVI,DJCO,MCS,SGA,LILA,LTRPA,RDI,USD,127.HK,n/a,BISXX,LGF.B,EDR,DKNG,GME,FUBO,PLTK,SUM
07/09/2021,5.3,4.87,4.83,4.8,4.42,4.32,4.19,3.87,3.81,3.8,3.4,2.68,2.35,2.2,2.04,2.02,2.0,1.94,1.88,1.87,1.83,1.64,1.41,1.28,1.28,1.28,1.27,1.2,1.19,1.1,0.96,0.88,0.83,0.8,0.74,0.71,0.7,0.69,0.68,0.63,0.61,0.61,0.6,0.54,0.52,0.48,0.44,0.43,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.35,0.34,0.32,0.31,0.3,0.3,0.29,0.25,0.24,0.24,0.21,0.2,0.2,0.18,0.16,0.16,0.14,0.12,0.1,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,5.22,4.94,4.77,4.94,4.39,4.5,4.32,3.85,3.81,3.69,3.41,2.6,2.32,2.21,2.11,2.0,1.98,1.92,1.91,1.93,1.85,1.67,1.4,1.29,1.29,1.24,1.27,1.18,1.19,1.07,0.96,0.88,0.81,0.81,0.74,0.68,0.68,0.67,0.7,0.64,0.57,0.61,0.57,0.54,0.5,0.48,0.42,0.43,0.42,0.41,0.43,0.42,0.4,0.42,0.41,0.35,0.32,0.33,0.32,0.3,0.29,0.28,0.25,0.22,0.23,0.2,0.2,0.2,0.18,0.16,0.16,0.14,0.11,0.11,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,5.22,4.94,4.77,4.94,4.39,4.5,4.32,3.85,3.81,3.69,3.41,2.6,2.32,2.21,2.11,2.0,1.98,1.92,1.91,1.93,1.85,1.67,1.4,1.29,1.29,1.24,1.27,1.18,1.19,1.07,0.96,0.88,0.81,0.81,0.74,0.68,0.68,0.67,0.7,0.64,0.57,0.61,0.57,0.54,0.5,0.48,0.42,0.43,0.42,0.41,0.43,0.42,0.4,0.42,0.41,0.35,0.32,0.33,0.32,0.3,0.29,0.28,0.25,0.22,0.23,0.2,0.2,0.2,0.18,0.16,0.16,0.14,0.11,0.11,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,5.28,4.98,4.84,4.85,4.41,4.38,4.27,3.8,3.79,3.75,3.37,2.61,2.34,2.17,2.1,2.01,2.0,1.95,1.88,1.92,1.82,1.64,1.41,1.29,1.31,1.24,1.28,1.19,1.19,1.07,0.97,0.9,0.78,0.8,0.74,0.68,0.69,0.68,0.69,0.65,0.56,0.61,0.57,0.55,0.49,0.48,0.43,0.43,0.43,0.41,0.43,0.43,0.41,0.42,0.42,0.35,0.33,0.34,0.33,0.31,0.29,0.27,0.25,0.21,0.23,0.2,0.2,0.0,0.18,0.17,0.16,0.14,0.11,0.11,0.08,0.06,0.06,0.06,0.26,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/15/2021,5.28,4.98,4.84,4.85,4.41,4.38,4.27,3.8,3.79,3.75,3.37,2.61,2.34,2.17,2.1,2.01,2.0,1.95,1.88,1.92,1.82,1.64,1.41,1.29,1.31,1.24,1.28,1.19,1.19,1.07,0.97,0.9,0.78,0.8,0.74,0.68,0.69,0.68,0.69,0.65,0.56,0.61,0.57,0.55,0.49,0.48,0.43,0.43,0.43,0.41,0.43,0.43,0.41,0.42,0.42,0.35,0.33,0.34,0.33,0.31,0.29,0.27,0.25,0.21,0.23,0.2,0.2,0.0,0.18,0.17,0.16,0.14,0.11,0.11,0.08,0.06,0.06,0.06,0.26,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/16/2021,5.27,5.21,4.87,4.87,4.39,4.27,4.15,3.87,3.86,3.82,3.45,2.6,2.35,2.23,2.11,2.0,1.96,1.94,1.92,1.89,1.87,1.62,1.39,1.28,1.31,1.24,1.31,1.17,1.2,1.04,0.95,0.89,0.8,0.8,0.74,0.66,0.67,0.67,0.68,0.65,0.57,0.57,0.56,0.54,0.49,0.49,0.43,0.42,0.43,0.39,0.43,0.43,0.4,0.42,0.42,0.35,0.29,0.34,0.33,0.3,0.29,0.23,0.25,0.21,0.23,0.19,0.2,0.0,0.17,0.17,0.16,0.14,0.11,0.1,0.08,0.06,0.06,0.06,0.25,0.05,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/19/2021,5.09,5.31,4.79,4.96,4.44,4.3,4.16,3.83,3.94,3.8,3.5,2.57,2.35,2.19,2.08,2.03,1.97,1.95,1.96,1.91,1.89,1.63,1.42,1.3,1.3,1.24,1.32,1.16,1.21,1.04,0.98,0.88,0.78,0.75,0.75,0.63,0.64,0.67,0.68,0.65,0.58,0.58,0.54,0.55,0.46,0.48,0.43,0.42,0.43,0.38,0.43,0.42,0.41,0.42,0.43,0.35,0.27,0.34,0.34,0.31,0.3,0.21,0.24,0.21,0.22,0.18,0.2,0.0,0.18,0.17,0.15,0.13,0.11,0.1,0.08,0.06,0.06,0.06,0.25,0.05,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,5.09,5.31,4.79,4.96,4.44,4.3,4.16,3.83,3.94,3.8,3.5,2.57,2.35,2.19,2.08,2.03,1.97,1.95,1.96,1.91,1.89,1.63,1.42,1.3,1.3,1.24,1.32,1.16,1.21,1.04,0.98,0.88,0.78,0.75,0.75,0.63,0.64,0.67,0.68,0.65,0.58,0.58,0.54,0.55,0.46,0.48,0.43,0.42,0.43,0.38,0.43,0.42,0.41,0.42,0.43,0.35,0.27,0.34,0.34,0.31,0.3,0.21,0.24,0.21,0.22,0.18,0.2,0.0,0.18,0.17,0.15,0.13,0.11,0.1,0.08,0.06,0.06,0.06,0.25,0.05,0.07,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,5.07,5.23,4.73,4.98,4.42,4.38,4.27,3.92,3.89,3.74,3.54,2.59,2.35,2.25,2.09,2.02,1.97,1.92,1.99,1.93,1.91,1.66,1.4,1.31,1.29,1.24,1.32,1.15,1.22,1.04,0.98,0.86,0.8,0.75,0.75,0.63,0.64,0.67,0.69,0.65,0.59,0.56,0.53,0.54,0.44,0.48,0.43,0.42,0.41,0.38,0.43,0.42,0.4,0.42,0.43,0.34,0.27,0.34,0.34,0.3,0.3,0.21,0.25,0.21,0.22,0.17,0.2,0.0,0.18,0.17,0.15,0.12,0.11,0.1,0.08,0.05,0.06,0.06,0.24,0.05,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.01,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/22/2021,5.24,5.12,4.75,4.97,4.41,4.45,4.33,3.91,3.96,3.78,3.55,2.59,2.29,2.26,2.07,2.0,1.98,1.92,1.98,1.93,1.9,1.67,1.39,1.32,1.32,1.24,1.27,1.11,1.24,1.04,0.97,0.86,0.81,0.73,0.75,0.61,0.63,0.64,0.7,0.63,0.59,0.55,0.53,0.54,0.44,0.47,0.41,0.42,0.41,0.36,0.42,0.43,0.37,0.42,0.42,0.34,0.26,0.34,0.33,0.28,0.3,0.21,0.25,0.22,0.22,0.17,0.2,0.0,0.18,0.16,0.15,0.12,0.11,0.1,0.08,0.05,0.06,0.06,0.23,0.05,0.07,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
