,RMG.L,INVP.L,MRW.L,BT.A.L,GLEN.L,Entain PLC,AHT.L,EVR.L,SXS.L,Ferguson Plc,BME.L,MNDI.L,TATE.L,KGF.L,Travis Perkins Plc,ASC.L,BATS.L,AV.L,VOD.L,PSON.L,AAL.L,BARC.L,M&G Plc,WEIR.L,JD Sports Fashion Plc,IGG.L,ANTO.L,STAN.L,LLOY.L,SBRY.L,ECM.L,DLG.L,Natwest Group PLC,ITV.L,SMDS.L,PSN.L,RIO.L,GAW.L,III.L,PRU.L,IMB.L,ABF.L,TW.L,MGGT.L,JMAT.L,SGRO.L,DCC.L,ADM.L,BA.L,GSK.L,NG.L,WIZZ.L,HIK.L,BNZL.L,Tesco Plc,LGEN.L,Melrose Industries Plc,US Dollar,Pennon Group Plc,IMI.L,FRES.L,HWDN.L,SGE.L,CCH.L,NXT.L,BHP Group PLC,BWY.L,BDEV.L,SMIN.L,SSE.L,BKG.L,IWG.L,POLY.L,ABC.L,Flutter Entertainment Plc,ENT.L,FERG.L,TPK.L,MNG.L,JD.L,NWG.L,PNN.L,TSCO.L,MRO.L,BHP.L,FLTR.L,018000.KQ,Us Dollars,BBOX.L,SLA.L,FUTR.L,STJ.L,ICP.L,DPH.L,CTEC.L,DPLM.L,SCT.L,PHNX.L,WPP.L,UU.L,DGE.L,AZN.L,SPX.L,CRDA.L,GNS.L,BRBY.L,Abrdn Plc,International Capital Group Plc,Croda International Plc,SUM
07/09/2021,3.29,2.96,2.9,2.79,2.57,2.55,2.44,2.41,2.26,2.25,2.22,2.18,2.18,2.13,2.09,2.04,2.0,1.97,1.91,1.89,1.86,1.81,1.8,1.8,1.74,1.53,1.51,1.5,1.48,1.44,1.43,1.4,1.4,1.37,1.33,1.27,1.26,1.22,1.21,1.19,1.18,1.16,1.14,1.13,0.97,0.93,0.88,0.84,0.83,0.83,0.83,0.82,0.79,0.78,0.78,0.76,0.68,0.66,0.64,0.57,0.56,0.48,0.46,0.43,0.43,0.43,0.43,0.41,0.41,0.39,0.39,0.36,0.36,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/12/2021,3.3,2.99,2.88,2.73,2.64,2.54,2.48,2.51,2.28,2.28,2.11,2.22,2.18,2.1,2.07,1.95,1.97,1.92,1.89,1.86,1.91,1.82,1.77,1.82,1.72,1.55,1.54,1.5,1.48,1.46,1.41,1.41,1.4,1.35,1.32,1.26,1.3,1.18,1.2,1.18,1.19,1.12,1.15,1.1,1.01,0.95,0.89,0.83,0.85,0.82,0.84,0.8,0.8,0.81,0.79,0.77,0.69,0.45,0.82,0.58,0.55,0.48,0.46,0.42,0.43,0.45,0.43,0.41,0.42,0.39,0.39,0.36,0.36,0.35,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/13/2021,3.3,2.99,2.88,2.73,2.64,2.54,2.48,2.51,2.28,2.28,2.11,2.22,2.18,2.1,2.07,1.95,1.97,1.92,1.89,1.86,1.91,1.82,1.77,1.82,1.72,1.55,1.54,1.5,1.48,1.46,1.41,1.41,1.4,1.35,1.32,1.26,1.3,1.18,1.2,1.18,1.19,1.12,1.15,1.1,1.01,0.95,0.89,0.83,0.85,0.82,0.84,0.8,0.8,0.81,0.79,0.77,0.69,0.45,0.82,0.58,0.55,0.48,0.46,0.42,0.43,0.45,0.43,0.41,0.42,0.39,0.39,0.36,0.36,0.35,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/14/2021,3.32,3.01,2.89,2.74,2.65,0.0,2.49,2.52,2.29,0.0,2.12,2.23,2.19,2.1,0.0,1.96,1.98,1.93,1.89,1.87,1.92,1.83,0.0,1.83,0.0,1.56,1.55,1.51,1.49,1.46,1.42,1.42,0.0,1.35,1.32,1.26,1.31,1.19,1.2,1.19,1.2,1.12,1.15,1.11,1.01,0.95,0.89,0.84,0.85,0.82,0.84,0.81,0.8,0.81,0.0,0.77,0.0,0.0,0.0,0.58,0.55,0.48,0.46,0.42,0.43,0.0,0.43,0.41,0.42,0.39,0.39,0.36,0.36,0.35,0.0,2.56,2.29,2.08,1.78,1.72,1.4,0.83,0.8,0.69,0.45,0.33,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,3.3,3.04,2.9,2.75,2.64,0.0,2.53,2.5,2.31,0.0,2.17,2.22,2.19,2.12,0.0,1.93,1.99,1.92,1.92,1.88,1.9,1.83,0.0,1.83,0.0,1.57,1.53,1.51,1.51,1.46,1.43,1.44,0.0,1.35,1.31,1.25,1.31,1.2,1.21,1.19,1.2,1.09,1.13,1.1,1.01,0.97,0.89,0.87,0.85,0.83,0.85,0.79,0.81,0.82,0.0,0.78,0.0,0.0,0.0,0.58,0.54,0.48,0.47,0.42,0.43,0.0,0.43,0.4,0.42,0.4,0.39,0.36,0.36,0.34,0.0,2.55,2.32,2.07,1.79,1.7,1.44,0.83,0.79,0.68,0.45,0.32,0.05,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,3.28,3.01,2.89,2.75,2.62,0.0,2.58,2.49,2.35,0.0,2.19,2.23,2.18,2.11,0.0,1.88,2.0,1.9,1.92,1.89,1.9,1.8,0.0,1.86,0.0,1.59,1.51,1.5,1.5,1.46,1.43,1.43,0.0,1.36,1.32,1.26,1.31,1.21,1.2,1.18,1.21,1.08,1.13,1.08,1.02,0.97,0.9,0.88,0.86,0.84,0.85,0.77,0.81,0.83,0.0,0.78,0.0,0.0,0.0,0.59,0.56,0.5,0.47,0.43,0.43,0.0,0.43,0.4,0.42,0.4,0.39,0.35,0.37,0.34,0.0,2.56,2.33,2.09,1.79,1.68,1.4,0.84,0.8,0.67,0.45,0.32,0.02,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,2.11,2.16,2.34,2.1,1.82,0.0,1.84,0.9,0.0,0.0,1.69,0.9,1.7,2.21,0.0,0.34,1.76,1.7,1.67,0.86,1.37,0.87,0.0,0.0,0.0,1.77,0.0,0.84,1.32,1.84,0.89,1.36,0.0,0.86,0.87,1.31,1.82,0.44,2.19,0.0,2.23,0.0,0.0,0.0,1.79,2.35,0.44,0.0,0.45,0.44,0.44,0.0,0.94,0.48,0.0,0.45,0.0,0.0,0.0,2.21,1.4,0.95,0.0,0.44,0.0,0.0,0.44,2.18,0.0,2.21,0.89,0.0,1.83,0.0,0.0,2.31,1.34,1.73,1.29,1.28,0.89,0.0,1.38,0.0,0.47,0.0,0.01,-0.1,2.27,2.26,2.24,1.83,1.73,1.43,1.42,1.37,1.34,1.33,1.29,0.93,0.88,0.85,0.47,0.46,0.45,0.44,0.0,0.0,0.0,100.0
07/20/2021,2.06,2.13,2.31,2.09,1.74,0.0,1.81,0.87,0.0,0.0,1.68,0.9,1.72,2.19,0.0,0.35,1.77,1.68,1.67,0.85,1.31,0.84,0.0,0.0,0.0,1.73,0.0,0.82,1.28,1.82,0.87,1.32,0.0,0.84,0.86,1.3,1.73,0.44,2.15,0.0,2.23,0.0,0.0,0.0,1.77,2.33,0.44,0.0,0.45,0.44,0.45,0.0,0.93,0.47,0.0,0.44,0.0,0.0,0.0,2.16,1.34,0.93,0.0,0.44,0.0,0.0,0.43,2.15,0.0,2.2,0.88,0.0,1.78,0.0,0.0,2.27,1.33,1.72,1.27,1.26,0.85,0.0,1.37,0.0,0.45,0.0,2.16,-0.77,2.26,2.23,2.2,1.81,1.7,1.43,1.42,1.33,1.34,1.31,1.27,0.93,0.88,0.83,0.45,0.46,0.45,0.41,0.0,0.0,0.0,100.01
07/21/2021,2.06,2.13,2.31,2.09,1.74,0.0,1.81,0.87,0.0,0.0,1.68,0.9,1.72,2.19,0.0,0.35,1.77,1.68,1.67,0.85,1.31,0.84,0.0,0.0,0.0,1.73,0.0,0.82,1.28,1.82,0.87,1.32,0.0,0.84,0.86,1.3,1.73,0.44,2.15,0.0,2.23,0.0,0.0,0.0,1.77,2.33,0.44,0.0,0.45,0.44,0.45,0.0,0.93,0.47,0.0,0.44,0.0,0.0,0.0,2.16,1.34,0.93,0.0,0.44,0.0,0.0,0.43,2.15,0.0,2.2,0.88,0.0,1.78,0.0,0.0,2.27,1.33,1.72,1.27,1.26,0.85,0.0,1.37,0.0,0.45,0.0,2.16,-0.77,2.26,2.23,2.2,1.81,1.7,1.43,1.42,1.33,1.34,1.31,1.27,0.93,0.88,0.83,0.45,0.46,0.45,0.41,0.0,0.0,0.0,100.01
07/22/2021,2.06,2.12,2.4,2.07,1.73,2.29,1.85,0.88,0.0,1.36,1.76,0.91,1.77,2.21,1.74,0.35,1.77,1.68,1.68,0.9,1.31,0.84,1.27,0.0,1.28,1.76,0.0,0.82,1.26,1.87,0.87,1.34,0.85,0.82,0.88,1.33,1.75,0.45,2.22,0.0,2.25,0.0,0.0,0.0,1.76,2.42,0.44,0.0,0.46,0.45,0.46,0.0,0.97,0.49,1.41,0.44,0.0,-0.13,0.0,2.19,1.39,0.94,0.0,0.44,0.0,0.46,0.44,2.18,0.0,2.23,0.9,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.0,2.26,1.79,0.0,1.48,1.46,1.36,1.36,1.32,1.27,0.96,0.9,0.86,0.47,0.0,0.47,0.42,2.24,1.69,0.48,99.99
