,NESN.SW,ASML.AS,ROG.SW,MC.PA,NOVN.SW,SAP.DE,ULVR.L,AZN.L,HSBA.L,NOVO B.CO,SIE.DE,SAN.PA,TTE.PA,DGE.L,ALV.DE,GSK.L,RIO.L,BP.L,BATS.L,SU.PA,L'Oreal,IBE.MC,DAI.DE,RDSA.AS,ENEL.MI,BAS.DE,BNP.PA,AIR.PA,SAN.MC,ADS.DE,KER.PA,RYDBF,DTE.DE,DPW.DE,ABI.BR,BHP.L,BAYN.DE,ZURN.SW,ADYEN.AS,RITN.,Air Liquide(L'),ABBN.SW,RKT.L,PRU.L,AAL.L,UBSG.SW,INGA.AS,CS.PA,IFX.DE,PHIA.AS,DG.PA,EL.PA,VOW3.DE,LLOY.L,GLEN.L,DSV.CO,SAF.PA,VOD.L,REL.L,LONN.SW,NG.L,INVE B.ST,RI.PA,ISP.MI,BARC.L,PRX.AS,SIKA.SW,RMS.PA,BN.PA,BBVA.MC,GIVN.SW,CRH.L,ITX.MC,CPG.L,MUV2.DE,VOLV B.ST,ERIC B.ST,STLA.MI,VWS.CO,LSEG.L,ATCO A.ST,NDA SE.ST,VNA.DE,EXPN.L,BMW.DE,PGHN.SW,AHT.L,ALC.SW,AMS.MC,SGO.PA,KNEBV.HE,DSM.AS,DBK.DE,AD.AS,HOLN.SW,ENI.MI,FLTR.L,FERG.L,DSY.PA,DB1.DE,EVO.ST,CAP.PA,NOKIA.HE,CLNX.MC,ORSTED.CO,SAND.ST,HEIA.AS,VIV.PA,ASSA B.ST,LR.PA,NESTE.HE,UCG.MI,SREN.SW,OR.PA,ML.PA,CSGN.SW,EOAN.DE,G.MI,GEBN.SW,RACE.MI,WKL.AS,HEXA B.ST,GLE.PA,ORA.PA,SAMPO.HE,TSCO.L,GMAB.CO,BA.L,AKZA.AS,RWE.DE,LGEN.L,TEF.MC,WLN.PA,STM.PA,MRK.DE,DNB.OL,AV.L,MT.AS,SSE.L,HM B.ST,KBC.BR,TEP.PA,FRE.DE,DWNI.DE,BT.A.L,IMB.L,DHER.DE,COLO B.CO,HEN3.DE,ESSITY B.ST,KRZ.IR,EQNR.OL,UPM.HE,AI.PA,ATCOB.ST,SN.L,SEB A.ST,STAN.L,SOON.SW,Engie,SWED A.ST,SGSN.SW,REP.MC,CARL B.CO,LOGN.SW,ACA.PA,SGRO.L,ZAL.DE,SHB A.ST,SRT3.,KNIN.SW,PAH3.DE,III.L,SY1.DE,WPP.L,CNHI.MI,SLHN.SW,EDP.LS,NN.AS,CON.DE,MAERSK B.CO,STMN.SW,VIE.PA,FME.DE,ALO.PA,CABK.MC,ASM.AS,PUB.PA,NWG.L,NZYM B.CO,BAER.SW,NXT.L,EPI A.ST,BNR.DE,SCMN.SW,KRX.IR,ARGX.BR,PSN.L,SWMA.ST,HLMA.L,DSYA.,SHL.DE,TKWY.AS,MONC.MI,HFG.DE,SK3.IR,SUM
07/09/2021,2.73,2.14,1.96,1.58,1.48,1.25,1.21,1.19,1.04,1.01,0.98,0.92,0.9,0.88,0.86,0.75,0.74,0.69,0.67,0.66,0.65,0.64,0.62,0.62,0.61,0.59,0.59,0.58,0.57,0.56,0.54,0.54,0.53,0.53,0.5,0.5,0.5,0.5,0.5,0.49,0.47,0.46,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,71.5
07/12/2021,2.73,2.14,1.96,1.58,1.48,1.25,1.21,1.19,1.04,1.01,0.98,0.92,0.9,0.88,0.86,0.75,0.74,0.69,0.67,0.66,0.65,0.64,0.62,0.62,0.61,0.59,0.59,0.58,0.57,0.56,0.54,0.54,0.53,0.53,0.5,0.5,0.5,0.5,0.5,0.49,0.47,0.46,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,71.5
07/13/2021,2.73,2.14,1.96,1.58,1.48,1.25,1.21,1.19,1.04,1.01,0.98,0.92,0.9,0.88,0.86,0.75,0.74,0.69,0.67,0.66,0.65,0.64,0.62,0.62,0.61,0.59,0.59,0.58,0.57,0.56,0.54,0.54,0.53,0.53,0.5,0.5,0.5,0.5,0.5,0.49,0.47,0.46,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,71.5
07/14/2021,2.73,2.14,1.96,1.58,1.48,1.25,1.21,1.19,1.04,1.01,0.98,0.92,0.9,0.88,0.86,0.75,0.74,0.69,0.67,0.66,0.65,0.64,0.62,0.62,0.61,0.59,0.59,0.58,0.57,0.56,0.54,0.54,0.53,0.53,0.5,0.5,0.5,0.5,0.5,0.49,0.47,0.46,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,71.5
07/15/2021,2.73,2.14,1.96,1.58,1.48,1.25,1.21,1.19,1.04,1.01,0.98,0.92,0.9,0.88,0.86,0.75,0.74,0.69,0.67,0.66,0.65,0.64,0.62,0.62,0.61,0.59,0.59,0.58,0.57,0.56,0.54,0.54,0.53,0.53,0.5,0.5,0.5,0.5,0.5,0.49,0.47,0.46,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,71.5
07/16/2021,2.73,2.14,1.96,1.58,1.48,1.25,1.21,1.19,1.04,1.01,0.98,0.92,0.9,0.88,0.86,0.75,0.74,0.69,0.67,0.66,0.65,0.64,0.62,0.62,0.61,0.59,0.59,0.58,0.57,0.56,0.54,0.54,0.53,0.53,0.5,0.5,0.5,0.5,0.5,0.49,0.47,0.46,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,71.5
07/19/2021,2.82,2.2,2.13,1.58,1.55,1.25,1.23,1.27,0.95,1.09,0.96,0.92,0.88,0.88,0.82,0.78,0.72,0.7,0.69,0.67,0.62,0.56,0.6,0.66,0.58,0.58,0.55,0.58,0.53,0.57,0.52,0.58,0.55,0.54,0.48,0.49,0.48,0.48,0.57,0.5,0.47,0.46,0.45,0.4,0.39,0.41,0.42,0.39,0.42,0.36,0.42,0.44,0.37,0.37,0.41,0.37,0.39,0.38,0.4,0.42,0.36,0.37,0.37,0.37,0.32,0.34,0.37,0.36,0.34,0.33,0.34,0.32,0.3,0.3,0.31,0.3,0.3,0.32,0.32,0.32,0.31,0.32,0.29,0.28,0.28,0.27,0.27,0.26,0.24,0.25,0.26,0.25,0.21,0.24,0.25,0.25,0.24,0.25,0.0,0.26,0.2,0.24,0.24,0.31,0.21,0.22,0.23,0.2,0.22,0.23,0.21,0.21,0.21,0.24,0.22,0.2,0.2,0.2,0.21,0.2,0.21,0.21,0.18,0.18,0.19,0.19,0.2,0.19,0.19,0.18,0.17,0.19,0.18,0.19,0.2,0.18,0.18,0.17,0.17,0.17,0.17,0.19,0.17,0.17,0.19,0.16,0.2,0.18,0.15,0.16,0.17,0.16,0.16,0.18,0.16,0.15,0.15,0.13,0.16,0.13,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.21,0.14,0.0,0.14,0.13,0.12,0.14,0.13,0.13,0.12,0.12,0.11,0.13,0.13,0.13,0.12,0.13,0.12,0.0,0.13,0.12,0.12,0.12,0.11,0.0,0.12,0.12,0.12,0.11,0.12,0.0,0.0,0.11,0.26,0.14,0.13,0.12,0.12,0.11,71.72999999999999
07/20/2021,2.82,2.2,2.13,1.58,1.55,1.25,1.23,1.27,0.95,1.09,0.96,0.92,0.88,0.88,0.82,0.78,0.72,0.7,0.69,0.67,0.62,0.56,0.6,0.66,0.58,0.58,0.55,0.58,0.53,0.57,0.52,0.58,0.55,0.54,0.48,0.49,0.48,0.48,0.57,0.5,0.47,0.46,0.45,0.4,0.39,0.41,0.42,0.39,0.42,0.36,0.42,0.44,0.37,0.37,0.41,0.37,0.39,0.38,0.4,0.42,0.36,0.37,0.37,0.37,0.32,0.34,0.37,0.36,0.34,0.33,0.34,0.32,0.3,0.3,0.31,0.3,0.3,0.32,0.32,0.32,0.31,0.32,0.29,0.28,0.28,0.27,0.27,0.26,0.24,0.25,0.26,0.25,0.21,0.24,0.25,0.25,0.24,0.25,0.0,0.26,0.2,0.24,0.24,0.31,0.21,0.22,0.23,0.2,0.22,0.23,0.21,0.21,0.21,0.24,0.22,0.2,0.2,0.2,0.21,0.2,0.21,0.21,0.18,0.18,0.19,0.19,0.2,0.19,0.19,0.18,0.17,0.19,0.18,0.19,0.2,0.18,0.18,0.17,0.17,0.17,0.17,0.19,0.17,0.17,0.19,0.16,0.2,0.18,0.15,0.16,0.17,0.16,0.16,0.18,0.16,0.15,0.15,0.13,0.16,0.13,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.21,0.14,0.0,0.14,0.13,0.12,0.14,0.13,0.13,0.12,0.12,0.11,0.13,0.13,0.13,0.12,0.13,0.12,0.0,0.13,0.12,0.12,0.12,0.11,0.0,0.12,0.12,0.12,0.11,0.12,0.0,0.0,0.11,0.26,0.14,0.13,0.12,0.12,0.11,71.72999999999999
07/21/2021,2.82,2.2,2.13,1.58,1.55,1.25,1.23,1.27,0.95,1.09,0.96,0.92,0.88,0.88,0.82,0.78,0.72,0.7,0.69,0.67,0.62,0.56,0.6,0.66,0.58,0.58,0.55,0.58,0.53,0.57,0.52,0.58,0.55,0.54,0.48,0.49,0.48,0.48,0.57,0.5,0.47,0.46,0.45,0.4,0.39,0.41,0.42,0.39,0.42,0.36,0.42,0.44,0.37,0.37,0.41,0.37,0.39,0.38,0.4,0.42,0.36,0.37,0.37,0.37,0.32,0.34,0.37,0.36,0.34,0.33,0.34,0.32,0.3,0.3,0.31,0.3,0.3,0.32,0.32,0.32,0.31,0.32,0.29,0.28,0.28,0.27,0.27,0.26,0.24,0.25,0.26,0.25,0.21,0.24,0.25,0.25,0.24,0.25,0.0,0.26,0.2,0.24,0.24,0.31,0.21,0.22,0.23,0.2,0.22,0.23,0.21,0.21,0.21,0.24,0.22,0.2,0.2,0.2,0.21,0.2,0.21,0.21,0.18,0.18,0.19,0.19,0.2,0.19,0.19,0.18,0.17,0.19,0.18,0.19,0.2,0.18,0.18,0.17,0.17,0.17,0.17,0.19,0.17,0.17,0.19,0.16,0.2,0.18,0.15,0.16,0.17,0.16,0.16,0.18,0.16,0.15,0.15,0.13,0.16,0.13,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.21,0.14,0.0,0.14,0.13,0.12,0.14,0.13,0.13,0.12,0.12,0.11,0.13,0.13,0.13,0.12,0.13,0.12,0.0,0.13,0.12,0.12,0.12,0.11,0.0,0.12,0.12,0.12,0.11,0.12,0.0,0.0,0.11,0.26,0.14,0.13,0.12,0.12,0.11,71.72999999999999
07/22/2021,2.82,2.2,2.13,1.58,1.55,1.25,1.23,1.27,0.95,1.09,0.96,0.92,0.88,0.88,0.82,0.78,0.72,0.7,0.69,0.67,0.62,0.56,0.6,0.66,0.58,0.58,0.55,0.58,0.53,0.57,0.52,0.58,0.55,0.54,0.48,0.49,0.48,0.48,0.57,0.5,0.47,0.46,0.45,0.4,0.39,0.41,0.42,0.39,0.42,0.36,0.42,0.44,0.37,0.37,0.41,0.37,0.39,0.38,0.4,0.42,0.36,0.37,0.37,0.37,0.32,0.34,0.37,0.36,0.34,0.33,0.34,0.32,0.3,0.3,0.31,0.3,0.3,0.32,0.32,0.32,0.31,0.32,0.29,0.28,0.28,0.27,0.27,0.26,0.24,0.25,0.26,0.25,0.21,0.24,0.25,0.25,0.24,0.25,0.0,0.26,0.2,0.24,0.24,0.31,0.21,0.22,0.23,0.2,0.22,0.23,0.21,0.21,0.21,0.24,0.22,0.2,0.2,0.2,0.21,0.2,0.21,0.21,0.18,0.18,0.19,0.19,0.2,0.19,0.19,0.18,0.17,0.19,0.18,0.19,0.2,0.18,0.18,0.17,0.17,0.17,0.17,0.19,0.17,0.17,0.19,0.16,0.2,0.18,0.15,0.16,0.17,0.16,0.16,0.18,0.16,0.15,0.15,0.13,0.16,0.13,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.21,0.14,0.0,0.14,0.13,0.12,0.14,0.13,0.13,0.12,0.12,0.11,0.13,0.13,0.13,0.12,0.13,0.12,0.0,0.13,0.12,0.12,0.12,0.11,0.0,0.12,0.12,0.12,0.11,0.12,0.0,0.0,0.11,0.26,0.14,0.13,0.12,0.12,0.11,71.72999999999999
