,ENPH,VWS.CO,ORSTED.CO,IBE.MC,SEDG,ENEL.MI,NEE,968.HK,916.HK,D,SSE.L,PLUG,NEP,EDP.LS,ES,FSLR,AES,PEG,XYL,PRY.MI,VER.VI,SGRE.MC,CWEN,RUN,ITM.L,RWE.DE,TPIC,ACC.OL,ECV.DE,DAR,MP,GOGRID SDB.ST,EDPR.LS,NOVA,n/a,2208.HK,JKS,SPWR,SUM
09/06/2021,6.51,6.07,6.03,4.25,4.2,4.05,3.94,3.93,3.67,3.55,3.54,3.51,3.08,2.97,2.96,2.81,2.81,2.79,2.64,2.61,2.56,2.29,2.15,2.14,1.87,1.86,1.83,1.71,1.6,1.55,1.47,1.44,1.26,1.11,-0.76,0.0,0.0,0.0,100.0
09/07/2021,6.44,6.12,6.03,4.25,4.15,4.04,3.93,3.9,3.76,3.56,3.59,3.43,3.03,3.02,2.96,2.81,2.84,2.79,2.65,2.62,2.58,2.29,2.15,2.07,1.93,1.86,1.87,1.68,1.6,1.54,1.47,0.0,1.27,1.07,0.68,0.0,0.0,0.0,99.98
09/08/2021,6.44,6.12,6.03,4.25,4.15,4.04,3.93,3.9,3.76,3.56,3.59,3.43,3.03,3.02,2.96,2.81,2.84,2.79,2.65,2.62,2.58,2.29,2.15,2.07,1.93,1.86,1.87,1.68,1.6,1.54,1.47,0.0,1.27,1.07,0.68,0.0,0.0,0.0,99.98
09/09/2021,6.44,6.12,6.03,4.25,4.15,4.04,3.93,3.9,3.76,3.56,3.59,3.43,3.03,3.02,2.96,2.81,2.84,2.79,2.65,2.62,2.58,2.29,2.15,2.07,1.93,1.86,1.87,1.68,1.6,1.54,1.47,0.0,1.27,1.07,0.68,0.0,0.0,0.0,99.98
09/13/2021,6.13,5.94,5.87,4.22,4.11,4.02,4.04,3.86,4.06,3.65,3.58,3.37,3.04,3.02,2.96,3.03,2.84,2.82,2.65,2.69,2.63,2.11,2.2,2.08,1.94,1.88,1.56,1.84,1.62,1.52,1.46,0.0,1.23,1.08,0.45,0.49,0.0,0.0,99.98999999999998
09/14/2021,6.07,5.93,5.84,4.17,4.04,3.97,4.04,3.99,4.06,3.63,3.6,3.25,3.11,3.03,2.94,3.07,2.84,2.8,2.68,2.71,2.61,2.1,2.18,2.11,1.85,1.89,1.57,1.98,1.62,1.53,1.51,0.0,1.24,1.1,0.45,0.5,0.0,0.0,100.01
09/15/2021,6.07,5.93,5.84,4.17,4.04,3.97,4.04,3.99,4.06,3.63,3.6,3.25,3.11,3.03,2.94,3.07,2.84,2.8,2.68,2.71,2.61,2.1,2.18,2.11,1.85,1.89,1.57,1.98,1.62,1.53,1.51,0.0,1.24,1.1,0.45,0.5,0.0,0.0,100.01
09/16/2021,6.11,6.15,5.91,4.23,4.09,4.02,4.0,3.87,3.96,3.58,3.62,3.24,3.05,3.11,2.92,3.26,2.83,2.79,2.63,2.69,2.65,2.12,2.15,2.15,1.63,1.89,1.61,1.86,1.6,1.59,1.57,0.0,1.26,1.13,0.22,0.5,0.0,0.0,99.98999999999998
09/20/2021,6.1,6.11,5.69,3.93,4.12,3.81,4.05,3.79,3.85,3.57,3.79,3.41,3.13,3.05,2.87,3.24,2.94,2.86,2.69,2.71,2.59,2.09,2.24,2.09,1.58,1.89,1.59,2.02,1.57,1.69,1.52,0.0,1.24,1.1,0.55,0.52,0.0,0.0,99.98999999999998
09/21/2021,6.27,5.93,5.56,3.91,4.3,3.78,3.94,3.84,4.0,3.54,3.68,3.62,3.14,2.99,2.82,3.27,2.98,2.83,2.67,2.66,2.54,2.05,2.26,2.15,1.57,1.86,1.67,1.93,1.59,1.66,1.53,0.0,1.24,1.12,0.55,0.54,0.0,0.0,99.99
09/22/2021,6.27,5.93,5.56,3.91,4.3,3.78,3.94,3.84,4.0,3.54,3.68,3.62,3.14,2.99,2.82,3.27,2.98,2.83,2.67,2.66,2.54,2.05,2.26,2.15,1.57,1.86,1.67,1.93,1.59,1.66,1.53,0.0,1.24,1.12,0.55,0.54,0.0,0.0,99.99
09/23/2021,6.27,5.93,5.56,3.91,4.3,3.78,3.94,3.84,4.0,3.54,3.68,3.62,3.14,2.99,2.82,3.27,2.98,2.83,2.67,2.66,2.54,2.05,2.26,2.15,1.57,1.86,1.67,1.93,1.59,1.66,1.53,0.0,1.24,1.12,0.55,0.54,0.0,0.0,99.99
09/28/2021,6.01,6.24,5.74,3.86,4.22,3.82,3.91,3.74,4.43,3.57,3.67,3.7,3.09,3.01,2.8,2.87,2.85,2.79,2.76,2.7,2.51,2.12,2.27,2.07,1.73,1.86,1.57,1.96,1.72,1.62,1.54,0.0,1.26,1.05,0.41,0.52,0.0,0.0,99.99
09/29/2021,6.01,6.24,5.74,3.86,4.22,3.82,3.91,3.74,4.43,3.57,3.67,3.7,3.09,3.01,2.8,2.87,2.85,2.79,2.76,2.7,2.51,2.12,2.27,2.07,1.73,1.86,1.57,1.96,1.72,1.62,1.54,0.0,1.26,1.05,0.41,0.52,0.0,0.0,99.99
10/05/2021,6.21,6.02,5.51,3.7,4.26,3.71,3.92,3.68,4.84,3.54,3.61,3.59,3.11,3.04,2.84,3.11,2.85,2.84,2.52,2.57,2.6,1.98,2.21,2.19,1.65,1.8,1.59,2.25,1.67,1.67,1.47,0.0,1.25,1.07,0.63,0.52,0.0,0.0,100.01999999999998
10/06/2021,6.21,6.02,5.51,3.7,4.26,3.71,3.92,3.68,4.84,3.54,3.61,3.59,3.11,3.04,2.84,3.11,2.85,2.84,2.52,2.57,2.6,1.98,2.21,2.19,1.65,1.8,1.59,2.25,1.67,1.67,1.47,0.0,1.25,1.07,0.63,0.52,0.0,0.0,100.01999999999998
10/11/2021,6.33,5.59,6.16,4.01,4.16,3.82,4.04,3.48,4.3,3.64,3.56,3.69,3.14,3.02,3.01,3.17,3.28,2.86,2.08,2.56,2.55,1.92,2.37,2.18,1.57,1.87,1.5,1.94,1.66,1.66,1.41,0.0,1.21,1.12,0.62,0.52,0.0,0.0,100.0
10/12/2021,6.29,5.49,6.06,4.07,4.18,3.88,4.05,3.42,3.99,3.63,3.61,3.89,3.13,3.01,3.02,3.24,3.32,2.86,2.09,2.55,2.6,1.89,2.4,2.16,1.61,1.85,1.5,2.06,1.63,1.67,1.42,0.0,1.2,1.12,0.63,0.49,0.0,0.0,100.01
10/13/2021,6.29,5.49,6.06,4.07,4.18,3.88,4.05,3.42,3.99,3.63,3.61,3.89,3.13,3.01,3.02,3.24,3.32,2.86,2.09,2.55,2.6,1.89,2.4,2.16,1.61,1.85,1.5,2.06,1.63,1.67,1.42,0.0,1.2,1.12,0.63,0.49,0.0,0.0,100.01
