,ARCT,BEAM,BRKR,SEER,NNDM,PDSB,ALNY,MRNA,LRCX,TMO,DHR,ALKS,BNTX,NPTN,AME,JAZZ,IEX,NVMI,KLAC,NTLA,CBT,ANGO,PACB,CTKB,SELB,SRGA,BNGO,VUZI,MTNB,GBIO,PSTX,LQDA,OMGA,NVEC,CLNN,n/a,SUM
12/22/2021,10.49,7.73,7.7,7.47,6.82,3.0,2.76,2.73,2.58,2.54,2.51,2.51,2.51,2.48,2.46,2.42,2.36,2.3,2.28,2.27,2.2,2.2,2.03,2.03,1.95,1.88,1.81,1.62,1.5,1.29,0.87,0.81,0.73,0.55,0.51,0.15,100.05
12/23/2021,10.49,7.73,7.7,7.47,6.82,3.0,2.76,2.73,2.58,2.54,2.51,2.51,2.51,2.48,2.46,2.42,2.36,2.3,2.28,2.27,2.2,2.2,2.03,2.03,1.95,1.88,1.81,1.62,1.5,1.29,0.87,0.81,0.73,0.55,0.51,0.15,100.05
12/24/2021,10.21,7.87,7.68,7.74,6.96,2.98,2.73,2.6,2.62,2.48,2.46,2.47,2.43,2.42,2.44,2.37,2.37,2.35,2.37,2.27,2.22,2.26,2.1,1.96,1.94,1.92,1.82,1.69,1.46,1.29,0.83,0.8,0.68,0.55,0.49,0.15,99.98
12/27/2021,8.7,7.93,7.87,7.68,6.99,3.01,2.67,2.44,2.7,2.51,2.53,2.54,2.29,2.44,2.49,2.42,2.4,2.46,2.45,2.32,2.28,2.41,2.1,2.04,2.1,2.09,1.81,1.7,1.47,1.39,0.87,0.9,0.79,0.58,0.5,0.15,100.02
12/28/2021,8.7,7.93,7.87,7.68,6.99,3.01,2.67,2.44,2.7,2.51,2.53,2.54,2.29,2.44,2.49,2.42,2.4,2.46,2.45,2.32,2.28,2.41,2.1,2.04,2.1,2.09,1.81,1.7,1.47,1.39,0.87,0.9,0.79,0.58,0.5,0.15,100.02
12/29/2021,8.7,7.93,7.87,7.68,6.99,3.01,2.67,2.44,2.7,2.51,2.53,2.54,2.29,2.44,2.49,2.42,2.4,2.46,2.45,2.32,2.28,2.41,2.1,2.04,2.1,2.09,1.81,1.7,1.47,1.39,0.87,0.9,0.79,0.58,0.5,0.15,100.02
12/30/2021,8.85,7.46,8.23,7.79,6.74,2.82,2.25,2.45,2.83,2.59,2.62,2.54,2.32,2.49,2.57,2.48,2.47,2.66,2.6,2.22,2.36,2.51,2.06,2.06,2.05,1.92,1.88,1.74,1.45,1.35,0.86,0.9,0.72,0.6,0.47,0.15,100.06
12/31/2021,8.85,7.48,8.36,7.3,6.76,2.7,2.41,2.45,2.87,2.63,2.65,2.58,2.25,2.56,2.65,2.56,2.55,2.67,2.62,2.27,2.42,2.52,2.02,1.99,2.06,1.86,1.78,1.65,1.47,1.39,0.87,0.91,0.72,0.61,0.47,0.16,100.06999999999998
01/03/2022,8.66,7.66,8.53,7.51,6.75,2.8,2.41,2.51,2.84,2.63,2.65,2.52,2.36,2.53,2.61,2.48,2.51,2.64,2.55,2.27,2.37,2.46,2.09,2.02,2.01,1.82,1.78,1.64,1.49,1.24,0.87,0.98,0.64,0.59,0.48,0.16,100.06
01/03/2022,8.34,7.56,8.52,7.63,6.69,2.8,2.41,2.57,2.87,2.67,2.68,2.54,2.4,2.56,2.66,2.49,2.55,2.73,2.6,2.24,2.43,2.44,2.07,2.0,1.99,1.83,1.72,1.65,1.48,1.25,0.85,0.97,0.61,0.61,0.49,0.16,100.06
01/03/2022,8.34,7.56,8.52,7.63,6.69,2.8,2.41,2.57,2.87,2.67,2.68,2.54,2.4,2.56,2.66,2.49,2.55,2.73,2.6,2.24,2.43,2.44,2.07,2.0,1.99,1.83,1.72,1.65,1.48,1.25,0.85,0.97,0.61,0.61,0.49,0.16,100.06
01/04/2022,8.34,7.56,8.52,7.63,6.69,2.8,2.41,2.57,2.87,2.67,2.68,2.54,2.4,2.56,2.66,2.49,2.55,2.73,2.6,2.24,2.43,2.44,2.07,2.0,1.99,1.83,1.72,1.65,1.48,1.25,0.85,0.97,0.61,0.61,0.49,0.16,100.06
01/05/2022,8.34,7.56,8.52,7.63,6.69,2.8,2.41,2.57,2.87,2.67,2.68,2.54,2.4,2.56,2.66,2.49,2.55,2.73,2.6,2.24,2.43,2.44,2.07,2.0,1.99,1.83,1.72,1.65,1.48,1.25,0.85,0.97,0.61,0.61,0.49,0.16,100.06
01/06/2022,8.74,7.65,8.06,7.67,7.0,2.86,2.43,2.33,2.84,2.53,2.53,2.59,2.12,2.5,2.54,2.51,2.44,2.68,2.57,2.21,2.42,2.53,2.07,2.07,1.98,1.97,1.83,1.68,1.52,1.34,0.86,1.01,0.7,0.6,0.52,0.16,100.06
