,RIO.L,ROG.SW,BATS.L,NESN.SW,GSK.L,SIE.DE,SAN.PA,MC.PA,DTE.DE,ULVR.L,BHP.L,NOVO B.CO,OR.PA,IBE.MC,SAP.DE,LIN,DPW.DE,ASML.AS,SU.PA,ITX.MC,RO.SW,BN.PA,OMV.VI,AI.PA,ORA.PA,KER.PA,E.ON SE,REL.L,BA.L,PGHN.SW,SHL.DE,NN.AS,SRG.MI,AD.AS,RMS.PA,KNIN.SW,VIV.PA,KNEBV.HE,ATCO A.ST,ACS.MC,GIVN.SW,HLAG.DE,NESTE.HE,MB.MI,FRE.DE,ORSTED.CO,DSM.AS,GEBN.SW,DB1.DE,TLX.DE,KPN.AS,ADM.L,COLO B.CO,TRN.MI,AHT.L,LR.PA,AKZA.AS,WKL.AS,IFX.DE,HEK.SW,CARL B.CO,CCEP,EPI A.ST,EZJ.L,CAP.PA,BKG.L,FME.DE,ESSITY B.ST,KESKOB.HE,SIKA.SW,FXPO.L,SCHN.SW,ASRNL.AS,ATCOB.ST,ASM.AS,CCH.L,MAERSK B.CO,HL.L,SN.L,SGRO.L,LONN.SW,VWS.CO,CSGN.SW,BOL.ST,LOGN.SW,LEG.DE,ASSA B.ST,DSY.PA,SGE.L,KBX.DE,STM.PA,BNR.DE,MRW.L,IG.MI,EVO.ST,REC.MI,TEP.PA,LSEG.L,NELES.HE,CRDA.L,UCB.BR,TATE.L,NZYM B.CO,IMI.L,TIT.MI,SY1.DE,RACE.MI,AXFO.ST,WDP.BR,BESI.AS,AKE.PA,VALMT.HE,SKA B.ST,ACE.MI,SMIN.L,FCC.MC,MRK.DE,PSN.L,ITRK.L,DCC.L,BNZL.L,SPX.L,EQT.ST,BEI.DE,Siltronic Ag Tend Common Stock,LXS.DE,KRZ.IR,VER.VI,COL.MC,ANA.MC,STERV.HE,SKF B.ST,VRLA.PA,JMAT.L,AVST.L,ORNBV.HE,ASHM.L,QLT.L,DKSH.SW,DSV.CO,JUP.L,COLR.BR,AALB.AS,JMT.LS,SCHP.SW,CBG.L,DMGT.L,STG.CO,AFX.DE,G24.DE,TEG.DE,LUN.CO,TRYG.CO,ANIM.MI,ENX.PA,GL9.IR,LSG.OL,TOP.CO,NDA.DE,TRI.PA,ELI.BR,GRF.MC,EBRO.MC,VPK.AS,GAW.L,VIFN.SW,ATEA.OL,ALM.MC,HUH1V.HE,YIT.HE,CIE.MC,GTT.PA,CASH.MC,EKT.MC,TWEKA.AS,BOY.L,PSG.MC,KOG.OL,VIS.MC,EKTA B.ST,BRAV.ST,BEIJ B.ST,PLAZ B.ST,BYG.L,CWK.L,BAR.BR,HIK.L,UMI.BR,UPONOR.HE,KOJAMO.HE,INW.MI,HSV.L,RAA.DE,CMCX.L,AUSS.OL,ULE.L,DIA.MI,FRES.L,MONY.L,AZA.ST,EOAN.DE,UMG.AS,GVMXX,WAF1.,ELK.OL,FDM.L,TEMN.SW,SUM
07/09/2021,4.5,4.42,4.35,3.98,3.83,3.3,3.11,3.09,2.98,2.75,2.43,1.91,1.9,1.89,1.79,1.72,1.59,1.51,1.42,1.36,1.26,1.23,1.09,1.09,1.05,1.04,1.0,1.0,0.86,0.85,0.81,0.74,0.71,0.71,0.64,0.62,0.61,0.57,0.55,0.55,0.53,0.52,0.52,0.52,0.51,0.48,0.44,0.44,0.44,0.44,0.42,0.42,0.4,0.4,0.38,0.36,0.34,0.34,0.33,0.32,0.32,0.32,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.71
11/12/2021,3.8,4.47,4.11,3.87,3.82,3.57,3.01,2.88,2.95,2.63,2.18,2.28,1.86,1.65,1.82,1.84,1.52,1.63,1.56,1.48,1.32,1.23,1.2,1.04,1.04,0.89,0.0,1.11,0.94,0.91,0.89,0.86,0.71,0.82,0.57,0.64,0.19,0.51,0.57,0.59,0.55,0.52,0.54,0.56,0.49,0.46,0.5,0.45,0.42,0.47,0.44,0.43,0.4,0.4,0.4,0.38,0.32,0.37,0.36,0.35,0.29,0.3,0.29,0.22,0.33,0.26,0.26,0.3,0.27,0.28,0.21,0.25,0.33,0.28,0.33,0.24,0.26,0.24,0.21,0.27,0.27,0.26,0.25,0.2,0.17,0.23,0.22,0.25,0.22,0.21,0.25,0.22,0.25,0.2,0.19,0.21,0.19,0.19,0.17,0.08,0.2,0.16,0.17,0.17,0.14,0.17,0.18,0.15,0.18,0.16,0.18,0.14,0.15,0.15,0.14,0.17,0.18,0.13,0.13,0.15,0.15,0.16,0.16,0.13,0.0,0.13,0.12,0.07,0.12,0.14,0.11,0.12,0.11,0.1,0.13,0.11,0.12,0.11,0.12,0.12,0.1,0.1,0.12,0.12,0.1,0.11,0.12,0.1,0.11,0.09,0.1,0.09,0.11,0.1,0.11,0.1,0.09,0.1,0.07,0.07,0.1,0.1,0.08,0.09,0.08,0.1,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.0,0.09,0.08,0.08,0.09,0.08,0.06,0.07,0.08,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.0,0.06,0.07,0.06,0.0,0.06,0.08,0.06,0.05,0.0,0.0,1.09,0.46,0.39,0.12,0.06,0.05,0.04,99.78999999999999
