,ADYEN.AS,INTU,SQ,PYPL,FISV,FIS,COIN,APT.AX,SSNC,STNE,LU,BILL,XRO.AX,NEXI.MI,BKI,TEMN.SW,PAGS,AFRM,GWRE,UPST,HQY,NCNO,SIM.CO,LPRO,NVEI.TO,FOUR,ENV,HYQ.DE,RIOT,VIRT,Z1P.AX,MARA,TREE,9923.HK,HUT.TO,IRE.AX,HIVE.V,EPAY,LC,7342.T,LEON.SW,BOKU.L,SPNS,4479.T,MITK,HUB.AX,QIWI,BITF.V,BCOR,GBOX,TRIT,VERX,GSKY,BTBT,CASH,SUM
07/09/2021,6.34,6.21,6.19,6.04,5.94,5.89,4.69,4.29,4.07,3.93,3.91,3.4,3.18,3.09,2.74,2.59,2.47,2.17,2.04,2.0,1.46,1.28,1.12,1.12,1.01,0.9,0.87,0.75,0.73,0.73,0.66,0.64,0.6,0.58,0.45,0.39,0.37,0.37,0.36,0.33,0.33,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.25,0.02,99.99
07/12/2021,6.39,6.37,6.01,6.19,5.98,5.9,4.95,4.65,4.09,3.77,3.35,3.46,3.31,3.06,2.74,2.63,2.29,2.08,2.03,2.03,1.43,1.33,1.14,1.13,1.0,0.88,0.88,0.73,0.71,0.71,0.8,0.61,0.59,0.54,0.41,0.4,0.32,0.37,0.36,0.34,0.32,0.32,0.31,0.29,0.29,0.3,0.28,0.28,0.28,0.29,0.27,0.26,0.28,0.23,0.03,99.99
07/13/2021,6.39,6.37,6.01,6.19,5.98,5.9,4.95,4.65,4.09,3.77,3.35,3.46,3.31,3.06,2.74,2.63,2.29,2.08,2.03,2.03,1.43,1.33,1.14,1.13,1.0,0.88,0.88,0.73,0.71,0.71,0.8,0.61,0.59,0.54,0.41,0.4,0.32,0.37,0.36,0.34,0.32,0.32,0.31,0.29,0.29,0.3,0.28,0.28,0.28,0.29,0.27,0.26,0.28,0.23,0.03,99.99
07/14/2021,6.45,6.27,6.09,6.22,5.98,5.88,5.08,4.4,4.1,3.7,3.51,3.45,3.24,3.01,2.76,2.6,2.35,2.16,2.02,2.01,1.44,1.36,1.14,1.14,1.0,0.9,0.89,0.74,0.68,0.71,0.76,0.6,0.59,0.56,0.4,0.39,0.32,0.37,0.36,0.34,0.32,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.29,0.27,0.28,0.27,0.28,0.24,0.03,100.01
07/15/2021,6.57,6.29,6.13,6.28,5.97,5.91,4.96,4.45,4.09,3.64,3.32,3.46,3.31,3.04,2.74,2.61,2.27,2.09,2.0,2.17,1.45,1.33,1.16,1.14,1.01,0.91,0.89,0.74,0.65,0.69,0.75,0.59,0.58,0.57,0.41,0.39,0.32,0.38,0.36,0.35,0.33,0.3,0.31,0.3,0.29,0.28,0.28,0.28,0.29,0.28,0.27,0.26,0.29,0.22,0.03,99.98
07/16/2021,6.64,6.35,6.12,6.29,6.08,6.0,4.91,4.45,4.1,3.62,3.49,3.49,3.3,3.06,2.71,2.64,2.29,1.88,2.01,2.01,1.43,1.32,1.21,1.14,1.0,0.91,0.89,0.74,0.63,0.68,0.76,0.56,0.57,0.57,0.38,0.4,0.31,0.38,0.35,0.34,0.32,0.3,0.3,0.3,0.29,0.29,0.29,0.26,0.29,0.3,0.26,0.26,0.28,0.22,0.03,100.00000000000003
