,NVDA,QCOM,AVGO,TXN,INTC,AMD,ASML,MRVL,KLAC,NXPI,ADI,TSM,AMAT,MCHP,LRCX,MU,SWKS,MPWR,QRVO,TER,ON,ENTG,CREE,IPGP,MKSI,LSCC,SLAB,IIVI,BRKS,CCMP,n/a,PLLDA.AX,POWI,AMKR,WOLF,AGPXX,AZTA,SUM
08/27/2021,10.24,8.2,7.78,7.55,7.19,5.13,4.55,4.39,3.95,3.87,3.84,3.65,3.63,3.47,3.44,3.26,2.57,1.9,1.78,1.66,1.59,1.34,0.87,0.78,0.69,0.68,0.61,0.56,0.52,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/30/2021,10.29,8.02,7.79,7.5,7.05,5.07,4.55,4.41,3.99,3.98,3.85,3.81,3.63,3.63,3.41,3.28,2.54,1.89,1.78,1.65,1.6,1.34,0.83,0.77,0.68,0.68,0.6,0.54,0.51,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/31/2021,10.35,8.0,7.8,7.46,7.01,5.17,4.58,4.19,4.02,3.98,3.76,3.75,3.67,3.64,3.48,3.27,2.53,1.89,1.79,1.7,1.62,1.36,0.84,0.77,0.69,0.7,0.6,0.56,0.52,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/01/2021,10.35,8.0,7.8,7.46,7.01,5.17,4.58,4.19,4.02,3.98,3.76,3.75,3.67,3.64,3.48,3.27,2.53,1.89,1.79,1.7,1.62,1.36,0.84,0.77,0.69,0.7,0.6,0.56,0.52,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/02/2021,10.35,8.04,7.83,7.47,7.0,5.15,4.6,4.22,4.0,3.99,3.76,3.76,3.65,3.62,3.47,3.22,2.55,1.91,1.79,1.7,1.61,1.36,0.82,0.77,0.69,0.71,0.6,0.55,0.53,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03999999999996
09/03/2021,10.3,8.15,7.87,7.51,7.07,5.16,4.61,4.21,4.01,3.8,3.7,3.79,3.65,3.61,3.48,3.27,2.54,1.9,1.77,1.69,1.59,1.36,0.82,0.77,0.68,0.71,0.59,0.55,0.53,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/06/2021,10.32,8.07,7.8,7.47,7.04,5.1,4.77,4.22,3.99,3.75,3.7,3.85,3.64,3.59,3.47,3.29,2.54,1.91,1.76,1.69,1.63,1.38,0.84,0.78,0.68,0.72,0.59,0.55,0.54,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/07/2021,10.47,8.0,7.84,7.44,6.97,5.11,4.73,4.21,4.01,3.75,3.67,3.93,3.66,3.59,3.5,3.26,2.52,1.92,1.74,1.69,1.63,1.38,0.83,0.78,0.69,0.72,0.59,0.54,0.53,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/08/2021,10.47,8.0,7.84,7.44,6.97,5.11,4.73,4.21,4.01,3.75,3.67,3.93,3.66,3.59,3.5,3.26,2.52,1.92,1.74,1.69,1.63,1.38,0.83,0.78,0.69,0.72,0.59,0.54,0.53,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/10/2021,10.42,7.98,7.85,7.45,7.01,5.09,4.76,4.21,4.03,3.76,3.7,3.97,3.69,3.58,3.41,3.27,2.51,1.91,1.72,1.67,1.63,1.38,0.82,0.79,0.69,0.73,0.56,0.54,0.56,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/14/2021,10.34,7.93,7.88,7.51,7.04,4.91,4.75,4.21,4.13,3.75,3.86,3.92,3.7,3.62,3.44,3.26,2.46,1.9,1.69,1.69,1.68,1.37,0.84,0.77,0.69,0.72,0.54,0.54,0.57,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/16/2021,10.09,7.89,7.82,7.56,7.13,4.84,4.77,4.25,4.15,3.76,3.88,3.9,3.74,3.65,3.47,3.27,2.49,1.86,1.7,1.69,1.69,1.4,0.85,0.77,0.69,0.73,0.54,0.54,0.57,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/17/2021,10.14,7.77,7.87,7.61,7.07,4.89,4.87,4.24,4.16,3.7,3.9,3.88,3.76,3.65,3.44,3.23,2.44,1.88,1.7,1.69,1.7,1.44,0.84,0.77,0.7,0.74,0.53,0.53,0.57,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/20/2021,10.07,7.56,7.89,7.62,7.06,4.88,4.83,4.28,4.32,3.7,3.87,3.78,3.83,3.68,3.48,3.26,2.44,1.88,1.67,1.69,1.74,1.49,0.84,0.76,0.69,0.75,0.54,0.53,0.57,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/23/2021,7.71,7.4,8.14,8.25,8.01,3.75,4.13,4.06,4.27,3.85,4.25,3.94,4.1,3.76,3.99,4.02,2.47,1.97,1.66,1.69,1.8,1.53,0.85,0.76,0.0,0.77,0.55,0.55,0.67,0.0,0.0,0.0,0.56,0.56,0.0,0.0,0.0,100.02
