,2SPY  220930C00003380,2SPY  220930C00429130,Cash&Other,2SPY  220930C00466260,SUM
10/15/2021,98.01,8.18,0.8,-7.0,99.99
10/18/2021,98.35,8.99,0.78,-8.13,99.99
10/19/2021,98.56,9.52,0.77,-8.85,100.0
10/20/2021,98.56,9.52,0.77,-8.85,100.0
10/21/2021,98.61,9.81,0.77,-9.19,100.0
10/22/2021,98.92,10.13,0.76,-9.81,100.0
10/25/2021,99.02,10.42,0.75,-10.2,99.99
10/26/2021,99.1,10.39,0.75,-10.24,100.0
10/27/2021,99.1,10.39,0.75,-10.24,100.0
10/28/2021,99.19,10.76,0.74,-10.69,100.0
10/29/2021,99.34,10.79,0.74,-10.87,100.0
11/01/2021,99.54,11.13,0.73,-11.41,99.99
11/02/2021,99.6,11.5,0.73,-11.83,100.0
11/03/2021,99.6,11.5,0.73,-11.83,100.0
11/04/2021,99.74,11.57,0.73,-12.04,100.0
11/05/2021,99.93,11.66,0.72,-12.31,100.0
11/08/2021,100.5,12.41,0.71,-13.63,99.99
11/09/2021,100.7,12.66,0.71,-14.07,100.0
11/10/2021,100.7,12.66,0.71,-14.07,100.0
11/11/2021,100.77,12.79,0.7,-14.27,99.99
11/12/2021,100.63,12.59,0.7,-13.92,100.0
11/15/2021,100.25,12.03,0.7,-12.98,100.0
11/16/2021,100.54,12.53,0.69,-13.76,100.0
11/17/2021,100.54,12.53,0.69,-13.76,100.0
11/18/2021,100.54,12.49,0.69,-13.72,100.0
11/19/2021,100.71,12.8,0.69,-14.19,100.01
11/22/2021,100.74,12.71,0.69,-14.13,100.00999999999999
