,MAR,TJX,6060.HK,n/a,CMG,NKE,TMUS,KDP,DKNG,BFIT.AS,AEO,MCG,CROX,MONC.MI,COUR,SNAP,EL.PA,MTCH,WMT,SPOT,REAL,SMPL,SFIX,ULTA,ZTS,2331.HK,OSTK,ATZ.TO,ZUO,HD,FUN,WIX,OCDO.L,RBLX,WRBY,PTON,ROVR,MRX.DE,SBUX,CUERVO.MX,FTCH,LVS,SUM
05/10/2022,4.75,4.69,4.54,4.38,4.13,4.02,3.56,3.43,3.33,3.21,3.09,3.07,2.92,2.86,2.77,2.62,2.59,2.45,2.39,2.39,2.35,2.35,2.33,2.32,2.1,2.07,2.0,1.92,1.85,1.84,1.76,1.68,1.58,1.49,1.45,1.41,1.26,1.05,0.0,0.0,0.0,0.0,100.0
08/16/2022,4.43,3.95,1.98,2.88,2.85,3.97,4.07,3.67,4.82,3.37,0.0,3.4,3.5,3.14,2.2,1.12,2.62,3.02,2.09,1.09,1.32,2.84,0.0,4.69,2.17,2.56,1.76,2.01,1.63,2.98,3.81,2.84,1.76,1.07,2.09,1.13,0.89,0.71,2.98,1.5,1.09,0.0,100.0
08/25/2022,4.56,4.17,2.09,4.12,3.01,4.05,4.3,3.95,2.47,3.32,0.0,3.14,3.48,3.05,2.01,1.14,2.6,2.79,2.28,1.04,1.13,2.86,0.0,5.05,2.19,2.73,1.63,2.07,1.53,3.17,4.01,2.64,1.65,0.93,1.67,1.04,0.85,0.71,3.07,1.57,0.92,1.03,100.02
