,AAPL,MSFT,AMZN,AGPXX,TSLA,GOOGL,FB,NVDA,GOOG,BRK.B,JPM,JNJ,UNH,HD,PG,V,BAC,MA,PFE,XOM,DIS,CSCO,NFLX,ADBE,AVGO,PEP,TMO,ABT,CVX,KO,CMCSA,ABBV,ACN,COST,PYPL,INTC,VZ,CRM,WFC,QCOM,LLY,NKE,WMT,MRK,MCD,T,DHR,NVR,TXN,LOW,LIN,AMD,NEE,UNP,PM,UPS,INTU,MS,AMAT,HON,MDT,ORCL,SCHW,BMY,RTX,SBUX,C,CVS,GS,AMGN,IBM,AMT,ISRG,PLD,BA,BLK,CAT,TGT,NOW,GE,MU,COP,AXP,MMM,SPGI,ADP,ANTM,ZTS,F,DE,ADI,MDLZ,GM,PNC,LRCX,MO,TJX,GILD,SYK,TFC,MMC,CSX,CB,CHTR,USB,LMT,CCI,EL,DUK,CME,BKNG,MRNA,EW,SHW,CI,ICE,SO,BDX,FIS,CL,APD,TMUS,NSC,AZO,AON,ETN,D,ITW,FISV,COF,WM,BSX,PGR,MCO,FCX,ADSK,FDX,NXPI,REGN,HCA,JCI,EMR,KLAC,EOG,EXC,DG,XLNX,SPG,CMG,TEL,ECL,MTD,NOC,IQV,VRTX,EQIX,AIG,APH,ATVI,INFO,ILMN,SLB,GD,NEM,MET,PSA,MCHP,DXCM,DLR,CARR,KMB,ROP,CTSH,BK,ORLY,APTV,HPQ,PXD,CDNS,SNPS,CNC,BIO,TT,SRE,GPN,A,DOW,AEP,MPC,TROW,MAR,DD,PAYX,LHX,BAX,GIS,PH,MSI,O,SYY,FTNT,PRU,STZ,n/a,ADM,TRV,HLT,CTVA,FITB,PPG,MTCH,AFL,EA,VLO,VRSK,ALGN,WMB,PSX,XEL,KMI,EBAY,IFF,OXY,MCK,PEG,AVB,PCAR,SBAC,HUM,SUM
01/11/2022,6.71,5.92,3.39,3.14,2.21,1.98,1.97,1.82,1.76,1.43,1.22,1.11,1.09,1.07,0.98,0.91,0.86,0.8,0.76,0.72,0.71,0.64,0.62,0.62,0.61,0.6,0.59,0.59,0.59,0.59,0.59,0.58,0.57,0.57,0.57,0.56,0.56,0.55,0.53,0.52,0.52,0.51,0.5,0.5,0.5,0.47,0.46,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2
01/12/2022,6.73,5.94,3.39,3.15,2.14,1.98,1.97,1.77,1.76,1.46,1.23,1.13,1.07,1.04,0.98,0.9,0.88,0.8,0.77,0.73,0.72,0.64,0.61,0.61,0.6,0.6,0.58,0.6,0.6,0.59,0.59,0.58,0.56,0.56,0.56,0.56,0.57,0.55,0.54,0.51,0.52,0.5,0.51,0.51,0.49,0.48,0.45,0.44,0.42,0.42,0.43,0.41,0.42,0.41,0.39,0.38,0.36,0.38,0.35,0.36,0.35,0.35,0.35,0.35,0.34,0.32,0.33,0.33,0.32,0.31,0.3,0.3,0.29,0.28,0.29,0.29,0.29,0.28,0.27,0.28,0.26,0.27,0.27,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.21,0.23,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.12
01/13/2022,6.74,5.95,3.37,3.14,2.21,2.0,1.95,1.78,1.78,1.46,1.24,1.13,1.08,1.03,0.97,0.88,0.88,0.79,0.78,0.73,0.72,0.65,0.61,0.63,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.57,0.54,0.54,0.58,0.56,0.55,0.55,0.5,0.52,0.48,0.51,0.52,0.49,0.48,0.46,0.44,0.43,0.42,0.43,0.41,0.41,0.4,0.39,0.37,0.37,0.38,0.35,0.36,0.36,0.36,0.35,0.36,0.34,0.31,0.33,0.33,0.32,0.31,0.3,0.3,0.29,0.28,0.29,0.28,0.28,0.27,0.28,0.27,0.26,0.27,0.26,0.26,0.24,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.21,0.23,0.22,0.23,0.21,0.22,0.21,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.2,0.2,0.19,0.21,0.18,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.0,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.14000000000001
01/14/2022,6.79,5.91,3.42,3.11,2.2,2.0,1.97,1.79,1.78,1.45,1.23,1.1,1.08,1.01,0.95,0.89,0.88,0.79,0.78,0.75,0.72,0.65,0.6,0.63,0.59,0.6,0.59,0.59,0.61,0.59,0.59,0.59,0.57,0.54,0.56,0.58,0.55,0.56,0.55,0.52,0.52,0.48,0.5,0.51,0.48,0.47,0.46,0.44,0.43,0.42,0.43,0.43,0.41,0.39,0.39,0.37,0.37,0.38,0.35,0.36,0.36,0.35,0.35,0.36,0.34,0.31,0.33,0.33,0.32,0.31,0.3,0.29,0.29,0.28,0.29,0.28,0.28,0.27,0.28,0.28,0.26,0.28,0.26,0.26,0.25,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.19,0.21,0.2,0.19,0.19,0.2,0.2,0.2,0.19,0.18,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.13
01/17/2022,6.8,5.96,3.41,3.06,2.28,2.02,1.96,1.8,1.8,1.45,1.23,1.09,1.09,1.02,0.95,0.89,0.87,0.79,0.78,0.74,0.71,0.65,0.6,0.63,0.59,0.59,0.6,0.58,0.61,0.59,0.59,0.59,0.57,0.54,0.55,0.57,0.55,0.57,0.55,0.52,0.51,0.48,0.5,0.51,0.48,0.47,0.46,0.44,0.43,0.42,0.43,0.43,0.41,0.39,0.39,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.34,0.3,0.33,0.33,0.31,0.31,0.3,0.29,0.28,0.28,0.29,0.28,0.28,0.27,0.27,0.28,0.26,0.28,0.26,0.26,0.25,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.2,0.19,0.21,0.2,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.15,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.13
01/18/2022,6.78,5.81,3.38,2.72,2.17,2.01,1.95,1.74,1.8,1.48,1.25,1.1,1.09,1.03,0.96,0.9,0.88,0.81,0.78,0.75,0.72,0.65,0.59,0.63,0.58,0.6,0.58,0.58,0.61,0.6,0.6,0.58,0.55,0.54,0.54,0.58,0.56,0.55,0.56,0.52,0.5,0.48,0.52,0.52,0.49,0.49,0.45,0.46,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.37,0.36,0.37,0.37,0.37,0.37,0.35,0.35,0.36,0.35,0.31,0.34,0.33,0.32,0.32,0.3,0.29,0.28,0.28,0.31,0.28,0.29,0.27,0.25,0.28,0.27,0.28,0.27,0.26,0.25,0.24,0.25,0.23,0.25,0.25,0.23,0.23,0.23,0.24,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.19,0.2,0.2,0.2,0.19,0.18,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.12,0.11,0.11,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.89
01/19/2022,6.78,5.81,3.38,2.72,2.17,2.01,1.95,1.74,1.8,1.48,1.25,1.1,1.09,1.03,0.96,0.9,0.88,0.81,0.78,0.75,0.72,0.65,0.59,0.63,0.58,0.6,0.58,0.58,0.61,0.6,0.6,0.58,0.55,0.54,0.54,0.58,0.56,0.55,0.56,0.52,0.5,0.48,0.52,0.52,0.49,0.49,0.45,0.46,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.37,0.36,0.37,0.37,0.37,0.37,0.35,0.35,0.36,0.35,0.31,0.34,0.33,0.32,0.32,0.3,0.29,0.28,0.28,0.31,0.28,0.29,0.27,0.25,0.28,0.27,0.28,0.27,0.26,0.25,0.24,0.25,0.23,0.25,0.25,0.23,0.23,0.23,0.24,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.19,0.2,0.2,0.2,0.19,0.18,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.12,0.11,0.11,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.89
01/20/2022,6.78,5.81,3.38,2.72,2.17,2.01,1.95,1.74,1.8,1.48,1.25,1.1,1.09,1.03,0.96,0.9,0.88,0.81,0.78,0.75,0.72,0.65,0.59,0.63,0.58,0.6,0.58,0.58,0.61,0.6,0.6,0.58,0.55,0.54,0.54,0.58,0.56,0.55,0.56,0.52,0.5,0.48,0.52,0.52,0.49,0.49,0.45,0.46,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.37,0.36,0.37,0.37,0.37,0.37,0.35,0.35,0.36,0.35,0.31,0.34,0.33,0.32,0.32,0.3,0.29,0.28,0.28,0.31,0.28,0.29,0.27,0.25,0.28,0.27,0.28,0.27,0.26,0.25,0.24,0.25,0.23,0.25,0.25,0.23,0.23,0.23,0.24,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.19,0.2,0.2,0.2,0.19,0.18,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.15,0.16,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.1,0.11,0.12,0.11,0.11,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.89
01/21/2022,6.79,5.88,3.39,3.11,2.19,2.02,1.97,1.75,1.8,1.48,1.17,1.09,1.09,0.99,0.96,0.9,0.86,0.81,0.76,0.76,0.7,0.65,0.59,0.63,0.58,0.61,0.57,0.57,0.62,0.6,0.61,0.59,0.54,0.53,0.53,0.58,0.56,0.56,0.58,0.53,0.49,0.48,0.51,0.52,0.48,0.49,0.45,0.46,0.44,0.41,0.42,0.43,0.41,0.4,0.41,0.37,0.35,0.36,0.39,0.37,0.37,0.35,0.36,0.36,0.35,0.3,0.33,0.33,0.31,0.32,0.3,0.28,0.27,0.28,0.31,0.27,0.29,0.27,0.26,0.28,0.27,0.29,0.26,0.26,0.24,0.24,0.25,0.23,0.25,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.21,0.22,0.21,0.23,0.21,0.2,0.21,0.2,0.21,0.21,0.19,0.18,0.2,0.2,0.2,0.18,0.18,0.17,0.19,0.17,0.18,0.19,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.15,0.16,0.16,0.14,0.16,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.0,0.11,0.12,0.1,0.1,0.12,0.1,0.1,0.11,0.11,0.1,0.11,0.11,0.11,0.0,0.1,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.01
01/24/2022,6.7,5.91,3.36,3.2,2.14,2.01,1.95,1.68,1.79,1.48,1.13,1.11,1.11,0.98,1.0,0.92,0.86,0.8,0.77,0.8,0.71,0.64,0.6,0.64,0.56,0.62,0.59,0.57,0.64,0.61,0.61,0.6,0.54,0.53,0.53,0.58,0.57,0.56,0.57,0.5,0.51,0.48,0.52,0.53,0.48,0.51,0.45,0.44,0.43,0.41,0.43,0.41,0.42,0.4,0.41,0.37,0.36,0.36,0.34,0.37,0.37,0.34,0.36,0.37,0.35,0.3,0.33,0.33,0.29,0.32,0.3,0.29,0.27,0.29,0.3,0.27,0.29,0.28,0.26,0.28,0.26,0.3,0.25,0.27,0.24,0.24,0.26,0.23,0.23,0.25,0.23,0.24,0.21,0.22,0.21,0.24,0.21,0.22,0.21,0.22,0.21,0.2,0.21,0.19,0.2,0.22,0.2,0.18,0.2,0.21,0.2,0.16,0.18,0.18,0.2,0.18,0.19,0.2,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.14,0.17,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.13,0.16,0.14,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.16,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.13,0.1,0.1,0.12,0.0,0.1,0.11,0.11,0.1,0.11,0.11,0.12,0.0,0.1,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.04
