,MSFT,AAPL,FB,TSLA,NVDA,JPM,GOOGL,GOOG,V,UNH,HD,PYPL,MA,BAC,VZ,PFE,CRM,INTC,KO,T,ABT,ABBV,PEP,TMO,MRK,NKE,ENPH,ACN,MCD,MDT,QCOM,SEDG,HON,BMY,UPS,UNP,C,NEE,LOW,MS,BA,AMZN,BDX,TGT,GE,MMM,DE,CVS,AXP,SCHW,AGPXX,SPGI,MDLZ,FSLR,GILD,CI,ADP,CCI,PNC,TJX,DUK,CSX,UBER,FDX,MELI,GM,EQIX,ILMN,ITW,SO,EW,HASI,BSX,D,AY,ETN,MCO,EMR,F,BIIB,AON,TWTR,ECL,FCX,NEM,DD,KMB,MET,CSCO,A,EBAY,EXC,AEP,WDAY,INFO,APTV,PRU,BK,BAX,ALXN,EA,SRE,PPG,CARR,HLT,STZ,SYY,TRV,HPQ,RMD,MAR,XEL,CMI,WELL,YUM,WBA,ADM,IFF,SWK,ROK,AME,LUV,DHI,PEG,AVB,KR,WEC,AWK,LH,ES,DAL,EQR,KHC,SYF,KSU,VFC,ED,DELL,URI,VMC,DLTR,CLX,VTR,TSN,PPL,EIX,MLM,EXPD,DTE,XYL,FE,ETR,NDAQ,GWW,RF,TFX,DGX,PEAK,RCL,CMS,AES,LVS,ALB,K,UAL,EMN,HBAN,SJM,JBHT,LNT,FMC,NVR,HWM,HRL,IRM,BAH,NDSN,CF,BG,MOS,FND,REG,TAP,NRG,NI,CPB,LEA,ALV,OGN,GPS,OGE,PRGO,DTM WI,AGR,Cash,Invesco Shrt-Trm Inv Gov&Agcy Instl,AZN,DTM,n/a,VMW,SUM
07/09/2021,4.94,4.87,4.57,2.73,2.7,2.62,2.31,2.3,2.16,2.12,1.88,1.8,1.76,1.71,1.28,1.23,1.23,1.22,1.15,1.14,1.14,1.13,1.12,1.11,1.1,1.08,1.08,1.04,0.95,0.92,0.89,0.85,0.84,0.83,0.83,0.82,0.82,0.79,0.78,0.75,0.7,0.7,0.66,0.66,0.64,0.63,0.6,0.6,0.6,0.59,0.56,0.55,0.49,0.49,0.48,0.48,0.47,0.46,0.45,0.44,0.42,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.36,0.36,0.36,0.35,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.28,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04,0.04,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.92000000000002
07/12/2021,5.06,5.1,4.49,2.58,2.71,2.55,2.37,2.36,2.2,2.14,1.88,1.84,1.77,1.62,1.28,1.22,1.24,1.22,1.15,1.13,1.16,1.15,1.12,1.13,1.1,1.09,1.07,1.07,0.95,0.93,0.88,0.82,0.84,0.83,0.84,0.83,0.78,0.8,0.78,0.73,0.68,0.75,0.67,0.67,0.62,0.63,0.6,0.59,0.61,0.56,0.0,0.55,0.49,0.49,0.47,0.47,0.48,0.48,0.43,0.44,0.42,0.41,0.39,0.39,0.39,0.38,0.4,0.38,0.36,0.36,0.37,0.36,0.34,0.34,0.33,0.33,0.33,0.32,0.3,0.31,0.3,0.3,0.29,0.28,0.28,0.25,0.26,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.0,0.54,0.0,0.0,0.0,0.0,100.02
07/13/2021,5.06,5.1,4.49,2.58,2.71,2.55,2.37,2.36,2.2,2.14,1.88,1.84,1.77,1.62,1.28,1.22,1.24,1.22,1.15,1.13,1.16,1.15,1.12,1.13,1.1,1.09,1.07,1.07,0.95,0.93,0.88,0.82,0.84,0.83,0.84,0.83,0.78,0.8,0.78,0.73,0.68,0.75,0.67,0.67,0.62,0.63,0.6,0.59,0.61,0.56,0.0,0.55,0.49,0.49,0.47,0.47,0.48,0.48,0.43,0.44,0.42,0.41,0.39,0.39,0.39,0.38,0.4,0.38,0.36,0.36,0.37,0.36,0.34,0.34,0.33,0.33,0.33,0.32,0.3,0.31,0.3,0.3,0.29,0.28,0.28,0.25,0.26,0.24,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.0,0.54,0.0,0.0,0.0,0.0,100.02
07/14/2021,5.34,5.46,4.99,2.42,5.22,2.17,2.58,2.51,1.87,1.81,1.6,1.61,1.51,1.4,1.38,1.04,2.4,2.4,0.99,1.21,0.98,0.96,0.97,0.94,0.93,0.95,1.75,2.08,0.81,0.8,1.67,0.97,0.72,0.7,0.72,0.68,0.66,0.68,0.64,0.62,0.61,0.6,0.34,0.58,0.54,0.54,0.5,0.5,0.5,0.49,0.0,0.47,0.41,0.68,0.4,0.37,0.4,0.4,0.37,0.38,0.36,0.33,0.76,0.34,0.33,0.34,0.34,0.32,0.3,0.3,0.31,0.3,0.29,0.28,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.31,0.24,0.24,0.23,0.19,0.21,0.2,0.48,0.21,0.21,0.2,0.2,0.47,0.2,0.19,0.18,0.19,0.19,0.19,0.24,0.19,0.19,0.18,0.16,0.18,0.18,0.17,0.39,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.17,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.11,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.09,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.0,0.54,0.0,0.0,0.0,0.0,99.94
07/15/2021,5.29,5.46,4.99,2.41,5.19,2.22,2.55,2.49,1.86,1.79,1.6,1.61,1.5,1.43,1.37,1.03,2.36,2.4,0.98,1.21,0.97,0.95,0.95,0.93,0.92,0.94,1.76,2.08,0.81,0.79,1.69,0.98,0.73,0.69,0.71,0.68,0.67,0.67,0.64,0.63,0.61,0.59,0.33,0.57,0.55,0.54,0.51,0.5,0.51,0.5,0.0,0.46,0.41,0.69,0.4,0.37,0.4,0.39,0.38,0.38,0.35,0.33,0.77,0.34,0.33,0.35,0.33,0.32,0.3,0.3,0.31,0.31,0.29,0.27,0.29,0.28,0.27,0.27,0.27,0.25,0.25,0.32,0.24,0.25,0.23,0.19,0.21,0.2,0.48,0.21,0.21,0.2,0.19,0.47,0.19,0.19,0.19,0.19,0.19,0.19,0.24,0.19,0.19,0.18,0.16,0.18,0.18,0.18,0.38,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.11,0.26,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.1,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.0,0.68,0.0,0.0,0.0,0.0,99.92
07/16/2021,5.25,5.41,5.01,2.5,5.28,2.24,2.57,2.5,1.84,1.8,1.59,1.62,1.51,1.45,1.37,1.03,2.33,2.42,0.98,1.2,0.96,0.95,0.95,0.92,0.91,0.94,1.77,2.06,0.81,0.79,1.69,0.98,0.73,0.69,0.71,0.68,0.68,0.67,0.64,0.65,0.6,0.59,0.33,0.57,0.54,0.54,0.51,0.5,0.51,0.51,0.0,0.45,0.41,0.7,0.4,0.37,0.4,0.4,0.38,0.38,0.36,0.33,0.76,0.34,0.32,0.35,0.33,0.32,0.3,0.3,0.3,0.32,0.28,0.27,0.29,0.28,0.27,0.27,0.27,0.24,0.24,0.32,0.24,0.25,0.23,0.2,0.21,0.21,0.48,0.21,0.21,0.2,0.19,0.46,0.19,0.2,0.19,0.19,0.19,0.19,0.24,0.19,0.19,0.18,0.16,0.17,0.18,0.18,0.37,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.17,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.11,0.25,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.1,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.0,0.68,0.0,0.0,0.0,0.0,100.01
07/19/2021,5.38,5.62,4.96,2.4,5.14,2.21,2.61,2.54,1.92,1.81,1.59,1.62,1.57,1.39,1.38,1.04,2.34,2.42,1.01,1.2,0.95,0.95,0.98,0.92,0.91,0.95,1.64,2.09,0.82,0.79,1.72,0.9,0.74,0.7,0.71,0.68,0.67,0.68,0.63,0.65,0.57,0.58,0.33,0.58,0.54,0.55,0.5,0.51,0.51,0.5,0.0,0.45,0.41,0.68,0.4,0.38,0.4,0.4,0.38,0.38,0.36,0.33,0.74,0.34,0.32,0.35,0.33,0.31,0.31,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.28,0.27,0.26,0.24,0.24,0.32,0.24,0.24,0.23,0.2,0.21,0.2,0.49,0.21,0.2,0.2,0.2,0.46,0.19,0.19,0.18,0.19,0.19,0.19,0.24,0.19,0.19,0.18,0.16,0.18,0.17,0.18,0.36,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.15,0.17,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.24,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.1,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.0,0.69,0.0,0.0,0.0,0.0,100.01
07/20/2021,5.38,5.62,4.94,2.4,4.94,2.22,2.6,2.54,1.95,1.84,1.61,1.6,1.58,1.4,1.39,1.05,2.3,2.41,1.02,1.21,0.96,0.96,0.99,0.93,0.92,0.95,1.6,2.11,0.82,0.78,1.7,0.89,0.76,0.7,0.71,0.68,0.68,0.69,0.64,0.65,0.57,0.58,0.33,0.58,0.54,0.55,0.5,0.51,0.52,0.5,0.0,0.46,0.42,0.65,0.4,0.38,0.41,0.4,0.38,0.38,0.37,0.34,0.74,0.34,0.32,0.34,0.34,0.31,0.31,0.31,0.3,0.3,0.28,0.28,0.29,0.29,0.28,0.28,0.26,0.23,0.24,0.32,0.25,0.24,0.23,0.2,0.21,0.21,0.49,0.21,0.21,0.21,0.2,0.45,0.19,0.19,0.19,0.19,0.19,0.18,0.24,0.19,0.19,0.19,0.16,0.18,0.17,0.18,0.36,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.15,0.17,0.15,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.25,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.1,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.0,0.7,0.0,0.0,0.0,0.0,100.04
07/21/2021,5.38,5.62,4.94,2.4,4.94,2.22,2.6,2.54,1.95,1.84,1.61,1.6,1.58,1.4,1.39,1.05,2.3,2.41,1.02,1.21,0.96,0.96,0.99,0.93,0.92,0.95,1.6,2.11,0.82,0.78,1.7,0.89,0.76,0.7,0.71,0.68,0.68,0.69,0.64,0.65,0.57,0.58,0.33,0.58,0.54,0.55,0.5,0.51,0.52,0.5,0.0,0.46,0.42,0.65,0.4,0.38,0.41,0.4,0.38,0.38,0.37,0.34,0.74,0.34,0.32,0.34,0.34,0.31,0.31,0.31,0.3,0.3,0.28,0.28,0.29,0.29,0.28,0.28,0.26,0.23,0.24,0.32,0.25,0.24,0.23,0.2,0.21,0.21,0.49,0.21,0.21,0.21,0.2,0.45,0.19,0.19,0.19,0.19,0.19,0.18,0.24,0.19,0.19,0.19,0.16,0.18,0.17,0.18,0.36,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.15,0.17,0.15,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.25,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.1,0.06,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.0,0.7,0.0,0.0,0.0,0.0,100.04
07/22/2021,5.42,5.59,4.93,2.39,4.77,2.19,2.62,2.57,1.96,1.85,1.62,1.61,1.58,1.38,1.4,1.07,2.33,2.39,1.03,1.22,0.97,0.97,1.01,0.95,0.93,0.95,1.59,2.1,0.82,0.79,1.69,0.88,0.76,0.71,0.71,0.68,0.67,0.71,0.65,0.65,0.56,0.57,0.33,0.58,0.53,0.55,0.5,0.51,0.51,0.5,0.0,0.46,0.42,0.64,0.41,0.38,0.41,0.4,0.37,0.38,0.37,0.33,0.74,0.34,0.32,0.34,0.34,0.32,0.31,0.31,0.31,0.3,0.28,0.28,0.29,0.29,0.28,0.28,0.25,0.23,0.24,0.31,0.25,0.23,0.23,0.19,0.22,0.2,0.49,0.21,0.21,0.21,0.2,0.45,0.2,0.19,0.19,0.19,0.19,0.19,0.24,0.2,0.19,0.19,0.15,0.18,0.17,0.18,0.36,0.17,0.17,0.17,0.16,0.17,0.16,0.15,0.15,0.17,0.15,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.12,0.14,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.25,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.07,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.1,0.07,0.06,0.07,0.06,0.08,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.0,0.7,0.0,0.0,0.0,0.0,100.04
