,PLD,PSA,DLR,SPG,WELL,AVB,EQR,GMG.AX,ARE,O,8801.T,EXR,DWNI.DE,INVH,VTR,823.HK,ESS,MAA,SUI,SGRO.L,PEAK,DRE,BXP,UDR,WPC,CPT,ELS,URW.AS,HST,AMH,LEG.DE,SCG.AX,VER,8951.T,REG,1997.HK,COLD,CUBE,AT1.DE,CBOT DOW JONES US REAL ESTATE SEP 2021,KIM,8952.T,Dexus TEMP,OHI,STOR,LSI,GFC.PA,3283.T,NNN,FRT,REXR,AIRC,SPSN.SW,8953.T,3462.T,3281.T,A17U.SI,C38U.SI,KRC,VNO,LAND.L,C31.SI,GPT.AX,FR,EGP,BRX,ACC,CAST.ST,BLND.L,UTG.L,STAG,8984.T,HTA,3003.T,DEI,SRC,CUZ,SLG,PSPN.SW,WDP.BR,8954.T,QTS,LI.PA,DLN.L,AED.BR,ADC,IIPR,BBOX.L,HIW,8960.T,3269.T,COFB.BR,M44U.SI,TRNO,FABG.ST,101.HK,PK,VCX.AX,HR,COV.PA,HPP,CAR.UN.TO,RHP,3249.T,ME8U.SI,ENTRA.OL,EPR,WRI,SBB B.ST,8955.T,BNL,GRT.JO,3309.T,N2IU.SI,MRL.MC,NSA,JBGS,AOX.DE,LXP,3279.T,KOJAMO.HE,EQC,OFC,EPRT,FUNO11.MX,WIHL.ST,8972.T,1972.HK,BUOU.SI,NHI,APLE,3466.T,CAI.VI,LMP.L,PSB,PEB,3226.T,NRP.JO,MAC,PHP.L,REI.UN.TO,8967.T,AGR.L,GYC.DE,GRI.L,3471.T,8985.T,COL.MC,STATE STREET INSTITUTIONAL LIQ STATE STR,SHO,GPOR.L,SITC,AJBU.SI,J69U.SI,3234.T,SHB.L,RPAI,T82U.SI,RLJ,8963.T,8986.T,BDN,14.HK,3292.T,PDM,CTRE,HMSO.L,AP.UN.TO,KLED.ST,8964.T,CPN-R.BK,FCPT,3278.T,GRT.UN.TO,8976.T,HUFV A.ST,ROIC,3295.T,UE,3282.T,SVC,WRE,XHR,8956.T,DRH,SCP.AX,CXP,CLW.AX,CAPC.L,AKR,MNR,IRT,HR.UN.TO,KRG,SKT,AAT,8987.T,3296.T,GNL,DEA,DXS.AX,MINT.SI,FLT.SI,KDCREIT.SI,3298.T,ILPT,3481.T,Japanese Yen,n/a,SRU.UN.TO,NSR.AX,SUM
07/09/2021,5.79,2.99,2.74,2.68,2.27,1.9,1.73,1.67,1.63,1.63,1.46,1.46,1.41,1.41,1.38,1.3,1.28,1.27,1.26,1.2,1.17,1.16,1.05,0.95,0.87,0.85,0.83,0.79,0.75,0.7,0.7,0.69,0.69,0.68,0.64,0.64,0.62,0.62,0.59,0.59,0.57,0.57,0.56,0.56,0.56,0.54,0.53,0.53,0.53,0.53,0.5,0.49,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.41,0.4,0.39,0.38,0.38,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73
07/12/2021,5.83,2.99,2.79,2.63,2.27,1.94,1.77,1.7,1.64,1.62,1.48,1.45,1.41,1.43,1.38,1.28,1.31,1.3,1.27,1.21,1.18,1.17,1.03,0.97,0.87,0.87,0.84,0.77,0.75,0.71,0.7,0.68,0.68,0.67,0.64,0.63,0.62,0.61,0.59,0.59,0.57,0.56,0.0,0.55,0.55,0.55,0.53,0.54,0.52,0.52,0.5,0.49,0.5,0.49,0.49,0.48,0.46,0.45,0.46,0.45,0.44,0.43,0.44,0.44,0.43,0.42,0.42,0.43,0.41,0.39,0.39,0.38,0.37,0.36,0.35,0.35,0.35,0.34,0.36,0.35,0.34,0.34,0.33,0.34,0.32,0.31,0.3,0.31,0.3,0.3,0.32,0.3,0.28,0.29,0.3,0.28,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.0,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.0,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.53,0.26,0.2,0.16,0.12,0.0,0.0,0.0,0.0,0.0,0.0,95.65
07/13/2021,5.83,2.99,2.79,2.63,2.27,1.94,1.77,1.7,1.64,1.62,1.48,1.45,1.41,1.43,1.38,1.28,1.31,1.3,1.27,1.21,1.18,1.17,1.03,0.97,0.87,0.87,0.84,0.77,0.75,0.71,0.7,0.68,0.68,0.67,0.64,0.63,0.62,0.61,0.59,0.59,0.57,0.56,0.0,0.55,0.55,0.55,0.53,0.54,0.52,0.52,0.5,0.49,0.5,0.49,0.49,0.48,0.46,0.45,0.46,0.45,0.44,0.43,0.44,0.44,0.43,0.42,0.42,0.43,0.41,0.39,0.39,0.38,0.37,0.36,0.35,0.35,0.35,0.34,0.36,0.35,0.34,0.34,0.33,0.34,0.32,0.31,0.3,0.31,0.3,0.3,0.32,0.3,0.28,0.29,0.3,0.28,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.0,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.0,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.53,0.26,0.2,0.16,0.12,0.0,0.0,0.0,0.0,0.0,0.0,95.65
07/16/2021,5.87,2.98,2.76,2.63,2.29,1.95,1.77,1.71,1.63,1.61,1.51,1.45,1.38,1.42,1.4,1.27,1.31,1.31,1.26,1.23,1.17,1.17,1.04,0.97,0.87,0.87,0.83,0.76,0.74,0.71,0.71,0.66,0.68,0.66,0.64,0.63,0.62,0.61,0.58,0.59,0.57,0.55,0.0,0.55,0.55,0.54,0.54,0.53,0.52,0.53,0.49,0.49,0.5,0.46,0.48,0.48,0.47,0.45,0.47,0.45,0.45,0.44,0.44,0.44,0.43,0.42,0.43,0.44,0.42,0.39,0.39,0.37,0.37,0.37,0.35,0.35,0.36,0.34,0.37,0.36,0.33,0.33,0.32,0.34,0.32,0.31,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.3,0.29,0.28,0.28,0.27,0.28,0.26,0.26,0.27,0.26,0.0,0.26,0.25,0.25,0.25,0.24,0.24,0.22,0.24,0.22,0.23,0.23,0.22,0.23,0.22,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.0,0.19,0.19,0.2,0.19,0.2,0.19,0.19,0.2,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.13,0.16,0.17,0.16,0.0,0.15,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.52,0.26,0.2,0.16,0.11,0.0,0.0,0.0,0.0,0.0,0.0,95.62
07/19/2021,5.93,3.01,2.79,2.62,2.34,1.98,1.8,1.72,1.66,1.63,1.49,1.46,1.4,1.42,1.4,1.26,1.34,1.32,1.29,1.22,1.2,1.19,1.05,0.99,0.89,0.88,0.85,0.73,0.73,0.72,0.7,0.63,0.7,0.67,0.65,0.63,0.63,0.62,0.57,0.41,0.58,0.55,0.0,0.55,0.56,0.55,0.53,0.52,0.54,0.52,0.5,0.51,0.49,0.46,0.48,0.48,0.46,0.45,0.47,0.45,0.44,0.44,0.43,0.44,0.44,0.43,0.43,0.43,0.41,0.38,0.4,0.37,0.38,0.36,0.35,0.35,0.36,0.34,0.35,0.35,0.33,0.33,0.31,0.33,0.31,0.31,0.31,0.3,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.0,0.25,0.25,0.25,0.25,0.23,0.24,0.22,0.24,0.22,0.22,0.23,0.23,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.0,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.26,0.16,0.16,0.16,0.0,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.14,0.12,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.52,0.26,0.2,0.16,0.0,0.11,0.0,0.0,0.0,0.0,0.0,95.78
08/03/2021,5.9,2.96,2.64,2.58,2.28,2.0,1.81,1.74,1.71,1.63,1.41,1.45,1.42,1.44,1.39,1.25,1.34,1.38,1.36,1.24,1.25,1.19,1.05,1.03,0.89,0.91,0.88,0.75,0.72,0.72,0.7,0.61,0.7,0.66,0.64,0.61,0.61,0.62,0.59,0.41,0.58,0.54,0.0,0.55,0.56,0.56,0.54,0.54,0.53,0.52,0.51,0.51,0.5,0.45,0.47,0.49,0.47,0.44,0.46,0.43,0.46,0.46,0.41,0.44,0.44,0.43,0.43,0.43,0.42,0.4,0.41,0.37,0.39,0.36,0.34,0.36,0.37,0.32,0.35,0.36,0.33,0.33,0.31,0.35,0.32,0.32,0.32,0.31,0.31,0.29,0.3,0.3,0.29,0.3,0.29,0.29,0.28,0.27,0.28,0.28,0.26,0.26,0.26,0.25,0.0,0.25,0.24,0.24,0.26,0.24,0.25,0.21,0.24,0.22,0.23,0.26,0.23,0.24,0.23,0.2,0.21,0.2,0.21,0.22,0.2,0.2,0.19,0.19,0.0,0.19,0.19,0.2,0.13,0.2,0.19,0.19,0.19,0.17,0.17,0.19,0.17,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.0,0.16,0.17,0.17,0.0,0.15,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.11,0.12,0.11,0.11,0.0,0.12,0.51,0.26,0.2,0.16,0.11,0.11,0.11,0.0,0.0,0.0,0.0,95.71
08/04/2021,5.91,2.97,2.71,2.6,2.26,1.98,1.8,1.74,1.72,1.64,1.4,1.45,1.42,1.44,1.4,1.24,1.33,1.38,1.37,1.26,1.25,1.19,1.04,1.02,0.9,0.91,0.89,0.72,0.7,0.72,0.71,0.62,0.7,0.66,0.65,0.61,0.61,0.63,0.58,0.41,0.58,0.54,0.0,0.53,0.55,0.56,0.54,0.54,0.54,0.52,0.51,0.52,0.5,0.45,0.46,0.48,0.47,0.45,0.46,0.43,0.46,0.46,0.41,0.44,0.44,0.43,0.43,0.43,0.41,0.4,0.41,0.37,0.39,0.35,0.34,0.36,0.37,0.32,0.35,0.36,0.32,0.33,0.3,0.35,0.32,0.32,0.32,0.31,0.31,0.29,0.29,0.3,0.28,0.3,0.29,0.3,0.27,0.27,0.28,0.28,0.26,0.26,0.26,0.25,0.27,0.26,0.23,0.24,0.26,0.23,0.25,0.21,0.23,0.22,0.23,0.26,0.23,0.24,0.23,0.2,0.21,0.2,0.21,0.22,0.2,0.2,0.19,0.19,0.2,0.19,0.19,0.21,0.13,0.2,0.19,0.18,0.19,0.17,0.17,0.19,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.0,0.16,0.17,0.17,0.16,0.15,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.11,0.13,0.12,0.12,0.11,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.0,0.0,0.11,0.11,0.11,0.11,0.12,0.51,0.0,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,95.66
08/05/2021,5.94,2.96,2.73,2.6,2.25,2.0,1.81,1.75,1.74,1.63,1.43,1.47,1.43,1.44,1.39,1.25,1.33,1.4,1.37,1.28,1.24,1.19,1.03,1.02,0.89,0.92,0.88,0.74,0.7,0.72,0.72,0.62,0.7,0.67,0.64,0.59,0.61,0.63,0.6,0.29,0.58,0.54,0.0,0.53,0.55,0.57,0.54,0.54,0.54,0.51,0.51,0.51,0.51,0.45,0.46,0.48,0.47,0.45,0.45,0.43,0.47,0.47,0.41,0.44,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.38,0.39,0.36,0.34,0.36,0.36,0.32,0.36,0.37,0.32,0.33,0.31,0.35,0.32,0.32,0.32,0.31,0.3,0.29,0.29,0.3,0.28,0.3,0.3,0.31,0.26,0.28,0.28,0.28,0.26,0.26,0.26,0.25,0.0,0.26,0.23,0.24,0.27,0.23,0.25,0.22,0.23,0.22,0.23,0.26,0.22,0.24,0.23,0.2,0.21,0.2,0.2,0.22,0.2,0.2,0.19,0.19,0.0,0.19,0.19,0.2,0.13,0.2,0.19,0.18,0.19,0.17,0.17,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.16,0.17,0.12,0.15,0.17,0.17,0.0,0.15,0.15,0.16,0.17,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.16,0.14,0.12,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.11,0.13,0.12,0.12,0.11,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.0,0.0,0.11,0.11,0.11,0.0,0.12,0.52,0.27,0.2,0.16,0.11,0.11,0.11,0.0,0.0,0.0,0.0,95.8
08/06/2021,6.0,2.95,2.73,2.66,2.27,2.0,1.82,1.75,1.76,1.65,1.43,1.48,1.43,1.44,1.4,1.25,1.33,1.37,1.37,1.27,1.24,1.19,1.03,1.02,0.89,0.91,0.89,0.73,0.7,0.72,0.72,0.62,0.7,0.68,0.64,0.57,0.61,0.64,0.6,0.29,0.56,0.54,0.0,0.51,0.55,0.57,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.46,0.47,0.49,0.47,0.45,0.44,0.42,0.47,0.47,0.41,0.45,0.44,0.43,0.43,0.43,0.42,0.41,0.41,0.38,0.38,0.36,0.33,0.36,0.36,0.31,0.36,0.37,0.33,0.33,0.3,0.35,0.32,0.32,0.32,0.31,0.3,0.29,0.29,0.3,0.28,0.3,0.3,0.32,0.26,0.29,0.28,0.28,0.25,0.26,0.26,0.25,0.0,0.26,0.23,0.24,0.27,0.23,0.25,0.22,0.24,0.22,0.23,0.27,0.22,0.24,0.23,0.19,0.21,0.2,0.2,0.22,0.2,0.2,0.19,0.19,0.0,0.19,0.19,0.21,0.13,0.2,0.19,0.18,0.19,0.17,0.17,0.19,0.17,0.17,0.18,0.18,0.18,0.18,0.16,0.17,0.12,0.15,0.17,0.17,0.0,0.15,0.15,0.16,0.16,0.14,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.16,0.14,0.12,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.11,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.13,0.12,0.12,0.13,0.12,0.0,0.0,0.11,0.11,0.11,0.0,0.12,0.52,0.26,0.2,0.16,0.0,0.11,0.11,0.11,0.0,0.0,0.0,95.89
08/13/2021,6.03,2.99,2.74,2.74,2.24,1.96,1.78,1.85,1.77,1.65,1.38,1.46,1.42,1.39,1.34,1.23,1.3,1.34,1.36,1.3,1.2,1.19,1.04,1.01,0.86,0.88,0.87,0.77,0.72,0.7,0.71,0.62,0.71,0.68,0.66,0.55,0.58,0.64,0.61,0.0,0.83,0.54,0.0,0.52,0.55,0.58,0.54,0.56,0.52,0.53,0.51,0.5,0.5,0.44,0.46,0.49,0.48,0.46,0.44,0.42,0.47,0.47,0.41,0.44,0.43,0.44,0.42,0.43,0.42,0.42,0.41,0.38,0.39,0.36,0.33,0.36,0.36,0.31,0.35,0.37,0.32,0.33,0.31,0.37,0.33,0.32,0.34,0.33,0.3,0.29,0.29,0.3,0.29,0.29,0.3,0.31,0.28,0.28,0.27,0.28,0.25,0.26,0.26,0.25,0.0,0.26,0.24,0.0,0.27,0.22,0.26,0.22,0.23,0.22,0.24,0.27,0.21,0.24,0.23,0.19,0.21,0.2,0.2,0.22,0.2,0.21,0.19,0.19,0.0,0.18,0.19,0.2,0.13,0.2,0.19,0.18,0.19,0.17,0.18,0.19,0.17,0.17,0.18,0.18,0.18,0.18,0.16,0.17,0.0,0.15,0.17,0.17,0.0,0.15,0.14,0.16,0.17,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.16,0.13,0.12,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.13,0.13,0.12,0.12,0.13,0.12,0.0,0.11,0.12,0.0,0.11,0.0,0.12,0.52,0.26,0.2,0.16,0.11,0.11,0.11,0.0,0.36,0.11,0.11,95.97
