,IYR,IWS,VOE,XLI,XLK,QQQ,Vanguard Growth ETF,XLY,LQD,TLT,Invesco Govt Agency Instl 1901,GTES,Cash,BLV,VGT,VOO,VHT,VFH,VOX,VO,VCR,Vanguard Extended Market ETF,VXF,Vanguard Financials ETF,688098.SS,n/a,688065.SS,QQQM,VUG,VOT,VDE,MGK,VBK,SUM
07/09/2021,10.78,10.65,10.6,10.28,10.25,10.16,10.14,10.04,8.62,8.11,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,10.92,10.46,10.4,10.16,10.26,10.18,10.16,10.04,8.7,8.32,0.0,0.36,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
07/13/2021,10.92,10.46,10.4,10.16,10.26,10.18,10.16,10.04,8.7,8.32,0.0,0.36,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
07/14/2021,10.99,10.56,10.51,10.23,10.27,10.15,10.16,10.05,8.59,8.13,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,11.04,10.56,10.51,10.22,10.25,10.17,10.15,10.09,8.56,8.1,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,10.98,10.51,10.44,10.21,10.39,10.25,10.22,10.06,8.61,8.11,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,0.0,0.0,0.0,0.0,0.0,9.95,0.0,0.0,0.0,0.0,0.0,0.0,1.13,10.1,9.98,9.95,9.89,9.87,9.85,9.82,9.78,9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,0.0,0.0,0.0,0.0,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.27,0.0,10.25,10.05,10.04,10.08,9.89,9.93,9.91,9.8,9.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,0.0,0.0,0.0,0.0,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.27,0.0,10.25,10.05,10.04,10.08,9.89,9.93,9.91,9.8,9.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,0.0,0.0,0.0,0.0,0.0,10.03,0.0,0.0,0.0,0.0,0.0,0.27,0.0,10.25,10.05,10.04,10.08,9.89,9.93,9.91,9.8,9.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,0.0,0.0,0.0,0.0,0.0,10.01,0.0,0.0,0.0,0.0,0.0,0.27,0.0,10.29,10.03,9.97,10.09,0.0,9.88,9.93,9.85,0.0,9.88,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,0.0,0.0,0.0,0.0,0.0,10.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18,10.11,9.99,10.08,0.0,9.89,9.92,9.89,0.0,9.85,9.77,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
