,Los Angeles Department of Water & Power Power System Revenue,State of California Department of Water Resources,JEA Water & Sewer System Revenue,State of Maryland,City of New York NY,Battery Park City Authority,State of Hawaii,County of Bexar TX,St Joseph County Hospital Authority,WI MLW 5 02/01/2023,North Texas Tollway Authority,Energy Northwest,Commonwealth of Massachusetts,Grand Parkway Transportation Corp,New York City Transitional Finance Authority Future Tax Secu,Dallas Fort Worth International Airport,State of New Jersey,State of Illinois,New York State Dormitory Authority,Commonwealth of Pennsylvania,New York City Water & Sewer System,State of Washington,Board of Regents of the University of Texas System,New York State Dormitory Authority,New York State Urban Development Corp,New York State Urban Development Corp,New York City Transitional Finance Authority Future Tax Secu,State of Florida,Metropolitan Transportation Authority,Cash/Receivables/Payables,County of Jefferson AL Sewer Revenue,New York City Transitional Finance Authority Future Tax Secu,State of Ohio,Los Angeles Unified School District/CA,City of Houston TX,South Carolina Public Service Authority,New Jersey Educational Facilities Authority,Adams 12 Five Star Schools,State of Illinois,University of California,Triborough Bridge & Tunnel Authority,San Diego Unified School District/CA,Terrebonne Levee & Conservation District,New Jersey Transportation Trust Fund Authority,State of California,Metropolitan Transportation Authority,Indiana Finance Authority,New York City Transitional Finance Authority Future Tax Secu,New Jersey Economic Development Authority,Commonwealth of Pennsylvania,State of California,State of Maryland Department of Transportation,Rutgers The State University of New Jersey,Virginia Public School Authority,Ohio Turnpike & Infrastructure Commission,County of Montgomery MD,State of Illinois,State of Connecticut,Virginia Public School Authority,State of Texas,State of California,Houston Community College System,Commonwealth of Massachusetts,New York State Dormitory Authority,Tarrant County Cultural Education Facilities Finance Corp,Kentucky State Property & Building Commission,City of Dallas TX Waterworks & Sewer System Revenue,Grossmont-Cuyamaca Community College District,Trust for Cultural Resources of The City of New York/The,New York State Dormitory Authority,Charleston County School District,Los Angeles Unified School District/CA,New York City Water & Sewer System,Commonwealth of Pennsylvania,Sales Tax Asset Receivable Corp,State of Washington,Maricopa County Industrial Development Authority,State of Ohio,State of Georgia,Iowa Finance Authority,State of California,Guam Government Waterworks Authority,Tuolumne Wind Project Authority,Utility Debt Securitization Authority,California State University,Illinois Finance Authority,State of California,New York City Transitional Finance Authority Future Tax Secu,District of Columbia,Livonia Public Schools,Metropolitan Transportation Authority,State of Ohio,State of Connecticut,Chesapeake Bay Bridge & Tunnel District,District of Columbia Water & Sewer Authority,State of California,Triborough Bridge & Tunnel Authority,Utility Debt Securitization Authority,New York City Water & Sewer System,New York City Water & Sewer System,Michigan State Building Authority,School Board of Miami-Dade County/The,Red River Education Finance Corp,Commonwealth of Pennsylvania,New Jersey Economic Development Authority,San Bernardino Community College District,State of Maryland Department of Transportation,New Jersey Transportation Trust Fund Authority,Louisiana Local Government Environmental Facilities & Commun,Commonwealth of Pennsylvania,State of California,Commonwealth of Massachusetts,California State Public Works Board,State of Illinois,San Diego Unified School District/CA,California State Public Works Board,State of California,State of California,New York City Transitional Finance Authority Building Aid Re,Desert Community College District,Maricopa County Special Health Care District,Los Angeles Unified School District/CA,Metropolitan Government of Nashville & Davidson County TN,State of North Carolina,San Francisco Community College District,San Jose Financing Authority,San Diego County Water Authority,Rutgers The State University of New Jersey,San Diego Association of Governments,Virginia College Building Authority,Massachusetts School Building Authority,City of New York NY,State of California,New York State Dormitory Authority,State of Connecticut,Colorado Health Facilities Authority,New York State Dormitory Authority,Anaheim Housing & Public Improvements Authority,State of California,North Carolina State University at Raleigh,San Marcos Consolidated Independent School District,University of California,State of North Carolina,State of Georgia,Chicago O'Hare International Airport,Massachusetts Bay Transportation Authority,County of Jefferson AL,Colorado Health Facilities Authority,San Diego Community College District,State of Washington,State of California,State of Georgia,University of California,IL ILS 5 05/01/2023,State of Louisiana,Hidalgo County Regional Mobility Authority,State of Texas,City of Springfield MO Public Utility Revenue,Las Vegas Valley Water District,New York City Transitional Finance Authority Future Tax Secu,New Jersey Economic Development Authority,North Texas Tollway Authority,City of New York NY,Horry County School District/SC,Alameda County Joint Powers Authority,City of Atlanta GA Water & Wastewater Revenue,Dallas Fort Worth International Airport,California State Public Works Board,Commonwealth of Pennsylvania,New York State Dormitory Authority,Houston Community College System,Clark County School District,Metropolitan Government of Nashville & Davidson County TN,Erie County Industrial Development Agency/The,New York State Dormitory Authority,State of Washington,Northampton County General Purpose Authority,California State University,Trust for Cultural Resources of The City of New York/The,New Jersey Transportation Trust Fund Authority,City of Houston TX,Louisville and Jefferson County Metropolitan Sewer District,Massachusetts Transportation Trust Fund Metropolitan Highway,McLean & Woodford Counties Community Unit School District No,New York State Dormitory Authority,State of New Mexico Severance Tax Permanent Fund,State of Georgia,District of Columbia,Northeast Ohio Regional Sewer District,NV CLASCD 5 06/15/2023,New York State Environmental Facilities Corp,California Health Facilities Financing Authority,State of Minnesota,City of New York NY,Westmoreland County Municipal Authority,West Virginia Commissioner of Highways,California Infrastructure & Economic Development Bank,Metropolitan Water Reclamation District of Greater Chicago,State of California,Utility Debt Securitization Authority,SUM
07/09/2021,1.87,1.69,1.68,1.64,1.48,1.35,1.34,1.33,1.28,1.22,1.12,1.0,0.99,0.94,0.93,0.91,0.86,0.83,0.82,0.79,0.68,0.67,0.67,0.66,0.65,0.65,0.65,0.65,0.65,0.65,0.63,0.62,0.62,0.61,0.61,0.6,0.6,0.59,0.59,0.58,0.56,0.55,0.55,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.48,0.47,0.47,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,88.03
