,FPH.NZ,AIA.NZ,SPK.NZ,MEL.NZ,ATM.NZ,CEN.NZ,IFT.NZ,MCY.NZ,FBU.NZ,RYM.NZ,SUM.NZ,CNU.NZ,GMT.NZ,SKC.NZ,PCT.NZ,GNE.NZ,KPG.NZ,PPH.NZ,ARG.NZ,ZEL.NZ,OCA.NZ,AIR.NZ,RBD.NZ,SML.NZ,NZD,XTSLA,AUD,SGAFT,XPU1,RBD,MARGIN_AUD,USD,XPZ1,SPK.AX,SUM
07/09/2021,17.8,9.43,9.13,6.38,5.45,4.77,4.72,4.64,4.49,4.05,3.28,3.11,3.1,3.0,2.41,2.23,2.18,1.91,1.84,1.77,1.36,1.26,0.87,0.61,0.15,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
07/12/2021,17.38,9.66,9.28,6.45,5.79,4.84,4.67,4.44,4.38,4.01,3.28,3.05,3.07,2.98,2.5,2.23,2.18,1.94,1.82,1.77,1.37,1.22,0.86,0.63,0.15,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/13/2021,17.38,9.66,9.28,6.45,5.79,4.84,4.67,4.44,4.38,4.01,3.28,3.05,3.07,2.98,2.5,2.23,2.18,1.94,1.82,1.77,1.37,1.22,0.86,0.63,0.15,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/14/2021,17.51,9.58,9.29,6.42,5.8,4.89,4.67,4.45,4.37,3.99,3.31,3.06,3.09,2.96,2.5,2.21,2.21,1.93,1.83,1.77,1.38,1.22,0.87,0.62,0.04,0.07,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/15/2021,17.51,9.58,9.29,6.42,5.8,4.89,4.67,4.45,4.37,3.99,3.31,3.06,3.09,2.96,2.5,2.21,2.21,1.93,1.83,1.77,1.38,1.22,0.87,0.62,0.04,0.07,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/19/2021,17.84,9.59,9.1,6.52,5.61,4.78,4.61,4.45,4.43,4.01,3.32,2.99,3.01,2.92,2.44,2.25,2.21,2.11,1.78,1.77,1.39,1.22,0.93,0.63,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,17.84,9.59,9.1,6.52,5.61,4.78,4.61,4.45,4.43,4.01,3.32,2.99,3.01,2.92,2.44,2.25,2.21,2.11,1.78,1.77,1.39,1.22,0.93,0.63,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,18.03,9.63,9.14,6.57,5.64,4.76,4.58,4.44,4.35,4.0,3.28,3.01,3.0,2.86,2.46,2.19,2.23,2.05,1.78,1.81,1.4,1.2,0.91,0.62,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/23/2021,18.47,9.5,9.17,6.57,5.55,4.83,4.54,4.41,4.28,3.97,3.35,3.01,3.01,2.76,2.43,2.14,2.19,2.04,1.77,1.78,1.4,1.21,0.93,0.63,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04000000000002
07/27/2021,18.38,9.33,9.02,6.55,5.55,4.78,4.55,4.62,4.47,3.97,3.31,3.0,3.09,2.83,2.4,2.18,2.19,2.07,1.76,1.76,1.4,1.19,0.92,0.61,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/29/2021,18.97,9.07,9.16,6.57,5.11,4.88,4.47,4.64,4.5,3.91,3.28,3.0,3.09,2.74,2.44,2.19,2.22,2.04,1.79,1.77,1.41,1.17,0.92,0.6,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/30/2021,18.77,9.2,9.24,6.55,4.94,4.83,4.5,4.58,4.55,3.89,3.27,3.04,3.14,2.78,2.4,2.2,2.22,2.1,1.79,1.82,1.4,1.18,0.92,0.62,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/02/2021,18.77,9.28,9.07,6.55,4.98,4.87,4.52,4.54,4.59,3.95,3.23,3.02,3.1,2.86,2.43,2.2,2.17,2.02,1.76,1.9,1.4,1.2,0.93,0.61,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/03/2021,18.65,9.41,9.11,6.5,4.81,4.81,4.52,4.55,4.7,4.07,3.23,3.03,3.12,2.83,2.38,2.2,2.2,2.0,1.79,1.9,1.38,1.19,0.0,0.61,0.04,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,100.03
08/04/2021,18.65,9.41,9.11,6.5,4.81,4.81,4.52,4.55,4.7,4.07,3.23,3.03,3.12,2.83,2.38,2.2,2.2,2.0,1.79,1.9,1.38,1.19,0.95,0.61,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/05/2021,18.65,9.41,9.11,6.5,4.81,4.81,4.52,4.55,4.7,4.07,3.23,3.03,3.12,2.83,2.38,2.2,2.2,2.0,1.79,1.9,1.38,1.19,0.95,0.61,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/06/2021,19.19,9.27,9.11,6.49,4.81,4.88,4.46,4.65,4.63,4.03,3.26,3.05,3.09,2.77,2.39,2.13,2.18,1.94,1.73,1.85,1.34,1.17,0.91,0.61,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/10/2021,19.14,9.24,9.09,6.47,4.7,4.74,4.65,4.58,4.67,4.07,3.29,3.0,3.15,2.78,2.4,2.14,2.18,1.94,1.76,1.94,1.34,1.16,0.91,0.59,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/11/2021,19.14,9.24,9.09,6.47,4.7,4.74,4.65,4.58,4.67,4.07,3.29,3.0,3.15,2.78,2.4,2.14,2.18,1.94,1.76,1.94,1.34,1.16,0.91,0.59,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/13/2021,19.23,9.38,9.05,6.42,4.73,4.78,4.56,4.57,4.68,4.11,3.26,3.0,3.16,2.74,2.41,2.1,2.16,1.91,1.76,1.96,1.33,1.14,0.91,0.59,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/19/2021,18.23,9.22,8.99,6.22,5.41,4.76,4.5,4.59,4.79,4.42,3.28,3.1,3.23,2.79,2.49,2.12,2.2,1.91,1.76,1.93,1.37,1.16,0.91,0.58,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.0
08/20/2021,19.14,9.14,9.08,6.18,5.18,4.73,4.41,4.56,4.76,4.38,3.22,3.14,3.23,2.72,2.4,2.12,2.11,1.89,1.75,1.9,1.33,1.14,0.89,0.57,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/23/2021,19.34,8.94,8.94,6.17,5.22,4.71,4.5,4.55,4.69,4.36,3.21,3.43,3.22,2.62,2.42,2.11,2.15,1.89,1.72,1.88,1.3,1.12,0.9,0.57,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/24/2021,19.46,9.06,8.95,6.17,5.15,4.71,4.51,4.52,4.63,4.44,3.21,3.43,3.2,2.6,2.37,2.08,2.12,1.89,1.71,1.91,1.29,1.1,0.89,0.55,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,19.46,9.06,8.95,6.17,5.15,4.71,4.51,4.52,4.63,4.44,3.21,3.43,3.2,2.6,2.37,2.08,2.12,1.89,1.71,1.91,1.29,1.1,0.89,0.55,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,19.15,9.17,8.94,6.36,5.1,4.67,4.47,4.54,4.59,4.46,3.2,3.3,3.22,2.58,2.4,2.07,2.08,1.91,1.73,2.16,1.3,1.11,0.89,0.54,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/27/2021,18.83,9.12,9.02,6.21,5.2,4.76,4.39,4.66,4.54,4.47,3.35,3.22,3.25,2.64,2.41,2.08,2.09,2.0,1.73,2.13,1.31,1.14,0.9,0.55,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
09/03/2021,18.86,9.1,9.17,6.87,3.87,4.41,4.44,4.35,4.25,4.74,3.64,3.38,3.22,2.76,2.45,2.09,2.11,2.01,1.75,2.17,1.42,1.15,0.91,0.63,0.23,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/07/2021,18.96,9.1,9.04,6.78,3.81,4.44,4.44,4.35,4.15,4.82,3.72,3.44,3.16,2.84,2.44,2.1,2.11,1.98,1.77,2.18,1.37,1.19,0.87,0.65,0.25,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/08/2021,18.96,9.1,9.04,6.78,3.81,4.44,4.44,4.35,4.15,4.82,3.72,3.44,3.16,2.84,2.44,2.1,2.11,1.98,1.77,2.18,1.37,1.19,0.87,0.65,0.25,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.04
