,NESN.SW,NOVN.SW,ROG.SW,GSK.L,FMG.AX,BATS.L,SAN.PA,ULVR.L,RIO.L,AZN.L,ALV.DE,9434.T,CBA.AX,7203.T,SIE.DE,BAS.DE,BHP.AX,OR.PA,EQNR.OL,DTE.DE,MC.PA,IBE.MC,NOVO B.CO,9433.T,SAP.DE,ENEL.MI,9432.T,8306.T,BAYN.DE,DPW.DE,1299.HK,VOD.L,BHP.L,ZURN.SW,ASML.AS,VOW.,NAB.AX,SU.PA,ANZ.AX,DGE.L,CS.PA,RIO.AX,D05.SI,8316.T,RO.SW,2914.T,BMW.DE,4502.T,LIN,7974.T,8035.T,ABBN.SW,AI.PA,NG.L,WES.AX,2388.HK,E.ON SE,8001.T,11.HK,8058.T,ITX.MC,16.HK,DAI.DE,NTGY.MC,BN.PA,388.HK,TLS.AX,OMV.VI,8411.T,SCMN.SW,AD.AS,MUV2.DE,7751.T,AAL.L,UBSG.SW,HOLN.SW,O39.SI,U11.SI,PGHN.SW,ORA.PA,KER.PA,7267.T,RKT.L,ELE.MC,FORTUM.HE,REL.L,Z74.SI,2.HK,VNA.DE,6501.T,6902.T,TEL.OL,12.HK,NESTE.HE,BA.L,KNEBV.HE,KNIN.SW,SHL.DE,6.HK,SSE.L,688.HK,4519.T,MQG.AX,RMS.PA,RI.PA,8725.T,G.MI,PST.MI,992.HK,8766.T,ATCO A.ST,3382.T,SGSN.SW,NN.AS,SAMPO.HE,WPL.AX,SRG.MI,4063.T,5108.T,CRH.L,RITN.,TELIA.ST,6981.T,6702.T,UPM.HE,ADM.L,8TRA.DE,CON.DE,SLHN.SW,US.MI,CSL.AX,TSCO.L,823.HK,ASM.AS,GIVN.SW,8750.T,MB.MI,TCL.AX,ERIC B.ST,SLA.L,66.HK,8053.T,VIV.PA,HLAG.DE,COLO B.CO,HNR1.DE,DSM.AS,AKZA.AS,COL.AX,4523.T,9984.T,EDP.LS,WOW.AX,6758.T,EVK.DE,SA.SW,4578.T,EMSN.SW,DWNI.DE,6752.T,COV.PA,DB1.DE,FER.MC,4503.T,GMG.AX,FRE.DE,ESSITY B.ST,5020.T,ACS.MC,IFX.DE,LUNE.ST,SIKA.SW,SK3.IR,F34.SI,1605.T,WKL.AS,TEL2 B.ST,GEBN.SW,MIN.AX,2502.T,EPI A.ST,669.HK,KPN.AS,3.HK,1925.T,8604.T,PROX.BR,1972.HK,SDR.L,17.HK,6503.T,6367.T,ADEN.SW,FME.DE,4901.T,KESKOB.HE,YAR.OL,8593.T,8002.T,GJF.OL,2810.T,9020.T,ELISA.HE,AHT.L,O2D.DE,REE.MC,WisdomTree Intl Div ex-Fincls ETF,BNR.DE,n/a,CAP.PA,TLX.DE,EQT.ST,836.HK,TRN.MI,ORSTED.CO,4568.T,LONN.SW,BIDI11.SA,CFR.SW,ABDN.L,SOLB.BR,DOO,6861.T,6098.T,UMG.AS,UN01.DE,SUM
07/09/2021,2.28,2.26,1.91,1.54,1.44,1.29,1.26,1.2,1.14,1.06,1.04,1.03,0.93,0.89,0.84,0.83,0.83,0.8,0.78,0.77,0.76,0.73,0.72,0.72,0.71,0.7,0.68,0.68,0.67,0.64,0.63,0.62,0.61,0.6,0.58,0.58,0.56,0.55,0.54,0.53,0.53,0.52,0.48,0.47,0.47,0.45,0.44,0.43,0.43,0.42,0.41,0.4,0.4,0.4,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.65
07/12/2021,2.3,2.27,1.94,1.54,1.43,1.29,1.24,1.22,1.16,1.04,1.03,1.03,0.93,0.88,0.84,0.81,0.83,0.81,0.75,0.76,0.76,0.74,0.73,0.72,0.74,0.71,0.68,0.67,0.66,0.64,0.64,0.6,0.62,0.59,0.58,0.56,0.56,0.56,0.54,0.54,0.52,0.52,0.48,0.46,0.47,0.45,0.42,0.42,0.43,0.43,0.41,0.41,0.4,0.41,0.38,0.38,0.0,0.37,0.36,0.35,0.35,0.34,0.32,0.34,0.34,0.36,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.11,0.39,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.69
07/13/2021,2.3,2.27,1.94,1.54,1.43,1.29,1.24,1.22,1.16,1.04,1.03,1.03,0.93,0.88,0.84,0.81,0.83,0.81,0.75,0.76,0.76,0.74,0.73,0.72,0.74,0.71,0.68,0.67,0.66,0.64,0.64,0.6,0.62,0.59,0.58,0.56,0.56,0.56,0.54,0.54,0.52,0.52,0.48,0.46,0.47,0.45,0.42,0.42,0.43,0.43,0.41,0.41,0.4,0.41,0.38,0.38,0.0,0.37,0.36,0.35,0.35,0.34,0.32,0.34,0.34,0.36,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.11,0.39,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.69
07/14/2021,2.29,2.29,1.95,1.54,1.45,1.27,1.25,1.22,1.17,1.04,1.03,1.03,0.92,0.88,0.84,0.84,0.84,0.81,0.75,0.77,0.76,0.71,0.75,0.73,0.75,0.7,0.68,0.66,0.66,0.64,0.62,0.6,0.64,0.6,0.58,0.58,0.56,0.56,0.54,0.54,0.53,0.51,0.49,0.45,0.48,0.45,0.43,0.42,0.43,0.41,0.4,0.42,0.4,0.41,0.37,0.37,0.0,0.37,0.35,0.37,0.35,0.34,0.33,0.34,0.33,0.36,0.32,0.32,0.32,0.33,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.2,0.21,0.22,0.21,0.21,0.22,0.2,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.14,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.4,0.12,0.11,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.79
07/15/2021,2.29,2.29,1.95,1.54,1.45,1.27,1.25,1.22,1.17,1.04,1.03,1.03,0.92,0.88,0.84,0.84,0.84,0.81,0.75,0.77,0.76,0.71,0.75,0.73,0.75,0.7,0.68,0.66,0.66,0.64,0.62,0.6,0.64,0.6,0.58,0.58,0.56,0.56,0.54,0.54,0.53,0.51,0.49,0.45,0.48,0.45,0.43,0.42,0.43,0.41,0.4,0.42,0.4,0.41,0.37,0.37,0.0,0.37,0.35,0.37,0.35,0.34,0.33,0.34,0.33,0.36,0.32,0.32,0.32,0.33,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.2,0.21,0.22,0.21,0.21,0.22,0.2,0.21,0.2,0.21,0.19,0.2,0.2,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.14,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.4,0.12,0.11,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.79
07/16/2021,2.28,2.28,1.95,1.53,1.48,1.27,1.26,1.21,1.16,1.05,1.02,1.04,0.91,0.88,0.83,0.83,0.86,0.81,0.74,0.77,0.76,0.71,0.74,0.73,0.75,0.71,0.68,0.66,0.65,0.64,0.61,0.6,0.64,0.59,0.58,0.59,0.55,0.56,0.54,0.54,0.53,0.52,0.49,0.46,0.48,0.45,0.43,0.42,0.43,0.41,0.4,0.42,0.4,0.41,0.37,0.36,0.0,0.37,0.35,0.37,0.35,0.34,0.32,0.34,0.33,0.36,0.32,0.32,0.32,0.33,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.3,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.23,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.22,0.2,0.2,0.2,0.21,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.4,0.11,0.12,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.75
07/19/2021,2.27,2.26,1.94,1.53,1.51,1.28,1.25,1.21,1.16,1.04,1.01,1.04,0.91,0.89,0.83,0.82,0.85,0.81,0.75,0.77,0.76,0.7,0.74,0.73,0.75,0.7,0.69,0.67,0.65,0.63,0.62,0.59,0.63,0.59,0.6,0.58,0.55,0.55,0.53,0.54,0.52,0.52,0.49,0.46,0.48,0.46,0.43,0.43,0.42,0.41,0.4,0.41,0.4,0.4,0.37,0.36,0.0,0.37,0.35,0.37,0.34,0.34,0.32,0.34,0.33,0.37,0.32,0.31,0.32,0.32,0.31,0.3,0.31,0.31,0.3,0.29,0.3,0.29,0.29,0.27,0.28,0.27,0.26,0.26,0.26,0.27,0.25,0.25,0.25,0.25,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.19,0.21,0.21,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.19,0.18,0.17,0.18,0.17,0.16,0.17,0.16,0.16,0.17,0.15,0.16,0.16,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.0,0.0,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.12,0.4,0.0,0.12,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.62
07/20/2021,2.29,2.26,1.97,1.52,1.55,1.3,1.25,1.23,1.13,1.0,1.01,1.04,0.9,0.9,0.81,0.82,0.87,0.81,0.72,0.78,0.75,0.71,0.76,0.73,0.75,0.71,0.69,0.67,0.66,0.63,0.63,0.59,0.63,0.59,0.58,0.57,0.55,0.55,0.53,0.55,0.52,0.53,0.49,0.46,0.49,0.46,0.42,0.43,0.43,0.41,0.4,0.41,0.4,0.41,0.38,0.37,0.0,0.38,0.35,0.37,0.33,0.35,0.32,0.34,0.33,0.38,0.32,0.31,0.33,0.33,0.31,0.3,0.31,0.3,0.3,0.29,0.3,0.29,0.3,0.28,0.27,0.27,0.27,0.26,0.26,0.27,0.25,0.25,0.25,0.25,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.2,0.21,0.22,0.21,0.21,0.21,0.2,0.19,0.21,0.21,0.19,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.19,0.19,0.18,0.17,0.18,0.16,0.15,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.13,0.15,0.15,0.15,0.15,0.15,0.12,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.12,0.11,0.12,0.12,0.12,0.0,0.12,0.41,0.0,0.12,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.7
07/21/2021,2.29,2.26,1.97,1.52,1.55,1.3,1.25,1.23,1.13,1.0,1.01,1.04,0.9,0.9,0.81,0.82,0.87,0.81,0.72,0.78,0.75,0.71,0.76,0.73,0.75,0.71,0.69,0.67,0.66,0.63,0.63,0.59,0.63,0.59,0.58,0.57,0.55,0.55,0.53,0.55,0.52,0.53,0.49,0.46,0.49,0.46,0.42,0.43,0.43,0.41,0.4,0.41,0.4,0.41,0.38,0.37,0.0,0.38,0.35,0.37,0.33,0.35,0.32,0.34,0.33,0.38,0.32,0.31,0.33,0.33,0.31,0.3,0.31,0.3,0.3,0.29,0.3,0.29,0.3,0.28,0.27,0.27,0.27,0.26,0.26,0.27,0.25,0.25,0.25,0.25,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.2,0.21,0.22,0.21,0.21,0.21,0.2,0.19,0.21,0.21,0.19,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.19,0.19,0.18,0.17,0.18,0.16,0.15,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.13,0.15,0.15,0.15,0.15,0.15,0.12,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.12,0.11,0.12,0.12,0.12,0.0,0.12,0.41,0.0,0.12,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.7
07/22/2021,2.29,2.26,1.97,1.52,1.55,1.3,1.25,1.23,1.13,1.0,1.01,1.04,0.9,0.9,0.81,0.82,0.87,0.81,0.72,0.78,0.75,0.71,0.76,0.73,0.75,0.71,0.69,0.67,0.66,0.63,0.63,0.59,0.63,0.59,0.58,0.57,0.55,0.55,0.53,0.55,0.52,0.53,0.49,0.46,0.49,0.46,0.42,0.43,0.43,0.41,0.4,0.41,0.4,0.41,0.38,0.37,0.0,0.38,0.35,0.37,0.33,0.35,0.32,0.34,0.33,0.38,0.32,0.31,0.33,0.33,0.31,0.3,0.31,0.3,0.3,0.29,0.3,0.29,0.3,0.28,0.27,0.27,0.27,0.26,0.26,0.27,0.25,0.25,0.25,0.25,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.22,0.22,0.2,0.21,0.22,0.21,0.21,0.21,0.2,0.19,0.21,0.21,0.19,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.19,0.19,0.18,0.17,0.18,0.16,0.15,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.13,0.15,0.15,0.15,0.15,0.15,0.12,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.12,0.11,0.12,0.12,0.12,0.0,0.12,0.41,0.0,0.12,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.7
