,TREASURY NOTE,TREASURY NOTE.1,TREASURY NOTE.2,TREASURY NOTE.3,TREASURY NOTE.4,TREASURY NOTE.5,TREASURY NOTE.6,TREASURY NOTE.7,TREASURY NOTE.8,TREASURY NOTE.9,TREASURY NOTE.10,BLK CSH FND TREASURY SL AGENCY,TREASURY NOTE.11,T 2.125 07/31/24,T 1.5 09/30/24,T 2.5 01/31/24,T 2.25 04/30/24,T 0.125 01/15/24,T 1.5 11/30/24,T 2.375 02/29/24,T 2 04/30/24,T 2.375 08/15/24,T 2.25 11/15/24,T 1.75 07/31/24,XTSLA,United States Treasury Notes 0.25%,4282.T,T 0.375 07/15/24,T 0.25 06/15/24,n/a,T 0.375 04/15/24,T 0.375 09/15/24,T 2.125 07.31.24,T 1.5 09.30.24,T 2.5 01.31.24,T 2.25 04.30.24,T 0.125 01.15.24,T 0.375 07.15.24,T 2.375 02.29.24,T 2 04.30.24,T 2.375 08.15.24,T 0.375 04.15.24,T 2.25 11.15.24,T 1.75 07.31.24,T 0.25 06.15.24,T 0.375 09.15.24,SUM
07/09/2021,23.43,18.15,13.82,12.33,11.06,6.61,5.72,5.1,1.5,1.03,0.62,0.43,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.43,18.15,13.82,12.33,11.05,6.61,5.72,5.1,1.5,1.03,0.62,0.38,0.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.43,18.16,13.82,12.32,11.05,6.62,5.72,5.1,1.5,1.03,0.62,0.38,0.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.43,18.16,13.81,12.32,11.05,6.62,5.72,5.1,1.5,1.03,0.61,0.36,0.22,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,18.16,13.67,12.33,11.07,0.0,5.66,5.1,1.48,1.03,0.61,0.12,0.0,0.0,7.32,0.22,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,18.07,13.65,12.26,11.05,6.6,5.67,5.08,1.48,1.03,0.61,0.41,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.32999999999998
10/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,18.07,13.65,12.26,11.05,6.6,5.67,5.08,1.48,1.03,0.61,0.41,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.32999999999998
10/05/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.21,18.03,13.67,12.33,8.64,0.0,5.66,5.1,1.48,1.03,0.61,0.12,0.0,0.0,8.54,0.22,0.01,1.22,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.21,18.03,13.67,12.33,8.64,0.0,5.66,5.1,1.48,1.03,0.61,0.12,0.0,0.0,8.54,0.22,0.01,1.22,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/12/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.01,0.0,0.0,23.21,18.03,13.68,12.34,8.65,8.54,5.67,5.11,1.48,1.22,1.03,0.61,0.22,0.12,100.01
