,TSM,7974.T,1299.HK,IFX.DE,ADS.DE,IFC.TO,ASML.AS,7733.T,7701.T,SU.PA,INE.TO,6594.T,BLX.TO,6981.T,9959.HK,ALO.PA,ALV.DE,6028.T,SSE.L,WIX,LSPD.TO,KBX.DE,7309.T,CSU.TO,7951.T,FPH.NZ,LR.PA,VWS.CO,WKL.AS,KXS.TO,n/a,SMDS.L,2175.T,THNC.TO,3923.T,ORA.PA,SHL.DE,NAN.AX,6606.HK,CXL.AX,SUM
10/21/2021,4.98,4.25,3.94,3.78,3.57,3.51,3.38,3.38,3.38,3.33,3.25,3.17,3.13,3.06,2.93,2.77,2.66,2.65,2.63,2.57,2.43,2.4,2.27,2.18,2.14,2.06,2.01,2.0,2.0,1.9,1.89,1.75,1.73,1.62,1.43,1.06,1.02,0.97,0.8,0.0,99.98
10/22/2021,5.0,4.3,4.0,3.79,3.52,3.45,3.4,3.39,3.39,3.32,3.31,3.19,3.14,3.01,2.95,2.78,2.65,2.63,2.62,2.57,2.45,2.41,2.27,2.14,2.13,2.11,2.01,2.01,1.99,1.91,1.87,1.73,1.76,1.44,1.5,1.05,1.03,0.97,0.8,0.0,99.99
10/25/2021,4.99,4.13,4.02,3.8,3.62,3.52,3.33,3.3,3.29,3.27,3.34,3.19,3.21,2.95,2.88,2.73,2.65,2.72,2.68,2.64,2.53,2.4,2.22,2.19,2.11,2.1,1.98,2.17,2.02,1.91,1.87,1.74,1.69,1.49,1.48,1.07,1.05,0.96,0.79,0.0,100.03
10/26/2021,4.89,4.13,4.0,3.87,3.64,3.52,3.44,3.35,3.29,3.3,3.25,3.22,3.15,2.94,2.94,2.73,2.65,2.71,2.68,2.59,2.43,2.39,2.23,2.18,2.11,2.12,2.0,2.19,2.02,1.88,1.87,1.74,1.72,1.48,1.49,1.07,1.06,0.94,0.8,0.0,100.01
10/27/2021,4.89,4.13,4.0,3.87,3.64,3.52,3.44,3.35,3.29,3.3,3.25,3.22,3.15,2.94,2.94,2.73,2.65,2.71,2.68,2.59,2.43,2.39,2.23,2.18,2.11,2.12,2.0,2.19,2.02,1.88,1.87,1.74,1.72,1.48,1.49,1.07,1.06,0.94,0.8,0.0,100.01
02/07/2022,5.81,5.69,4.07,3.87,3.53,3.95,3.18,4.19,3.46,3.85,3.31,3.02,3.07,3.48,2.86,2.78,3.33,2.96,2.93,0.0,1.91,2.57,2.33,2.27,1.9,2.17,2.17,1.5,2.16,1.71,1.04,1.92,1.41,0.78,1.8,0.0,1.15,0.89,0.62,0.36,100.0
02/08/2022,5.88,5.89,4.3,3.74,3.51,3.98,3.14,4.15,3.5,3.8,3.15,3.02,3.05,3.49,2.82,2.65,3.3,3.09,2.86,0.0,1.95,2.52,2.32,2.33,1.88,2.12,2.16,1.48,2.14,1.76,0.99,1.89,1.43,0.84,1.83,0.0,1.14,0.88,0.67,0.36,100.01
02/09/2022,5.88,5.89,4.3,3.74,3.51,3.98,3.14,4.15,3.5,3.8,3.15,3.02,3.05,3.49,2.82,2.65,3.3,3.09,2.86,0.0,1.95,2.52,2.32,2.33,1.88,2.12,2.16,1.48,2.14,1.76,0.99,1.89,1.43,0.84,1.83,0.0,1.14,0.88,0.67,0.36,100.00999999999999
