,NVAX,DDOG,CHGG,PTC,NUAN,HZNP,MPW,ENPH,NET,CLF,MTN,AVTR,MDB,GNRC,DNLI,NI,UPST,NLSN,CVNA,LB,MPWR,DT,PPD,MRTX,FATE,QDEL,ZEN,VICI,NBIX,EEFT,EQH,APPS,AXON,APO,ESTC,CDAY,IIVI,TRMB,ON,POOL,AVLR,HOG,WTRG,XPO,OSH,CRL,RGEN,TECH,ENTG,POST,RPRX,BSY,AFRM,QTS,VIR,CHDN,CGNX,FICO,AVY,BILL,DNB,SLAB,ALLY,BPMC,RH,SAM,MTB,LITE,RARE,NCR,COLD,FNF,BC,PEGA,UTHR,FSLR,CG,WSC,IBRX,WSM,MAN,NFE,FRPT,FHN,CFX,CCK,FBHS,CHWY,MKSI,LNC,SMG,FOXA,SBNY,AMG,MOS,PCTY,GH,LPX,GME,JAZZ,ELS,RCM,CPT,TREX,ARW,AGCO,FND,GRA,GGG,AZPN,NDSN,CHNG,TTC,SHC,LEA,IVZ,TWST,GWRE,SMAR,VRT,ATUS,BG,SWI,BRKS,PEN,BFAM,LII,WMS,MHK,HALO,ALLE,DAR,RPM,BWA,AMH,TW,PWR,NXST,ACI,FIVE,IPG,ARES,JBL,VER,DECK,REG,YETI,HAIN,PRAH,WLK,NTRA,BRKR,STLD,SYNH,NVST,ATH,PLUG,LW,OLED,BLDR,PNR,ABNB,GLPI,PII,BERY,TPX,AFG,DOX,HWM,AMED,LAD,HBI,JEF,BYND,LPLA,PLAN,SC,HPP,CF,OPEN,AI,OC,NRG,WAL,STOR,LSCC,PFPT,HSIC,TPR,DBX,ST,TMX,CNXC,ERIE,CREE,AIZ,PNW,CLR,UGI,WSO,FGXXX,RGLD,CUBE,FIVN,NCNO,ACM,CIEN,STAG,SCI,MIDD,JNPR,HUBB,OHI,TNDM,ATR,HRC,G,BL,JLL,DXC,AA,LSI,BBWI WI,MAT,n/a,GXO WI,EXP,RHI,GXO,BJ,COMP,KSS,NEP,NYT,CACC,TDC,CONE,CZR,SITE,INSP,KIM,XLRN,SRPT,PPC,ZION,EWBC,AN,COG,PLNT,CTRA,VST,RRX,CSL,REXR,MANH,WOLF,MEDP,O,DVN,AOS,TTEK,SAIA,ITT,PSTG,HTA,CMA,KNX,AZTA,ZNGA,EGP,SUM
07/09/2021,1.25,0.98,0.93,0.89,0.86,0.75,0.74,0.73,0.72,0.7,0.69,0.69,0.62,0.59,0.58,0.56,0.55,0.55,0.54,0.53,0.52,0.5,0.5,0.5,0.5,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.42,0.42,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.41
07/12/2021,1.09,1.03,0.96,0.91,0.88,0.74,0.76,0.74,0.76,0.68,0.7,0.69,0.63,0.63,0.57,0.57,0.53,0.55,0.57,0.53,0.53,0.53,0.51,0.48,0.46,0.43,0.46,0.45,0.46,0.45,0.42,0.36,0.44,0.43,0.43,0.41,0.39,0.39,0.38,0.39,0.39,0.37,0.4,0.38,0.39,0.39,0.4,0.38,0.37,0.37,0.37,0.38,0.34,0.35,0.31,0.33,0.35,0.35,0.33,0.35,0.34,0.33,0.32,0.31,0.33,0.32,0.31,0.31,0.3,0.31,0.31,0.3,0.29,0.3,0.3,0.3,0.3,0.28,0.26,0.29,0.27,0.25,0.27,0.26,0.27,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.3,0.25,0.27,0.25,0.25,0.24,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.24,0.25,0.24,0.24,0.23,0.25,0.22,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.0,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.19,0.21,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.2,0.22,0.2,0.21,0.2,0.19,0.2,0.19,0.2,0.21,0.22,0.19,0.19,0.18,0.0,0.19,0.2,0.19,0.19,0.18,0.19,0.19,0.0,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.0,0.18,0.19,0.19,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.73
07/13/2021,1.09,1.03,0.96,0.91,0.88,0.74,0.76,0.74,0.76,0.68,0.7,0.69,0.63,0.63,0.57,0.57,0.53,0.55,0.57,0.53,0.53,0.53,0.51,0.48,0.46,0.43,0.46,0.45,0.46,0.45,0.42,0.36,0.44,0.43,0.43,0.41,0.39,0.39,0.38,0.39,0.39,0.37,0.4,0.38,0.39,0.39,0.4,0.38,0.37,0.37,0.37,0.38,0.34,0.35,0.31,0.33,0.35,0.35,0.33,0.35,0.34,0.33,0.32,0.31,0.33,0.32,0.31,0.31,0.3,0.31,0.31,0.3,0.29,0.3,0.3,0.3,0.3,0.28,0.26,0.29,0.27,0.25,0.27,0.26,0.27,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.3,0.25,0.27,0.25,0.25,0.24,0.26,0.27,0.26,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.24,0.23,0.23,0.23,0.24,0.25,0.24,0.24,0.23,0.25,0.22,0.23,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.0,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.19,0.21,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.2,0.22,0.2,0.21,0.2,0.19,0.2,0.19,0.2,0.21,0.22,0.19,0.19,0.18,0.0,0.19,0.2,0.19,0.19,0.18,0.19,0.19,0.0,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.0,0.18,0.19,0.19,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.73
07/14/2021,1.1,1.03,0.95,0.9,0.87,0.75,0.76,0.74,0.76,0.72,0.7,0.69,0.61,0.63,0.54,0.57,0.54,0.54,0.57,0.53,0.54,0.53,0.5,0.5,0.48,0.43,0.45,0.45,0.46,0.44,0.42,0.35,0.44,0.41,0.43,0.41,0.39,0.39,0.38,0.4,0.38,0.37,0.39,0.38,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.37,0.35,0.35,0.31,0.33,0.35,0.35,0.33,0.35,0.33,0.32,0.33,0.31,0.33,0.32,0.31,0.31,0.3,0.31,0.32,0.3,0.29,0.3,0.3,0.3,0.29,0.29,0.26,0.29,0.27,0.25,0.27,0.26,0.27,0.28,0.26,0.28,0.26,0.26,0.25,0.26,0.27,0.3,0.26,0.27,0.25,0.26,0.24,0.26,0.27,0.25,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.23,0.23,0.24,0.25,0.24,0.24,0.23,0.24,0.22,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.24,0.23,0.22,0.22,0.23,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.0,0.22,0.23,0.23,0.22,0.22,0.21,0.21,0.19,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.22,0.2,0.21,0.21,0.2,0.19,0.18,0.2,0.2,0.22,0.19,0.19,0.0,0.0,0.19,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.0,0.18,0.18,0.0,0.0,0.18,0.28,0.18,0.19,0.0,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7
07/15/2021,1.09,1.02,0.95,0.89,0.87,0.75,0.75,0.75,0.75,0.73,0.7,0.69,0.61,0.64,0.52,0.58,0.58,0.54,0.58,0.56,0.54,0.52,0.5,0.51,0.45,0.43,0.44,0.46,0.45,0.45,0.42,0.36,0.44,0.41,0.42,0.4,0.39,0.4,0.39,0.39,0.38,0.38,0.39,0.39,0.38,0.39,0.39,0.37,0.37,0.37,0.36,0.36,0.34,0.35,0.3,0.33,0.35,0.34,0.33,0.35,0.33,0.33,0.33,0.3,0.33,0.32,0.31,0.31,0.3,0.31,0.32,0.31,0.3,0.29,0.3,0.31,0.29,0.29,0.25,0.29,0.27,0.25,0.27,0.27,0.27,0.28,0.26,0.28,0.26,0.26,0.25,0.26,0.27,0.3,0.26,0.26,0.25,0.26,0.24,0.26,0.27,0.25,0.27,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.23,0.24,0.23,0.23,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.0,0.22,0.23,0.23,0.22,0.22,0.22,0.21,0.19,0.21,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.21,0.2,0.19,0.18,0.2,0.2,0.22,0.2,0.19,0.19,0.0,0.19,0.19,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.0,0.18,0.18,0.18,0.0,0.18,0.18,0.27,0.0,0.19,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.74
07/16/2021,1.09,1.02,0.96,0.91,0.88,0.76,0.75,0.75,0.75,0.73,0.69,0.7,0.62,0.65,0.51,0.58,0.54,0.54,0.58,0.55,0.55,0.53,0.51,0.52,0.44,0.42,0.44,0.46,0.45,0.45,0.42,0.36,0.46,0.41,0.43,0.41,0.39,0.4,0.39,0.4,0.38,0.37,0.39,0.39,0.38,0.4,0.39,0.38,0.37,0.36,0.37,0.37,0.31,0.36,0.29,0.32,0.35,0.35,0.33,0.36,0.33,0.33,0.33,0.31,0.33,0.32,0.31,0.31,0.29,0.3,0.32,0.3,0.3,0.3,0.3,0.31,0.29,0.29,0.24,0.29,0.27,0.24,0.28,0.26,0.27,0.28,0.26,0.28,0.26,0.26,0.25,0.26,0.27,0.3,0.26,0.26,0.25,0.25,0.23,0.26,0.27,0.25,0.27,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.23,0.24,0.22,0.24,0.25,0.24,0.24,0.23,0.24,0.22,0.23,0.24,0.23,0.24,0.23,0.23,0.22,0.23,0.23,0.22,0.24,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.24,0.23,0.22,0.22,0.22,0.0,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.0,0.21,0.21,0.21,0.22,0.2,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.21,0.2,0.19,0.18,0.2,0.21,0.22,0.2,0.19,0.0,0.0,0.18,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.0,0.18,0.18,0.19,0.0,0.0,0.18,0.19,0.18,0.19,0.0,0.18,0.0,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63
07/19/2021,1.08,1.01,0.94,0.91,0.9,0.76,0.78,0.68,0.74,0.71,0.7,0.72,0.6,0.64,0.49,0.6,0.52,0.55,0.57,0.56,0.55,0.51,0.52,0.49,0.42,0.43,0.44,0.47,0.44,0.44,0.43,0.34,0.44,0.41,0.41,0.41,0.39,0.39,0.38,0.4,0.36,0.37,0.41,0.39,0.37,0.4,0.39,0.38,0.37,0.37,0.36,0.35,0.31,0.36,0.3,0.32,0.35,0.36,0.34,0.34,0.33,0.32,0.34,0.31,0.32,0.32,0.31,0.32,0.29,0.31,0.33,0.31,0.3,0.29,0.3,0.29,0.29,0.29,0.23,0.28,0.28,0.23,0.27,0.27,0.27,0.28,0.27,0.27,0.26,0.27,0.25,0.26,0.27,0.29,0.26,0.27,0.24,0.25,0.22,0.26,0.28,0.24,0.28,0.25,0.25,0.24,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.23,0.24,0.24,0.21,0.24,0.24,0.24,0.24,0.23,0.24,0.22,0.22,0.24,0.22,0.23,0.23,0.22,0.23,0.24,0.23,0.23,0.25,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.24,0.23,0.23,0.22,0.23,0.0,0.22,0.22,0.23,0.23,0.22,0.21,0.21,0.0,0.21,0.21,0.21,0.22,0.2,0.22,0.21,0.22,0.2,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.0,0.2,0.2,0.23,0.2,0.19,0.0,0.0,0.19,0.2,0.2,0.2,0.0,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.0,0.0,0.19,0.19,0.0,0.19,0.19,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.19,0.19,0.19,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.53
07/20/2021,1.08,1.01,0.94,0.91,0.9,0.76,0.78,0.68,0.74,0.71,0.7,0.72,0.6,0.64,0.49,0.6,0.52,0.55,0.57,0.56,0.55,0.51,0.52,0.49,0.42,0.43,0.44,0.47,0.44,0.44,0.43,0.34,0.44,0.41,0.41,0.41,0.39,0.39,0.38,0.4,0.36,0.37,0.41,0.39,0.37,0.4,0.39,0.38,0.37,0.37,0.36,0.35,0.31,0.36,0.3,0.32,0.35,0.36,0.34,0.34,0.33,0.32,0.34,0.31,0.32,0.32,0.31,0.32,0.29,0.31,0.33,0.31,0.3,0.29,0.3,0.29,0.29,0.29,0.23,0.28,0.28,0.23,0.27,0.27,0.27,0.28,0.27,0.27,0.26,0.27,0.25,0.26,0.27,0.29,0.26,0.27,0.24,0.25,0.22,0.26,0.28,0.24,0.28,0.25,0.25,0.24,0.26,0.26,0.25,0.25,0.25,0.24,0.25,0.23,0.24,0.24,0.21,0.24,0.24,0.24,0.24,0.23,0.24,0.22,0.22,0.24,0.22,0.23,0.23,0.22,0.23,0.24,0.23,0.23,0.25,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.22,0.24,0.23,0.23,0.22,0.23,0.0,0.22,0.22,0.23,0.23,0.22,0.21,0.21,0.0,0.21,0.21,0.21,0.22,0.2,0.22,0.21,0.22,0.2,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.0,0.2,0.2,0.23,0.2,0.19,0.0,0.0,0.19,0.2,0.2,0.2,0.0,0.2,0.19,0.19,0.19,0.18,0.19,0.19,0.0,0.0,0.19,0.19,0.0,0.19,0.19,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.19,0.19,0.19,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.53
07/21/2021,1.13,1.03,0.95,0.91,0.91,0.76,0.79,0.68,0.74,0.66,0.69,0.72,0.6,0.64,0.5,0.61,0.53,0.55,0.58,0.55,0.56,0.52,0.53,0.51,0.43,0.46,0.45,0.47,0.45,0.44,0.43,0.34,0.45,0.4,0.42,0.41,0.39,0.39,0.37,0.4,0.37,0.37,0.41,0.39,0.38,0.41,0.4,0.39,0.37,0.37,0.37,0.35,0.31,0.37,0.3,0.32,0.35,0.36,0.33,0.35,0.34,0.32,0.33,0.32,0.32,0.32,0.31,0.31,0.29,0.3,0.34,0.31,0.29,0.3,0.31,0.28,0.28,0.29,0.22,0.28,0.27,0.23,0.27,0.25,0.27,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.29,0.25,0.27,0.25,0.24,0.22,0.26,0.29,0.24,0.29,0.25,0.25,0.24,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.23,0.23,0.23,0.21,0.24,0.24,0.24,0.24,0.23,0.25,0.22,0.22,0.25,0.22,0.24,0.23,0.22,0.24,0.23,0.24,0.22,0.25,0.24,0.23,0.22,0.24,0.22,0.22,0.23,0.22,0.25,0.22,0.23,0.22,0.23,0.0,0.21,0.22,0.23,0.22,0.22,0.21,0.2,0.0,0.21,0.21,0.21,0.22,0.19,0.22,0.21,0.22,0.2,0.22,0.21,0.19,0.21,0.2,0.2,0.21,0.0,0.2,0.21,0.23,0.2,0.0,0.0,0.0,0.19,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.19,0.0,0.2,0.19,0.19,0.0,0.19,0.2,0.0,0.19,0.19,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.79
07/22/2021,1.13,1.03,0.95,0.91,0.91,0.76,0.79,0.68,0.74,0.66,0.69,0.72,0.6,0.64,0.5,0.61,0.53,0.55,0.58,0.55,0.56,0.52,0.53,0.51,0.43,0.46,0.45,0.47,0.45,0.44,0.43,0.34,0.45,0.4,0.42,0.41,0.39,0.39,0.37,0.4,0.37,0.37,0.41,0.39,0.38,0.41,0.4,0.39,0.37,0.37,0.37,0.35,0.31,0.37,0.3,0.32,0.35,0.36,0.33,0.35,0.34,0.32,0.33,0.32,0.32,0.32,0.31,0.31,0.29,0.3,0.34,0.31,0.29,0.3,0.31,0.28,0.28,0.29,0.22,0.28,0.27,0.23,0.27,0.25,0.27,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.29,0.25,0.27,0.25,0.24,0.22,0.26,0.29,0.24,0.29,0.25,0.25,0.24,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.23,0.23,0.23,0.21,0.24,0.24,0.24,0.24,0.23,0.25,0.22,0.22,0.25,0.22,0.24,0.23,0.22,0.24,0.23,0.24,0.22,0.25,0.24,0.23,0.22,0.24,0.22,0.22,0.23,0.22,0.25,0.22,0.23,0.22,0.23,0.0,0.21,0.22,0.23,0.22,0.22,0.21,0.2,0.0,0.21,0.21,0.21,0.22,0.19,0.22,0.21,0.22,0.2,0.22,0.21,0.19,0.21,0.2,0.2,0.21,0.0,0.2,0.21,0.23,0.2,0.0,0.0,0.0,0.19,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.19,0.0,0.2,0.19,0.19,0.0,0.19,0.2,0.0,0.19,0.19,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.79
