,AAPL,MSFT,NVDA,V,2330.TW,005930.KS,PYPL,MA,ASML.AS,ADBE,CRM,INTC,CSCO,ACN,AVGO,TXN,SHOP,QCOM,SAP.DE,ORCL,INTU,AMAT,IBM,AMD,NOW,6861.T,MU,FIS,LRCX,ADP,ADYEN.AS,8035.T,ADSK,FISV,ADI,000660.KS,GPN,NXPI,005935.KQ,2454.TW,2317.TW,6981.T,IFX.DE,KLAC,TEL,1810.HK,SNPS,APH,MCHP,CDNS,MSI,006400.KS,CTSH,HPQ,6702.T,XLNX,ERIC B.ST,PAYX,DSY.PA,FTNT,ANSS,NOKIA.HE,GLW,CAP.PA,SWKS,AMS.MC,CSU.TO,4901.T,HEXA B.ST,ZBRA,KEYS,MXIM,ENPH,STM.PA,7751.T,CDW,VRSN,WLN.PA,2303.TW,6971.T,QRVO,IT,LOGN.SW,FLT,ANET,GIB.A.TO,APT.AX,TRMB,TER,2308.TW,WDC,AKAM,PAYC,TYL,BR,HPE,6857.T,NTAP,6645.T,STX,MPWR,6762.T,NLOK,STNE,PTC,OTEX.TO,6701.T,CTXS,EDEN.PA,HLMA.L,ASM.AS,4684.T,FFIV,XTSLA,PAGS,4307.T,JKHY,SGE.L,TEMN.SW,DXC,9613.T,WU,JNPR,SINCH.ST,IPGP,7752.T,6963.T,CPU.AX,ATO.PA,KRW,TWD,JPY,HBCFT,GBP,CAD,SEK,HKD,AUD,EUR,CHF,BRL,IXTU1,DSYA.,USD,TDY,SUM
07/09/2021,17.23,16.18,3.99,3.14,3.11,2.85,2.66,2.55,2.23,2.21,1.79,1.75,1.73,1.5,1.49,1.37,1.34,1.23,1.2,1.17,1.06,0.97,0.96,0.89,0.85,0.75,0.7,0.7,0.69,0.66,0.58,0.52,0.5,0.5,0.48,0.46,0.44,0.43,0.42,0.41,0.4,0.4,0.4,0.37,0.35,0.34,0.33,0.32,0.31,0.3,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.2,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,17.49,16.27,3.86,3.12,3.09,2.79,2.7,2.52,2.2,2.25,1.77,1.74,1.75,1.53,1.5,1.35,1.29,1.21,1.24,1.21,1.08,0.95,0.98,0.85,0.86,0.76,0.67,0.69,0.67,0.67,0.58,0.51,0.51,0.5,0.47,0.44,0.43,0.42,0.41,0.41,0.4,0.41,0.39,0.36,0.35,0.33,0.33,0.32,0.3,0.3,0.29,0.27,0.28,0.28,0.28,0.26,0.27,0.27,0.0,0.27,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,100.0
07/13/2021,17.49,16.27,3.86,3.12,3.09,2.79,2.7,2.52,2.2,2.25,1.77,1.74,1.75,1.53,1.5,1.35,1.29,1.21,1.24,1.21,1.08,0.95,0.98,0.85,0.86,0.76,0.67,0.69,0.67,0.67,0.58,0.51,0.51,0.5,0.47,0.44,0.43,0.42,0.41,0.41,0.4,0.41,0.39,0.36,0.35,0.33,0.33,0.32,0.3,0.3,0.29,0.27,0.28,0.28,0.28,0.26,0.27,0.27,0.0,0.27,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.21,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,100.0
07/14/2021,17.58,16.17,3.86,3.12,3.04,2.74,2.72,2.52,2.24,2.23,1.75,1.75,1.75,1.54,1.51,1.36,1.3,1.23,1.25,1.23,1.06,0.96,0.98,0.85,0.86,0.74,0.68,0.69,0.67,0.67,0.59,0.51,0.5,0.5,0.47,0.43,0.43,0.43,0.4,0.4,0.39,0.4,0.4,0.37,0.35,0.35,0.33,0.32,0.3,0.3,0.29,0.27,0.28,0.28,0.28,0.26,0.27,0.28,0.0,0.27,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.19,0.19,0.18,0.19,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,99.99
07/15/2021,17.58,16.17,3.86,3.12,3.04,2.74,2.72,2.52,2.24,2.23,1.75,1.75,1.75,1.54,1.51,1.36,1.3,1.23,1.25,1.23,1.06,0.96,0.98,0.85,0.86,0.74,0.68,0.69,0.67,0.67,0.59,0.51,0.5,0.5,0.47,0.43,0.43,0.43,0.4,0.4,0.39,0.4,0.4,0.37,0.35,0.35,0.33,0.32,0.3,0.3,0.29,0.27,0.28,0.28,0.28,0.26,0.27,0.28,0.0,0.27,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.19,0.19,0.18,0.19,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,99.99
07/16/2021,17.5,16.21,3.87,3.14,3.15,2.74,2.71,2.57,2.28,2.22,1.73,1.76,1.72,1.52,1.51,1.35,1.31,1.22,1.26,1.21,1.06,0.96,0.96,0.84,0.85,0.77,0.67,0.69,0.68,0.66,0.6,0.51,0.5,0.5,0.47,0.44,0.43,0.43,0.4,0.4,0.4,0.41,0.39,0.37,0.35,0.35,0.33,0.32,0.3,0.29,0.29,0.27,0.28,0.26,0.27,0.25,0.28,0.27,0.0,0.27,0.23,0.26,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.19,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.08,0.06,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.01,0.0,99.93
07/19/2021,17.87,16.24,3.63,3.23,3.2,2.78,2.67,2.62,2.28,2.22,1.69,1.73,1.73,1.54,1.5,1.33,1.25,1.22,1.24,1.2,1.05,0.94,0.96,0.81,0.85,0.75,0.66,0.71,0.67,0.68,0.6,0.51,0.5,0.51,0.46,0.45,0.44,0.41,0.4,0.42,0.41,0.41,0.39,0.36,0.35,0.35,0.33,0.32,0.29,0.29,0.29,0.28,0.28,0.26,0.27,0.24,0.27,0.28,0.0,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.23,0.22,0.23,0.22,0.22,0.2,0.17,0.19,0.19,0.19,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.14,0.16,0.16,0.17,0.16,0.15,0.14,0.15,0.15,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.08,0.06,0.08,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.01,0.0,100.01
07/20/2021,17.87,16.24,3.63,3.23,3.2,2.78,2.67,2.62,2.28,2.22,1.69,1.73,1.73,1.54,1.5,1.33,1.25,1.22,1.24,1.2,1.05,0.94,0.96,0.81,0.85,0.75,0.66,0.71,0.67,0.68,0.6,0.51,0.5,0.51,0.46,0.45,0.44,0.41,0.4,0.42,0.41,0.41,0.39,0.36,0.35,0.35,0.33,0.32,0.29,0.29,0.29,0.28,0.28,0.26,0.27,0.24,0.27,0.28,0.0,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.23,0.22,0.23,0.22,0.22,0.2,0.17,0.19,0.19,0.19,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.14,0.16,0.16,0.17,0.16,0.15,0.14,0.15,0.15,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.08,0.06,0.08,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.01,0.0,100.01
07/22/2021,17.58,16.41,3.68,3.2,3.09,2.78,2.72,2.51,2.25,2.26,1.73,1.74,1.76,1.55,1.5,1.35,1.3,1.23,1.25,1.24,1.07,0.93,0.97,0.83,0.86,0.75,0.66,0.69,0.66,0.68,0.61,0.5,0.5,0.5,0.46,0.44,0.43,0.41,0.41,0.41,0.41,0.41,0.37,0.35,0.34,0.37,0.33,0.32,0.28,0.3,0.29,0.28,0.28,0.26,0.27,0.25,0.25,0.28,0.0,0.27,0.24,0.25,0.24,0.24,0.24,0.22,0.23,0.23,0.23,0.21,0.22,0.2,0.18,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.14,0.16,0.16,0.17,0.15,0.15,0.14,0.15,0.15,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.07,0.08,0.1,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.06,0.06,0.06,0.05,0.04,0.04,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.01,0.0,99.97
07/23/2021,17.83,16.36,3.61,3.19,3.05,2.74,2.72,2.55,2.23,2.26,1.73,1.73,1.76,1.54,1.49,1.35,1.33,1.22,1.22,1.25,1.08,0.94,0.97,0.82,0.87,0.74,0.66,0.7,0.67,0.67,0.59,0.49,0.51,0.5,0.46,0.43,0.43,0.41,0.4,0.41,0.4,0.39,0.37,0.36,0.35,0.36,0.33,0.32,0.29,0.3,0.29,0.27,0.28,0.26,0.26,0.25,0.24,0.27,0.0,0.28,0.24,0.25,0.24,0.24,0.24,0.22,0.23,0.22,0.23,0.22,0.22,0.2,0.18,0.19,0.2,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.14,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.1,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.07,0.09,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.06,0.06,0.06,0.05,0.04,0.04,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.01,0.0,99.96
07/27/2021,17.59,16.46,3.73,3.16,3.05,2.72,2.73,2.55,2.35,2.28,1.83,1.73,1.76,1.53,1.49,1.3,1.37,1.23,1.17,1.26,1.09,0.96,0.96,0.85,0.87,0.73,0.65,0.69,0.69,0.66,0.62,0.49,0.52,0.5,0.46,0.43,0.43,0.41,0.4,0.4,0.38,0.39,0.37,0.37,0.35,0.35,0.33,0.32,0.29,0.3,0.29,0.27,0.27,0.26,0.26,0.26,0.24,0.27,0.0,0.28,0.24,0.25,0.24,0.25,0.24,0.23,0.23,0.22,0.24,0.22,0.22,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.1,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.08,0.09,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.27,0.0,0.0,100.14
08/16/2021,17.69,16.53,3.76,2.97,3.02,2.58,2.44,2.4,2.49,2.29,1.82,1.64,1.8,1.55,1.5,1.31,1.28,1.26,1.22,1.24,1.11,0.9,0.97,0.98,0.87,0.81,0.6,0.63,0.63,0.69,0.63,0.48,0.55,0.5,0.47,0.35,0.37,0.45,0.38,0.39,0.37,0.4,0.4,0.38,0.38,0.34,0.34,0.33,0.31,0.32,0.3,0.29,0.31,0.28,0.25,0.27,0.23,0.28,0.0,0.31,0.24,0.26,0.24,0.27,0.23,0.21,0.25,0.22,0.25,0.23,0.23,0.2,0.19,0.21,0.19,0.21,0.16,0.15,0.19,0.16,0.16,0.2,0.14,0.16,0.15,0.15,0.17,0.17,0.15,0.14,0.14,0.15,0.18,0.15,0.15,0.15,0.13,0.14,0.14,0.14,0.15,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.12,0.11,0.09,0.09,0.16,0.09,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.05,0.05,0.06,0.05,0.04,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.02,0.0,100.0
08/17/2021,17.66,16.66,3.8,2.97,2.98,2.47,2.44,2.4,2.48,2.3,1.83,1.63,1.8,1.55,1.5,1.31,1.28,1.27,1.22,1.24,1.11,0.9,0.97,1.01,0.88,0.82,0.6,0.63,0.62,0.69,0.64,0.48,0.55,0.5,0.47,0.35,0.38,0.45,0.37,0.39,0.37,0.4,0.4,0.38,0.38,0.32,0.34,0.33,0.31,0.32,0.3,0.29,0.31,0.26,0.25,0.27,0.23,0.28,0.0,0.32,0.24,0.26,0.24,0.27,0.23,0.21,0.25,0.22,0.25,0.23,0.23,0.2,0.18,0.21,0.19,0.21,0.16,0.15,0.18,0.16,0.16,0.2,0.14,0.16,0.15,0.15,0.17,0.17,0.15,0.14,0.15,0.14,0.17,0.15,0.15,0.15,0.13,0.14,0.14,0.13,0.15,0.1,0.12,0.09,0.1,0.11,0.1,0.1,0.11,0.12,0.11,0.09,0.09,0.16,0.09,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.05,0.05,0.06,0.05,0.04,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.02,0.0,99.95
08/19/2021,17.85,16.71,3.74,3.0,2.99,2.46,2.46,2.39,2.47,2.29,1.81,1.63,1.79,1.57,1.5,1.32,1.26,1.26,1.22,1.24,1.12,0.91,0.97,0.98,0.86,0.8,0.6,0.62,0.63,0.69,0.64,0.48,0.55,0.5,0.48,0.35,0.37,0.44,0.37,0.38,0.36,0.39,0.4,0.38,0.38,0.31,0.34,0.33,0.31,0.32,0.3,0.29,0.31,0.27,0.24,0.26,0.23,0.29,0.0,0.31,0.24,0.26,0.24,0.27,0.23,0.21,0.25,0.23,0.25,0.23,0.23,0.2,0.17,0.21,0.19,0.21,0.16,0.15,0.18,0.16,0.16,0.2,0.14,0.16,0.15,0.15,0.17,0.17,0.15,0.14,0.14,0.14,0.17,0.15,0.15,0.15,0.13,0.14,0.14,0.13,0.15,0.1,0.11,0.09,0.1,0.11,0.1,0.1,0.11,0.12,0.11,0.09,0.09,0.16,0.09,0.09,0.1,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.05,0.05,0.06,0.05,0.04,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.02,0.0,99.99
08/23/2021,17.57,17.07,3.77,2.99,2.89,2.44,2.43,2.39,2.48,2.32,1.86,1.62,1.84,1.59,1.48,1.3,1.26,1.21,1.23,1.23,1.13,0.9,0.94,0.96,0.88,0.8,0.6,0.61,0.63,0.69,0.68,0.46,0.55,0.53,0.47,0.36,0.37,0.43,0.36,0.38,0.35,0.39,0.39,0.38,0.37,0.31,0.37,0.34,0.3,0.33,0.31,0.28,0.3,0.25,0.24,0.27,0.23,0.28,0.0,0.31,0.24,0.26,0.24,0.27,0.22,0.2,0.25,0.25,0.25,0.23,0.23,0.21,0.17,0.21,0.19,0.21,0.16,0.15,0.17,0.16,0.16,0.2,0.14,0.16,0.15,0.15,0.17,0.17,0.15,0.14,0.14,0.14,0.17,0.15,0.15,0.14,0.12,0.14,0.14,0.13,0.15,0.1,0.11,0.09,0.1,0.11,0.1,0.1,0.11,0.12,0.11,0.09,0.09,0.16,0.09,0.1,0.1,0.09,0.08,0.07,0.08,0.07,0.07,0.08,0.05,0.05,0.06,0.05,0.04,0.03,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.06,0.0,100.01
08/24/2021,17.57,17.33,3.92,2.96,2.82,2.39,2.42,2.35,2.49,2.34,1.87,1.59,1.85,1.6,1.47,1.29,1.23,1.21,1.22,1.22,1.13,0.88,0.94,0.96,0.9,0.79,0.59,0.61,0.61,0.68,0.7,0.46,0.56,0.52,0.46,0.35,0.36,0.43,0.36,0.37,0.35,0.39,0.4,0.37,0.37,0.3,0.36,0.34,0.3,0.33,0.31,0.27,0.31,0.26,0.24,0.27,0.23,0.28,0.0,0.31,0.24,0.25,0.24,0.27,0.22,0.2,0.25,0.24,0.25,0.23,0.23,0.21,0.17,0.21,0.18,0.21,0.16,0.15,0.17,0.16,0.16,0.2,0.14,0.16,0.15,0.15,0.17,0.17,0.14,0.13,0.14,0.14,0.17,0.15,0.15,0.14,0.12,0.14,0.14,0.13,0.16,0.1,0.11,0.09,0.1,0.11,0.1,0.1,0.1,0.12,0.11,0.09,0.09,0.17,0.09,0.1,0.1,0.09,0.08,0.07,0.08,0.07,0.07,0.08,0.05,0.05,0.06,0.05,0.04,0.03,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.05,0.0,100.05
