,AOT-R.BK,TRNFP.ME,UGR.,G9N.,384.HK,ASR,KEP,916.HK,1193.HK,CCRO3.SA,ENIA,270.HK,2883.HK,135.HK,G7A.,144.HK,EBR,CIG,152.HK,HKD,836.HK,SAJA.,1816.HK,956.HK,177.HK,1199.HK,576.HK,694.HK,1138.HK,006120.KS,548,HBCFT,XTSLA,USD,KRW,BRL,CZK,TRY,PHP,MYR,MXN,IDR,RUB,MESU1,UGP,PAC,OMAB,SBS,956,1138,548.HK,MESZ1,SUM
07/09/2021,8.94,8.08,6.02,5.17,5.07,4.89,4.53,4.39,4.18,3.79,3.33,3.31,3.05,2.96,2.95,2.67,2.43,2.11,2.08,2.05,2.05,1.93,1.82,1.78,1.77,1.76,1.67,1.61,1.16,1.14,0.88,0.14,0.13,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/12/2021,8.72,7.82,6.21,5.46,5.14,5.01,4.5,4.48,4.2,3.76,3.32,3.31,2.86,2.9,3.07,2.72,2.45,2.06,2.06,2.08,2.0,1.92,1.85,1.73,1.79,1.8,1.7,1.6,1.15,1.1,0.89,0.14,0.06,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,8.72,7.82,6.21,5.46,5.14,5.01,4.5,4.48,4.2,3.76,3.32,3.31,2.86,2.9,3.07,2.72,2.45,2.06,2.06,2.08,2.0,1.92,1.85,1.73,1.79,1.8,1.7,1.6,1.15,1.1,0.89,0.14,0.06,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,8.62,7.97,6.26,5.45,5.07,5.03,4.51,4.42,4.23,3.77,3.36,3.28,2.85,2.92,2.53,2.72,2.46,2.08,2.05,2.07,2.03,1.92,1.85,1.72,1.78,1.79,1.7,1.6,1.14,1.07,0.87,0.14,0.0,0.75,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/15/2021,8.62,7.97,6.26,5.45,5.07,5.03,4.51,4.42,4.23,3.77,3.36,3.28,2.85,2.92,2.53,2.72,2.46,2.08,2.05,2.07,2.03,1.92,1.85,1.72,1.78,1.79,1.7,1.6,1.14,1.07,0.87,0.14,0.0,0.75,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/22/2021,8.7,7.31,6.28,5.35,5.52,4.81,4.76,4.47,4.48,4.07,3.38,3.49,2.88,2.97,2.76,2.75,2.56,2.13,2.04,0.42,2.08,2.01,1.91,2.01,1.76,1.85,1.79,1.63,1.05,1.12,0.97,0.09,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/23/2021,8.52,7.33,6.33,5.38,5.44,4.89,4.89,4.33,4.56,4.07,3.41,3.54,2.85,2.91,2.79,2.73,2.61,2.21,2.03,0.42,2.1,2.04,1.89,1.96,1.79,1.8,1.77,1.59,1.04,1.12,0.96,0.06,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,8.45,7.53,0.0,0.0,5.44,4.88,4.75,4.5,4.46,4.03,3.37,3.52,2.82,2.91,0.0,2.71,2.57,2.22,2.05,0.42,2.24,0.0,1.91,0.0,1.8,1.79,1.77,1.61,0.0,1.1,0.98,0.06,0.06,0.15,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,6.22,5.47,2.77,2.04,1.97,1.01,0.0,0.0,100.0
07/29/2021,8.56,7.63,6.26,5.66,5.37,5.01,4.8,4.23,4.51,4.06,3.35,3.43,2.69,2.91,2.86,2.7,2.55,2.26,2.05,0.42,2.24,2.03,1.9,1.84,1.85,1.76,1.76,1.61,1.0,1.11,0.95,0.06,0.07,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/30/2021,8.69,7.73,6.24,5.75,5.42,4.95,4.76,4.18,4.52,4.06,3.37,3.38,2.66,2.9,2.86,2.65,2.6,2.27,2.03,0.42,2.29,2.06,1.87,1.82,1.79,1.7,1.74,1.56,0.99,1.12,0.98,0.06,0.0,0.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,8.26,7.75,0.0,0.0,5.43,4.99,4.75,4.97,4.49,3.87,3.32,3.44,2.62,2.92,0.0,2.59,2.44,2.17,2.03,0.2,2.62,0.0,1.94,0.0,1.8,1.69,1.71,1.49,0.0,1.1,0.96,0.06,0.13,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,6.01,5.82,2.91,2.0,2.01,0.96,0.0,0.0,99.99
