,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,Dj U.S. Basic Materials Index Swap Societe Generale - Cash Offset,Dj U.S. Basic Materials Index Swap Ubs Ag - Cash Offset,Dj U.S. Basic Materials Index Swap Bank Of America Na - Cash Offset,Dj U.S. Basic Materials Index Swap Morgan Stanley & Co. International Plc -,Dj U.S. Basic Materials Index Swap Morgan Stanley & Co. International Plc,Dj U.S. Basic Materials Index Swap Bank Of America Na,Dj U.S. Basic Materials Index Swap Ubs Ag,Dj U.S. Basic Materials Index Swap Societe Generale,SUM
07/09/2021,100.0,55.67,38.83,4.39,0.91,-0.91,-4.39,-38.83,-55.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.67,38.83,4.39,0.91,-0.91,-4.39,-38.83,-55.67,100.0
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.67,38.83,4.39,0.91,-0.91,-4.39,-38.83,-55.67,100.0
07/14/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.67,38.83,4.39,0.91,-0.91,-4.39,-38.83,-55.67,100.0
07/15/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.67,38.83,4.39,0.91,-0.91,-4.39,-38.83,-55.67,100.0
07/16/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.67,38.83,4.39,0.91,-0.91,-4.39,-38.83,-55.67,100.0
07/19/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.67,38.83,4.39,0.91,-0.91,-4.39,-38.83,-55.67,100.00000000000001
