,XOM,CVX,ADM,FCX,NTR.TO,FNV.TO,CTVA,NEM,COP,EOG,CNQ.TO,ABX.TO,PXD,WPM.TO,SU.TO,FMC,AEM.TO,TECK,HES,KL.TO,K.TO,CCO.TO,FM.TO,WFG.TO,CVE.TO,PAAS.TO,BTO.TO,YRI.TO,LUN.TO,Imperial Oil Limited,Canadian Dollar,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,IMO.TO,GVMXX,SSIXX,SUM
07/09/2021,9.17,9.0,5.65,5.35,4.93,4.87,4.61,4.58,4.54,4.49,4.46,4.3,3.91,3.64,3.48,3.3,2.44,2.32,2.26,2.0,1.66,1.46,1.29,1.28,1.21,0.88,0.79,0.72,0.7,0.6,0.06,0.04,0.01,0.0,0.0,0.0,100.0
07/12/2021,9.16,9.06,5.73,5.26,5.07,4.85,4.58,4.59,4.55,4.37,4.46,4.27,3.9,3.62,3.44,3.33,2.44,2.38,2.24,1.97,1.63,1.44,1.34,1.4,1.18,0.87,0.76,0.7,0.73,0.58,0.07,0.04,0.0,0.0,0.0,0.0,100.01
07/13/2021,9.16,9.06,5.73,5.26,5.07,4.85,4.58,4.59,4.55,4.37,4.46,4.27,3.9,3.62,3.44,3.33,2.44,2.38,2.24,1.97,1.63,1.44,1.34,1.4,1.18,0.87,0.76,0.7,0.73,0.58,0.07,0.04,0.0,0.0,0.0,0.0,100.01
07/14/2021,9.14,9.0,5.73,5.42,5.11,4.82,4.54,4.59,4.52,4.43,4.44,4.27,3.84,3.62,3.4,3.33,2.43,2.46,2.23,1.98,1.62,1.42,1.35,1.38,1.18,0.88,0.76,0.7,0.73,0.58,0.07,0.04,0.0,0.0,0.0,0.0,100.01
07/15/2021,9.15,9.04,5.71,5.44,5.14,4.86,4.59,4.54,4.51,4.48,4.43,4.22,3.82,3.59,3.37,3.37,2.4,2.48,2.25,2.0,1.59,1.41,1.34,1.37,1.16,0.87,0.74,0.69,0.75,0.58,0.07,0.04,0.0,0.0,0.0,0.0,100.0
07/16/2021,9.14,9.04,5.66,5.33,5.17,4.94,4.53,4.57,4.5,4.46,4.42,4.29,3.84,3.67,3.34,3.33,2.45,2.42,2.24,2.07,1.62,1.39,1.33,1.34,1.18,0.88,0.75,0.7,0.74,0.57,0.07,0.04,0.0,0.0,0.0,0.0,100.02
07/19/2021,9.0,8.97,5.74,5.23,5.25,5.16,4.54,4.66,4.39,4.18,4.31,4.42,3.66,3.82,3.26,3.39,2.55,2.4,2.13,2.18,1.71,1.39,1.3,1.33,1.13,0.91,0.81,0.75,0.74,0.57,0.07,0.07,0.0,0.0,0.0,0.0,100.02
07/21/2021,9.03,9.0,5.83,5.2,5.24,5.22,4.61,4.67,4.4,4.18,4.25,4.45,3.61,3.81,3.25,3.43,2.56,2.37,2.14,2.17,1.68,1.38,1.2,1.32,1.11,0.89,0.78,0.74,0.73,0.58,0.07,0.07,0.03,0.0,0.0,0.0,100.0
07/23/2021,9.0,8.99,5.94,5.27,5.24,5.24,4.7,4.67,4.41,4.13,4.2,4.49,3.63,3.81,3.2,3.44,2.58,2.26,2.12,2.18,1.68,1.4,1.13,1.34,1.08,0.87,0.78,0.74,0.73,0.57,0.07,0.04,0.07,0.0,0.0,0.0,100.0
07/26/2021,8.99,9.01,5.75,5.45,5.25,5.17,4.66,4.55,4.5,4.17,4.29,4.42,3.68,3.78,3.23,3.46,2.52,2.33,2.1,2.12,1.65,1.42,1.18,1.38,1.1,0.88,0.79,0.72,0.74,0.57,0.07,0.04,0.04,0.0,0.0,0.0,100.01
07/29/2021,9.08,9.08,5.77,5.66,5.17,5.15,4.61,4.5,4.45,4.14,4.26,4.38,3.65,3.74,3.25,3.43,2.52,2.38,2.09,2.08,1.65,1.41,1.21,1.37,1.11,0.87,0.78,0.72,0.76,0.57,0.07,0.04,0.04,0.0,0.0,0.0,99.99000000000002
08/03/2021,8.93,9.01,5.75,5.8,5.09,5.32,4.59,4.57,4.36,4.01,4.21,4.48,3.63,3.82,2.98,3.36,2.6,2.47,2.09,2.18,1.72,1.43,1.28,1.35,1.09,0.89,0.8,0.74,0.72,0.57,0.07,0.04,0.04,0.0,0.0,0.0,99.99
08/04/2021,8.79,9.01,5.8,5.79,5.08,5.36,4.58,4.61,4.32,3.99,4.2,4.5,3.61,3.85,2.95,3.39,2.62,2.45,2.07,2.2,1.72,1.42,1.28,1.35,1.1,0.89,0.8,0.77,0.73,0.56,0.11,0.12,0.0,0.0,0.0,0.0,100.02
08/05/2021,8.86,9.06,5.81,5.6,5.11,5.4,4.58,4.58,4.29,3.95,4.22,4.53,3.56,3.88,2.97,3.4,2.63,2.41,2.02,2.22,1.73,1.43,1.29,1.36,1.11,0.89,0.8,0.77,0.74,0.56,0.11,0.13,0.0,0.0,0.0,0.0,100.0
08/06/2021,8.88,9.07,5.81,5.56,5.04,5.39,4.6,4.59,4.36,4.04,4.22,4.48,3.81,3.85,2.95,3.38,2.58,2.39,2.03,2.24,1.71,1.38,1.25,1.33,1.11,0.88,0.79,0.77,0.71,0.57,0.11,0.13,0.0,0.0,0.0,0.0,100.01
08/31/2021,10.44,9.43,6.24,6.61,4.49,3.89,5.73,5.13,4.85,5.03,3.8,4.18,3.49,2.96,3.99,2.39,2.24,1.74,2.78,1.45,1.15,0.81,1.69,0.0,1.41,0.93,0.58,0.57,0.85,0.0,0.0,0.0,0.0,0.9,0.27,0.12,100.14
09/01/2021,10.44,9.43,6.24,6.61,4.49,3.89,5.73,5.13,4.85,5.03,3.8,4.18,3.49,2.96,3.99,2.39,2.24,1.74,2.78,1.45,1.15,0.81,1.69,0.0,1.41,0.93,0.58,0.57,0.85,0.0,0.0,0.0,0.0,0.9,0.27,0.12,100.14
11/30/2021,9.15,9.14,5.94,5.03,5.65,4.44,4.58,4.05,5.31,4.48,4.74,3.8,4.21,3.21,3.16,2.95,2.15,2.71,2.16,2.18,1.43,1.76,1.12,1.61,1.36,0.75,0.66,0.69,0.59,0.0,0.0,0.0,0.0,0.66,0.0,0.15,99.82
12/01/2021,9.15,9.14,5.94,5.03,5.65,4.44,4.58,4.05,5.31,4.48,4.74,3.8,4.21,3.21,3.16,2.95,2.15,2.71,2.16,2.18,1.43,1.76,1.12,1.61,1.36,0.75,0.66,0.69,0.59,0.0,0.0,0.0,0.0,0.66,0.0,0.15,99.82000000000001
