,VCR,QQQ,n/a,80ML.L,VOX,QQQM,VGT,SUM
09/03/2021,48.87,36.94,14.13,0.06,0.0,0.0,0.0,100.0
09/07/2021,48.76,37.0,0.06,0.0,14.17,0.0,0.0,99.99
09/08/2021,48.76,37.0,0.06,0.0,14.17,0.0,0.0,99.99
09/09/2021,48.76,37.0,0.06,0.0,14.17,0.0,0.0,99.99
09/10/2021,48.73,37.01,0.06,0.0,14.2,0.0,0.0,100.0
09/13/2021,48.91,36.94,0.01,0.0,14.14,0.0,0.0,100.0
09/14/2021,48.94,36.9,0.01,0.0,14.14,0.0,0.0,99.99
09/15/2021,48.94,36.9,0.01,0.0,14.14,0.0,0.0,99.99
09/16/2021,48.99,36.83,0.01,0.0,14.17,0.0,0.0,100.0
09/17/2021,49.01,36.9,0.01,0.0,14.07,0.0,0.0,99.99
09/20/2021,49.14,36.83,0.01,0.0,14.02,0.0,0.0,100.0
09/21/2021,49.31,36.66,0.01,0.0,14.01,0.0,0.0,99.99
09/22/2021,49.31,36.66,0.01,0.0,14.01,0.0,0.0,99.99
09/23/2021,49.31,36.66,0.01,0.0,14.01,0.0,0.0,99.99
09/24/2021,49.33,36.68,0.01,0.0,13.98,0.0,0.0,100.0
09/27/2021,49.52,36.6,0.01,0.0,13.86,0.0,0.0,99.99
09/28/2021,49.51,36.55,0.01,0.0,13.93,0.0,0.0,100.0
09/29/2021,49.51,36.55,0.01,0.0,13.93,0.0,0.0,100.0
09/30/2021,49.77,36.29,0.01,0.0,13.92,0.0,0.0,99.99
10/01/2021,49.77,36.29,0.01,0.0,13.92,0.0,0.0,99.99
10/04/2021,49.91,36.22,0.01,0.0,13.86,0.0,0.0,100.0
11/08/2021,50.68,36.4,0.18,0.0,12.74,0.0,0.0,100.0
11/09/2021,50.79,36.23,0.18,0.0,12.8,0.0,0.0,100.0
11/10/2021,50.79,36.23,0.18,0.0,12.8,0.0,0.0,100.0
11/11/2021,50.53,36.42,0.18,0.0,12.87,0.0,0.0,100.0
11/12/2021,50.44,36.45,0.18,0.0,12.93,0.0,0.0,100.0
11/15/2021,50.56,36.33,0.18,0.0,12.93,0.0,0.0,100.0
11/16/2021,50.56,36.33,0.18,0.0,12.93,0.0,0.0,100.0
11/17/2021,50.56,36.33,0.18,0.0,12.93,0.0,0.0,100.0
11/18/2021,50.56,36.33,0.18,0.0,12.93,0.0,0.0,100.0
11/24/2021,50.79,36.72,0.07,0.0,12.42,0.0,0.0,100.0
11/25/2021,27.7,19.89,0.17,0.0,6.73,22.8,22.71,100.0
11/26/2021,0.0,0.0,0.26,0.0,0.0,49.95,49.79,100.0
11/29/2021,0.0,0.0,0.26,0.0,0.0,49.82,49.92,100.0
11/30/2021,0.0,0.0,0.27,0.0,0.0,49.91,49.82,100.0
12/01/2021,0.0,0.0,0.27,0.0,0.0,49.91,49.82,100.0
12/02/2021,0.0,0.0,0.26,0.0,0.0,49.89,49.85,100.0
12/06/2021,0.0,0.0,0.27,0.0,0.0,49.72,50.02,100.01
12/07/2021,0.0,0.0,0.27,0.0,0.0,49.72,50.02,100.01
12/08/2021,0.0,0.0,0.27,0.0,0.0,49.72,50.02,100.01
12/09/2021,0.0,0.0,0.27,0.0,0.0,49.72,50.02,100.01
12/10/2021,0.0,0.0,0.27,0.0,0.0,49.72,50.02,100.01
12/13/2021,0.0,0.0,0.27,0.0,0.0,49.72,50.02,100.01
12/14/2021,0.0,0.0,0.27,0.0,0.0,49.72,50.02,100.01
12/15/2021,0.0,0.0,0.27,0.0,0.0,49.72,50.02,100.01
12/16/2021,0.0,0.0,0.27,0.0,0.0,49.72,50.02,100.01
12/17/2021,0.0,0.0,0.27,0.0,0.0,49.72,50.02,100.01
12/20/2021,0.0,0.0,0.27,0.0,0.0,49.72,50.02,100.01
12/21/2021,0.0,0.0,0.24,0.0,0.0,49.53,50.23,100.0
12/22/2021,0.0,0.0,0.24,0.0,0.0,49.53,50.23,100.0
12/23/2021,0.0,0.0,0.24,0.0,0.0,49.56,50.2,100.0
12/24/2021,0.0,0.0,0.33,0.0,0.0,49.39,50.28,100.0
12/27/2021,0.0,0.0,0.32,0.0,0.0,49.47,50.21,100.0
12/28/2021,0.0,0.0,0.32,0.0,0.0,49.47,50.21,100.0
12/29/2021,0.0,0.0,0.32,0.0,0.0,49.47,50.21,100.0
12/30/2021,0.0,0.0,0.32,0.0,0.0,49.35,50.33,100.0
12/31/2021,0.0,0.0,0.32,0.0,0.0,49.42,50.26,100.0
01/03/2022,0.0,0.0,0.32,0.0,0.0,49.44,50.24,100.0
01/03/2022,0.0,0.0,0.32,0.0,0.0,49.44,50.24,100.0
01/03/2022,0.0,0.0,0.32,0.0,0.0,49.44,50.24,100.0
01/04/2022,0.0,0.0,0.32,0.0,0.0,49.44,50.24,100.0
01/05/2022,0.0,0.0,0.32,0.0,0.0,49.44,50.24,100.0
01/06/2022,0.0,0.0,0.32,0.0,0.0,49.44,50.24,100.0
01/07/2022,0.0,0.0,0.25,0.0,0.0,49.49,50.26,100.0
01/14/2022,0.0,0.0,0.21,0.0,0.0,49.66,50.13,100.0
01/17/2022,0.0,0.0,0.21,0.0,0.0,49.79,49.99,99.99
01/18/2022,0.0,0.0,0.21,0.0,0.0,49.72,50.07,100.0
01/19/2022,0.0,0.0,0.21,0.0,0.0,49.72,50.07,100.0
01/20/2022,0.0,0.0,0.21,0.0,0.0,49.72,50.07,100.0
01/21/2022,0.0,0.0,0.21,0.0,0.0,49.78,50.01,100.0
01/24/2022,0.0,0.0,0.22,0.0,0.0,49.8,49.98,100.0
01/25/2022,0.0,0.0,0.23,0.0,0.0,49.64,50.13,100.0
01/26/2022,0.0,0.0,0.23,0.0,0.0,49.64,50.13,100.0
01/27/2022,0.0,0.0,0.23,0.0,0.0,49.58,50.19,100.0
