,MSFT,FB,BKNG,APD,FAF,CCI,MA,AMT,SCHW,GOOGL,GFL.TO,UPS,HHC,FIS,AMZN,INFO,OCDDY,CSX,LH,WH,EQIX,TYL,KMX,n/a,SPGI,CPRT,META,SUM
12/22/2021,5.71,5.62,5.19,5.02,4.99,4.97,4.65,4.59,4.55,4.44,4.41,4.29,4.08,4.02,3.99,3.96,3.63,3.44,3.26,3.24,3.22,3.14,2.96,2.63,0.0,0.0,0.0,100.0
12/23/2021,5.69,5.53,5.24,5.02,4.96,5.04,4.53,4.63,4.47,4.48,4.43,4.24,4.08,3.93,3.96,3.93,3.63,3.44,3.3,3.28,3.25,3.16,2.87,2.91,0.0,0.0,0.0,100.0
12/24/2021,5.71,5.57,5.5,4.93,4.95,4.85,4.62,4.52,4.51,4.45,4.5,4.25,4.15,4.05,3.96,3.94,3.5,3.43,3.17,3.33,3.12,3.22,2.92,2.85,0.0,0.0,0.0,100.0
12/27/2021,5.76,5.46,5.5,4.91,4.97,4.83,4.67,4.54,4.54,4.5,4.57,4.25,4.29,4.02,3.94,3.93,3.44,3.41,3.16,3.41,3.15,3.23,2.7,2.83,0.0,0.0,0.0,100.01
12/28/2021,5.77,5.52,5.52,4.93,4.97,4.81,4.69,4.48,4.56,4.5,4.62,4.31,4.35,3.97,3.93,3.92,3.44,3.47,3.12,3.45,3.13,3.2,2.66,2.68,0.0,0.0,0.0,100.0
12/29/2021,5.77,5.52,5.52,4.93,4.97,4.81,4.69,4.48,4.56,4.5,4.62,4.31,4.35,3.97,3.93,3.92,3.44,3.47,3.12,3.45,3.13,3.2,2.66,2.68,0.0,0.0,0.0,100.0
12/30/2021,5.82,5.62,5.42,4.91,5.0,4.87,4.62,4.53,4.53,4.47,4.63,4.3,4.35,3.89,3.84,3.91,3.49,3.45,3.13,3.42,3.15,3.22,2.65,2.78,0.0,0.0,0.0,100.0
12/31/2021,5.8,5.62,5.41,4.94,4.99,4.91,4.63,4.58,4.52,4.43,4.53,4.3,4.37,3.92,3.87,3.88,3.46,3.48,3.13,3.44,3.16,3.21,2.66,2.79,0.0,0.0,0.0,100.03
01/03/2022,5.76,5.59,5.43,4.93,5.01,4.94,4.63,4.62,4.46,4.42,4.5,4.28,4.36,3.94,3.82,3.85,3.49,3.47,3.19,3.4,3.19,3.25,2.66,2.8,0.0,0.0,0.0,99.99
01/03/2022,5.76,5.59,5.43,4.93,5.01,4.94,4.63,4.62,4.46,4.42,4.5,4.28,4.36,3.94,3.82,3.85,3.49,3.47,3.19,3.4,3.19,3.25,2.66,2.8,0.0,0.0,0.0,99.99
01/03/2022,5.76,5.59,5.43,4.93,5.01,4.94,4.63,4.62,4.46,4.42,4.5,4.28,4.36,3.94,3.82,3.85,3.49,3.47,3.19,3.4,3.19,3.25,2.66,2.8,0.0,0.0,0.0,99.99
01/04/2022,5.76,5.59,5.43,4.93,5.01,4.94,4.63,4.62,4.46,4.42,4.5,4.28,4.36,3.94,3.82,3.85,3.49,3.47,3.19,3.4,3.19,3.25,2.66,2.8,0.0,0.0,0.0,99.99
01/05/2022,5.76,5.59,5.43,4.93,5.01,4.94,4.63,4.62,4.46,4.42,4.5,4.28,4.36,3.94,3.82,3.85,3.49,3.47,3.19,3.4,3.19,3.25,2.66,2.8,0.0,0.0,0.0,99.99
01/06/2022,5.76,5.59,5.43,4.93,5.01,4.94,4.63,4.62,4.46,4.42,4.5,4.28,4.36,3.94,3.82,3.85,3.49,3.47,3.19,3.4,3.19,3.25,2.66,2.8,0.0,0.0,0.0,99.99
01/07/2022,5.62,5.49,5.61,4.89,5.05,4.83,4.84,4.51,4.78,4.38,4.48,4.37,4.47,4.13,3.82,3.79,3.27,3.51,2.97,3.49,3.09,3.16,2.59,2.84,0.0,0.0,0.0,99.98
01/10/2022,5.47,5.54,5.65,4.96,5.17,4.7,4.87,4.31,4.92,4.27,4.38,4.45,4.47,4.29,3.79,3.8,4.16,3.59,3.02,3.49,3.0,3.06,2.54,2.13,0.0,0.0,0.0,100.03
01/11/2022,5.47,5.52,5.66,4.95,5.1,4.75,4.87,4.34,4.97,4.24,4.35,4.48,4.51,4.33,3.78,3.76,4.17,3.57,2.98,3.49,3.0,3.0,2.58,2.13,0.0,0.0,0.0,100.0
01/12/2022,5.47,5.52,5.66,4.95,5.1,4.75,4.87,4.34,4.97,4.24,4.35,4.48,4.51,4.33,3.78,3.76,4.17,3.57,2.98,3.49,3.0,3.0,2.58,2.13,0.0,0.0,0.0,100.0
01/13/2022,5.53,5.52,5.69,4.96,5.16,4.7,4.84,4.34,5.02,4.34,4.3,4.39,4.51,4.32,3.79,3.7,4.14,3.51,3.08,3.46,2.99,3.04,2.55,2.15,0.0,0.0,0.0,100.03
01/14/2022,5.53,5.52,5.69,4.96,5.16,4.7,4.84,4.34,5.02,4.34,4.3,4.39,4.51,4.32,3.79,3.7,4.14,3.51,3.08,3.46,2.99,3.04,2.55,2.15,0.0,0.0,0.0,100.03
01/17/2022,5.24,4.9,5.31,4.89,4.94,4.97,4.85,4.67,4.44,4.58,5.59,4.31,3.43,4.31,4.76,3.2,4.06,3.01,2.9,3.41,3.56,2.84,3.48,2.34,0.0,0.0,0.0,99.99
01/18/2022,5.42,5.07,5.38,4.92,4.96,4.97,4.97,4.66,4.62,4.68,5.48,4.3,3.45,4.41,4.87,3.23,3.95,3.04,2.93,3.44,3.61,2.89,3.41,1.35,0.0,0.0,0.0,100.01
01/19/2022,5.42,5.07,5.38,4.92,4.96,4.97,4.97,4.66,4.62,4.68,5.48,4.3,3.45,4.41,4.87,3.23,3.95,3.04,2.93,3.44,3.61,2.89,3.41,1.35,0.0,0.0,0.0,100.01
