,AVB,EQR,MAA,ESS,AMH,CPT,SUI,WELL,INVH,UDR,VTR,ELS,ACC,IRT,UMH,CSR,NXRT,AIRC,OHI,TCN.TO,NHI,WRE,VRE,AIV,BRT,CTRE,SBRA,APTS,FGXXX,SUM
03/15/2022,9.43,8.94,8.41,7.61,6.76,6.17,6.05,5.74,5.65,4.56,4.27,3.96,3.39,3.05,2.36,1.58,1.5,1.49,1.46,1.45,1.25,1.01,0.98,0.79,0.76,0.7,0.29,0.29,0.09,99.99000000000002
03/24/2022,9.48,9.41,8.55,7.51,6.77,6.33,5.96,5.89,5.82,4.53,4.32,3.83,3.8,3.28,2.32,1.53,1.47,1.48,0.76,1.56,1.06,1.02,0.93,0.83,0.79,0.37,0.0,0.28,0.11,99.99
03/28/2022,9.48,9.39,8.53,7.52,6.7,6.33,5.83,6.06,5.79,4.54,4.49,3.74,3.77,3.37,2.28,1.51,1.49,1.48,0.79,1.55,1.07,1.03,0.92,0.81,0.78,0.38,0.0,0.28,0.11,100.02
