,PSTG,LULU,SBAC,DTE,PLD,ATO,CDNS,FWONK,ESS,SCI,ALNY,ROP,MRK,ANET,RARE,DT,PLUG,CPT,JBGS,TRMB,FFIV,DOW,ZEN,PFE,TW,MSFT,BSX,INVH,AAPL,FB,NVDA,CACC,RCL,PCTY,PG,TER,MDB,LUV,GGG,GLOB,BIIB,GWRE,ADBE,MA,GOOG,JAMF,KMB,ANSS,EPAM,MORN,DBX,INTU,MSCI,PINS,F,PLTR,NEWR,YETI,CPA,UTHR,NCNO,NOW,TEAM,VMW,CIEN,TWKS,H,DAL,SPOT,MKTX,LRCX,AMD,PNFP,PHM,U,DOCU,PCOR,TWLO,ETSY,SYF,ZS,SNOW,PTON,ZM,Z,ROKU,HLF,NTRA,n/a,SUM
04/06/2022,1.53,1.37,1.36,1.36,1.35,1.34,1.33,1.33,1.32,1.3,1.3,1.29,1.27,1.26,1.25,1.25,1.25,1.25,1.25,1.24,1.23,1.23,1.23,1.22,1.22,1.21,1.21,1.19,1.19,1.19,1.19,1.18,1.18,1.17,1.17,1.17,1.17,1.17,1.16,1.16,1.15,1.15,1.14,1.14,1.14,1.14,1.13,1.13,1.12,1.12,1.12,1.12,1.11,1.11,1.1,1.1,1.09,1.09,1.09,1.08,1.08,1.08,1.07,1.07,1.07,1.07,1.06,1.06,1.05,1.05,1.04,1.03,1.02,1.01,1.01,1.0,0.99,0.98,0.98,0.94,0.92,0.92,0.92,0.89,0.89,0.87,0.87,0.72,-0.05,100.02
04/14/2022,1.4,1.4,1.5,1.4,1.4,1.4,1.3,1.4,1.3,1.4,1.3,1.4,1.4,1.2,1.3,1.2,1.2,1.3,1.2,1.3,1.3,1.2,1.3,1.3,1.3,1.2,1.2,1.3,1.2,1.2,1.0,1.3,1.2,1.2,1.3,1.1,1.1,1.1,1.2,1.1,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1.1,1.3,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.0,1.1,1.1,1.0,1.1,1.0,1.1,1.0,1.1,1.0,1.1,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.0,0.8,0.9,0.7,0.9,100.3
04/19/2022,1.4,1.52,1.44,1.45,1.39,1.39,1.26,1.36,1.35,1.43,1.34,1.31,1.39,1.2,1.45,1.15,1.19,1.26,1.22,1.21,1.23,1.31,1.3,1.32,1.24,1.15,1.25,1.28,1.18,1.16,0.99,1.32,1.22,1.17,1.25,1.12,1.12,1.24,1.12,1.1,1.22,1.16,1.1,1.18,1.08,1.17,1.2,1.06,1.19,1.19,1.13,1.13,1.09,1.03,1.07,1.03,1.22,1.01,1.09,1.18,0.99,1.04,0.98,1.12,1.02,1.07,1.14,1.19,0.97,0.86,0.95,0.93,1.0,1.05,0.95,0.96,0.93,0.83,0.93,1.06,0.9,0.82,0.87,0.88,0.92,0.81,0.88,0.69,-0.06,99.99000000000001
