,B 0 12/30/21,Spy 12/31/2021 369 C,First American Treasury Obligs X,Spy 12/31/2021 332.10 P,FXFXX,SPY,n/a,SUM
07/09/2021,87.87,12.93,0.19,-0.99,0.0,0.0,0.0,100.0
01/07/2022,0.0,0.0,0.0,0.0,46.72,43.55,9.73,100.0
