,TEAM,MSTR,PRFT,NET,SPT,DOMO,SPLK,NEWR,MDLA,DT,SNOW,ESTC,TWLO,TDC,MDB,PD,PLTR,CLDR,VMW,PRGS,APPN,AYX,94NA.L,ATO.PA,FSLY,KC,SWI,SOW.DE,GBG.L,FGXXX,n/a,80ML.L,FROG,CFLT,BASE,SUM
08/19/2021,4.85,4.72,4.63,4.51,4.44,4.27,4.23,4.05,4.02,3.99,3.91,3.89,3.88,3.84,3.79,3.46,3.43,3.34,3.23,3.22,3.07,2.93,2.83,2.63,2.57,2.3,1.72,1.4,0.54,0.28,0.0,0.0,0.0,0.0,0.0,99.97
08/20/2021,4.88,4.61,4.82,4.54,4.5,4.28,4.18,3.99,4.09,3.97,3.86,3.85,3.76,3.87,3.75,3.43,3.44,3.4,3.29,3.25,3.04,3.07,2.78,2.68,2.48,2.22,1.72,1.42,0.55,0.29,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/23/2021,4.97,4.54,4.81,4.53,4.52,4.27,4.2,3.9,4.17,4.02,3.88,3.99,3.76,3.68,3.79,3.42,3.45,3.47,3.25,3.16,3.26,3.06,2.75,2.64,2.47,2.09,1.65,1.44,0.55,0.29,0.0,0.0,0.0,0.0,0.0,99.98
08/24/2021,4.97,4.54,4.81,4.53,4.52,4.27,4.2,3.9,4.17,4.02,3.88,3.99,3.76,3.68,3.79,3.42,3.45,3.47,3.25,3.16,3.26,3.06,2.75,2.64,2.47,2.09,1.65,1.44,0.55,0.29,0.0,0.0,0.0,0.0,0.0,99.98
08/25/2021,5.07,4.74,4.87,4.54,4.64,4.45,4.23,3.8,4.12,3.99,3.66,4.02,3.71,3.73,3.77,3.38,3.38,3.42,3.26,3.21,3.13,3.06,2.64,2.58,2.55,2.17,1.64,1.42,0.54,0.29,0.0,0.0,0.0,0.0,0.0,100.01
08/26/2021,5.07,4.74,4.87,4.54,4.64,4.45,4.23,3.8,4.12,3.99,3.66,4.02,3.71,3.73,3.77,3.38,3.38,3.42,3.26,3.21,3.13,3.06,2.64,2.58,2.55,2.17,1.64,1.42,0.54,0.0,0.29,0.0,0.0,0.0,0.0,100.01
08/27/2021,4.99,4.55,4.81,4.51,4.89,4.48,4.31,3.88,3.96,4.04,3.71,3.94,3.72,3.65,3.78,3.5,3.4,3.29,3.16,3.16,3.17,3.05,2.73,2.52,2.62,2.34,1.64,1.39,0.52,0.28,0.0,0.0,0.0,0.0,0.0,99.99
08/30/2021,4.92,4.4,4.97,4.38,4.94,4.56,4.29,3.85,3.96,4.08,4.01,3.79,3.69,3.61,3.82,3.38,3.35,3.28,3.19,3.19,3.13,2.98,0.0,2.5,2.57,2.5,1.58,1.38,0.53,0.41,0.0,2.77,0.0,0.0,0.0,100.00999999999998
08/31/2021,4.92,4.4,4.97,4.38,4.94,4.56,4.29,3.85,3.96,4.08,4.01,3.79,3.69,3.61,3.82,3.38,3.35,3.28,3.19,3.19,3.13,2.98,0.0,2.5,2.57,2.5,1.58,1.38,0.53,0.41,0.0,2.77,0.0,0.0,0.0,100.00999999999998
09/01/2021,4.98,4.44,5.05,4.43,5.18,4.13,4.31,3.87,3.91,4.06,3.87,3.8,3.72,3.66,3.84,3.47,3.43,3.25,2.94,3.24,3.27,3.04,0.0,2.51,2.58,2.34,1.57,1.37,0.53,0.41,0.0,2.79,0.0,0.0,0.0,99.99
