,BGL.AX,GBR.V,KNT.TO,SKE.TO,CEY.L,PAF.L,RSG.AX,WDO.TO,Canadian Dollar,SLR.AX,DPM.TO,RMS.AX,OLA.TO,DEG.AX,TXG.TO,GOR.AX,GGP.L,AR.TO,RRL.AX,PRU.AX,AMI.AX,MUX,OGC.NE,SBM.AX,VGCX.TO,SEA.TO,SBB.TO,SOLG.L,Osisko Mining Corp,POG.L,NGD.TO,WAF.AX,WGX.AX,NVO.TO,AIR,Cash,Us Dollars,HOC.L,State Street Instl Trs Pls MMkt Premier,SDA.AX,SUM
07/09/2021,5.28,5.26,5.06,4.86,4.61,4.52,4.46,4.38,4.04,3.74,3.62,3.59,3.57,3.54,3.37,3.34,3.33,3.23,2.38,2.02,1.92,1.89,1.87,1.83,1.77,1.75,1.74,1.73,1.71,1.69,1.67,1.65,1.63,1.6,1.51,-0.28,-3.85,0.0,0.0,0.0,100.03
07/12/2021,5.58,5.1,4.68,4.98,4.67,4.65,4.97,4.44,0.0,3.76,3.53,3.45,3.36,3.66,3.23,3.33,3.64,3.15,2.37,2.08,1.99,1.68,1.83,1.85,1.75,1.72,1.61,1.69,1.67,1.62,1.6,1.77,1.56,1.64,0.0,-0.11,0.0,1.5,0.02,0.0,100.02
07/13/2021,5.58,5.1,4.68,4.98,4.67,4.65,4.97,4.44,0.0,3.76,3.53,3.45,3.36,3.66,3.23,3.33,3.64,3.15,2.37,2.08,1.99,1.68,1.83,1.85,1.75,1.72,1.61,1.69,1.67,1.62,1.6,1.77,1.56,1.64,0.0,-0.11,0.0,1.5,0.02,0.0,100.02
07/14/2021,5.48,5.19,4.87,5.02,4.53,4.38,5.03,4.46,0.0,3.74,3.61,3.41,3.46,3.55,3.17,3.31,3.64,3.2,2.35,1.98,2.01,1.72,1.82,1.84,1.79,1.72,1.64,1.68,1.74,1.61,1.63,1.8,1.53,1.66,0.0,-0.1,0.0,1.51,0.0,0.0,99.98
07/15/2021,5.67,5.12,4.82,5.18,4.6,4.3,5.01,4.46,0.0,3.76,3.54,3.48,3.3,3.65,3.09,3.36,3.79,3.19,2.37,2.0,2.01,1.68,1.74,1.84,1.76,1.71,1.6,1.75,1.7,1.62,1.58,1.8,1.55,1.62,0.0,-0.1,0.0,1.48,0.0,0.0,100.03
07/16/2021,5.67,5.12,4.82,5.18,4.6,4.3,5.01,4.46,0.0,3.76,3.54,3.48,3.3,3.65,3.09,3.36,3.79,3.19,2.37,2.0,2.01,1.68,1.74,1.84,1.76,1.71,1.6,1.75,1.7,1.62,1.58,1.8,1.55,1.62,0.0,-0.1,0.0,1.48,0.0,0.0,100.03
07/19/2021,6.09,4.93,4.8,5.19,4.57,4.25,4.94,4.52,0.0,3.89,3.56,3.66,3.23,3.48,3.13,3.37,3.67,3.23,2.41,1.98,2.04,1.6,1.83,1.89,1.73,1.7,1.66,1.64,1.69,1.57,1.58,1.7,1.53,1.58,0.0,-0.11,0.0,1.45,0.0,0.01,99.99
07/20/2021,5.69,4.85,4.83,5.35,4.58,4.23,4.99,4.47,0.0,3.94,3.54,3.66,3.11,3.65,3.1,3.44,3.67,3.3,2.47,2.04,2.09,1.58,1.79,1.9,1.66,1.72,1.62,1.67,1.69,1.58,1.53,1.75,1.56,1.55,0.0,-0.12,0.0,1.49,0.02,0.0,99.99
07/21/2021,5.69,4.85,4.83,5.35,4.58,4.23,4.99,4.47,0.0,3.94,3.54,3.66,3.11,3.65,3.1,3.44,3.67,3.3,2.47,2.04,2.09,1.58,1.79,1.9,1.66,1.72,1.62,1.67,1.69,1.58,1.53,1.75,1.56,1.55,0.0,-0.12,0.0,1.49,0.02,0.0,99.99
07/22/2021,5.69,4.85,4.83,5.35,4.58,4.23,4.99,4.47,0.0,3.94,3.54,3.66,3.11,3.65,3.1,3.44,3.67,3.3,2.47,2.04,2.09,1.58,1.79,1.9,1.66,1.72,1.62,1.67,1.69,1.58,1.53,1.75,1.56,1.55,0.0,-0.12,0.0,1.49,0.02,0.0,99.99
07/23/2021,5.37,4.71,4.69,5.43,4.8,4.15,5.11,4.56,0.0,3.92,3.56,3.66,3.08,3.56,3.12,3.43,3.82,3.38,2.48,2.07,2.07,1.58,1.8,1.9,1.66,1.75,1.68,1.63,1.68,1.58,1.53,1.76,1.54,1.54,0.0,-0.13,0.0,1.49,0.02,0.0,99.98
07/26/2021,5.51,4.93,4.53,5.73,4.59,4.05,5.01,4.54,0.0,3.88,3.5,3.64,3.29,3.53,3.1,3.41,3.64,3.45,2.41,2.07,2.05,1.56,1.84,1.85,1.7,1.76,1.78,1.65,1.67,1.58,1.52,1.82,1.51,1.57,0.0,-0.13,0.0,1.44,0.02,0.0,100.0
07/27/2021,5.55,4.95,4.52,5.8,4.56,4.09,4.94,4.54,0.0,3.59,3.51,3.63,3.22,3.59,3.12,3.4,3.67,3.51,2.41,2.15,2.17,1.57,1.8,1.84,1.72,1.77,1.73,1.69,1.66,1.59,1.48,1.85,1.5,1.57,0.0,-0.13,0.0,1.46,0.02,0.0,100.04
07/28/2021,5.55,4.95,4.52,5.8,4.56,4.09,4.94,4.54,0.0,3.59,3.51,3.63,3.22,3.59,3.12,3.4,3.67,3.51,2.41,2.15,2.17,1.57,1.8,1.84,1.72,1.77,1.73,1.69,1.66,1.59,1.48,1.85,1.5,1.57,0.0,-0.13,0.0,1.46,0.02,0.0,100.04
07/29/2021,5.34,5.03,4.55,5.97,4.67,4.25,4.79,4.64,0.0,3.31,3.59,3.51,3.42,3.4,3.21,3.32,3.53,3.54,2.37,2.14,2.17,1.6,1.81,1.79,1.77,1.8,1.74,1.66,1.7,1.58,1.49,1.84,1.48,1.64,0.0,-0.14,0.0,1.47,0.02,0.0,100.0
