,RPG,IUS,OMFL,ISDX,IUSS,IDLV,SPLV,XMLV,XSLV,PLW,BAB,EELV,ISEM,PBTP,VRIG,BKLN,PHB,IIGV,IIGD,Cash/Receivables/Payables,Securities Lending - Bnym,Interest/Overdraft,AGPXX,6368.T,n/a,BPAC11.SA,SUM
07/09/2021,12.01,11.12,9.53,7.33,7.02,6.92,6.06,6.01,5.96,5.94,4.94,4.41,3.9,1.97,1.97,1.96,0.99,0.99,0.99,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,11.98,11.14,9.59,7.41,7.02,6.94,6.09,6.04,5.95,5.9,4.91,4.4,3.83,1.96,1.96,1.95,0.99,0.98,0.98,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,11.98,11.14,9.59,7.41,7.02,6.94,6.09,6.04,5.95,5.9,4.91,4.4,3.83,1.96,1.96,1.95,0.99,0.98,0.98,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,12.03,11.14,9.61,7.34,7.04,6.96,6.08,6.05,5.97,5.89,4.91,4.39,3.82,1.96,1.95,1.95,0.98,0.98,0.98,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,12.05,11.15,9.51,7.38,6.97,6.99,6.09,6.02,5.94,5.9,4.91,4.4,3.85,1.98,1.96,1.96,0.99,0.99,0.98,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,11.92,11.14,9.45,7.31,6.88,7.01,6.16,6.05,5.95,5.98,4.98,4.43,3.85,1.99,1.97,1.96,0.99,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,11.58,10.95,9.41,7.41,6.97,6.99,6.0,5.98,5.97,6.14,5.09,4.5,3.96,2.02,2.02,2.01,1.0,1.01,1.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/23/2021,11.63,10.99,9.57,7.36,7.06,6.96,5.98,6.01,6.02,6.04,5.03,4.46,3.93,2.0,2.0,1.99,1.0,1.0,1.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/27/2021,11.9,11.05,9.61,7.41,7.08,7.0,5.96,5.96,5.97,5.94,4.94,4.43,3.9,1.98,1.98,1.98,0.99,0.99,0.99,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/30/2021,11.77,11.07,9.63,7.46,7.07,7.01,6.0,5.98,5.97,5.98,4.97,4.4,3.79,1.99,1.98,1.97,0.99,0.99,0.99,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,99.97999999999998
08/02/2021,11.86,11.01,9.69,7.54,7.13,6.98,5.93,5.98,6.01,5.9,4.91,4.4,3.84,1.97,1.96,1.96,0.98,0.98,0.98,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,99.98
08/03/2021,11.91,10.98,9.66,7.5,7.11,6.98,5.92,5.98,6.03,5.92,4.93,4.39,3.83,1.98,1.96,1.96,0.98,0.99,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01
08/04/2021,11.91,10.98,9.66,7.5,7.11,6.98,5.92,5.98,6.03,5.92,4.93,4.39,3.83,1.98,1.96,1.96,0.98,0.99,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01
08/05/2021,11.92,10.96,9.63,7.51,7.08,6.99,5.93,5.96,6.0,5.96,4.95,4.41,3.86,1.98,1.96,1.95,0.98,0.99,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.02
08/09/2021,12.08,10.92,9.68,7.49,7.06,7.01,5.91,5.93,6.02,5.91,4.91,4.44,3.85,1.96,1.95,1.94,0.98,0.98,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01000000000002
08/10/2021,12.06,10.95,9.74,7.5,7.09,6.97,5.91,5.95,6.08,5.85,4.88,4.42,3.82,1.96,1.95,1.94,0.97,0.98,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01
08/11/2021,12.05,10.95,9.74,7.5,7.09,6.97,5.91,5.95,6.08,5.85,4.87,4.42,3.82,1.96,1.95,1.94,0.97,0.97,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,99.98
08/13/2021,11.98,10.99,9.84,7.46,7.1,6.98,5.93,5.93,6.06,5.83,4.86,4.43,3.85,1.96,1.95,1.95,0.97,0.97,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.03000000000002
08/16/2021,11.95,11.01,9.9,7.48,7.1,7.0,5.92,5.94,6.05,5.8,4.83,4.42,3.85,1.95,1.95,1.94,0.97,0.97,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01
08/17/2021,11.95,11.01,9.9,7.48,7.1,7.0,5.92,5.94,6.05,5.8,4.83,4.42,3.85,1.95,1.94,1.94,0.97,0.97,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.0
08/19/2021,11.94,11.03,9.82,7.43,7.01,7.02,6.0,5.98,6.06,5.85,4.88,4.41,3.83,1.95,1.94,1.94,0.97,0.97,0.97,0.0,0.0,0.0,0.02,0.0,0.0,0.0,100.02
08/20/2021,11.91,11.04,9.72,7.41,6.98,7.02,6.04,6.02,6.06,5.89,4.89,4.42,3.79,1.96,1.96,1.95,0.98,0.98,0.98,0.0,0.0,0.0,0.02,0.0,0.0,0.0,100.02
08/23/2021,12.01,10.99,9.61,7.34,6.91,7.05,6.05,5.98,6.06,5.98,4.96,4.43,3.75,1.98,1.97,1.97,0.98,0.99,0.99,0.0,0.0,0.0,0.02,0.0,0.0,0.0,100.01999999999998
08/24/2021,12.06,11.01,9.66,7.3,6.95,7.05,6.05,5.99,6.1,5.93,4.93,4.41,3.72,1.96,1.96,1.95,0.98,0.98,0.98,0.0,0.0,0.0,0.02,0.0,0.0,0.0,99.99
08/25/2021,12.06,11.01,9.66,7.3,6.95,7.05,6.05,5.99,6.1,5.93,4.93,4.41,3.72,1.96,1.96,1.95,0.98,0.98,0.98,0.0,0.0,0.0,0.02,0.0,0.0,0.0,99.99
08/26/2021,11.52,11.0,9.53,7.48,7.01,7.0,5.97,5.99,6.01,6.0,5.0,4.5,4.01,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,100.04
08/27/2021,11.52,10.99,9.61,7.55,7.06,6.97,5.91,5.96,5.97,5.95,4.97,4.52,4.05,1.99,1.99,2.0,1.0,0.99,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01
09/02/2021,11.68,10.97,9.62,7.53,7.09,6.89,5.88,5.97,6.02,5.91,4.93,4.55,4.08,1.98,1.97,1.98,0.99,0.99,0.99,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,99.98999999999997
09/03/2021,11.66,10.97,9.61,7.48,7.08,6.88,5.89,5.98,6.01,5.9,4.92,4.59,4.13,1.99,1.98,1.99,0.99,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/06/2021,11.68,10.95,9.59,7.51,7.12,6.91,5.91,6.0,6.01,5.88,4.9,4.56,4.11,1.97,1.96,1.98,0.99,0.98,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.0
09/07/2021,11.71,10.92,9.56,7.59,7.09,6.92,5.9,5.97,5.98,5.85,4.87,4.58,4.19,1.98,1.96,1.98,0.99,0.98,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01
09/08/2021,11.71,10.92,9.56,7.59,7.09,6.92,5.9,5.97,5.98,5.85,4.87,4.58,4.19,1.98,1.96,1.98,0.99,0.98,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01
09/09/2021,11.71,10.92,9.56,7.59,7.09,6.92,5.89,5.97,5.98,5.85,4.87,4.58,4.19,1.97,1.96,1.98,0.99,0.98,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,99.99
09/10/2021,11.72,10.93,9.52,7.58,7.07,6.94,5.86,5.92,5.96,5.85,4.89,4.6,4.24,1.99,1.98,1.99,1.0,0.98,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.02
09/13/2021,11.68,10.89,9.5,7.55,7.04,6.94,5.88,5.94,5.93,5.93,4.94,4.59,4.21,2.0,1.98,2.0,1.0,0.99,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.0,99.99
09/14/2021,11.7,10.86,9.49,7.57,7.01,6.95,5.88,5.9,5.9,5.93,4.95,4.62,4.24,2.01,1.99,2.01,1.0,1.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.02
09/15/2021,11.7,10.86,9.49,7.57,7.01,6.95,5.88,5.9,5.9,5.93,4.95,4.62,4.24,2.01,1.99,2.01,1.0,1.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.02
09/16/2021,11.55,10.89,9.52,7.67,7.02,6.95,5.85,5.89,5.9,5.94,4.94,4.64,4.28,2.0,1.99,2.0,1.0,0.99,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.02
09/17/2021,11.6,10.85,9.46,7.62,6.97,6.96,5.87,5.87,5.88,6.0,4.99,4.64,4.25,2.01,2.0,2.01,1.01,1.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.0
09/20/2021,11.71,10.89,9.55,7.63,7.0,6.94,5.85,5.86,5.86,5.95,4.96,4.62,4.19,2.0,1.99,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,100.02
09/21/2021,11.71,10.89,9.55,7.63,7.0,6.94,5.85,5.86,5.86,5.95,4.96,4.62,4.19,2.0,1.99,2.0,1.0,0.99,0.99,0.0,0.0,0.0,0.02,0.0,0.0,0.0,100.0
09/22/2021,11.69,10.9,9.54,7.55,7.0,6.92,5.84,5.85,5.9,5.97,4.98,4.61,4.18,2.01,2.0,2.02,1.01,1.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,99.99
09/23/2021,11.47,10.95,9.43,7.39,6.98,7.0,6.05,6.03,6.03,6.14,5.09,4.47,3.87,2.01,2.03,2.03,1.01,1.02,1.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,100.04
09/24/2021,11.49,10.91,9.37,7.48,6.97,7.02,6.03,6.01,6.01,6.12,5.09,4.47,3.92,2.0,2.03,2.02,1.01,1.02,1.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,100.01
09/27/2021,11.61,10.97,9.55,7.5,7.06,6.97,5.98,5.99,6.04,5.97,4.97,4.47,3.96,1.97,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,100.03
09/28/2021,11.64,11.0,9.58,7.45,7.07,6.93,5.99,6.0,6.07,5.95,4.96,4.45,3.93,1.97,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,100.01
09/29/2021,11.64,11.0,9.58,7.45,7.07,6.93,5.99,6.0,6.07,5.95,4.96,4.45,3.92,1.97,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,100.0
09/30/2021,11.46,11.02,9.67,7.51,7.14,6.89,5.93,6.0,6.11,5.93,4.95,4.47,3.95,1.97,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,100.02
10/07/2021,11.0,10.97,9.57,7.48,7.14,6.89,5.97,6.1,6.21,6.03,5.04,4.53,3.96,2.02,2.04,2.03,1.01,1.01,1.02,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,100.01
10/08/2021,11.1,11.01,9.6,7.47,7.14,6.89,5.96,6.07,6.2,5.97,4.99,4.53,4.02,2.01,2.03,2.02,1.01,1.01,1.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,100.03
10/11/2021,11.21,11.05,9.63,7.41,7.15,6.86,5.99,6.08,6.22,5.9,4.94,4.53,4.05,1.99,2.02,2.01,1.0,0.99,1.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,100.02
10/14/2021,11.1,11.06,9.62,7.5,7.12,6.88,5.98,6.05,6.2,5.9,4.96,4.54,4.07,2.01,2.03,2.03,1.0,1.0,1.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,100.05
10/15/2021,11.1,11.01,9.62,7.47,7.13,6.88,5.98,6.07,6.21,5.95,4.98,4.52,4.05,2.0,2.03,2.02,1.0,1.0,1.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,100.02
10/18/2021,11.22,11.03,9.65,7.49,7.14,6.88,5.99,6.12,6.19,5.9,4.93,4.51,4.02,1.98,2.0,1.99,0.99,0.99,0.99,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,99.99999999999996
10/19/2021,11.24,11.07,9.68,7.5,7.11,6.9,5.99,6.11,6.16,5.86,4.9,4.52,4.04,1.97,1.99,1.99,0.99,0.98,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/21/2021,11.57,10.99,9.51,7.53,7.01,7.0,5.98,5.99,5.99,5.98,4.99,4.5,4.0,1.99,2.0,1.99,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/22/2021,11.62,11.04,9.51,7.51,7.0,7.01,6.02,5.99,5.98,5.92,4.96,4.5,4.01,1.99,1.99,1.99,0.99,0.99,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
10/25/2021,11.72,11.08,9.57,7.43,7.03,7.0,6.05,6.04,6.01,5.87,4.91,4.48,3.96,1.99,1.98,1.98,0.99,0.98,0.99,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,100.01
10/26/2021,11.72,11.05,9.58,7.45,7.0,7.02,6.08,6.05,6.01,5.89,4.92,4.47,3.93,1.98,1.98,1.98,0.99,0.98,0.99,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,100.01
10/28/2021,11.79,11.04,9.58,7.45,7.06,6.97,6.05,6.03,6.02,5.87,4.91,4.47,3.96,1.98,1.97,1.97,0.99,0.98,0.98,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,100.01
10/29/2021,11.78,11.05,9.52,7.5,7.0,6.99,6.06,6.02,6.01,5.91,4.93,4.47,3.93,1.99,1.97,1.97,0.99,0.99,0.99,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,100.00999999999998
11/01/2021,11.96,11.03,9.49,7.47,6.96,7.02,6.03,6.0,6.01,5.94,4.95,4.47,3.86,1.98,1.97,1.97,0.99,0.99,0.98,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,100.01
11/02/2021,12.1,11.05,9.46,7.41,6.98,7.0,6.03,5.98,6.0,5.95,4.96,4.43,3.8,1.98,1.97,1.97,0.99,0.99,0.98,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,100.01
11/03/2021,12.1,11.05,9.46,7.41,6.98,7.0,6.03,5.98,6.0,5.95,4.96,4.43,3.8,1.98,1.97,1.97,0.99,0.99,0.98,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,100.01
11/04/2021,12.1,11.05,9.46,7.41,6.98,7.0,6.03,5.98,6.0,5.95,4.96,4.43,3.8,1.98,1.97,1.97,0.99,0.99,0.98,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,100.01
11/05/2021,12.11,11.06,9.54,7.4,7.05,6.98,6.03,6.02,6.06,5.91,4.92,4.39,3.74,1.97,1.96,1.96,0.98,0.98,0.98,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,100.02
11/11/2021,12.19,11.08,9.58,7.4,7.15,6.94,5.94,5.99,6.16,5.87,4.88,4.38,3.72,1.95,1.93,1.94,0.97,0.97,0.97,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,99.99
11/12/2021,12.15,11.08,9.59,7.35,7.15,6.94,5.96,6.0,6.16,5.92,4.9,4.38,3.71,1.95,1.93,1.94,0.97,0.98,0.97,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,100.01
11/15/2021,12.1,11.06,9.6,7.31,7.14,6.91,5.98,6.04,6.21,5.86,4.87,4.41,3.78,1.96,1.94,1.95,0.97,0.97,0.97,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,100.01
11/16/2021,12.21,11.07,9.61,7.33,7.13,6.91,5.99,6.05,6.18,5.83,4.85,4.41,3.75,1.95,1.93,1.93,0.97,0.97,0.96,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,100.01
11/17/2021,12.21,11.07,9.61,7.33,7.13,6.91,5.99,6.05,6.18,5.83,4.85,4.41,3.75,1.95,1.93,1.93,0.97,0.97,0.96,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,100.01
11/18/2021,12.19,11.08,9.62,7.3,7.14,6.91,6.01,6.09,6.18,5.79,4.84,4.4,3.73,1.96,1.93,1.94,0.97,0.96,0.96,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01
11/19/2021,12.34,11.09,9.63,7.28,7.14,6.87,6.0,6.08,6.16,5.78,4.82,4.39,3.72,1.96,1.93,1.93,0.97,0.96,0.96,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.02
11/22/2021,12.34,11.09,9.63,7.28,7.14,6.87,6.0,6.07,6.16,5.78,4.82,4.39,3.72,1.96,1.93,1.93,0.97,0.96,0.96,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01
11/23/2021,12.34,11.09,9.63,7.28,7.14,6.87,6.0,6.07,6.16,5.78,4.82,4.39,3.72,1.96,1.93,1.93,0.97,0.96,0.96,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01
11/24/2021,12.45,11.06,9.52,7.23,7.02,6.89,6.02,6.08,6.13,5.89,4.89,4.39,3.67,1.97,1.94,1.94,0.97,0.97,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.01
11/25/2021,11.35,11.04,9.57,7.52,7.02,7.0,6.03,6.03,6.07,5.96,4.98,4.47,3.98,2.0,2.0,2.0,1.0,0.99,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,100.02
